Time,Filt_X,Filt_Y,Filt_Z
1779984636.913,-0.1900,0.0500,0.5100
1779984641.713,-0.2152,0.0416,0.5184
1779984641.813,-0.1964,0.0300,0.5139
1779984641.913,-0.1835,0.0296,0.5120
1779984642.014,-0.1763,0.0341,0.5109
1779984642.114,-0.1813,0.0321,0.5149
1779984642.213,-0.1752,0.0356,0.5127
1779984642.317,-0.1856,0.0377,0.5160
1779984642.413,-0.1965,0.0436,0.5180
1779984642.514,-0.1984,0.0471,0.5191
1779984642.614,-0.1950,0.0491,0.5152
1779984642.713,-0.1883,0.0456,0.5129
1779984642.813,-0.1753,0.0435,0.5160
1779984642.914,-0.1720,0.0422,0.5134
1779984643.013,-0.1791,0.0414,0.5208
1779984643.113,-0.1790,0.0409,0.5297
1779984643.213,-0.1879,0.0451,0.5351
1779984643.313,-0.2068,0.0431,0.5427
1779984643.413,-0.2181,0.0464,0.5382
1779984643.514,-0.2114,0.0439,0.5355
1779984643.614,-0.1939,0.0379,0.5248
1779984643.714,-0.1744,0.0342,0.5183
1779984643.814,-0.1626,0.0365,0.5144
1779984643.914,-0.1645,0.0379,0.5165
1779984644.014,-0.1747,0.0388,0.5134
1779984644.113,-0.1676,0.0393,0.5071
1779984644.213,-0.1500,0.0352,0.4989
1779984644.323,-0.1528,0.0327,0.4984
1779984644.414,-0.1591,0.0356,0.5071
1779984644.513,-0.1630,0.0374,0.5168
1779984644.614,-0.1743,0.0385,0.5183
1779984644.713,-0.1856,0.0392,0.5281
1779984644.815,-0.1880,0.0396,0.5251
1779984644.913,-0.1894,0.0398,0.5232
1779984645.014,-0.1813,0.0355,0.5221
1779984645.113,-0.1808,0.0329,0.5169
1779984645.213,-0.1717,0.0314,0.5138
1779984645.650,-0.1395,0.0305,0.5030
1779984645.852,-0.1290,0.0344,0.4965
1779984645.894,-0.1406,0.0368,0.5016
1779984646.133,-0.1566,0.0382,0.5047
1779984646.301,-0.1709,0.0346,0.5066
1779984646.346,-0.1662,0.0369,0.5123
1779984646.357,-0.1722,0.0383,0.5201
1779984646.362,-0.1803,0.0347,0.5204
1779984646.432,-0.1896,0.0370,0.5206
1779984646.600,-0.2085,0.0339,0.5206
1779984646.613,-0.2109,0.0365,0.5162
1779984646.719,-0.1945,0.0380,0.5135
1779984646.827,-0.1800,0.0390,0.5119
1779984646.913,-0.1800,0.0396,0.5154
1779984647.014,-0.1712,0.0399,0.5219
1779984647.113,-0.1659,0.0356,0.5214
1779984647.213,-0.1804,0.0331,0.5166
1779984647.317,-0.1760,0.0360,0.5048
1779984647.414,-0.1777,0.0377,0.5022
1779984647.515,-0.1743,0.0432,0.5051
1779984647.614,-0.1678,0.0465,0.5068
1779984647.713,-0.1683,0.0396,0.5080
1779984647.814,-0.1687,0.0443,0.5042
1779984647.913,-0.1690,0.0427,0.5020
1779984648.013,-0.1780,0.0506,0.5051
1779984648.113,-0.1879,0.0508,0.5114
1779984648.213,-0.2028,0.0465,0.5197
1779984648.313,-0.2072,0.0483,0.5203
1779984648.413,-0.2054,0.0450,0.5206
1779984648.513,-0.2086,0.0473,0.5252
1779984648.613,-0.1927,0.0443,0.5190
1779984648.713,-0.1963,0.0425,0.5197
1779984648.813,-0.2029,0.0414,0.5201
1779984648.913,-0.2024,0.0451,0.5203
1779984649.017,-0.2064,0.0474,0.5249
1779984649.113,-0.2044,0.0488,0.5231
1779984649.214,-0.2120,0.0496,0.5221
1779984649.313,-0.2076,0.0456,0.5125
1779984649.414,-0.2049,0.0476,0.5067
1779984649.527,-0.2076,0.0488,0.5033
1779984649.613,-0.2093,0.0495,0.5101
