Time,POSX,POSY,POSZ
1773086755.9529762,-0.659,0.2955,0.1068
1773086755.957928,-0.659,0.2956,0.1069
1773086755.9638274,-0.659,0.2956,0.1069
1773086755.9705887,-0.659,0.2955,0.1068
1773086755.97605,-0.659,0.2955,0.1068
1773086755.9810774,-0.659,0.2955,0.1068
1773086755.988683,-0.659,0.2955,0.1068
1773086755.9928331,-0.659,0.2955,0.1069
1773086755.9970663,-0.659,0.2956,0.1069
1773086756.0032089,-0.659,0.2955,0.1068
1773086756.0083354,-0.659,0.2955,0.1068
1773086756.0294533,-0.659,0.2956,0.1069
1773086756.0300443,-0.659,0.2955,0.1068
1773086756.0305321,-0.659,0.2956,0.1069
1773086756.0313315,-0.659,0.2955,0.1069
1773086756.0366387,-0.659,0.2956,0.1069
1773086756.041593,-0.659,0.2956,0.1069
1773086756.047512,-0.659,0.2955,0.1069
1773086756.0524726,-0.659,0.2955,0.1069
1773086756.0574577,-0.659,0.2955,0.1068
1773086756.0641756,-0.659,0.2956,0.1069
1773086756.0707095,-0.659,0.2956,0.1069
1773086756.074639,-0.659,0.2956,0.1069
1773086756.080185,-0.659,0.2956,0.1069
1773086756.0949314,-0.659,0.2956,0.1069
1773086756.0953956,-0.659,0.2956,0.1069
1773086756.0988984,-0.659,0.2956,0.1069
1773086756.1020691,-0.659,0.2955,0.1069
1773086756.1080494,-0.659,0.2955,0.1068
1773086756.11344,-0.659,0.2955,0.1068
1773086756.119644,-0.659,0.2956,0.1069
1773086756.1247084,-0.659,0.2956,0.1069
1773086756.132519,-0.659,0.2956,0.1069
1773086756.1361165,-0.659,0.2955,0.1069
1773086756.1435862,-0.659,0.2955,0.1068
1773086756.1469295,-0.659,0.2955,0.1068
1773086756.1548011,-0.659,0.2956,0.1069
1773086756.1582088,-0.659,0.2955,0.1068
1773086756.1718855,-0.659,0.2955,0.1069
1773086756.1838367,-0.659,0.2956,0.1069
1773086756.1873827,-0.659,0.2956,0.1069
1773086756.188732,-0.659,0.2956,0.1069
1773086756.1901326,-0.659,0.2955,0.1069
1773086756.197237,-0.659,0.2955,0.1069
1773086756.1978748,-0.659,0.2956,0.1069
1773086756.2037256,-0.659,0.2956,0.1069
1773086756.2096138,-0.659,0.2955,0.1068
1773086756.2145443,-0.659,0.2956,0.1069
1773086756.2187889,-0.659,0.2955,0.1068
1773086756.2263186,-0.659,0.2956,0.1069
1773086756.230101,-0.659,0.2955,0.1069
1773086756.235898,-0.659,0.2955,0.1068
1773086756.2413533,-0.659,0.2955,0.1068
1773086756.2470903,-0.659,0.2955,0.1068
1773086756.2520912,-0.659,0.2955,0.1069
1773086756.2577248,-0.659,0.2956,0.1069
