Time,POSX,POSY,POSZ
1773086760.262666,-0.54,0.49,0.44
1773086760.3626852,-0.54,0.44,0.43
1773086760.4626775,-0.54,0.4694,0.4692
1773086760.5626712,-0.5733,0.433,0.4429
1773086760.6626499,-0.6051,0.3924,0.4195
1773086760.7626183,-0.5989,0.3636,0.4099
1773086760.8626297,-0.6061,0.3395,0.4167
1773086760.9629009,-0.6194,0.3124,0.4309
1773086761.0626247,-0.697,0.2698,0.4581
1773086761.162654,-0.7388,0.2451,0.4878
1773086761.262622,-0.7723,0.2352,0.5481
1773086761.3626268,-0.8006,0.2181,0.6188
1773086761.4626582,-0.8373,0.1885,0.7112
1773086761.5626235,-0.8832,0.1624,0.8173
1773086761.6626139,-0.924,0.1273,0.9101
1773086761.7626376,-0.983,0.0972,1.0297
1773086761.8626206,-1.0402,0.0705,1.1638
1773086761.9626265,-1.0889,0.0462,1.2935
1773086762.0626209,-1.1282,0.0269,1.4233
1773086762.1643398,-1.1545,0.0109,1.5469
1773086762.2626078,-1.1635,-0.0054,1.6768
1773086762.3629773,-1.1651,-0.0093,1.7935
1773086762.462597,-1.1643,-0.0074,1.8958
1773086762.5626965,-1.1689,-0.0184,1.9918
1773086762.6627123,-1.1773,-0.042,2.0761
1773086762.7627027,-1.182,-0.0646,2.1454
1773086762.8626902,-1.1706,-0.0798,2.2006
1773086762.9627512,-1.1679,-0.1064,2.2425
1773086763.0627012,-1.1615,-0.1311,2.2683
1773086763.16268,-1.1658,-0.1644,2.286
1773086763.2626898,-1.1681,-0.2007,2.3081
1773086763.362692,-1.1722,-0.2423,2.3303
1773086763.4626884,-1.171,-0.2777,2.3361
1773086763.5636122,-1.1662,-0.3253,2.3373
1773086763.6626775,-1.1719,-0.3845,2.3344
1773086763.7626803,-1.1887,-0.4425,2.3299
1773086763.8630202,-1.1903,-0.5027,2.3241
1773086763.962715,-1.1775,-0.5576,2.3107
1773086764.062741,-1.1644,-0.612,2.3056
1773086764.1627102,-1.1612,-0.6659,2.2834
1773086764.2626688,-1.1552,-0.7161,2.2557
1773086764.3626676,-1.1505,-0.7669,2.2143
1773086764.462698,-1.1402,-0.8113,2.1698
1773086764.5626736,-1.0994,-0.8479,2.1302
1773086764.6634974,-1.0664,-0.8823,2.0909
1773086764.7632685,-1.0328,-0.9147,2.052
1773086764.8626564,-0.9921,-0.9391,2.0038
1773086764.9626791,-0.9464,-0.9648,1.9523
1773086765.0626986,-0.8576,-0.9814,1.9252
1773086765.1626945,-0.7543,-1.0046,1.9324
1773086765.262622,-0.6443,-1.0228,1.9612
1773086765.3627744,-0.5198,-1.0342,1.9689
1773086765.462677,-0.3953,-1.0439,1.958
1773086765.5626926,-0.2743,-1.0526,1.9437
1773086765.6627364,-0.1696,-1.0673,1.9169
1773086765.7625592,-0.057,-1.0763,1.9144
1773086765.8625674,0.0578,-1.0881,1.9261
1773086765.9625244,0.1639,-1.1085,1.9281
1773086766.062544,0.2836,-1.1219,1.953
1773086766.162538,0.406,-1.1337,1.9877
1773086766.2625515,0.5205,-1.1442,2.0161
1773086766.3625252,0.6288,-1.1506,2.0332
1773086766.4625673,0.7327,-1.1541,2.0519
1773086766.5625253,0.8133,-1.1755,2.0419
1773086766.6625326,0.8836,-1.1965,2.0145
1773086766.7627554,0.9567,-1.1908,1.9945
1773086766.8625176,1.0247,-1.1889,1.9668
1773086766.9625154,1.083,-1.1601,1.9335
1773086767.0625358,1.1473,-1.122,1.903
1773086767.1625066,1.2128,-1.0773,1.8679
1773086767.2625291,1.2759,-1.0314,1.853
1773086767.3628445,1.3342,-0.9715,1.8526
1773086767.4625647,1.3885,-0.9018,1.8494
1773086767.562533,1.4438,-0.8287,1.841
1773086767.6625214,1.5032,-0.7565,1.8386
1773086767.7625263,1.5655,-0.6655,1.8307
1773086767.8625286,1.6299,-0.5711,1.8287
1773086767.9625068,1.6926,-0.4645,1.8078
1773086768.0625107,1.7541,-0.3694,1.8097
1773086768.1625059,1.8081,-0.2596,1.7915
1773086768.262513,1.8368,-0.1594,1.7789
1773086768.3624117,1.8573,-0.0631,1.7702
1773086768.4624262,1.8721,0.0236,1.7876
1773086768.56243,1.8796,0.123,1.7873
1773086768.6624446,1.892,0.2349,1.7576
1773086768.7624068,1.8949,0.3521,1.7166
1773086768.8624601,1.8844,0.4466,1.714
1773086768.9624054,1.8644,0.5343,1.7425
1773086769.0624163,1.8346,0.6203,1.7802
1773086769.1624084,1.7847,0.6985,1.8309
1773086769.2618864,nan,nan,nan
1773086769.3624108,nan,nan,nan
1773086769.462385,nan,nan,nan
1773086769.562444,nan,nan,nan
1773086769.6623864,nan,nan,nan
1773086769.762386,nan,nan,nan
1773086769.86303,nan,nan,nan
1773086769.9623816,nan,nan,nan
1773086770.0624301,nan,nan,nan
1773086770.1624112,nan,nan,nan
1773086770.2623594,nan,nan,nan
1773086770.3623674,nan,nan,nan
1773086770.4623854,nan,nan,nan
1773086770.5623808,nan,nan,nan
1773086770.6623847,nan,nan,nan
1773086770.7624187,nan,nan,nan
1773086770.8623936,nan,nan,nan
1773086770.9623828,nan,nan,nan
1773086771.0623949,nan,nan,nan
1773086771.1623936,nan,nan,nan
1773086771.2623367,nan,nan,nan
1773086771.3624637,nan,nan,nan
1773086771.462462,nan,nan,nan
1773086771.562481,nan,nan,nan
1773086771.6624587,nan,nan,nan
1773086771.7627695,nan,nan,nan
1773086771.8624415,nan,nan,nan
1773086771.9624598,nan,nan,nan
1773086772.0624366,nan,nan,nan
1773086772.1624322,nan,nan,nan
1773086772.2624354,nan,nan,nan
1773086772.3627663,nan,nan,nan
1773086772.462468,nan,nan,nan
1773086772.562425,nan,nan,nan
1773086772.662438,nan,nan,nan
1773086772.7624545,nan,nan,nan
1773086772.8624718,nan,nan,nan
1773086772.9624295,nan,nan,nan
1773086773.0624158,nan,nan,nan
1773086773.1624303,nan,nan,nan
1773086773.2624116,nan,nan,nan
1773086773.3624058,nan,nan,nan
1773086773.4624062,nan,nan,nan
1773086773.5624087,nan,nan,nan
1773086773.662391,nan,nan,nan
1773086773.7624142,nan,nan,nan
1773086773.8624227,nan,nan,nan
1773086773.9624271,nan,nan,nan
1773086774.0624118,nan,nan,nan
1773086774.1628408,nan,nan,nan
1773086774.2625036,nan,nan,nan
1773086774.362539,nan,nan,nan
1773086774.4625094,nan,nan,nan
1773086774.5624764,nan,nan,nan
1773086774.6626334,nan,nan,nan
1773086774.7624798,nan,nan,nan
1773086774.8624828,nan,nan,nan
1773086774.9625282,nan,nan,nan
1773086775.0624914,nan,nan,nan
1773086775.1624813,nan,nan,nan
1773086775.26255,nan,nan,nan
1773086775.3624737,nan,nan,nan
1773086775.4624932,nan,nan,nan
1773086775.5633147,nan,nan,nan
1773086775.6624687,nan,nan,nan
1773086775.762471,nan,nan,nan
1773086775.8625052,nan,nan,nan
1773086775.9624548,nan,nan,nan
1773086776.0624797,nan,nan,nan
1773086776.1625369,nan,nan,nan
1773086776.2624314,nan,nan,nan
1773086776.3624988,nan,nan,nan
1773086776.462454,nan,nan,nan
1773086776.5624402,nan,nan,nan
1773086776.6623545,nan,nan,nan
1773086776.7623758,nan,nan,nan
1773086776.8623343,nan,nan,nan
1773086776.9623597,nan,nan,nan
1773086777.062384,nan,nan,nan
1773086777.1623693,nan,nan,nan
1773086777.2623339,nan,nan,nan
1773086777.3627129,nan,nan,nan
1773086777.462334,nan,nan,nan
1773086777.5623324,nan,nan,nan
1773086777.6623657,nan,nan,nan
1773086777.7623413,nan,nan,nan
1773086777.8623626,nan,nan,nan
1773086777.962381,nan,nan,nan
1773086778.0628405,nan,nan,nan
1773086778.162362,nan,nan,nan
1773086778.2623453,nan,nan,nan
1773086778.3623023,nan,nan,nan
1773086778.4624245,nan,nan,nan
1773086778.562391,nan,nan,nan
1773086778.6623101,nan,nan,nan
1773086778.7623,nan,nan,nan
1773086778.8623545,nan,nan,nan
1773086778.9623418,nan,nan,nan
1773086779.0623474,nan,nan,nan
1773086779.1623425,nan,nan,nan
1773086779.2623112,nan,nan,nan
1773086779.362272,nan,nan,nan
1773086779.4622169,nan,nan,nan
1773086779.5622,nan,nan,nan
1773086779.6622424,nan,nan,nan
1773086779.7622495,nan,nan,nan
1773086779.8622437,nan,nan,nan
1773086779.9622023,nan,nan,nan
1773086780.0622907,nan,nan,nan
1773086780.1622045,nan,nan,nan
1773086780.2622566,nan,nan,nan
1773086780.3622518,nan,nan,nan
1773086780.462205,nan,nan,nan
1773086780.5622034,nan,nan,nan
1773086780.6622102,nan,nan,nan
1773086780.762207,nan,nan,nan
1773086780.8622053,nan,nan,nan
1773086780.9622085,nan,nan,nan
1773086781.0622058,nan,nan,nan
1773086781.1622622,nan,nan,nan
1773086781.2628496,nan,nan,nan
1773086781.362209,nan,nan,nan
1773086781.4622078,nan,nan,nan
1773086781.562223,nan,nan,nan
1773086781.6622057,nan,nan,nan
1773086781.7622056,nan,nan,nan
1773086781.862209,nan,nan,nan
1773086781.9622064,nan,nan,nan
1773086782.062845,nan,nan,nan
1773086782.1622007,nan,nan,nan
1773086782.2622726,nan,nan,nan
1773086782.3626091,nan,nan,nan
1773086782.4622562,nan,nan,nan
1773086782.562251,nan,nan,nan
1773086782.662237,nan,nan,nan
1773086782.7622955,nan,nan,nan
1773086782.862268,nan,nan,nan
1773086782.962276,nan,nan,nan
1773086783.062275,nan,nan,nan
1773086783.1622584,nan,nan,nan
1773086783.2622309,nan,nan,nan
1773086783.3625646,nan,nan,nan
1773086783.462274,nan,nan,nan
1773086783.5622218,nan,nan,nan
1773086783.6622562,nan,nan,nan
1773086783.7622619,nan,nan,nan
1773086783.8622396,nan,nan,nan
1773086783.9622505,nan,nan,nan
1773086784.0621538,nan,nan,nan
1773086784.1622546,nan,nan,nan
1773086784.2622502,nan,nan,nan
1773086784.362266,nan,nan,nan
1773086784.4622738,nan,nan,nan
1773086784.562222,nan,nan,nan
