Time,POSX,POSY,POSZ
1773086760.262666,-0.54,0.49,0.44
1773086760.3626852,-0.54,0.44,0.43
1773086760.4626775,-0.54,0.47,0.47
1773086760.5626712,-0.58,0.42,0.43
1773086760.6626499,-0.61,0.38,0.41
1773086760.7626183,-0.58,0.36,0.41
1773086760.8626297,-0.6,0.34,0.43
1773086760.9629009,-0.62,0.31,0.45
1773086761.0626247,-0.77,0.25,0.49
1773086761.162654,-0.76,0.25,0.52
1773086761.262622,-0.78,0.26,0.62
1773086761.3626268,-0.8,0.23,0.7
1773086761.4626582,-0.85,0.18,0.82
1773086761.5626235,-0.91,0.16,0.94
1773086761.6626139,-0.94,0.11,1.0
1773086761.7626376,-1.03,0.09,1.16
1773086761.8626206,-1.08,0.07,1.31
1773086761.9626265,-1.11,0.05,1.42
1773086762.0626209,-1.13,0.04,1.54
1773086762.1643398,-1.13,0.03,1.64
1773086762.2626078,-1.11,0.01,1.78
1773086762.3629773,-1.1,0.03,1.86
1773086762.462597,-1.1,0.04,1.93
1773086762.5626965,-1.12,-0.0,2.01
1773086762.6627123,-1.14,-0.05,2.07
1773086762.7627027,-1.14,-0.07,2.11
1773086762.8626902,-1.1,-0.07,2.14
1773086762.9627512,-1.12,-0.12,2.16
1773086763.0627012,-1.11,-0.14,2.16
1773086763.16268,-1.14,-0.19,2.17
1773086763.2626898,-1.14,-0.23,2.21
1773086763.362692,-1.15,-0.28,2.24
1773086763.4626884,-1.14,-0.3,2.22
1773086763.5636122,-1.13,-0.37,2.22
1773086763.6626775,-1.16,-0.45,2.22
1773086763.7626803,-1.2,-0.5,2.22
1773086763.8630202,-1.17,-0.56,2.22
1773086763.962715,-1.13,-0.6,2.2
1773086764.062741,-1.12,-0.65,2.22
1773086764.1627102,-1.14,-0.7,2.17
1773086764.2626688,-1.13,-0.74,2.14
1773086764.3626676,-1.13,-0.79,2.08
1773086764.462698,-1.11,-0.82,2.04
1773086764.5626736,-1.01,-0.84,2.02
1773086764.6634974,-1.0,-0.87,1.99
1773086764.7632685,-0.97,-0.9,1.96
1773086764.8626564,-0.92,-0.91,1.9
1773086764.9626791,-0.87,-0.94,1.85
1773086765.0626986,-0.7,-0.94,1.88
1773086765.1626945,-0.58,-0.98,1.96
1773086765.262622,-0.47,-0.99,2.03
1773086765.3627744,-0.33,-0.99,1.99
1773086765.462677,-0.22,-1.0,1.94
1773086765.5626926,-0.12,-1.01,1.92
1773086765.6627364,-0.06,-1.04,1.87
1773086765.7625592,0.06,-1.04,1.92
1773086765.8625674,0.17,-1.06,1.96
1773086765.9625244,0.25,-1.1,1.94
1773086766.062544,0.39,-1.1,2.01
1773086766.162538,0.51,-1.11,2.06
1773086766.2625515,0.6,-1.12,2.07
1773086766.3625252,0.69,-1.12,2.06
1773086766.4625673,0.78,-1.12,2.08
1773086766.5625253,0.81,-1.18,2.01
1773086766.6625326,0.86,-1.2,1.95
1773086766.7627554,0.94,-1.14,1.95
1773086766.8625176,1.0,-1.15,1.91
1773086766.9625154,1.04,-1.07,1.87
1773086767.0625358,1.12,-1.02,1.85
1773086767.1625066,1.19,-0.97,1.81
1773086767.2625291,1.25,-0.93,1.84
1773086767.3628445,1.3,-0.85,1.87
1773086767.4625647,1.35,-0.77,1.86
1773086767.562533,1.41,-0.7,1.84
1773086767.6625214,1.48,-0.64,1.85
1773086767.7625263,1.55,-0.52,1.83
1773086767.8625286,1.62,-0.43,1.84
1773086767.9625068,1.68,-0.31,1.78
1773086768.0625107,1.74,-0.25,1.83
1773086768.1625059,1.78,-0.12,1.77
1773086768.262513,1.76,-0.05,1.77
1773086768.3624117,1.77,0.03,1.77
1773086768.4624262,1.78,0.09,1.84
1773086768.56243,1.78,0.21,1.8
1773086768.6624446,1.81,0.34,1.71
1773086768.7624068,1.8,0.46,1.65
1773086768.8624601,1.77,0.5,1.73
1773086768.9624054,1.74,0.57,1.82
1773086769.0624163,1.7,0.65,1.87
1773086769.1624084,1.62,0.71,1.94
1773086769.2618864,nan,nan,nan
1773086769.3624108,1.49,0.93,1.7
1773086769.462385,1.45,1.0,1.77
1773086769.562444,1.38,1.13,1.66
1773086769.6623864,1.3,1.17,1.68
1773086769.762386,1.23,1.28,1.52
1773086769.86303,1.14,1.37,1.39
1773086769.9623816,1.07,1.36,1.51
1773086770.0624301,1.0,1.36,1.61
1773086770.1624112,0.92,1.38,1.67
1773086770.2623594,0.82,1.36,1.79
1773086770.3623674,0.74,1.38,1.81
1773086770.4623854,0.67,1.4,1.81
1773086770.5623808,0.62,1.44,1.79
1773086770.6623847,0.52,1.43,1.84
1773086770.7624187,0.42,1.42,1.88
1773086770.8623936,0.38,1.49,1.8
1773086770.9623828,0.3,1.5,1.77
1773086771.0623949,0.23,1.5,1.74
1773086771.1623936,0.12,1.52,1.72
1773086771.2623367,0.0,1.53,1.71
1773086771.3624637,-0.06,1.55,1.64
1773086771.462462,-0.17,1.54,1.66
1773086771.562481,-0.26,1.55,1.6
1773086771.6624587,-0.29,1.56,1.56
1773086771.7627695,-0.33,1.56,1.55
1773086771.8624415,-0.39,1.55,1.53
1773086771.9624598,-0.42,1.52,1.49
1773086772.0624366,-0.53,1.54,1.51
1773086772.1624322,-0.64,1.54,1.54
1773086772.2624354,-0.78,1.47,1.57
1773086772.3627663,-0.89,1.42,1.6
1773086772.462468,-0.94,1.39,1.62
1773086772.562425,-1.05,1.36,1.72
1773086772.662438,-1.13,1.31,1.78
1773086772.7624545,-1.17,1.24,1.83
1773086772.8624718,-1.2,1.14,1.85
1773086772.9624295,-1.24,1.04,1.87
1773086773.0624158,-1.28,0.97,1.88
1773086773.1624303,-1.33,0.88,1.91
1773086773.2624116,-1.34,0.79,1.93
1773086773.3624058,-1.32,0.67,2.02
1773086773.4624062,-1.37,0.58,2.02
1773086773.5624087,-1.4,0.49,2.01
1773086773.662391,-1.45,0.41,2.03
1773086773.7624142,-1.48,0.33,2.07
1773086773.8624227,-1.48,0.23,2.06
1773086773.9624271,-1.48,0.15,2.06
1773086774.0624118,-1.54,0.06,2.09
1773086774.1628408,-1.54,-0.05,2.1
1773086774.2625036,-1.52,-0.13,2.09
1773086774.362539,-1.52,-0.24,2.1
1773086774.4625094,-1.48,-0.34,2.15
1773086774.5624764,-1.51,-0.44,2.16
1773086774.6626334,-1.46,-0.52,2.14
1773086774.7624798,-1.42,-0.6,2.16
1773086774.8624828,-1.37,-0.66,2.17
1773086774.9625282,-1.33,-0.71,2.14
1773086775.0624914,-1.31,-0.77,2.13
1773086775.1624813,-1.24,-0.84,2.15
1773086775.26255,-1.19,-0.9,2.18
1773086775.3624737,-1.15,-0.94,2.14
1773086775.4624932,-1.06,-0.99,2.13
1773086775.5633147,-1.05,-1.0,2.05
1773086775.6624687,-1.02,-1.01,2.0
1773086775.762471,-0.93,-1.02,2.05
1773086775.8625052,-0.83,-1.03,2.04
1773086775.9624548,-0.71,-1.06,2.0
1773086776.0624797,-0.6,-1.06,1.99
1773086776.1625369,-0.48,-1.04,1.97
1773086776.2624314,-0.38,-1.02,1.94
1773086776.3624988,-0.28,-1.01,1.93
1773086776.462454,-0.2,-1.0,1.88
1773086776.5624402,-0.1,-1.02,1.86
1773086776.6623545,0.0,-1.03,1.89
1773086776.7623758,0.08,-1.07,1.86
1773086776.8623343,0.16,-1.1,1.85
1773086776.9623597,0.24,-1.13,1.83
1773086777.062384,0.4,-1.13,1.92
1773086777.1623693,0.45,-1.16,1.87
1773086777.2623339,0.51,-1.17,1.83
1773086777.3627129,0.64,-1.15,1.89
1773086777.462334,0.77,-1.12,1.93
1773086777.5623324,0.77,-1.07,1.87
1773086777.6623657,0.83,-1.05,1.84
1773086777.7623413,0.92,-1.09,1.81
1773086777.8623626,0.96,-1.05,1.77
1773086777.962381,1.01,-0.98,1.73
1773086778.0628405,1.11,-0.94,1.73
1773086778.162362,1.18,-0.91,1.69
1773086778.2623453,1.26,-0.88,1.74
1773086778.3623023,1.31,-0.83,1.74
1773086778.4624245,1.37,-0.77,1.75
1773086778.562391,1.41,-0.7,1.73
1773086778.6623101,1.46,-0.63,1.74
1773086778.7623,1.5,-0.57,1.74
1773086778.8623545,1.52,-0.48,1.77
1773086778.9623418,1.57,-0.38,1.75
1773086779.0623474,1.56,-0.29,1.8
1773086779.1623425,1.6,-0.2,1.78
1773086779.2623112,1.65,-0.14,1.82
1773086779.362272,1.71,-0.05,1.8
1773086779.4622169,1.73,0.0,1.86
1773086779.5622,1.77,0.1,1.83
1773086779.6622424,1.73,0.16,1.84
1773086779.7622495,1.72,0.25,1.83
1773086779.8622437,1.7,0.38,1.72
1773086779.9622023,1.68,0.49,1.63
1773086780.0622907,1.64,0.52,1.73
1773086780.1622045,1.59,0.56,1.82
1773086780.2622566,1.54,0.62,1.89
1773086780.3622518,1.49,0.71,1.88
1773086780.462205,1.41,0.76,1.9
1773086780.5622034,1.31,0.94,1.67
1773086780.6622102,1.26,1.09,1.56
1773086780.762207,1.17,1.19,1.51
1773086780.8622053,1.1,1.2,1.67
1773086780.9622085,1.03,1.21,1.77
1773086781.0622058,0.95,1.22,1.88
1773086781.1622622,0.91,1.28,1.85
1773086781.2628496,0.85,1.29,1.85
1773086781.362209,0.75,1.3,1.92
1773086781.4622078,0.68,1.33,1.89
1773086781.562223,0.59,1.39,1.82
1773086781.6622057,0.52,1.4,1.82
1773086781.7622056,0.43,1.39,1.85
1773086781.862209,0.33,1.4,1.86
1773086781.9622064,0.27,1.42,1.84
1773086782.062845,0.21,1.44,1.76
1773086782.1622007,0.11,1.41,1.77
1773086782.2622726,-0.01,1.43,1.74
1773086782.3626091,-0.04,1.43,1.65
1773086782.4622562,-0.07,1.43,1.56
1773086782.562251,-0.19,1.45,1.54
1773086782.662237,-0.26,1.42,1.51
1773086782.7622955,-0.37,1.46,1.57
1773086782.862268,-0.48,1.41,1.58
1773086782.962276,-0.55,1.48,1.55
1773086783.062275,-0.59,1.47,1.56
