Time,POSX,POSY,POSZ
1774557721.8416502,3.5834,-1.3861,0.8341
1774557721.8422637,3.5834,-1.386,0.8341
1774557721.842681,3.5834,-1.3861,0.8341
1774557721.8485677,3.5834,-1.3861,0.8341
1774557721.8517745,3.5834,-1.3861,0.8341
1774557721.8568363,3.5834,-1.3861,0.8341
1774557721.863235,3.5834,-1.3861,0.8341
1774557721.8689506,3.5834,-1.3861,0.8341
1774557721.8737419,3.5834,-1.3861,0.8341
1774557721.890312,3.5834,-1.3861,0.8341
1774557721.8947012,3.5834,-1.3861,0.8341
1774557721.8952396,3.5834,-1.3861,0.8341
1774557721.8973684,3.5834,-1.3861,0.8341
1774557721.9019895,3.5834,-1.3861,0.8341
1774557721.9152682,3.5834,-1.3861,0.8341
1774557721.9234731,3.5834,-1.3861,0.8341
1774557721.9301379,3.5834,-1.3861,0.8341
1774557721.9312823,3.5834,-1.3861,0.8341
1774557721.9317944,3.5834,-1.3861,0.8341
1774557721.9353387,3.5834,-1.3861,0.8341
1774557721.9874344,3.5834,-1.3861,0.8341
1774557721.9891453,3.5834,-1.3861,0.8341
1774557721.9902632,3.5834,-1.3861,0.8341
1774557721.991457,3.5834,-1.3861,0.8341
1774557721.9926136,3.5834,-1.3861,0.8341
1774557721.993764,3.5834,-1.3861,0.8341
1774557721.9949102,3.5834,-1.3861,0.8341
1774557721.9960525,3.5834,-1.3861,0.8341
1774557721.9972274,3.5834,-1.3861,0.8341
1774557722.0021904,3.5834,-1.3861,0.8341
1774557722.0051901,3.5834,-1.3861,0.8341
1774557722.0067432,3.5835,-1.3861,0.8341
1774557722.0091956,3.5834,-1.3861,0.8341
1774557722.016124,3.5834,-1.3861,0.8341
1774557722.0200274,3.5834,-1.3861,0.8341
1774557722.0358722,3.5834,-1.3861,0.8341
1774557722.0393965,3.5834,-1.3861,0.8341
1774557722.0403547,3.5834,-1.3861,0.8341
1774557722.0418491,3.5834,-1.3861,0.8341
1774557722.0498123,3.5834,-1.3861,0.8341
1774557722.0586882,3.5834,-1.3861,0.8341
1774557722.0595899,3.5834,-1.3861,0.8341
1774557722.064216,3.5834,-1.3861,0.8341
1774557722.07038,3.5834,-1.3861,0.8341
1774557722.075164,3.5834,-1.3861,0.8341
1774557722.089736,3.5834,-1.3861,0.8341
1774557722.1088855,3.5834,-1.3861,0.8341
1774557722.1105547,3.5834,-1.3861,0.8341
1774557722.1112037,3.5834,-1.3861,0.8341
1774557722.112648,3.5834,-1.3861,0.8341
1774557722.1131635,3.5834,-1.3861,0.8341
1774557722.114801,3.5834,-1.3861,0.8341
1774557722.126013,3.5834,-1.3861,0.8341
1774557722.1283064,3.5834,-1.3861,0.8341
1774557722.1312077,3.5834,-1.3861,0.8341
1774557722.1506407,3.5834,-1.3861,0.8341
1774557722.1527922,3.5834,-1.3861,0.8341
1774557722.153941,3.5834,-1.3861,0.8341
1774557722.1561925,3.5834,-1.3861,0.8341
1774557722.1758332,3.5834,-1.3861,0.8341
1774557722.2092354,3.5834,-1.3861,0.8341
1774557722.210075,3.5834,-1.3861,0.8341
1774557722.210834,3.5834,-1.3861,0.8341
1774557722.2115824,3.5834,-1.3861,0.8341
1774557722.212346,3.5834,-1.3861,0.8341
1774557722.2131324,3.5834,-1.3861,0.8341
1774557722.213994,3.5834,-1.3861,0.8341
1774557722.2147753,3.5834,-1.3861,0.8341
1774557722.2174385,3.5834,-1.3861,0.8341
1774557722.2213082,3.5834,-1.3861,0.8341
1774557722.2239087,3.5834,-1.3861,0.8341
1774557722.2290492,3.5834,-1.3861,0.8341
1774557722.2450917,3.5834,-1.3861,0.8341
1774557722.2461345,3.5835,-1.3861,0.8341
1774557722.247029,3.5834,-1.3861,0.8341
1774557722.2487552,3.5834,-1.3861,0.8341
1774557722.2533524,3.5834,-1.3861,0.8341
1774557722.259602,3.5835,-1.3861,0.8341
1774557722.2679706,3.5834,-1.3861,0.8341
1774557722.269218,3.5834,-1.3861,0.8341
1774557722.2906485,3.5834,-1.3861,0.8341
1774557722.291592,3.5834,-1.3861,0.8341
1774557722.292398,3.5834,-1.3861,0.8341
1774557722.3141036,3.5834,-1.3861,0.8341
1774557722.3207803,3.5834,-1.3861,0.8341
1774557722.3233988,3.5834,-1.3861,0.8341
1774557722.3300483,3.5834,-1.3861,0.8341
1774557722.3317966,3.5834,-1.3861,0.8341
1774557722.3336015,3.5834,-1.3861,0.8341
1774557722.3342397,3.5834,-1.3861,0.8341
1774557722.3356378,3.5834,-1.3861,0.8341
1774557722.337572,3.5834,-1.3861,0.8341
1774557722.3710206,3.5834,-1.3861,0.8341
1774557722.3726099,3.5835,-1.3861,0.8341
1774557722.3734689,3.5835,-1.3861,0.8341
1774557722.3860552,3.5834,-1.3861,0.8341
1774557722.3865495,3.5834,-1.3861,0.8341
1774557722.386975,3.5834,-1.3861,0.8341
1774557722.4016812,3.5834,-1.3861,0.8341
1774557722.402164,3.5834,-1.3861,0.8341
1774557722.4097862,3.5834,-1.3861,0.8341
1774557722.410239,3.5834,-1.3861,0.8341
1774557722.4106307,3.5834,-1.3861,0.8341
1774557722.411019,3.5834,-1.3861,0.8341
1774557722.4114099,3.5834,-1.3861,0.8341
1774557722.4126556,3.5834,-1.3861,0.8341
1774557722.4271839,3.5834,-1.3861,0.8341
1774557722.4306004,3.5835,-1.3861,0.8341
1774557722.4310827,3.5835,-1.3861,0.8341
1774557722.43718,3.5834,-1.3861,0.8341
1774557722.440566,3.5834,-1.3861,0.8341
1774557722.4462996,3.5834,-1.3861,0.8341
1774557722.4514158,3.5834,-1.3861,0.8341
1774557722.4570735,3.5834,-1.3861,0.8341
1774557722.4624243,3.5834,-1.3861,0.8341
1774557722.4684112,3.5834,-1.3861,0.8341
1774557722.4737349,3.5834,-1.3861,0.8341
1774557722.4793468,3.5834,-1.3861,0.8341
1774557722.485076,3.5834,-1.3861,0.8341
1774557722.4904845,3.5834,-1.3861,0.8341
1774557722.5579655,3.5834,-1.3861,0.8341
1774557722.5586777,3.5834,-1.3861,0.8341
1774557722.559309,3.5834,-1.3861,0.8341
1774557722.5599828,3.5834,-1.3861,0.8341
1774557722.5605779,3.5834,-1.3861,0.8341
1774557722.5612085,3.5834,-1.3861,0.8341
1774557722.5618584,3.5834,-1.3861,0.8341
1774557722.5624685,3.5834,-1.3861,0.8341
1774557722.5629842,3.5834,-1.3861,0.8341
1774557722.563387,3.5834,-1.3861,0.8341
1774557722.5637772,3.5834,-1.3861,0.8341
1774557722.564147,3.5834,-1.3861,0.8341
1774557722.564541,3.5834,-1.3861,0.8341
1774557722.5683067,3.5834,-1.3861,0.8341
1774557722.5739632,3.5834,-1.3861,0.8341
1774557722.5794911,3.5834,-1.3861,0.8341
1774557722.58712,3.5834,-1.3861,0.8341
1774557722.5909476,3.5834,-1.3861,0.8341
1774557722.6214004,3.5834,-1.3861,0.8341
1774557722.6225362,3.5834,-1.3861,0.8341
1774557722.630282,3.5834,-1.3861,0.8341
1774557722.6307948,3.5834,-1.3861,0.8341
1774557722.6315856,3.5834,-1.3861,0.8341
1774557722.6322641,3.5834,-1.3861,0.8341
1774557722.6376173,3.5834,-1.3861,0.8341
1774557722.638905,3.5834,-1.3861,0.8341
1774557722.6402397,3.5834,-1.3861,0.8341
1774557722.6469889,3.5834,-1.3861,0.8341
1774557722.651927,3.5835,-1.3861,0.8341
1774557722.672479,3.5835,-1.386,0.8341
1774557722.6741037,3.5834,-1.3861,0.8341
1774557722.6755087,3.5834,-1.3861,0.8341
1774557722.6765964,3.5834,-1.3861,0.8341
1774557722.6789503,3.5834,-1.3861,0.8341
1774557722.6853058,3.5834,-1.3861,0.8341
1774557722.6907196,3.5834,-1.3861,0.8341
1774557722.706312,3.5834,-1.3861,0.8341
1774557722.7119431,3.5834,-1.3861,0.8341
1774557722.712498,3.5835,-1.3861,0.8341
1774557722.7139006,3.5834,-1.3861,0.8341
1774557722.7402856,3.5834,-1.3861,0.8341
1774557722.740834,3.5834,-1.3861,0.8341
1774557722.7414324,3.5834,-1.3861,0.8341
1774557722.7421336,3.5834,-1.3861,0.8341
1774557722.7426941,3.5834,-1.3861,0.8341
1774557722.748626,3.5834,-1.3861,0.8341
1774557722.7530837,3.5834,-1.3861,0.8341
1774557722.757953,3.5834,-1.3861,0.8341
1774557722.764261,3.5834,-1.3861,0.8341
1774557722.7685685,3.5834,-1.3861,0.8341
1774557722.7737403,3.5834,-1.3861,0.8341
1774557722.7793138,3.5834,-1.3861,0.8341
1774557722.8131611,3.5834,-1.3861,0.8341
1774557722.8136551,3.5834,-1.3861,0.8341
1774557722.8140476,3.5834,-1.3861,0.8341
1774557722.8306668,3.5834,-1.3861,0.8341
1774557722.844073,3.5834,-1.3861,0.8341
1774557722.8522007,3.5834,-1.3861,0.8341
1774557722.8536973,3.5834,-1.3861,0.8341
1774557722.8545446,3.5834,-1.3861,0.8341
1774557722.905808,3.5834,-1.3861,0.8341
1774557722.907562,3.5834,-1.3861,0.8341
1774557722.9087083,3.5834,-1.3861,0.8341
1774557722.9098089,3.5835,-1.3861,0.8341
1774557722.910847,3.5834,-1.3861,0.8341
1774557722.9119568,3.5834,-1.3861,0.8341
1774557722.913047,3.5834,-1.3861,0.8341
1774557722.9141326,3.5834,-1.3861,0.8341
1774557722.9152548,3.5834,-1.3861,0.8341
1774557722.9163141,3.5834,-1.386,0.8341
1774557722.9174016,3.5834,-1.3861,0.8341
1774557722.9185317,3.5834,-1.3861,0.8341
1774557722.9195461,3.5834,-1.3861,0.8341
1774557722.9205668,3.5834,-1.3861,0.8341
1774557722.9214659,3.5834,-1.3861,0.8341
1774557722.9223278,3.5834,-1.3861,0.8341
1774557722.9231138,3.5834,-1.3861,0.8341
1774557722.9260542,3.5834,-1.3861,0.8341
1774557722.9428713,3.5834,-1.3861,0.8341
1774557722.9439075,3.5834,-1.3861,0.8341
1774557722.9496784,3.5834,-1.3861,0.8341
1774557722.950116,3.5834,-1.3861,0.8341
1774557722.9521332,3.5834,-1.3861,0.8341
1774557722.957999,3.5834,-1.3861,0.8341
1774557722.9623828,3.5835,-1.3861,0.8341
1774557722.9680762,3.5834,-1.3861,0.8341
1774557722.9739034,3.5834,-1.3861,0.8341
1774557722.9797587,3.5834,-1.3861,0.8341
1774557722.9845436,3.5834,-1.3861,0.8341
1774557722.990583,3.5834,-1.3861,0.8341
1774557722.9960377,3.5834,-1.3861,0.8341
1774557723.0022402,3.5834,-1.3861,0.8341
1774557723.0169404,3.5834,-1.3861,0.8341
1774557723.0206668,3.5834,-1.3861,0.8341
1774557723.0225296,3.5834,-1.3861,0.8341
1774557723.023867,3.5834,-1.3861,0.8341
1774557723.035006,3.5834,-1.3861,0.8341
1774557723.0416374,3.5834,-1.3861,0.8341
1774557723.0437407,3.5834,-1.3861,0.8341
1774557723.0513022,3.5834,-1.3861,0.8341
1774557723.0820475,3.5834,-1.3861,0.8341
1774557723.082516,3.5834,-1.3861,0.8341
1774557723.0829227,3.5834,-1.3861,0.8341
1774557723.0833108,3.5834,-1.3861,0.8341
1774557723.0837102,3.5834,-1.3861,0.8341
1774557723.0841055,3.5834,-1.3861,0.8341
1774557723.0890577,3.5834,-1.3861,0.8341
1774557723.0904055,3.5834,-1.3861,0.8341
1774557723.0959687,3.5834,-1.3861,0.8341
1774557723.103587,3.5834,-1.3861,0.8341
1774557723.1186588,3.5834,-1.3861,0.8341
1774557723.120637,3.5834,-1.386,0.8341
1774557723.1210515,3.5834,-1.3861,0.8341
1774557723.1237843,3.5834,-1.3861,0.8341
1774557723.131152,3.5834,-1.3861,0.8341
1774557723.143286,3.5834,-1.3861,0.8341
1774557723.144085,3.5834,-1.3861,0.8341
1774557723.146812,3.5834,-1.3861,0.8341
1774557723.1511383,3.5834,-1.3861,0.8341
1774557723.1571124,3.5834,-1.3861,0.8341
1774557723.165447,3.5834,-1.3861,0.8341
1774557723.168058,3.5834,-1.3861,0.8341
1774557723.173596,3.5834,-1.3861,0.8341
1774557723.1793444,3.5834,-1.3861,0.8341
1774557723.189809,3.5834,-1.3861,0.8341
1774557723.1969516,3.5834,-1.3861,0.8341
