Time,Raw_X,Raw_Y,Raw_Z,Filt_X,Filt_Y,Filt_Z
1775059695.105,-2.8700,0.5000,2.0200,-2.8700,0.5000,2.0200
1775059695.123,-3.0500,0.5100,2.0000,-2.8880,0.5010,2.0180
1775059695.138,-2.9400,0.5600,1.8900,-2.8932,0.5069,2.0052
1775059695.154,-2.9100,0.6300,1.8400,-2.8949,0.5192,1.9887
1775059695.263,-3.0600,0.6700,1.8600,-2.9114,0.5343,1.9758
1775059695.301,-3.0800,0.7400,1.8700,-2.9283,0.5549,1.9652
1775059695.327,-3.0900,0.8200,1.8700,-2.9444,0.5814,1.9557
1775059695.429,-3.1800,0.8800,1.8900,-2.9680,0.6112,1.9491
1775059695.454,-3.1500,0.9500,2.0100,-2.9862,0.6451,1.9552
1775059695.479,-3.1200,1.0200,2.0700,-2.9996,0.6826,1.9667
1775059695.503,-3.2700,1.0500,2.1200,-3.0266,0.7193,1.9820
1775059695.628,-3.2800,1.1700,2.1400,-3.0519,0.7644,1.9978
1775059695.681,-3.2200,1.2400,2.1100,-3.0688,0.8120,2.0090
1775059695.822,-3.1700,1.3200,2.0700,-3.0789,0.8628,2.0151
1775059695.855,-3.1800,1.3900,2.0400,-3.0890,0.9155,2.0176
1775059695.884,-3.1900,1.4700,2.0300,-3.0991,0.9709,2.0189
1775059695.996,-2.9600,1.5400,1.9800,-3.0852,1.0278,2.0150
1775059696.016,-2.8100,1.6000,2.0800,-3.0577,1.0851,2.0215
1775059696.035,-2.7000,1.6400,2.0200,-3.0219,1.1406,2.0213
1775059696.051,-2.6600,1.6300,2.0000,-2.9857,1.1895,2.0192
1775059696.068,-2.6200,1.6000,1.9800,-2.9491,1.2306,2.0153
1775059696.194,-2.5500,1.5700,1.9900,-2.9092,1.2645,2.0128
1775059696.250,-2.4600,1.5200,1.9500,-2.8643,1.2900,2.0065
1775059696.395,-2.3800,1.4800,1.9300,-2.8159,1.3090,1.9988
1775059696.445,-2.2800,1.4300,1.9600,-2.7623,1.3211,1.9949
1775059696.617,-2.2100,1.3700,1.9500,-2.7071,1.3260,1.9905
1775059696.654,-2.1900,1.2800,2.0000,-2.6554,1.3214,1.9914
1775059696.775,-2.2100,1.1900,1.9700,-2.6108,1.3083,1.9893
1775059696.845,-2.2600,1.1000,2.0700,-2.5757,1.2875,1.9973
1775059696.971,-2.3700,1.0100,2.0600,-2.5552,1.2597,2.0036
1775059697.042,-2.4200,0.9400,2.0100,-2.5416,1.2277,2.0042
1775059697.154,-2.5200,0.8800,2.0400,-2.5395,1.1930,2.0078
1775059697.322,-2.6200,0.8400,2.0400,-2.5475,1.1577,2.0110
1775059697.347,-2.5400,0.8400,1.9800,-2.5468,1.1259,2.0079
1775059697.526,-2.6300,0.8000,1.9400,-2.5551,1.0933,2.0011
1775059697.545,-2.6300,0.8200,1.9500,-2.5626,1.0660,1.9960
1775059697.716,-2.5600,0.8600,1.9300,-2.5623,1.0454,1.9894
1775059697.745,-2.7000,0.8600,2.0100,-2.5761,1.0268,1.9915
1775059697.896,-2.7100,0.9300,1.9600,-2.5895,1.0172,1.9883
1775059697.940,-2.7600,1.0000,1.9400,-2.6065,1.0154,1.9835
1775059698.087,-2.9200,1.0500,1.9600,-2.6379,1.0189,1.9812
1775059698.140,-2.8900,1.1200,2.0700,-2.6631,1.0290,1.9900
1775059698.279,-2.9200,1.1800,2.0100,-2.6888,1.0441,1.9920
1775059698.349,-3.0200,1.2500,2.0400,-2.7219,1.0647,1.9968
1775059698.459,-2.8900,1.3400,2.0200,-2.7387,1.0922,1.9991
1775059698.545,-2.7700,1.4200,2.0300,-2.7418,1.1250,2.0022
1775059698.653,-2.6300,1.4900,2.0200,-2.7307,1.1615,2.0040
1775059698.827,-2.7000,1.5200,2.0400,-2.7276,1.1974,2.0076
1775059698.848,-2.7200,1.5400,2.0700,-2.7268,1.2316,2.0138
1775059699.007,-2.6500,1.5600,2.0300,-2.7192,1.2645,2.0155
1775059699.049,-2.6100,1.5400,2.0900,-2.7082,1.2920,2.0229
1775059699.199,-2.5300,1.5400,2.1600,-2.6904,1.3168,2.0366
1775059699.245,-2.4000,1.5700,2.0900,-2.6614,1.3421,2.0420
1775059699.386,-2.3000,1.5900,2.0600,-2.6252,1.3669,2.0438
1775059699.451,-2.2400,1.5900,2.0400,-2.5867,1.3892,2.0434
1775059699.577,-2.1500,1.6000,2.0300,-2.5430,1.4103,2.0421
1775059699.649,-2.1000,1.6200,2.0500,-2.4987,1.4313,2.0428
1775059699.765,-2.0200,1.6100,2.1700,-2.4509,1.4491,2.0556
1775059699.846,-1.9900,1.5900,2.1000,-2.4048,1.4632,2.0600
1775059699.952,-1.9400,1.5700,2.0800,-2.3583,1.4739,2.0620
1775059700.129,-1.9000,1.5200,2.1100,-2.3125,1.4785,2.0668
1775059700.148,-1.8300,1.5100,2.0700,-2.2642,1.4817,2.0671
1775059700.325,-1.7900,1.4700,2.1500,-2.2168,1.4805,2.0754
1775059700.353,-1.7200,1.4600,2.1500,-2.1671,1.4784,2.0829
