Time,Raw_X,Raw_Y,Raw_Z,Filt_X,Filt_Y,Filt_Z
1775060323.793,-2.0400,1.7600,2.2100,-2.0400,1.7600,2.2100
1775060323.818,-2.0800,1.8500,2.2300,-2.0440,1.7690,2.2120
1775060323.834,-2.0100,1.9600,2.2000,-2.0406,1.7881,2.2108
1775060323.926,-2.0400,2.0400,2.1300,-2.0405,1.8133,2.2027
1775060323.954,-1.9900,2.1100,2.0900,-2.0355,1.8430,2.1914
1775060323.986,-1.9200,2.1600,2.0700,-2.0239,1.8747,2.1793
1775060324.014,-1.8900,2.1900,2.0500,-2.0105,1.9062,2.1664
1775060324.118,-1.9500,2.1800,2.1500,-2.0045,1.9336,2.1647
1775060324.144,-2.0100,2.1500,2.1200,-2.0050,1.9552,2.1603
1775060324.166,-2.0100,2.1100,2.1300,-2.0055,1.9707,2.1572
1775060324.190,-2.0000,2.0700,2.1600,-2.0050,1.9806,2.1575
1775060324.309,-2.0300,2.0000,2.2200,-2.0075,1.9826,2.1638
1775060324.369,-2.0100,1.9300,2.2000,-2.0077,1.9773,2.1674
1775060324.494,-1.9800,1.9300,2.1400,-2.0050,1.9726,2.1646
1775060324.544,-2.0100,1.8700,2.1900,-2.0055,1.9623,2.1672
1775060324.678,-2.0000,1.7900,2.1900,-2.0049,1.9451,2.1695
1775060324.750,-2.0100,1.7300,2.1300,-2.0054,1.9236,2.1655
1775060324.869,-1.9900,1.6800,2.0800,-2.0039,1.8992,2.1570
1775060324.966,-1.9800,1.6200,2.0100,-2.0015,1.8713,2.1423
1775060325.060,-1.9600,1.5700,1.9800,-1.9973,1.8412,2.1260
1775060325.212,-1.9300,1.5500,1.9400,-1.9906,1.8121,2.1074
1775060325.250,-1.9400,1.5000,2.0100,-1.9856,1.7808,2.0977
1775060325.402,-1.8700,1.5000,1.9800,-1.9740,1.7528,2.0859
1775060325.446,-1.8700,1.5000,1.9800,-1.9636,1.7275,2.0753
1775060325.592,-1.7700,1.5500,1.8500,-1.9442,1.7097,2.0528
1775060325.648,-1.6900,1.6300,1.6900,-1.9188,1.7018,2.0165
1775060325.785,-1.7600,1.7700,1.6900,-1.9029,1.7086,1.9839
1775060325.844,-1.9400,1.8800,1.8300,-1.9066,1.7257,1.9685
1775060325.985,-2.2700,2.0000,1.9400,-1.9430,1.7532,1.9656
1775060326.039,-2.5100,2.1300,1.9600,-1.9997,1.7908,1.9651
1775060326.176,-2.5100,2.1600,1.9200,-2.0507,1.8278,1.9606
1775060326.244,-2.5200,2.1600,1.9000,-2.0976,1.8610,1.9545
1775060326.374,-2.4700,2.1700,1.8400,-2.1349,1.8919,1.9431
1775060326.444,-2.5800,2.1700,1.9000,-2.1794,1.9197,1.9387
1775060326.565,-2.8200,2.1600,2.1300,-2.2434,1.9437,1.9579
1775060326.652,-2.7700,2.1800,2.0500,-2.2961,1.9674,1.9671
1775060326.755,-2.9300,2.1600,2.0700,-2.3595,1.9866,1.9774
1775060326.933,-2.9800,2.1300,2.0500,-2.4215,2.0010,1.9846
1775060326.955,-2.8500,2.2000,1.9300,-2.4644,2.0209,1.9792
1775060327.128,-2.8400,2.2600,1.9600,-2.5020,2.0448,1.9773
1775060327.155,-2.8200,2.3200,1.9700,-2.5338,2.0723,1.9765
1775060327.324,-2.7700,2.3900,1.9100,-2.5574,2.1041,1.9699
1775060327.348,-2.7400,2.4300,1.8400,-2.5756,2.1367,1.9569
1775060327.792,-2.6500,2.4700,1.7000,-2.5831,2.1700,1.9312
1775060327.832,-2.6600,2.4700,1.5900,-2.5908,2.2000,1.8971
1775060327.892,-2.6500,2.5000,1.6400,-2.5967,2.2300,1.8714
1775060328.090,-2.6500,2.5200,1.6200,-2.6020,2.2590,1.8462
