Time,Filt_X,Filt_Y,Filt_Z
1775074857.043,-1.1700,1.6600,1.9800
1775074857.458,-1.1690,1.6600,1.9800
1775074857.474,-1.1611,1.6630,1.9760
1775074857.504,-1.1560,1.6657,1.9704
1775074857.537,-1.1454,1.6691,1.9634
1775074857.661,-1.1389,1.6682,1.9620
1775074857.686,-1.1280,1.6674,1.9598
1775074857.799,-1.1202,1.6637,1.9648
1775074857.835,-1.1122,1.6563,1.9764
1775074857.978,-1.1049,1.6467,1.9787
1775074858.033,-1.0964,1.6380,1.9788
1775074858.161,-1.0908,1.6262,1.9750
1775074858.233,-1.0827,1.6126,1.9665
1775074858.377,-1.0664,1.6023,1.9618
1775074858.429,-1.0508,1.5911,1.9616
1775074858.617,-1.0347,1.5780,1.9685
1775074858.643,-1.0153,1.5662,1.9696
1775074858.806,-0.9937,1.5546,1.9677
1775074858.834,-0.9684,1.5431,1.9659
1775074858.993,-0.9325,1.5338,1.9613
1775074859.027,-0.8953,1.5234,1.9542
1775074859.190,-0.8547,1.5131,1.9588
1775074859.228,-0.8053,1.5028,1.9739
1775074859.379,-0.7467,1.4885,1.9925
1775074859.439,-0.6881,1.4716,2.0052
1775074859.563,-0.6303,1.4505,2.0127
1775074859.633,-0.5762,1.4254,2.0174
1775074859.758,-0.5226,1.3929,2.0287
1775074859.830,-0.4723,1.3546,2.0358
1775074859.943,-0.4271,1.3111,2.0373
1775074860.029,-0.3894,1.2660,2.0305
1775074860.145,-0.3565,1.2204,2.0185
1775074860.229,-0.3288,1.1754,2.0106
1775074860.332,-0.3039,1.1338,2.0086
1775074860.499,-0.2765,1.0945,2.0077
1775074860.528,-0.2499,1.0610,2.0019
1775074860.679,-0.2249,1.0359,1.9927
1775074860.729,-0.1994,1.0183,1.9865
1775074860.874,-0.1755,1.0115,1.9848
1775074860.928,-0.1409,1.0093,1.9783
1775074861.052,-0.1148,1.0164,1.9805
1775074861.128,-0.1013,1.0348,1.9865
1775074861.242,-0.1012,1.0613,1.9878
1775074861.329,-0.1181,1.0932,1.9830
1775074861.437,-0.1503,1.1268,1.9737
1775074861.613,-0.2013,1.1562,1.9664
1775074861.640,-0.2601,1.1795,1.9587
1775074861.797,-0.3221,1.1966,1.9498
1775074861.833,-0.3839,1.2049,1.9439
1775074861.989,-0.4435,1.2054,1.9345
1775074862.028,-0.5222,1.2089,1.9350
1775074862.175,-0.5909,1.2040,1.9355
1775074862.236,-0.6539,1.1936,1.9360
1775074862.356,-0.7145,1.1842,1.9324
1775074862.428,-0.7660,1.1718,1.9241
1775074862.550,-0.8174,1.1546,1.9137
1775074862.635,-0.8737,1.1312,1.9054
1775074862.742,-0.9333,1.1031,1.9008
1775074862.910,-0.9800,1.0778,1.9027
1775074862.935,-1.0120,1.0540,1.9005
1775074863.097,-1.0348,1.0336,1.8954
1775074863.128,-1.0553,1.0172,1.8909
1775074863.295,-1.0698,1.0025,1.8838
1775074863.329,-1.0858,0.9922,1.8764
1775074863.479,-1.1032,0.9860,1.8688
1775074863.529,-1.1239,0.9814,1.8739
1775074863.678,-1.1505,0.9763,1.8805
1775074863.730,-1.1785,0.9737,1.8935
1775074863.857,-1.2136,0.9703,1.9011
1775074863.929,-1.2502,0.9683,1.9150
1775074864.049,-1.2852,0.9684,1.9245
1775074864.133,-1.3147,0.9726,1.9360
1775074864.248,-1.3422,0.9813,1.9414
1775074864.328,-1.3700,0.9902,1.9553
1775074864.430,-1.3980,0.9992,1.9598
1775074864.654,-1.4232,1.0113,1.9598
1775074865.459,-1.4499,1.0251,1.9598
1775074865.671,-1.4799,1.0406,1.9588
1775074865.697,-1.5269,1.0586,1.9569
1775074865.750,-1.5732,1.0827,1.9573
1775074865.930,-1.6269,1.1114,1.9555
1775074865.970,-1.6892,1.1443,1.9570
1775074866.010,-1.7533,1.1789,1.9683
1775074866.117,-1.8220,1.2140,1.9784
1775074866.146,-1.8888,1.2496,1.9816
1775074866.170,-1.9569,1.2836,1.9874
1775074866.195,-2.0272,1.3183,1.9977
1775074866.299,-2.0965,1.3524,2.0059
1775074866.326,-2.1698,1.3862,2.0183
1775074866.361,-2.2398,1.4186,2.0355
1775074866.473,-2.3059,1.4487,2.0450
1775074866.506,-2.3693,1.4788,2.0475
1775074866.534,-2.4293,1.5070,2.0507
1775074866.562,-2.4784,1.5333,2.0356
1775074866.671,-2.5266,1.5569,2.0121
1775074866.687,-2.5879,1.5802,1.9969
1775074866.705,-2.6481,1.6032,1.9832
1775074866.728,-2.7023,1.6259,1.9659
1775074866.857,-2.7541,1.6473,1.9553
1775074866.934,-2.8057,1.6676,1.9427
1775074867.063,-2.8661,1.6938,1.9345
1775074867.128,-2.9325,1.7234,1.9320
1775074867.255,-2.9832,1.7491,1.9108
1775074867.333,-3.0309,1.7762,1.8997
1775074867.465,-3.0608,1.7976,1.8698
1775074867.529,-3.0827,1.8188,1.8248
1775074867.643,-3.0925,1.8359,1.7683
1775074867.730,-3.0912,1.8543,1.6995
1775074867.849,-3.0901,1.8759,1.6405
1775074867.935,-3.0741,1.8933,1.5695
1775074868.045,-3.0627,1.9130,1.5135
