Time,POSX,POSY,POSZ
1775677204.4949222,-1.75,1.23,0.47
1775677204.5954833,-1.74,1.22,0.48
1775677204.6916535,-1.7302,1.22,0.48
1775677204.8019793,-1.7199,1.2114,0.48
1775677204.8951316,-1.7173,1.216,0.473
1775677204.9915822,-1.7225,1.2181,0.4701
1775677205.1041536,-1.731,1.2191,0.4743
1775677205.1918786,-1.7255,1.2197,0.4717
1775677205.291548,-1.713,1.22,0.4748
1775677205.4159586,-1.7094,1.2202,0.4769
1775677205.4928064,-1.7082,1.2161,0.474
1775677205.5949097,-1.711,1.2135,0.4721
1775677205.70902,-1.7169,1.2117,0.4708
1775677205.7921774,-1.7174,1.2106,0.4738
1775677205.8983624,-1.725,1.2062,0.4722
1775677206.0472646,-1.723,1.2027,0.4709
1775677206.0936074,-1.7184,1.2048,0.467
1775677206.2109892,-1.7184,1.2057,0.4674
1775677206.2951372,-1.7186,1.2067,0.4679
1775677206.405776,-1.7152,1.2107,0.4716
1775677206.496998,-1.7197,1.2136,0.4709
1775677206.6309843,-1.723,1.2158,0.4668
1775677206.7074275,-1.7287,1.2173,0.4676
1775677207.0035226,-1.7425,1.2147,0.4719
1775677207.0685422,-1.7423,1.2093,0.4785
1775677207.3466036,-1.7479,1.2046,0.4842
1775677207.3792145,-1.749,1.2028,0.4829
1775677207.6830676,-1.7565,1.2042,0.4791
1775677208.2619445,-1.7578,1.2059,0.4804
1775677208.4613624,-1.7465,1.2075,0.4805
1775677208.5187995,-1.7442,1.2047,0.4804
1775677208.6635535,-1.7464,1.1993,0.4805
1775677208.728911,-1.7412,1.1993,0.4804
1775677208.757269,-1.7439,1.2024,0.4773
1775677208.9251509,-1.7364,1.2045,0.4718
1775677208.937283,-1.7315,1.2061,0.4683
1775677208.9466317,-1.7281,1.2072,0.4716
1775677208.9663186,-1.7286,1.2108,0.4739
1775677208.9882345,-1.7177,1.2134,0.4728
1775677208.9995992,-1.7155,1.2124,0.472
1775677209.1186297,-1.7131,1.2118,0.4712
1775677209.134689,-1.7149,1.2113,0.4708
1775677209.15018,-1.7302,1.2109,0.4734
1775677209.1646554,-1.7412,1.2107,0.4752
1775677209.1748765,-1.7574,1.2105,0.4792
1775677209.1853518,-1.7526,1.2104,0.4794
1775677209.2979412,-1.7405,1.2132,0.4767
1775677209.3133807,-1.7317,1.2151,0.469
1775677209.3257482,-1.7284,1.2137,0.4665
1775677209.3946655,-1.7254,1.2127,0.4642
1775677209.4958189,-1.7259,1.212,0.4623
1775677209.7025545,-1.726,1.2113,0.464
1775677209.7140064,-1.7207,1.2109,0.4659
1775677209.9126067,-1.7265,1.2105,0.4671
1775677209.942297,-1.7276,1.2103,0.4714
1775677209.999326,-1.7282,1.2134,0.4743
1775677210.1428537,-1.7286,1.2158,0.4732
1775677210.1998353,-1.729,1.214,0.4756
1775677210.4002874,-1.733,1.209,0.4816
1775677210.447287,-1.7354,1.2092,0.4813
1775677210.5997255,-1.7196,1.2128,0.4853
1775677210.6229632,-1.7164,1.2151,0.487
1775677210.6946616,-1.7074,1.2168,0.4854
1775677210.7981822,-1.7102,1.218,0.4876
1775677211.0043497,-1.7083,1.2193,0.4826
1775677211.0173092,-1.712,1.2196,0.4818
1775677211.0959163,-1.7044,1.2199,0.4751
1775677211.204437,-1.7018,1.2203,0.4701
1775677211.4024107,-1.6954,1.2208,0.4621
1775677211.4185238,-1.6935,1.2238,0.4613
1775677211.4957318,-1.6977,1.2229,0.4603
1775677211.637547,-1.7037,1.219,0.4625
1775677211.6974657,-1.7053,1.2162,0.4613
1775677211.8228743,-1.7063,1.2141,0.4601
1775677211.8934078,-1.7136,1.2159,0.4564
1775677212.0210688,-1.7158,1.2172,0.4533
1775677212.0946395,-1.7139,1.2181,0.4516
1775677212.2152665,-1.7126,1.2188,0.45
1775677212.295563,-1.7084,1.2193,0.4526
1775677212.3961527,-1.7021,1.2164,0.4543
1775677212.5575855,-1.7004,1.214,0.4554
1775677212.5942035,-1.7033,1.2127,0.4568
1775677212.7363195,-1.7049,1.2148,0.4574
1775677212.7937803,-1.7096,1.2165,0.4581
1775677212.8999953,-1.7129,1.2176,0.4585
1775677212.99328,-1.7055,1.2184,0.4588
1775677213.0953197,-1.7001,1.2158,0.459
1775677213.2693646,-1.7028,1.2172,0.4628
1775677213.2949767,-1.7115,1.2181,0.4651
1775677213.4723346,-1.7217,1.2189,0.4672
1775677213.4964721,-1.7213,1.2161,0.465
1775677213.6555054,-1.7219,1.2174,0.4636
1775677213.6933014,-1.7215,1.2182,0.4657
1775677213.841088,-1.7286,1.2156,0.4674
1775677213.893922,-1.7231,1.2138,0.4652
1775677214.0252655,-1.7195,1.2123,0.467
1775677214.0953221,-1.7231,1.2114,0.4713
1775677214.1927576,-1.7291,1.2107,0.4746
1775677214.3271282,-1.7372,1.2067,0.4738
1775677214.3938534,-1.7454,1.2075,0.4761
1775677214.49464,-1.7451,1.2079,0.4779
1775677214.6521506,-1.7384,1.2081,0.4761
1775677214.693842,-1.7295,1.2119,0.4743
1775677214.8308907,-1.7267,1.2111,0.4733
1775677214.8945484,-1.7311,1.2107,0.4756
1775677214.995564,-1.7311,1.2103,0.4741
1775677215.1476908,-1.7277,1.2135,0.4695
1775677215.195176,-1.7285,1.2156,0.4664
1775677215.2977803,-1.7422,1.2172,0.4674
1775677215.394015,-1.739,1.2183,0.4681
1775677215.4922395,-1.7399,1.2191,0.4653
1775677215.5949993,-1.7372,1.2197,0.46
1775677215.7382398,-1.7353,1.2202,0.4559
1775677215.7975583,-1.7304,1.2171,0.4568
1775677215.8942504,-1.7303,1.2149,0.4606
1775677216.036898,-1.7198,1.2132,0.4633
1775677216.09643,-1.7195,1.2121,0.4654
1775677216.2441523,-1.7189,1.2146,0.4669
1775677216.2936513,-1.719,1.2163,0.4679
1775677216.411885,-1.722,1.2143,0.472
1775677216.4931874,-1.7341,1.2129,0.4781
1775677216.5952349,-1.7429,1.2119,0.476
1775677216.7499418,-1.7395,1.2075,0.4781
1775677216.7939417,-1.7302,1.2049,0.4789
1775677216.93423,-1.7335,1.206,0.48
1775677216.9936576,-1.7292,1.2071,0.4738
1775677217.119595,-1.7127,1.2077,0.4694
1775677217.1979556,-1.7078,1.2082,0.4728
1775677217.3371084,-1.7105,1.2052,0.4754
1775677217.3959155,-1.7066,1.2033,0.4771
1775677217.5173604,-1.7098,1.205,0.4717
1775677217.5970707,-1.7093,1.2097,0.4679
1775677217.7166402,-1.7053,1.2131,0.465
1775677217.7960196,-1.7062,1.2155,0.4631
1775677217.895898,-1.7067,1.2172,0.4617
1775677218.089035,-1.7066,1.2225,0.4566
1775677218.113169,-1.7173,1.2251,0.4608
1775677218.2833526,-1.7182,1.2244,0.4598
1775677218.2940793,-1.7188,1.2231,0.4598
1775677218.4392705,-1.7192,1.2228,0.4592
1775677218.4935977,-1.7132,1.219,0.4592
1775677218.606809,-1.7119,1.2163,0.459
1775677218.6948004,-1.7045,1.2143,0.459
1775677218.8007767,-1.6991,1.2162,0.4589
1775677218.9891257,-1.7015,1.2177,0.4587
1775677219.0143077,-1.6976,1.2185,0.4591
1775677219.1830454,-1.6902,1.2193,0.4625
1775677219.198222,-1.6963,1.2164,0.468
1775677219.371566,-1.7031,1.2143,0.4725
1775677219.3943985,-1.7115,1.2129,0.4718
1775677219.5539923,-1.7146,1.2152,0.4718
1775677219.5947592,-1.7227,1.2135,0.4714
