Time,POSX,POSY,POSZ
1776174213.362954,-1.36,0.52,0.78
1776174213.4606345,-1.35,0.53,0.75
1776174213.5577788,-1.36,0.54,0.75
1776174213.714752,-1.34,0.54,0.76
1776174213.7578614,-1.34,0.54,0.76
1776174213.8940754,-1.32,0.55,0.75
1776174213.9614537,-1.32,0.54,0.74
1776174214.0720491,-1.33,0.54,0.72
1776174214.1562169,-1.34,0.54,0.72
1776174214.266852,-1.33,0.53,0.72
1776174214.4643052,-1.34,0.53,0.73
1776174214.4755304,-1.33,0.54,0.74
1776174214.5559006,-1.34,0.54,0.74
1776174214.661408,-1.33,0.54,0.75
1776174214.835876,-1.34,0.54,0.75
1776174214.85624,-1.32,0.54,0.75
1776174215.001924,-1.32,0.54,0.73
1776174215.0555644,-1.31,0.55,0.74
1776174215.1847992,-1.3,0.54,0.76
1776174215.2639208,-1.35,0.53,0.76
1776174215.3647664,-1.32,0.54,0.75
1776174215.5239654,-1.3,0.54,0.74
1776174215.5609148,-1.28,0.55,0.73
1776174215.7087052,-1.28,0.55,0.74
1776174215.7558823,-1.28,0.55,0.75
1776174215.8898916,-1.3,0.55,0.75
1776174215.9594765,-1.33,0.55,0.75
1776174216.0658891,-1.36,0.53,0.75
1776174216.1616325,-1.39,0.53,0.75
1776174216.257439,-1.4,0.52,0.76
1776174216.4240532,-1.38,0.53,0.76
1776174216.45615,-1.37,0.53,0.75
1776174216.6024156,-1.36,0.53,0.75
1776174216.6557555,-1.38,0.53,0.75
1776174216.781253,-1.39,0.52,0.76
1776174216.8604448,-1.36,0.53,0.75
1776174216.9625695,-1.33,0.53,0.74
1776174217.0626612,-1.35,0.53,0.74
1776174217.157019,-1.35,0.53,0.75
