Time,Filt_X,Filt_Y,Filt_Z
1776190279.710,0.9200,0.2200,0.6500
1776190288.204,0.8443,0.2368,0.6079
1776190288.240,0.8363,0.2386,0.6089
1776190288.649,0.8564,0.2347,0.6281
1776190288.663,0.8862,0.2324,0.6436
1776190288.741,0.9133,0.2311,0.6575
1776190288.883,0.9061,0.2303,0.6656
1776190288.940,0.8967,0.2346,0.6655
1776190289.097,0.8908,0.2371,0.6513
1776190289.138,0.8780,0.2386,0.6427
1776190289.323,0.8748,0.2395,0.6329
1776190289.341,0.8683,0.2445,0.6179
1776190289.552,0.8599,0.2475,0.6180
1776190289.568,0.8594,0.2492,0.6136
1776190289.641,0.8501,0.2502,0.6021
1776190289.787,0.8401,0.2553,0.5997
1776190289.842,0.8477,0.2582,0.5985
1776190290.013,0.8612,0.2599,0.6023
1776190290.042,0.8784,0.2564,0.6136
1776190290.236,0.8977,0.2497,0.6250
1776190290.252,0.9136,0.2412,0.6363
1776190290.445,0.9276,0.2361,0.6476
1776190290.460,0.9358,0.2330,0.6587
1776190290.645,0.9316,0.2356,0.6654
1776190290.659,0.9288,0.2328,0.6648
1776190290.740,0.9314,0.2311,0.6554
1776190290.860,0.9284,0.2301,0.6451
1776190290.941,0.9175,0.2296,0.6344
1776190291.065,0.9063,0.2338,0.6235
1776190291.142,0.8950,0.2363,0.6169
1776190291.297,0.8793,0.2423,0.6130
1776190291.342,0.8655,0.2459,0.6063
1776190291.534,0.8616,0.2481,0.6112
1776190291.551,0.8594,0.2449,0.6231
1776190291.756,0.8582,0.2430,0.6304
1776190291.772,0.8576,0.2418,0.6392
1776190291.840,0.8573,0.2410,0.6401
1776190291.980,0.8617,0.2362,0.6406
1776190292.043,0.8645,0.2377,0.6453
1776190292.219,0.8840,0.2341,0.6481
1776190292.240,0.8958,0.2365,0.6452
1776190292.434,0.8851,0.2379,0.6479
1776190292.453,0.8964,0.2388,0.6539
1776190292.664,0.8854,0.2437,0.6530
1776190292.676,0.8787,0.2512,0.6480
1776190292.743,0.8614,0.2512,0.6405
1776190292.888,0.8598,0.2556,0.6403
1776190292.940,0.8501,0.2538,0.6358
1776190293.108,0.8443,0.2526,0.6331
1776190293.139,0.8276,0.2519,0.6270
1776190293.326,0.8354,0.2470,0.6189
1776190293.340,0.8536,0.2440,0.6141
1776190293.560,0.8736,0.2422,0.6246
1776190293.572,0.8946,0.2411,0.6310
1776190293.640,0.9161,0.2404,0.6526
1776190293.776,0.9156,0.2400,0.6657
1776190293.842,0.9284,0.2354,0.6824
1776190293.985,0.9404,0.2326,0.6879
1776190294.041,0.9342,0.2354,0.6821
1776190294.203,0.9301,0.2371,0.6696
1776190294.239,0.9275,0.2382,0.6530
1776190294.415,0.9169,0.2344,0.6429
1776190294.441,0.9015,0.2366,0.6324
1776190294.628,0.8744,0.2379,0.6172
1776190294.651,0.8447,0.2387,0.6037
1776190294.866,0.8358,0.2437,0.5957
1776190294.878,0.8217,0.2511,0.5910
1776190294.942,0.8135,0.2511,0.5928
1776190295.079,0.8176,0.2467,0.5985
1776190295.142,0.8248,0.2439,0.6065
1776190295.317,0.8339,0.2378,0.6115
1776190295.342,0.8483,0.2297,0.6190
1776190295.533,0.8661,0.2248,0.6325
1776190295.548,0.8902,0.2219,0.6406
1776190295.755,0.9002,0.2247,0.6455
1776190295.772,0.9195,0.2264,0.6484
1776190295.840,0.9221,0.2319,0.6456
1776190295.974,0.9235,0.2398,0.6394
1776190296.041,0.9286,0.2401,0.6356
1776190296.202,0.9226,0.2402,0.6333
1776190296.241,0.9232,0.2447,0.6275
1776190296.421,0.9145,0.2474,0.6195
1776190296.442,0.9003,0.2446,0.6147
1776190296.646,0.8650,0.2473,0.6074
1776190296.667,0.8437,0.2489,0.6031
1776190296.845,0.8443,0.2454,0.6006
1776190296.861,0.8404,0.2432,0.6080
1776190296.941,0.8382,0.2375,0.6126
1776190297.066,0.8637,0.2296,0.6243
1776190297.142,0.8881,0.2248,0.6359
1776190297.267,0.8984,0.2220,0.6472
1776190297.340,0.9046,0.2203,0.6496
1776190297.496,0.9038,0.2194,0.6509
1776190297.540,0.8810,0.2278,0.6428
1776190297.719,0.8627,0.2329,0.6377
1776190297.743,0.8428,0.2360,0.6347
1776190297.956,0.8398,0.2379,0.6283
1776190297.971,0.8426,0.2435,0.6245
1776190298.040,0.8533,0.2468,0.6178
1776190298.171,0.8554,0.2488,0.6093
1776190298.241,0.8523,0.2543,0.6042
1776190298.384,0.8416,0.2532,0.6013
1776190298.442,0.8441,0.2525,0.6040
1776190298.608,0.8546,0.2475,0.6146
1776190298.644,0.8566,0.2445,0.6256
1776190298.822,0.8800,0.2427,0.6455
1776190298.842,0.8986,0.2371,0.6575
1776190299.039,0.8964,0.2337,0.6602
1776190299.054,0.8994,0.2317,0.6705
1776190299.264,0.8878,0.2350,0.6678
1776190299.279,0.8673,0.2370,0.6571
1776190299.339,0.8505,0.2426,0.6505
1776190299.494,0.8448,0.2461,0.6376
1776190299.569,0.8548,0.2481,0.6386
1776190300.757,0.8653,0.2493,0.6392
1776190300.814,0.8673,0.2500,0.6307
1776190301.025,0.8552,0.2504,0.6256
1776190301.042,0.8390,0.2506,0.6270
1776190301.064,0.8204,0.2551,0.6190
1776190301.077,0.8271,0.2578,0.6186
1776190301.094,0.8401,0.2550,0.6274
1776190301.110,0.8437,0.2532,0.6327
1776190301.259,0.8504,0.2521,0.6359
1776190301.274,0.8722,0.2470,0.6468
1776190301.300,0.8987,0.2394,0.6622
1776190301.317,0.9190,0.2349,0.6714
1776190301.332,0.9267,0.2321,0.6724
1776190301.350,0.9133,0.2350,0.6596
1776190301.505,0.9094,0.2368,0.6472
1776190301.521,0.9114,0.2379,0.6398
1776190301.540,0.8946,0.2430,0.6397
1776190301.561,0.8844,0.2506,0.6352
1776190301.582,0.8782,0.2507,0.6281
1776190301.737,0.8655,0.2552,0.6238
1776190301.759,0.8535,0.2578,0.6213
1776190301.779,0.8374,0.2594,0.6199
1776190301.975,0.8367,0.2603,0.6235
1776190301.990,0.8453,0.2563,0.6302
1776190302.044,0.8506,0.2539,0.6432
1776190302.222,0.8539,0.2480,0.6510
1776190302.245,0.8738,0.2399,0.6601
1776190302.468,0.8858,0.2306,0.6612
1776190302.489,0.8885,0.2251,0.6661
1776190302.542,0.8946,0.2218,0.6690
1776190302.717,0.9026,0.2199,0.6618
1776190302.742,0.9073,0.2189,0.6529
1776190302.972,0.8923,0.2228,0.6386
1776190302.989,0.8742,0.2296,0.6211
1776190303.042,0.8677,0.2339,0.6105
1776190303.231,0.8638,0.2364,0.6043
1776190303.248,0.8659,0.2380,0.5918
1776190303.466,0.8584,0.2389,0.5888
1776190303.484,0.8539,0.2439,0.5872
1776190303.541,0.8423,0.2425,0.5864
1776190303.699,0.8443,0.2372,0.5906
1776190303.745,0.8545,0.2339,0.6065
1776190303.945,0.8519,0.2364,0.6118
1776190303.963,0.8637,0.2380,0.6195
1776190304.172,0.8753,0.2344,0.6331
