Time,POSX,POSY,POSZ
1779984616.0478055,-0.2941,0.067,0.0535
1779984616.0533054,-0.2941,0.067,0.0535
1779984616.0589647,-0.2942,0.067,0.0535
1779984616.0644648,-0.2942,0.067,0.0535
1779984616.0700488,-0.2942,0.067,0.0535
1779984616.0755215,-0.2942,0.067,0.0535
1779984616.0808349,-0.2942,0.067,0.0535
1779984616.086889,-0.2941,0.067,0.0535
1779984616.0922313,-0.2941,0.067,0.0535
1779984616.097702,-0.2941,0.067,0.0535
1779984616.1029737,-0.2941,0.067,0.0535
1779984616.109529,-0.2941,0.067,0.0535
1779984616.1146424,-0.2942,0.067,0.0535
1779984616.1200092,-0.2942,0.067,0.0535
1779984616.125627,-0.2942,0.067,0.0535
1779984616.1307197,-0.2942,0.067,0.0535
1779984616.1426473,-0.2941,0.067,0.0535
1779984616.143185,-0.2941,0.067,0.0535
1779984616.1487937,-0.2941,0.067,0.0535
1779984616.1734324,-0.2941,0.067,0.0535
1779984616.173894,-0.2941,0.067,0.0535
1779984616.174237,-0.2941,0.067,0.0535
1779984616.1745756,-0.2942,0.067,0.0535
1779984616.175751,-0.2942,0.067,0.0535
1779984616.1811576,-0.2941,0.067,0.0535
1779984616.186526,-0.2941,0.067,0.0535
1779984616.1927583,-0.2941,0.067,0.0535
1779984616.198248,-0.2941,0.067,0.0535
1779984616.2037332,-0.2941,0.067,0.0536
1779984616.2087512,-0.2941,0.067,0.0535
1779984616.2143903,-0.2941,0.067,0.0535
1779984616.2198606,-0.2942,0.067,0.0535
1779984616.2253463,-0.2942,0.067,0.0535
1779984616.2314746,-0.2941,0.067,0.0535
1779984616.2365127,-0.2941,0.067,0.0535
1779984616.241669,-0.2941,0.067,0.0535
1779984616.2472842,-0.2941,0.067,0.0535
1779984616.2537546,-0.2941,0.067,0.0535
1779984616.2588823,-0.2941,0.067,0.0535
1779984616.2643907,-0.2942,0.067,0.0535
1779984616.269719,-0.2942,0.067,0.0535
1779984616.2845628,-0.2942,0.067,0.0535
1779984616.285688,-0.2942,0.067,0.0535
1779984616.2871377,-0.2942,0.067,0.0535
1779984616.2927883,-0.2941,0.067,0.0535
1779984616.2975264,-0.2941,0.0669,0.0536
1779984616.3039618,-0.2941,0.067,0.0535
1779984616.3085892,-0.2941,0.067,0.0535
1779984616.3145542,-0.2942,0.067,0.0535
