Time,Filt_X,Filt_Y,Filt_Z
1780084641.620,4.5763,3.3508,1.6692
1780084650.116,4.6677,3.3135,1.5293
1780084650.183,4.6813,3.3193,1.5447
1780084650.276,4.6659,3.3279,1.5535
1780084650.379,4.6447,3.3442,1.5360
1780084650.478,4.6215,3.3644,1.5340
1780084650.577,4.6093,3.3917,1.5237
1780084650.677,4.5982,3.4057,1.5032
1780084650.782,4.5823,3.4175,1.5002
1780084650.877,4.5800,3.4116,1.4805
1780084650.976,4.5800,3.4013,1.4639
1780084651.077,4.5866,3.3944,1.4497
1780084651.176,4.5912,3.3953,1.4372
1780084651.277,4.5890,3.4011,1.4444
1780084651.378,4.5932,3.4097,1.5110
1780084651.482,4.5959,3.4144,1.5417
1780084651.577,4.5921,3.4166,1.5515
1780084651.677,4.5953,3.4174,1.5517
1780084651.777,4.5972,3.4175,1.5502
1780084651.877,4.5928,3.4172,1.5295
1780084651.977,4.5848,3.4167,1.5196
1780084652.077,4.5749,3.4163,1.5177
1780084652.177,4.5802,3.4159,1.5583
1780084660.514,4.5838,3.4102,1.5434
1780084660.853,4.5753,3.4231,1.5512
1780084660.922,4.5705,3.4252,1.5932
1780084660.945,4.5734,3.4154,1.5692
1780084660.971,4.6239,3.3502,1.5751
1780084660.994,4.6341,3.3140,1.6508
1780084661.000,4.6223,3.2899,1.7004
1780084661.004,4.6119,3.2784,1.7323
1780084661.008,4.6022,3.2771,1.7482
1780084661.014,4.5942,3.2812,1.7570
1780084661.018,4.5951,3.2853,1.7551
1780084661.020,4.5959,3.2862,1.7512
1780084661.098,4.6020,3.2902,1.7467
1780084661.105,4.6029,3.2930,1.7469
1780084661.113,4.6168,3.2949,1.7415
1780084661.118,4.6110,3.2936,1.7376
1780084661.121,4.6017,3.3035,1.7206
1780084661.124,4.5909,3.3208,1.7082
1780084661.132,4.5702,3.3448,1.7231
1780084661.136,4.5585,3.3579,1.7215
1780084661.140,4.5506,3.3648,1.7384
1780084661.143,4.5546,3.3676,1.7471
1780084661.177,4.5580,3.3681,1.7750
1780084661.179,4.5607,3.3676,1.8009
1780084661.278,4.5625,3.3695,1.8271
1780084661.289,4.5710,3.3723,1.8430
1780084661.377,4.5789,3.3734,1.8491
1780084661.380,4.5732,3.3735,1.8492
1780084661.477,4.5673,3.3708,1.8432
1780084661.480,4.5633,3.3687,1.8260
1780084661.577,4.5610,3.3701,1.7944
1780084661.599,4.5598,3.3683,1.7734
1780084661.677,4.5540,3.3677,1.7618
1780084661.679,4.5432,3.3672,1.7536
1780084661.778,4.5462,3.3671,1.7616
1780084661.780,4.5360,3.3670,1.7722
1780084661.877,4.5506,3.3324,1.7609
1780084661.889,4.5707,3.3125,1.7555
1780084661.977,4.5804,3.3074,1.7405
1780084661.979,4.5879,3.3059,1.7290
1780084662.078,4.5842,3.3180,1.7352
1780084662.080,4.5862,3.3283,1.7402
1780084662.177,4.5812,3.3406,1.7641
1780084662.180,4.5679,3.3475,1.7825
1780084662.277,4.5561,3.3537,1.7853
1780084662.290,4.5446,3.3567,1.7864
1780084662.378,4.5376,3.3576,1.7678
1780084662.380,4.5372,3.3552,1.7523
1780084662.477,4.5354,3.3537,1.7364
1780084662.479,4.5474,3.3550,1.7286
1780084662.578,4.5522,3.3587,1.7238
1780084662.624,4.5599,3.3607,1.7214
1780084662.677,4.5612,3.3644,1.7161
1780084662.679,4.5541,3.3663,1.7133
1780084662.777,4.5496,3.3641,1.7052
1780084662.780,4.5469,3.3626,1.7005
1780084662.877,4.5454,3.3615,1.6912
1780084662.920,4.5343,3.3582,1.6842
1780084662.978,4.5294,3.3570,1.7023
1780084662.980,4.5322,3.3589,1.7166
1780084663.078,4.5304,3.3625,1.7183
1780084663.080,4.5297,3.3671,1.7213
1780084663.178,4.5322,3.3724,1.7137
1780084663.204,4.5339,3.3728,1.7062
1780084663.277,4.5323,3.3699,1.6958
1780084663.279,4.5286,3.3704,1.6876
1780084663.377,4.5267,3.3736,1.6796
1780084663.380,4.5336,3.3755,1.6721
1780084663.477,4.5377,3.3764,1.6678
1780084663.486,4.5425,3.3768,1.6679
1780084663.577,4.5457,3.3804,1.7065
1780084663.579,4.5498,3.3824,1.7325
1780084663.677,4.5548,3.3833,1.7717
1780084663.678,4.5549,3.3812,1.7921
1780084663.778,4.5575,3.3828,1.8239
1780084663.780,4.5611,3.3836,1.8468
1780084663.878,4.5626,3.3807,1.8621
1780084663.906,4.5706,3.3814,1.8697
1780084663.978,4.5715,3.3813,1.8456
1780084663.980,4.5666,3.3812,1.8277
1780084664.077,4.5671,3.3819,1.8363
1780084664.079,4.5672,3.3848,1.8438
1780084664.178,4.5665,3.3858,1.8292
1780084664.186,4.5634,3.3862,1.8173
1780084664.276,4.5622,3.3869,1.8386
1780084664.279,4.5642,3.3873,1.8548
1780084664.377,4.5617,3.3867,1.8365
1780084664.379,4.5653,3.3862,1.8259
1780084664.477,4.5649,3.3865,1.8150
1780084664.479,4.5647,3.3842,1.8038
