timestamp,input_source,raw_x,raw_y,raw_z,filtered_x,filtered_y,filtered_z,vx,vy,vz,quality,valid,accepted,rejection_reason,accepted_count,outlier_count,invalid_count,mahalanobis_distance,implied_speed
1780528869.569076,python_udp,-0.270000,-0.150000,0.460000,-0.270000,-0.150000,0.460000,0.000000,0.000000,0.000000,49.000000,1,1,initialized,0,0,0,NaN,NaN
1780528869.965344,python_udp,-0.290000,-0.150000,0.460000,-0.286296,-0.150000,0.460000,-0.007407,0.000000,0.000000,46.000000,1,1,accepted,2,0,0,0.000296,0.200000
1780528870.062232,python_udp,-0.310000,-0.140000,0.460000,-0.300108,-0.144308,0.460000,-0.034078,0.011615,0.000000,53.000000,1,1,accepted,3,0,0,0.001081,0.250459
1780528870.162413,python_udp,-0.300000,-0.150000,0.460000,-0.301568,-0.146944,0.460000,-0.028474,0.000692,0.000000,49.000000,1,1,accepted,4,0,0,0.000106,0.077032
1780528870.266532,python_udp,-0.290000,-0.160000,0.450000,-0.296275,-0.154286,0.455227,-0.004398,-0.021230,-0.012294,46.000000,1,1,accepted,5,0,0,0.000768,0.219104
1780528870.362308,python_udp,-0.290000,-0.160000,0.460000,-0.292921,-0.158438,0.456911,0.006330,-0.026966,-0.004857,51.000000,1,1,accepted,6,0,0,0.000139,0.096963
1780528870.462672,python_udp,-0.280000,-0.150000,0.450000,-0.285423,-0.154914,0.453306,0.024837,-0.010195,-0.012535,47.000000,1,1,accepted,7,0,0,0.000529,0.177836
1780528870.561127,python_udp,-0.290000,-0.160000,0.450000,-0.286834,-0.158176,0.451065,0.014681,-0.016045,-0.014883,51.000000,1,1,accepted,8,0,0,0.000124,0.084031
1780528870.661497,python_udp,-0.290000,-0.160000,0.450000,-0.287897,-0.159901,0.449778,0.008205,-0.016351,-0.014415,49.000000,1,1,accepted,9,0,0,0.000039,0.046588
1780528870.762095,python_udp,-0.300000,-0.160000,0.480000,-0.294089,-0.160702,0.463265,-0.009569,-0.014239,0.019678,55.000000,1,1,accepted,10,0,0,0.001391,0.342340
1780528870.861839,python_udp,-0.300000,-0.150000,0.470000,-0.297725,-0.155569,0.467465,-0.016330,0.002311,0.024735,50.000000,1,1,accepted,11,0,0,0.000340,0.139393
1780528870.961123,python_udp,-0.300000,-0.160000,0.470000,-0.299705,-0.157854,0.469967,-0.017204,-0.004030,0.024799,51.000000,1,1,accepted,12,0,0,0.000041,0.047063
1780528871.061518,python_udp,-0.290000,-0.150000,0.470000,-0.295263,-0.153804,0.471309,-0.001682,0.007188,0.022234,51.000000,1,1,accepted,13,0,0,0.000373,0.143074
1780528871.161421,python_udp,-0.300000,-0.150000,0.480000,-0.297895,-0.151422,0.476537,-0.007886,0.011378,0.029002,53.000000,1,1,accepted,14,0,0,0.000102,0.084982
1780528871.261539,python_udp,-0.280000,-0.140000,0.460000,-0.288612,-0.144740,0.470414,0.017483,0.025342,0.008673,45.000000,1,1,accepted,15,0,0,0.001252,0.288550
