Time,POSX,POSY,POSZ
1780783085.385949,0.130000,-0.080000,0.790000
1780783085.575215,0.130000,-0.080000,0.795192
1780783085.676800,0.130000,-0.080000,0.773522
1780783085.774563,0.124702,-0.069403,0.759635
1780783085.874819,0.110666,-0.057485,0.749437
1780783085.975733,0.107803,-0.056118,0.723085
1780783086.075419,0.101482,-0.050735,0.719446
1780783086.190432,0.103403,-0.048040,0.714224
1780783086.274220,0.100055,-0.041869,0.707601
1780783086.377739,0.113444,-0.053637,0.703668
1780783086.475722,0.112161,-0.051518,0.720432
1780783086.575032,0.116224,-0.055239,0.718734
1780783086.674970,0.123692,-0.067616,0.710372
1780783086.774873,0.118316,-0.065458,0.726376
1780783086.879734,0.109627,-0.063700,0.738806
1780783086.974341,0.099104,-0.052446,0.762724
1780783087.075269,0.092677,-0.035327,0.765934
1780783087.175908,0.079194,-0.024807,0.778479
1780783087.275269,0.071262,-0.018909,0.783621
1780783087.375203,0.067105,-0.016068,0.783008
1780783087.475353,0.060409,-0.020074,0.788991
1780783087.582813,0.056981,-0.018360,0.807409
1780783087.675733,0.060579,-0.017698,0.802516
1780783087.774268,0.058597,-0.022602,0.779668
1780783087.874669,0.067681,-0.025986,0.754424
1780783087.975879,0.093602,-0.038099,0.713475
1780783088.074848,0.104969,-0.040717,0.697569
1780783088.179113,0.106366,-0.041949,0.683287
1780783088.275482,0.101331,-0.042331,0.699418
1780783088.374972,0.092442,-0.037281,0.702273
1780783088.474417,0.091383,-0.043750,0.694409
1780783088.575724,0.085724,-0.042826,0.700005
1780783088.675605,0.087120,-0.037056,0.712219
1780783088.775847,0.093135,-0.033278,0.700100
1780783088.880485,0.087102,-0.030969,0.705539
1780783088.975083,0.078229,-0.034641,0.691824
1780783089.074373,0.072741,-0.037152,0.674316
1780783089.174382,0.069636,-0.038769,0.672398
1780783089.275600,0.073070,-0.049648,0.653527
1780783089.375515,0.080610,-0.056409,0.632619
1780783089.474662,0.080613,-0.060261,0.632291
1780783089.575681,0.090451,-0.057216,0.636941
1780783089.675763,0.101544,-0.059748,0.641494
1780783089.774636,0.103224,-0.056101,0.656576
1780783089.883171,0.108630,-0.053511,0.668485
1780783089.975256,0.116482,-0.051772,0.666645
1780783090.075240,0.125831,-0.055633,0.654108
1780783090.174250,0.131059,-0.063073,0.651734
1780783090.275042,0.128611,-0.067679,0.646468
1780783090.375395,0.116405,-0.065331,0.657211
1780783090.475123,0.108230,-0.058536,0.665623
1780783090.579698,0.103094,-0.049102,0.661064
1780783090.675489,0.095167,-0.043224,0.664669
1780783090.775726,0.095488,-0.049774,0.663696
1780783090.875728,0.091250,-0.049380,0.677363
1780783090.975094,0.084002,-0.039346,0.709438
1780783091.074264,0.069943,-0.028179,0.711533
1780783091.175170,0.056672,-0.021540,0.708435
1780783091.282380,0.078891,-0.037825,0.687012
1780783091.375332,0.088971,-0.058679,0.681036
1780783091.474574,0.090456,-0.066865,0.683740
1780783091.576196,0.091149,-0.066424,0.693164
1780783091.674779,0.091357,-0.060456,0.700326
1780783091.775177,0.116074,-0.066070,0.723729
1780783091.874525,0.126529,-0.074342,0.715683
1780783091.975032,0.127274,-0.069299,0.723329
1780783092.074808,0.116844,-0.065611,0.735927
1780783092.174925,0.109510,-0.063060,0.730376
1780783092.275114,0.109597,-0.056442,0.750882
1780783092.375715,0.124558,-0.067178,0.762311
1780783092.477450,0.134004,-0.074171,0.751939
1780783092.574879,0.134550,-0.073460,0.735860
1780783092.675710,0.124355,-0.067719,0.737690
1780783092.775384,0.122402,-0.068830,0.746286
1780783092.874258,0.135989,-0.079446,0.745433
1780783092.974741,0.144566,-0.076187,0.788139
1780783093.075083,0.134693,-0.073783,0.816650
1780783093.175621,0.108083,-0.057237,0.848006
1780783093.275355,0.086250,-0.041815,0.870173
1780783093.374830,0.088105,-0.042494,0.863149
1780783093.474910,0.105371,-0.053671,0.873874
1780783093.575197,0.102243,-0.031583,0.851350
1780783093.674228,0.115257,-0.007875,0.832775
1780783093.775052,0.113723,0.016194,0.821633
1780783093.874312,0.132315,0.010211,0.794870
1780783093.974308,0.138912,0.019574,0.752924
1780783094.075346,0.132463,0.044172,0.714609
1780783094.175435,0.132632,0.088262,0.683505
1780783094.274700,0.122482,0.144140,0.665720
1780783094.375507,0.081136,0.196561,0.640155
1780783094.474316,-0.004249,0.255622,0.641359
1780783094.574447,-0.106196,0.293368,0.633888
1780783094.675689,-0.201389,0.292170,0.637518
1780783094.774913,-0.324768,0.281423,0.634801
1780783094.874554,-0.399983,0.211437,0.634122
1780783094.976222,-0.492439,0.135151,0.638423
1780783095.074356,-0.546192,0.032913,0.653556
1780783095.176099,-0.634509,-0.048681,0.669342
1780783095.276864,-0.715654,-0.139524,0.663330
1780783095.374755,-0.831457,-0.195282,0.665854
1780783095.475585,-0.959037,-0.212846,0.689558
1780783095.574323,-1.063121,-0.236258,0.689263
1780783095.675359,-1.146204,-0.249794,0.684799
1780783095.775251,-1.220810,-0.238089,0.684572
1780783095.875202,-1.275706,-0.206446,0.687746
1780783095.974688,-1.318828,-0.148850,0.726276
1780783096.074625,-1.340758,-0.071682,0.758837
1780783096.174617,-1.370356,0.065265,0.767863
1780783096.275508,-1.351816,0.198016,0.794877
1780783096.374545,-1.284073,0.334534,0.817441
1780783096.474319,-1.187541,0.475874,0.836306
1780783096.575052,-1.056238,0.623209,0.837662
1780783096.674730,-0.871636,0.742930,0.814801
1780783096.774875,-0.647112,0.828969,0.781233
1780783096.875301,-0.411689,0.883672,0.765852
1780783096.974700,-0.198674,0.929442,0.732465
1780783097.074526,-0.003485,0.936536,0.729402
1780783097.174767,0.198208,0.881141,0.731821
1780783097.274873,0.373238,0.788739,0.730980
1780783097.374563,0.515642,0.686646,0.727434
1780783097.474484,0.652471,0.552649,0.714447
1780783097.575568,0.776965,0.411730,0.694278
1780783097.674215,0.835215,0.294673,0.661586
