Time,POSX,POSY,POSZ
1781119533.4341557,-0.19,0.24,1.58
1781119533.4444194,-0.21,0.26,1.53
1781119533.4613376,-0.22,0.27,1.47
1781119533.472039,-0.21,0.28,1.45
1781119533.4836156,-0.19,0.26,1.5
1781119533.495114,-0.2,0.26,1.46
1781119533.5087357,-0.21,0.28,1.39
1781119533.522498,-0.21,0.28,1.38
1781119533.622368,-0.2,0.27,1.41
1781119533.6384919,-0.2,0.27,1.41
1781119533.6520407,-0.22,0.28,1.47
1781119533.662655,-0.19,0.27,1.43
1781119533.7175076,-0.22,0.28,1.4
1781119533.8184383,-0.23,0.28,1.34
1781119533.941382,-0.22,0.27,1.36
1781119534.0176694,-0.2,0.27,1.34
1781119534.1350281,-0.2,0.28,1.33
1781119534.2172294,-0.19,0.26,1.4
1781119534.335755,-0.19,0.26,1.41
1781119534.416814,-0.19,0.27,1.38
1781119534.530333,-0.19,0.27,1.37
1781119534.6170065,-0.18,0.25,1.44
1781119534.729314,-0.21,0.26,1.41
1781119534.8184862,-0.2,0.25,1.47
1781119534.9187803,-0.2,0.25,1.43
1781119535.0181148,-0.18,0.26,1.42
1781119535.1202335,-0.21,0.27,1.36
1781119535.2175553,-0.18,0.27,1.38
1781119535.3182428,-0.17,0.26,1.45
1781119535.4185693,-0.2,0.27,1.41
1781119535.5228496,-0.17,0.25,1.46
1781119535.617341,-0.18,0.25,1.51
1781119535.7185934,-0.2,0.27,1.42
1781119535.817867,-0.19,0.25,1.46
1781119535.9181356,-0.2,0.26,1.43
1781119536.0176058,-0.21,0.27,1.4
1781119536.1168728,-0.22,0.27,1.39
1781119536.2179928,-0.21,0.26,1.44
1781119536.317727,-0.2,0.26,1.48
1781119536.4177432,-0.23,0.27,1.43
1781119536.5175815,-0.23,0.27,1.4
1781119536.6400063,-0.24,0.28,1.35
1781119536.7187846,-0.24,0.27,1.43
1781119536.8311749,-0.23,0.25,1.47
1781119536.9174948,-0.2,0.25,1.47
1781119537.0210555,-0.19,0.25,1.47
1781119537.1179166,-0.21,0.27,1.43
1781119537.2172172,-0.2,0.26,1.48
1781119537.3180127,-0.18,0.25,1.47
1781119537.4195426,-0.21,0.27,1.44
1781119537.5185273,-0.2,0.26,1.43
1781119537.6172116,-0.2,0.27,1.4
1781119537.7184243,-0.17,0.26,1.46
1781119537.8174431,-0.18,0.26,1.43
1781119537.9171505,-0.21,0.27,1.42
1781119538.0185463,-0.23,0.27,1.49
1781119538.1178892,-0.23,0.27,1.47
1781119538.2175639,-0.23,0.26,1.48
1781119538.3184638,-0.21,0.26,1.48
1781119538.424324,-0.26,0.29,1.42
1781119538.8181293,-0.19,0.12,1.55
1781119539.3178527,-0.02,0.16,1.52
1781119539.4178474,-0.04,0.2,1.45
1781119539.5178444,-0.03,0.24,1.43
1781119539.617187,0.03,0.23,1.35
1781119539.7170606,0.02,0.27,1.32
1781119539.8175006,0.04,0.27,1.32
1781119539.917384,0.05,0.28,1.32
1781119540.0180898,0.09,0.31,1.3
1781119540.1181166,0.11,0.33,1.3
1781119540.2172196,0.12,0.36,1.32
1781119540.3387554,0.14,0.39,1.33
1781119540.4168036,0.17,0.42,1.32
1781119540.5326312,0.21,0.42,1.14
1781119540.6172044,0.21,0.41,1.01
1781119540.7354257,0.21,0.43,0.89
1781119540.8179796,0.22,0.44,0.78
1781119540.9248996,0.2,0.46,0.67
1781119541.0171247,0.17,0.48,0.61
1781119541.117821,0.13,0.49,0.55
1781119541.217047,0.07,0.49,0.5
1781119541.3239148,0.02,0.5,0.44
1781119541.417373,-0.06,0.5,0.39
1781119541.5263433,-0.11,0.5,0.36
1781119541.6215224,-0.17,0.5,0.35
1781119541.7378385,-0.24,0.5,0.35
1781119541.8170738,-0.31,0.51,0.35
1781119541.936798,-0.38,0.51,0.35
1781119542.0174627,-0.47,0.55,0.34
1781119542.1442547,-0.54,0.56,0.34
1781119542.2249258,-0.64,0.57,0.33
1781119542.3168805,-0.73,0.57,0.35
1781119542.4305222,-0.79,0.56,0.3
1781119542.5173354,-0.85,0.53,0.24
1781119542.6255088,-0.94,0.48,0.21
1781119542.7538264,-0.99,0.44,0.24
1781119542.8493493,-1.02,0.38,0.27
1781119542.9173496,-1.07,0.29,0.33
1781119543.0236588,-1.09,0.22,0.4
1781119543.116861,-1.09,0.16,0.42
1781119543.217174,-1.1,0.09,0.43
1781119543.3180547,-1.07,0.01,0.35
1781119543.4180758,-1.02,-0.09,0.38
1781119543.517552,-0.97,-0.18,0.42
1781119543.6355212,-0.91,-0.28,0.43
1781119543.7764575,-0.85,-0.37,0.42
1781119543.8178072,-0.78,-0.45,0.42
1781119543.9181292,-0.69,-0.53,0.47
1781119544.0396266,-0.63,-0.59,0.47
1781119544.1178784,-0.58,-0.66,0.45
1781119544.2193372,-0.52,-0.7,0.43
1781119544.3204443,-0.43,-0.74,0.6
1781119544.4179642,-0.39,-0.75,0.46
1781119544.5969133,-0.27,-0.82,0.69
1781119544.6183107,-0.09,-0.89,0.84
1781119544.7297075,0.0,-0.95,0.96
1781119544.8532565,0.09,-1.01,1.06
1781119544.917422,0.23,-1.03,1.12
1781119545.0168915,0.31,-1.08,1.19
1781119545.1237724,0.53,-1.04,0.98
1781119545.2477345,0.71,-1.02,0.84
1781119545.3613431,0.87,-0.97,0.73
1781119545.4179509,1.0,-0.92,0.64
1781119545.5170083,1.16,-0.89,0.49
1781119545.6172955,1.24,-0.83,0.44
1781119545.718581,1.32,-0.76,0.39
1781119545.8418152,1.46,-0.71,0.32
1781119545.9172966,1.52,-0.64,0.28
1781119546.017506,1.58,-0.57,0.26
1781119546.1176507,1.68,-0.47,0.17
1781119546.220122,1.71,-0.35,0.2
1781119546.3177829,1.8,-0.24,0.12
1781119546.4185607,1.91,-0.14,0.1
1781119546.517938,1.89,0.0,0.12
1781119546.6201918,1.83,0.12,0.16
1781119546.71727,1.74,0.2,0.2
1781119546.81688,1.68,0.28,0.21
1781119546.917217,1.58,0.33,0.22
1781119547.0208268,1.47,0.39,0.24
1781119547.1168692,1.38,0.45,0.26
1781119547.2214372,1.34,0.45,0.59
1781119547.3169823,1.31,0.46,0.85
1781119547.4251122,1.17,0.48,0.72
1781119547.518064,1.12,0.47,0.97
1781119547.618559,1.07,0.46,1.16
1781119547.7176461,1.0,0.45,1.35
1781119547.8173585,0.94,0.45,1.52
1781119547.9171402,0.75,0.42,1.64
