Time,POSX,POSY,POSZ
1775069559.2602367,-2.43,2.06,2.05
1775069559.265238,-2.35,2.0,2.03
1775069559.2702367,-2.306,1.978,2.019
1775069559.2832372,-2.2471,1.939,2.0186
1775069559.4072528,-2.194,1.8865,2.0589
1775069559.438963,-2.1407,1.8636,2.0569
1775069559.5908625,-2.0781,1.8089,2.0605
1775069559.6356966,-2.0612,1.784,2.0521
1775069559.771574,-1.9985,1.7425,2.044
1775069559.840219,-1.9424,1.7261,2.0245
1775069559.9617596,-1.8761,1.698,1.9841
1775069560.0414295,-1.8348,1.6824,1.9533
1775069560.1407738,-1.8037,1.6616,1.9163
1775069560.316998,-1.7459,1.6252,1.8671
1775069560.3394744,-1.7586,1.6227,1.8437
1775069560.4889445,-1.7791,1.6068,1.8618
1775069560.535204,-1.8552,1.6175,1.8704
1775069560.6705513,-1.91,1.6017,1.9019
1775069560.7365265,-1.9467,1.5848,1.9247
1775069560.8610003,-1.9619,1.5511,1.9638
1775069560.9341924,-1.9832,1.5162,1.9751
1775069561.0378373,-2.0175,1.4669,1.9864
1775069561.1407397,-2.0529,1.4161,2.0048
1775069561.2371917,-2.092,1.3621,2.0044
1775069561.4105918,-2.1198,1.2984,2.0046
1775069561.4406862,-2.1143,1.2827,1.9936
1775069561.5998662,-2.1066,1.2275,1.9894
1775069561.6409037,-2.1183,1.2064,1.9799
1775069561.7865596,-2.143,1.152,1.9794
1775069561.841216,-2.1666,1.1261,1.9665
1775069561.9803278,-2.1843,1.0757,1.9731
1775069562.0405924,-2.1989,1.0469,1.9718
1775069562.1618567,-2.1926,1.0097,1.9872
1775069562.2395642,-2.1759,0.9885,1.9851
1775069562.3632612,-2.1817,0.9543,1.9803
1775069562.44104,-2.2002,0.9354,1.9834
1775069562.5428958,-2.2309,0.9144,1.9692
1775069562.7158785,-2.2254,0.9024,1.954
1775069562.741077,-2.2344,0.9193,1.9459
1775069562.8987598,-2.2367,0.9198,1.9445
1775069562.9419963,-2.2461,0.9355,1.9648
1775069563.092616,-2.2781,0.9263,1.9622
1775069563.1364577,-2.3036,0.9281,1.958
1775069563.2786088,-2.2815,0.9213,1.9473
1775069563.339926,-2.226,0.9235,1.9312
1775069563.4732392,-2.1591,0.9047,1.9045
1775069563.5414972,-2.1127,0.8797,1.8781
1775069563.658246,-2.0704,0.8333,1.8536
1775069563.7354848,-2.0915,0.7574,1.8677
1775069563.8416705,-2.1191,0.659,1.8903
1775069564.0093625,-2.1292,0.5388,1.8999
1775069564.0375586,-2.1514,0.4456,1.9026
1775069564.1969564,-2.181,0.2864,1.913
1775069564.2394357,-2.1971,0.1675,1.9149
