Time,POSX,POSY,POSZ
1775069645.2776818,-2.57,1.28,2.03
1775069645.297234,-2.57,1.33,2.02
1775069645.3062305,-2.53,1.37,2.1
1775069645.4387765,-2.56,1.4,2.06
1775069645.4641957,-2.41,1.49,2.03
1775069645.4721909,-2.41,1.53,2.01
1775069645.5355117,-2.36,1.55,2.06
1775069645.7011034,-2.33,1.58,2.02
1775069645.7355928,-2.31,1.58,2.01
1775069645.926142,-2.27,1.55,1.99
1775069645.9433608,-2.23,1.55,1.97
1775069646.154271,-2.13,1.53,1.96
1775069646.1748555,-2.25,1.44,2.0
1775069646.2363503,-2.34,1.36,2.04
1775069646.3733354,-2.36,1.29,2.04
1775069646.440014,-2.4,1.26,1.99
1775069646.5638838,-2.43,1.22,1.99
1775069646.6419468,-2.44,1.21,2.01
1775069646.7500947,-2.59,1.18,2.0
1775069646.8404224,-2.62,1.17,1.98
1775069646.9454553,-2.62,1.16,1.99
1775069647.114252,-2.78,1.16,1.96
1775069647.1352851,-2.88,1.14,1.95
1775069647.3116806,-2.88,1.12,1.98
1775069647.3350394,-2.89,1.08,2.05
1775069647.508541,-2.94,1.03,2.13
1775069647.5358233,-2.9,0.99,2.08
1775069647.6903882,-2.87,0.95,2.06
1775069647.74107,-2.87,0.9,2.1
1775069647.8714857,-2.89,0.85,2.12
1775069647.9408681,-2.88,0.8,2.06
1775069648.083126,-2.86,0.78,2.07
1775069648.1357064,-2.89,0.71,2.13
1775069648.26762,-2.9,0.67,2.09
1775069648.3398783,-2.87,0.64,2.02
1775069648.4646828,-2.85,0.61,1.96
1775069648.5413244,-2.86,0.58,1.91
1775069648.649524,-2.84,0.53,1.99
1775069648.735046,-2.86,0.47,2.06
1775069648.840536,-2.82,0.42,2.06
1775069649.0180783,-2.81,0.36,2.02
1775069649.0392118,-2.79,0.3,2.07
1775069649.2190537,-2.76,0.24,2.05
1775069649.2395597,-2.75,0.15,2.0
1775069649.4005027,-2.74,0.08,2.07
1775069649.4368324,-2.64,0.05,2.03
1775069649.5829992,-2.68,-0.04,1.99
1775069649.6401165,-2.71,-0.14,1.95
1775069649.7762077,-2.74,-0.22,2.04
1775069649.8399436,-2.62,-0.26,2.01
1775069649.948203,-2.53,-0.32,2.03
1775069650.0360973,-2.47,-0.4,2.03
1775069650.14208,-2.4,-0.48,2.03
1775069650.3152938,-2.28,-0.53,2.11
1775069650.3411613,-2.22,-0.62,2.03
1775069650.5020528,-2.29,-0.79,2.0
1775069650.539947,-2.24,-0.9,2.01
1775069650.6952083,-2.1,-0.94,2.03
1775069650.7393656,-1.95,-1.0,2.05
1775069650.8885763,-1.83,-1.04,1.98
1775069650.9361129,-1.74,-1.11,1.95
1775069651.065762,-1.65,-1.16,1.91
1775069651.1396956,-1.55,-1.2,1.91
1775069651.2562823,-1.39,-1.19,1.91
1775069651.3393767,-1.22,-1.17,1.92
1775069651.4417698,-1.07,-1.1,1.93
1775069651.6054747,-0.92,-1.03,2.03
