timestamp,final_source,final_x,final_y,final_z,final_vx,final_vy,final_vz,final_valid,final_quality,roll,pitch,yaw,angles_valid,angles_source,uwb_general_x,uwb_general_y,uwb_general_z,uwb_accepted,uwb_rejection_reason,uwb_imu_x,uwb_imu_y,uwb_imu_z,uwb_imu_valid,uwb_imu_used_imu,uwb_imu_fallback,uwb_imu_status,opti_x,opti_y,opti_z,opti_valid,robot_control_enabled,ros_publish_enabled
1780530054.759264,uwb_general,0.068148,0.216296,0.573836,0.003704,0.007407,0.006289,1,47.000000,NaN,NaN,NaN,0,none,0.068148,0.216296,0.573836,1,accepted,NaN,NaN,NaN,0,0,1,not_initialized,0.109441,0.185242,0.104664,1,0,0
1780530054.759264,uwb_general,0.068148,0.216296,0.573836,0.003704,0.007407,0.006289,1,47.000000,NaN,NaN,NaN,0,none,0.068148,0.216296,0.573836,1,accepted,NaN,NaN,NaN,0,0,1,not_initialized,0.109446,0.185211,0.104662,1,0,0
1780530054.759264,uwb_general,0.068148,0.216296,0.573836,0.003704,0.007407,0.006289,1,47.000000,NaN,NaN,NaN,0,none,0.068148,0.216296,0.573836,1,accepted,NaN,NaN,NaN,0,0,1,not_initialized,0.109462,0.185204,0.104645,1,0,0
1780530054.759264,uwb_general,0.068148,0.216296,0.573836,0.003704,0.007407,0.006289,1,47.000000,NaN,NaN,NaN,0,none,0.068148,0.216296,0.573836,1,accepted,NaN,NaN,NaN,0,0,1,not_initialized,0.109454,0.185201,0.104640,1,0,0
1780530054.862193,uwb_general,0.063669,0.224416,0.567321,-0.006190,0.022463,-0.004742,1,43.000000,NaN,NaN,NaN,0,none,0.063669,0.224416,0.567321,1,accepted,NaN,NaN,NaN,0,0,1,not_initialized,0.109425,0.185209,0.104644,1,0,0
1780530054.959449,uwb_general,0.066901,0.234053,0.568320,0.004885,0.043719,-0.001307,1,46.000000,NaN,NaN,NaN,0,none,0.066901,0.234053,0.568320,1,accepted,NaN,NaN,NaN,0,0,1,not_initialized,0.109498,0.185215,0.104671,1,0,0
1780530054.959449,uwb_general,0.066901,0.234053,0.568320,0.004885,0.043719,-0.001307,1,46.000000,NaN,NaN,NaN,0,none,0.066901,0.234053,0.568320,1,accepted,NaN,NaN,NaN,0,0,1,not_initialized,0.109478,0.185211,0.104648,1,0,0
1780530054.959449,uwb_general,0.066901,0.234053,0.568320,0.004885,0.043719,-0.001307,1,46.000000,NaN,NaN,NaN,0,none,0.066901,0.234053,0.568320,1,accepted,NaN,NaN,NaN,0,0,1,not_initialized,0.109430,0.185218,0.104645,1,0,0
1780530055.059331,uwb_general,0.068864,0.239314,0.578600,0.009244,0.046349,0.025508,1,45.000000,NaN,NaN,NaN,0,none,0.068864,0.239314,0.578600,1,accepted,NaN,NaN,NaN,0,0,1,not_initialized,0.109469,0.185210,0.104656,1,0,0
1780530055.059331,uwb_general,0.068864,0.239314,0.578600,0.009244,0.046349,0.025508,1,45.000000,NaN,NaN,NaN,0,none,0.068864,0.239314,0.578600,1,accepted,NaN,NaN,NaN,0,0,1,not_initialized,0.109493,0.185238,0.104679,1,0,0
1780530055.059331,uwb_general,0.068864,0.239314,0.578600,0.009244,0.046349,0.025508,1,45.000000,NaN,NaN,NaN,0,none,0.068864,0.239314,0.578600,1,accepted,NaN,NaN,NaN,0,0,1,not_initialized,0.109464,0.185208,0.104640,1,0,0
1780530055.059331,uwb_general,0.068864,0.239314,0.578600,0.009244,0.046349,0.025508,1,45.000000,NaN,NaN,NaN,0,none,0.068864,0.239314,0.578600,1,accepted,NaN,NaN,NaN,0,0,1,not_initialized,0.109423,0.185203,0.104649,1,0,0
1780530055.159508,uwb_general,0.075558,0.241718,0.595153,0.025558,0.040040,0.061249,1,47.000000,NaN,NaN,NaN,0,none,0.075558,0.241718,0.595153,1,accepted,NaN,NaN,NaN,0,0,1,not_initialized,0.109471,0.185214,0.104674,1,0,0
