Time,POSX,POSY,POSZ
1780530050.9434946,0.1094,0.1852,0.1047
1780530050.9496024,0.1095,0.1853,0.1047
1780530050.9540808,0.1095,0.1852,0.1047
1780530050.9593215,0.1095,0.1852,0.1047
1780530050.9769466,0.1095,0.1852,0.1047
1780530050.9775105,0.1094,0.1852,0.1047
1780530050.977915,0.1094,0.1852,0.1047
1780530050.981136,0.1094,0.1852,0.1047
1780530050.987836,0.1094,0.1852,0.1047
1780530050.9924555,0.1094,0.1852,0.1047
1780530050.9982634,0.1094,0.1852,0.1047
1780530051.0034463,0.1095,0.1852,0.1047
1780530051.009474,0.1095,0.1852,0.1047
1780530051.014976,0.1095,0.1852,0.1047
1780530051.0202405,0.1095,0.1852,0.1047
1780530051.0346794,0.1094,0.1852,0.1047
1780530051.03533,0.1094,0.1852,0.1047
1780530051.0387886,0.1094,0.1852,0.1047
1780530051.043175,0.1094,0.1852,0.1047
1780530051.0486333,0.1094,0.1852,0.1047
1780530051.0665443,0.1094,0.1852,0.1047
1780530051.0671852,0.1095,0.1852,0.1047
1780530051.0676224,0.1095,0.1852,0.1047
1780530051.0725877,0.1094,0.1852,0.1047
1780530051.0760667,0.1094,0.1852,0.1047
1780530051.0818808,0.1094,0.1852,0.1047
1780530051.0885956,0.1094,0.1852,0.1046
1780530051.0930355,0.1094,0.1852,0.1047
1780530051.098184,0.1094,0.1852,0.1047
1780530051.1037579,0.1094,0.1852,0.1047
1780530051.1091845,0.1095,0.1852,0.1047
1780530051.1149423,0.1095,0.1852,0.1047
1780530051.1206253,0.1095,0.1852,0.1047
1780530051.126241,0.1094,0.1852,0.1047
1780530051.1317763,0.1094,0.1852,0.1047
1780530051.1367395,0.1094,0.1852,0.1047
1780530051.143167,0.1094,0.1852,0.1047
1780530051.1484766,0.1094,0.1852,0.1047
1780530051.1541,0.1095,0.1852,0.1047
1780530051.1597264,0.1095,0.1852,0.1047
1780530051.1647866,0.1095,0.1852,0.1047
1780530051.1705441,0.1094,0.1852,0.1047
1780530051.1759596,0.1094,0.1852,0.1047
1780530051.1881769,0.1094,0.1852,0.1047
1780530051.188767,0.1094,0.1852,0.1047
1780530051.193804,0.1094,0.1852,0.1047
1780530051.1988955,0.1094,0.1852,0.1047
1780530051.2048817,0.1095,0.1852,0.1047
1780530051.209661,0.1095,0.1852,0.1047
1780530051.2150178,0.1095,0.1852,0.1047
1780530051.2211773,0.1094,0.1852,0.1047
1780530051.225899,0.1094,0.1852,0.1047
1780530051.232397,0.1094,0.1852,0.1047
1780530051.2370608,0.1094,0.1852,0.1047
1780530051.2429957,0.1094,0.1852,0.1047
1780530051.2483559,0.1094,0.1852,0.1047
1780530051.253564,0.1095,0.1852,0.1047
1780530051.2601302,0.1095,0.1852,0.1047
1780530051.2646275,0.1095,0.1852,0.1047
1780530051.2701879,0.1095,0.1852,0.1047
1780530051.2767465,0.1094,0.1852,0.1047
1780530051.2816646,0.1094,0.1852,0.1047
1780530051.2872956,0.1094,0.1852,0.1046
1780530051.292655,0.1094,0.1852,0.1046
1780530051.2979124,0.1094,0.1852,0.1046
1780530051.304042,0.1095,0.1852,0.1047
1780530051.3103874,0.1095,0.1852,0.1047
1780530051.3154664,0.1095,0.1852,0.1047
1780530051.329756,0.1095,0.1852,0.1047
1780530051.330945,0.1094,0.1852,0.1047
1780530051.3320813,0.1094,0.1852,0.1046
1780530051.3375633,0.1094,0.1852,0.1047
1780530051.342988,0.1094,0.1852,0.1047
1780530051.3493423,0.1094,0.1852,0.1047
1780530051.3533702,0.1095,0.1852,0.1047
1780530051.3598514,0.1095,0.1853,0.1047
1780530051.3651578,0.1095,0.1852,0.1047
1780530051.370492,0.1094,0.1852,0.1047
1780530051.37638,0.1094,0.1852,0.1047
1780530051.3826067,0.1094,0.1852,0.1047
1780530051.387219,0.1094,0.1852,0.1047
1780530051.3926249,0.1094,0.1852,0.1047
1780530051.3983812,0.1094,0.1852,0.1047
1780530051.4037838,0.1095,0.1852,0.1047
1780530051.4093223,0.1095,0.1852,0.1047
1780530051.4249632,0.1095,0.1852,0.1047
1780530051.4255586,0.1094,0.1852,0.1047
1780530051.4276443,0.1094,0.1852,0.1046
1780530051.4318633,0.1094,0.1852,0.1046
1780530051.4372299,0.1094,0.1852,0.1047
1780530051.4427025,0.1094,0.1852,0.1047
1780530051.4481368,0.1095,0.1852,0.1047
1780530051.4535542,0.1095,0.1852,0.1047
1780530051.4590642,0.1095,0.1852,0.1047
1780530051.464664,0.1095,0.1852,0.1047
1780530051.4699895,0.1094,0.1852,0.1047
1780530051.506289,0.1094,0.1852,0.1047
1780530051.5069728,0.1094,0.1852,0.1047
1780530051.5076127,0.1094,0.1852,0.1047
1780530051.5080585,0.1095,0.1852,0.1047
