Time,POSX,POSY,POSZ
1780530054.509773,0.070000,0.240000,0.590000
1780530054.514625,0.063098,0.253805,0.585587
1780530054.517200,0.065726,0.257924,0.589905
1780530054.520971,0.068082,0.250583,0.596874
1780530054.525275,0.078717,0.235276,0.602651
1780530054.528658,0.086370,0.229230,0.597177
1780530054.531369,0.090649,0.226763,0.591198
1780530054.535394,0.097046,0.212861,0.596335
1780530054.537301,0.096708,0.198746,0.598365
1780530054.540076,0.086806,0.198544,0.589822
1780530054.559472,0.078852,0.196403,0.581962
1780530054.658017,0.069415,0.195429,0.572890
1780530054.759264,0.067260,0.203878,0.572175
1780530054.862193,0.062674,0.215217,0.566698
1780530054.959449,0.063855,0.227545,0.565242
1780530055.059331,0.065595,0.235828,0.571106
1780530055.159508,0.071285,0.240600,0.583079
1780530055.259679,0.084108,0.226095,0.608841
1780530055.359091,0.093495,0.213781,0.621416
1780530055.458112,0.103387,0.197181,0.629221
1780530055.558109,0.105446,0.194184,0.643393
1780530055.661692,0.101226,0.198355,0.648442
1780530055.759781,0.101425,0.198239,0.656692
1780530055.859062,0.097509,0.206459,0.672078
1780530055.959252,0.098431,0.221536,0.687373
1780530056.059743,0.095265,0.236646,0.689246
1780530056.158431,0.101056,0.229661,0.694290
1780530056.258422,0.101702,0.226232,0.691593
1780530056.359402,0.101496,0.219716,0.675390
1780530056.458366,0.088523,0.223240,0.651137
1780530056.558061,0.065714,0.235106,0.627768
1780530056.659163,0.062138,0.227094,0.618998
1780530056.759005,0.075049,0.206676,0.617572
1780530056.858235,0.086139,0.195720,0.618033
1780530056.958757,0.097878,0.193911,0.616139
1780530057.067411,0.097346,0.202652,0.605582
1780530057.158363,0.095352,0.210161,0.602834
1780530057.259876,0.089352,0.215304,0.599041
1780530057.359501,0.088921,0.201648,0.590235
1780530057.458545,0.085002,0.186098,0.580072
1780530057.560144,0.086231,0.167134,0.569343
1780530057.658233,0.079279,0.171308,0.558348
1780530057.759071,0.082219,0.168927,0.547259
1780530057.859227,0.081216,0.171422,0.545456
1780530057.959600,0.067591,0.182510,0.539790
1780530058.058984,0.065588,0.182777,0.538667
1780530058.157982,0.057381,0.190243,0.539001
1780530058.261302,0.059966,0.200203,0.543104
1780530058.358789,0.063281,0.211209,0.550339
1780530058.458708,0.065895,0.222587,0.562897
1780530058.560364,0.067737,0.229765,0.579724
1780530058.658961,0.068947,0.237706,0.587183
1780530058.764186,0.057050,0.250878,0.588440
1780530058.857930,0.043397,0.259608,0.582029
1780530058.958758,0.038426,0.259992,0.581819
1780530059.057899,0.049099,0.258531,0.582161
1780530059.158209,0.050024,0.265105,0.582320
1780530059.258130,0.054014,0.257272,0.582274
1780530059.358826,0.065533,0.228924,0.600631
1780530059.458513,0.078282,0.215844,0.623373
1780530059.565329,0.086743,0.204846,0.635242
1780530059.659513,0.087288,0.194123,0.633292
1780530059.759635,0.082020,0.191916,0.632367
1780530059.858665,0.077371,0.196382,0.634200
1780530059.958071,0.074043,0.200813,0.629283
1780530060.058100,0.071855,0.208466,0.621070
1780530060.158607,0.070522,0.214204,0.613928
1780530060.258251,0.069784,0.222093,0.611441
1780530060.362175,0.073652,0.227502,0.607018
1780530060.459537,0.089468,0.217970,0.603411
1780530060.558607,0.101381,0.218044,0.610103
1780530060.658665,0.108661,0.206379,0.610630
1780530060.758513,0.099893,0.205668,0.604183
1780530060.858763,0.091686,0.210763,0.598296
1780530060.958419,0.081695,0.210811,0.590765
1780530061.059115,0.078952,0.214583,0.587941
1780530061.157861,0.061224,0.225970,0.580408
1780530061.258961,0.060574,0.230181,0.571131
1780530061.373705,0.058276,0.231978,0.576356
1780530061.458621,0.048619,0.241021,0.573416
1780530061.563772,0.050175,0.247575,0.579704
1780530061.657984,0.048710,0.251312,0.592237
1780530061.778778,0.060433,0.253056,0.606085
1780530061.861540,0.078470,0.240925,0.610859
1780530061.959230,0.099730,0.222466,0.613192
1780530062.058933,0.105580,0.213507,0.623630
1780530062.163271,0.094472,0.217265,0.623199
1780530062.259048,0.088618,0.225876,0.624183
1780530062.357874,0.093260,0.215696,0.624742
1780530062.459003,0.101571,0.198504,0.621714
1780530062.558125,0.098963,0.190618,0.615532
1780530062.662558,0.091525,0.191052,0.610111
1780530062.758133,0.090000,0.197072,0.602811
1780530062.897216,0.081168,0.214857,0.593820
1780530064.141028,0.066074,0.245191,0.580547
1780530064.166513,0.059674,0.266776,0.588438
1780530064.185136,0.065205,0.275379,0.606953
1780530064.198459,0.066542,0.274442,0.613827
1780530064.211238,0.063122,0.267473,0.617757
1780530064.220300,0.064732,0.257072,0.617193
1780530064.232759,0.074991,0.236563,0.615957
1780530064.428155,0.095600,0.208891,0.614702
1780530064.443157,0.114694,0.194037,0.607390
1780530064.450389,0.135303,0.190473,0.606993
1780530064.468890,0.156927,0.198752,0.607560
1780530064.478497,0.166274,0.206509,0.595821
1780530064.490773,0.169926,0.212226,0.585140
1780530064.500072,0.170504,0.220300,0.580172
1780530064.514305,0.169497,0.230229,0.592776
1780530064.647280,0.167819,0.241167,0.617579
1780530064.669675,0.166011,0.223021,0.635613
1780530064.684528,0.155935,0.207200,0.685755
1780530064.777400,0.139572,0.192501,0.725393
1780530064.873537,0.119457,0.174618,0.750898
1780530064.958264,0.101656,0.145978,0.761263
1780530065.081791,0.069576,0.117977,0.771804
1780530065.157838,0.043216,0.075181,0.784482
1780530065.264254,-0.001990,0.046405,0.780692
1780530065.358410,-0.062206,0.018035,0.795780
1780530065.459060,-0.127353,-0.002883,0.796327
1780530065.559711,-0.210812,-0.030588,0.799945
1780530065.669534,-0.294636,-0.060246,0.817567
1780530065.775013,-0.380073,-0.086456,0.844576
1780530065.861763,-0.461728,-0.113888,0.875205
1780530065.980727,-0.539637,-0.146840,0.882992
1780530066.059236,-0.606197,-0.171310,0.872400
1780530066.158113,-0.651456,-0.192666,0.851089
1780530066.258883,-0.668746,-0.208330,0.835063
1780530066.359558,-0.658584,-0.215805,0.825691
1780530066.457990,-0.626792,-0.234571,0.809755
1780530066.565157,-0.569826,-0.254932,0.793445
1780530066.659226,-0.488698,-0.283841,0.771661
1780530066.758730,-0.401607,-0.302375,0.748272
1780530066.859920,-0.305913,-0.324364,0.730539
1780530066.958812,-0.197370,-0.345960,0.718391
1780530067.059422,-0.076941,-0.366878,0.726200
1780530067.158893,0.062666,-0.408360,0.742173
1780530067.258937,0.206234,-0.453317,0.765903
1780530067.358067,0.362087,-0.481560,0.779792
1780530067.463477,0.521675,-0.508594,0.792582
1780530067.558931,0.681706,-0.528009,0.799116
1780530067.659361,0.823838,-0.520624,0.818467
1780530067.760403,0.963831,-0.510211,0.837804
1780530067.859294,1.108030,-0.492563,0.852268
1780530067.958687,1.243036,-0.466086,0.849741
1780530068.059754,1.370308,-0.425747,0.847742
1780530068.157979,1.488384,-0.363613,0.870111
1780530068.258646,1.591928,-0.282587,0.908545
1780530068.359406,1.689721,-0.177619,0.924397
1780530068.458789,1.772551,-0.057283,0.917322
1780530068.558584,1.832320,0.070981,0.919898
1780530068.658860,1.851215,0.181197,0.915812
1780530068.758961,1.867066,0.308830,0.904699
1780530068.858519,1.869751,0.438606,0.869706
1780530068.958993,1.851374,0.567406,0.835838
1780530069.059427,1.810958,0.669227,0.809615
1780530069.159713,1.744481,0.753805,0.793847
1780530069.257895,1.657471,0.823721,0.793157
1780530069.358746,1.546424,0.880367,0.808064
1780530069.458347,1.437558,0.912140,0.810389
1780530069.559430,1.318066,0.939458,0.802064
1780530069.658550,1.195810,0.954514,0.788493
1780530069.757841,1.073883,0.957368,0.777669
1780530069.858693,0.949408,0.965728,0.785564
1780530069.959463,0.819543,0.972351,0.791657
1780530070.058548,0.686430,0.973593,0.799799
1780530070.158341,0.551983,0.975628,0.800543
1780530070.258579,0.421613,0.970981,0.800311
1780530070.360488,0.299231,0.965678,0.818582
1780530070.458343,0.182917,0.952593,0.822856
1780530070.558239,0.066305,0.938098,0.818082
1780530070.658300,-0.055522,0.927977,0.803636
1780530070.758121,-0.173073,0.913378,0.793995
1780530070.860027,-0.295146,0.899248,0.787070
1780530070.958415,-0.417034,0.881975,0.776021
1780530071.058414,-0.534052,0.853957,0.785706
1780530071.159258,-0.668316,0.834940,0.802471
1780530071.258881,-0.795545,0.799175,0.807492
1780530071.359418,-0.915194,0.745331,0.825386
1780530071.458364,-1.025332,0.666930,0.859367
1780530071.559009,-1.120511,0.572020,0.872142
1780530071.658728,-1.205309,0.463726,0.891047
1780530071.758010,-1.267285,0.356414,0.905612
1780530071.859600,-1.309023,0.248338,0.930820
1780530071.958455,-1.325751,0.136334,0.950706
1780530072.073978,-1.338994,0.009461,0.951919
1780530072.158920,-1.349453,-0.132155,0.942908
