Time,POSX,POSY,POSZ
1780783085.167538,0.120000,-0.070000,0.670000
1780783085.184105,0.111880,-0.053759,0.716731
1780783085.195761,0.105159,-0.051349,0.731189
1780783085.204526,0.112215,-0.060713,0.744114
1780783085.218171,0.116831,-0.072041,0.757156
1780783085.225358,0.119483,-0.078577,0.800915
1780783085.235112,0.110270,-0.071327,0.825390
1780783085.248405,0.099380,-0.061255,0.818255
1780783085.257100,0.087827,-0.054959,0.799396
1780783085.359410,0.101229,-0.061278,0.791829
1780783085.368135,0.105205,-0.060502,0.800656
1780783085.385949,0.117724,-0.069989,0.799389
1780783085.489831,0.115606,-0.066068,0.805338
1780783085.575215,0.123767,-0.073262,0.805753
1780783085.676800,0.128648,-0.077718,0.783716
1780783085.774563,0.126321,-0.070335,0.766733
1780783085.874819,0.114457,-0.060384,0.754100
1780783085.975733,0.111651,-0.059042,0.726909
1780783086.075419,0.105076,-0.053528,0.721603
1780783086.190432,0.106091,-0.050312,0.715170
1780783086.274220,0.102128,-0.043696,0.707774
1780783086.377739,0.114735,-0.054771,0.703220
1780783086.475722,0.113060,-0.052320,0.718968
1780783086.575032,0.116795,-0.055754,0.717284
1780783086.674970,0.124029,-0.067920,0.709129
1780783086.774873,0.118501,-0.065631,0.725121
1780783086.879734,0.109711,-0.063784,0.737709
1780783086.974341,0.099126,-0.052475,0.761802
1780783087.075269,0.092665,-0.035324,0.765234
1780783087.175908,0.079166,-0.024788,0.777963
1780783087.275269,0.071229,-0.018884,0.783261
1780783087.375203,0.067075,-0.016044,0.782772
1780783087.475353,0.060383,-0.020053,0.788849
1780783087.582813,0.056961,-0.018344,0.807338
1780783087.675733,0.060564,-0.017685,0.802494
1780783087.774268,0.058586,-0.022593,0.779681
1780783087.874669,0.067674,-0.025980,0.754457
1780783087.975879,0.093598,-0.038095,0.713520
1780783088.074848,0.104966,-0.040714,0.697618
1780783088.179113,0.106364,-0.041948,0.683335
1780783088.275482,0.101331,-0.042330,0.699461
1780783088.374972,0.092442,-0.037281,0.702311
1780783088.474417,0.091384,-0.043750,0.694440
1780783088.575724,0.085724,-0.042826,0.700031
1780783088.675605,0.087121,-0.037056,0.712239
1780783088.775847,0.093135,-0.033278,0.700115
1780783088.880485,0.087102,-0.030969,0.705550
1780783088.975083,0.078229,-0.034641,0.691831
1780783089.074373,0.072741,-0.037152,0.674320
1780783089.174382,0.069636,-0.038769,0.672401
1780783089.275600,0.073070,-0.049648,0.653528
1780783089.375515,0.080610,-0.056409,0.632619
1780783089.474662,0.080613,-0.060261,0.632291
1780783089.575681,0.090451,-0.057216,0.636940
1780783089.675763,0.101544,-0.059748,0.641493
1780783089.774636,0.103224,-0.056101,0.656575
1780783089.883171,0.108630,-0.053510,0.668484
1780783089.975256,0.116482,-0.051772,0.666644
1780783090.075240,0.125831,-0.055633,0.654107
1780783090.174250,0.131059,-0.063073,0.651734
1780783090.275042,0.128611,-0.067679,0.646468
1780783090.375395,0.116405,-0.065331,0.657211
1780783090.475123,0.108230,-0.058536,0.665623
1780783090.579698,0.103094,-0.049102,0.661064
1780783090.675489,0.095167,-0.043224,0.664669
1780783090.775726,0.095488,-0.049774,0.663696
1780783090.875728,0.091250,-0.049380,0.677363
1780783090.975094,0.084002,-0.039346,0.709438
1780783091.074264,0.069943,-0.028179,0.711533
1780783091.175170,0.056672,-0.021540,0.708435
1780783091.282380,0.078891,-0.037825,0.687012
1780783091.375332,0.088971,-0.058679,0.681036
1780783091.474574,0.090456,-0.066865,0.683740
1780783091.576196,0.091149,-0.066424,0.693164
1780783091.674779,0.091357,-0.060456,0.700326
1780783091.775177,0.116074,-0.066070,0.723729
1780783091.874525,0.126529,-0.074342,0.715683
1780783091.975032,0.127274,-0.069299,0.723329
1780783092.074808,0.116844,-0.065611,0.735927
1780783092.174925,0.109510,-0.063060,0.730376
1780783092.275114,0.109597,-0.056442,0.750882
1780783092.375715,0.124558,-0.067178,0.762311
1780783092.477450,0.134004,-0.074171,0.751939
1780783092.574879,0.134550,-0.073460,0.735860
1780783092.675710,0.124355,-0.067719,0.737690
1780783092.775384,0.122402,-0.068830,0.746286
1780783092.874258,0.135989,-0.079446,0.745433
1780783092.974741,0.144566,-0.076187,0.788139
1780783093.075083,0.134693,-0.073783,0.816650
1780783093.175621,0.108083,-0.057237,0.848006
1780783093.275355,0.086250,-0.041815,0.870173
1780783093.374830,0.088105,-0.042494,0.863149
1780783093.474910,0.105371,-0.053671,0.873874
1780783093.575197,0.102243,-0.031583,0.851350
1780783093.674228,0.115257,-0.007875,0.832775
1780783093.775052,0.113723,0.016194,0.821633
1780783093.874312,0.132315,0.010211,0.794870
1780783093.974308,0.138912,0.019574,0.752924
1780783094.075346,0.132463,0.044172,0.714609
1780783094.175435,0.132632,0.088262,0.683505
1780783094.274700,0.122482,0.144140,0.665720
1780783094.375507,0.081136,0.196561,0.640155
1780783094.474316,-0.004249,0.255622,0.641359
1780783094.574447,-0.106196,0.293368,0.633888
