Time,POSX,POSY,POSZ
1780783085.167538,0.12,-0.07,0.67
1780783085.1841054,0.11,-0.05,0.76
1780783085.1957614,0.1,-0.05,0.75
1780783085.2045257,0.12,-0.07,0.76
1780783085.2181706,0.12,-0.08,0.77
1780783085.2253582,0.12,-0.08,0.86
1780783085.2351122,0.1,-0.06,0.84
1780783085.2484047,0.09,-0.05,0.78
1780783085.2570999,0.08,-0.05,0.75
1780783085.3594103,0.12,-0.07,0.77
1780783085.368135,0.11,-0.06,0.81
1780783085.3859494,0.13,-0.08,0.79
1780783085.4898314,0.11,-0.06,0.81
1780783085.575215,0.13,-0.08,0.8
1780783085.6768,0.13,-0.08,0.74
1780783085.7745626,0.12,-0.06,0.74
1780783085.874819,0.1,-0.05,0.74
1780783085.975733,0.11,-0.06,0.69
1780783086.0754187,0.1,-0.05,0.73
1780783086.1904323,0.11,-0.05,0.72
1780783086.2742195,0.1,-0.04,0.71
1780783086.3777387,0.13,-0.07,0.71
1780783086.4757218,0.11,-0.05,0.76
1780783086.575032,0.12,-0.06,0.72
1780783086.67497,0.13,-0.08,0.7
1780783086.774873,0.11,-0.06,0.76
1780783086.8797343,0.1,-0.06,0.76
1780783086.9743414,0.09,-0.04,0.8
1780783087.0752685,0.09,-0.02,0.76
1780783087.1759079,0.07,-0.02,0.79
1780783087.275269,0.07,-0.02,0.78
1780783087.375203,0.07,-0.02,0.77
1780783087.4753532,0.06,-0.03,0.79
1780783087.582813,0.06,-0.02,0.83
1780783087.6757333,0.07,-0.02,0.78
1780783087.7742684,0.06,-0.03,0.73
1780783087.8746693,0.08,-0.03,0.71
1780783087.9758792,0.12,-0.05,0.65
1780783088.0748477,0.11,-0.04,0.69
1780783088.1791134,0.1,-0.04,0.68
1780783088.2754817,0.09,-0.04,0.75
1780783088.3749719,0.08,-0.03,0.72
1780783088.474417,0.09,-0.05,0.69
1780783088.5757241,0.08,-0.04,0.72
1780783088.6756046,0.09,-0.03,0.74
1780783088.7758472,0.1,-0.03,0.68
1780783088.880485,0.08,-0.03,0.72
1780783088.975083,0.07,-0.04,0.67
1780783089.0743735,0.07,-0.04,0.65
1780783089.1743817,0.07,-0.04,0.68
1780783089.2756004,0.08,-0.06,0.63
1780783089.3755152,0.09,-0.06,0.61
1780783089.4746616,0.08,-0.06,0.65
1780783089.575681,0.1,-0.05,0.66
1780783089.6757627,0.11,-0.06,0.66
1780783089.7746356,0.1,-0.05,0.69
1780783089.8831708,0.11,-0.05,0.69
1780783089.975256,0.12,-0.05,0.66
1780783090.0752401,0.13,-0.06,0.63
1780783090.1742501,0.13,-0.07,0.65
1780783090.2750416,0.12,-0.07,0.64
1780783090.3753948,0.1,-0.06,0.68
1780783090.4751227,0.1,-0.05,0.68
1780783090.5796978,0.1,-0.04,0.65
1780783090.6754887,0.09,-0.04,0.67
1780783090.775726,0.1,-0.06,0.66
1780783090.875728,0.09,-0.05,0.7
1780783090.9750943,0.08,-0.03,0.76
1780783091.0742636,0.06,-0.02,0.7
1780783091.1751697,0.05,-0.02,0.69
1780783091.2823799,0.11,-0.06,0.64
1780783091.375332,0.1,-0.08,0.67
1780783091.4745739,0.09,-0.07,0.69
1780783091.5761962,0.09,-0.06,0.71
1780783091.674779,0.09,-0.05,0.71
1780783091.7751768,0.14,-0.07,0.76
1780783091.8745246,0.13,-0.08,0.69
1780783091.975032,0.12,-0.06,0.73
1780783092.0748081,0.1,-0.06,0.75
1780783092.1749249,0.1,-0.06,0.71
1780783092.2751136,0.11,-0.05,0.78
1780783092.3757155,0.14,-0.08,0.77
1780783092.47745,0.14,-0.08,0.72
1780783092.574879,0.13,-0.07,0.7
1780783092.6757097,0.11,-0.06,0.74
1780783092.7753837,0.12,-0.07,0.76
1780783092.8742578,0.15,-0.09,0.74
1780783092.9747415,0.15,-0.07,0.86
1780783093.0750833,0.12,-0.07,0.85
1780783093.1756206,0.08,-0.04,0.88
1780783093.2753549,0.07,-0.03,0.88
1780783093.3748298,0.1,-0.05,0.82
1780783093.4749103,0.13,-0.07,0.87
1780783093.5751972,0.1,-0.01,0.79
1780783093.6742284,0.13,0.01,0.79
1780783093.7750516,0.11,0.03,0.8
1780783093.8743124,0.15,-0.01,0.75
1780783093.9743085,0.14,0.02,0.69
1780783094.0753462,0.12,0.06,0.67
1780783094.1754346,0.13,0.12,0.66
1780783094.2746997,0.11,0.18,0.67
1780783094.3755066,0.04,0.22,0.63
1780783094.474316,-0.08,0.28,0.68
1780783094.5744472,-0.18,0.29,0.65
1780783094.6756887,-0.25,0.25,0.67
1780783094.7749128,-0.39,0.24,0.65
1780783094.8745537,-0.4,0.12,0.65
1780783094.9762223,-0.51,0.06,0.66
1780783095.0743563,-0.52,-0.05,0.69
1780783095.1760988,-0.65,-0.09,0.7
1780783095.2768638,-0.72,-0.18,0.65
1780783095.3747554,-0.87,-0.19,0.67
1780783095.4755845,-1.0,-0.17,0.73
1780783095.5743232,-1.07,-0.21,0.68
1780783095.6753595,-1.13,-0.22,0.67
1780783095.7752512,-1.2,-0.19,0.68
1780783095.8752024,-1.24,-0.15,0.69
1780783095.9746883,-1.28,-0.08,0.79
1780783096.0746245,-1.29,0.0,0.8
1780783096.174617,-1.34,0.18,0.76
1780783096.2755077,-1.28,0.28,0.82
1780783096.374545,-1.18,0.4,0.83
1780783096.4743187,-1.08,0.53,0.84
1780783096.5750523,-0.94,0.67,0.81
1780783096.67473,-0.73,0.75,0.75
1780783096.7748747,-0.5,0.8,0.71
1780783096.8753006,-0.29,0.83,0.74
1780783096.9746997,-0.13,0.88,0.68
1780783097.0745263,0.03,0.86,0.74
1780783097.174767,0.23,0.76,0.75
1780783097.2748735,0.37,0.66,0.74
1780783097.3745625,0.48,0.58,0.73
1780783097.4744842,0.62,0.44,0.7
1780783097.5755682,0.74,0.32,0.67
