Time,POSX,POSY,POSZ
1780783085.167538,0.120000,-0.070000,0.670000
1780783085.184105,0.112831,-0.055662,0.716522
1780783085.195761,0.106384,-0.052550,0.730900
1780783085.204526,0.111795,-0.059846,0.743695
1780783085.218171,0.115724,-0.069597,0.756592
1780783085.225358,0.118395,-0.076198,0.799025
1780783085.235112,0.110975,-0.071170,0.823409
1780783085.248405,0.101383,-0.062893,0.817845
1780783085.257100,0.090655,-0.057101,0.800857
1780783085.359410,0.100489,-0.061628,0.794042
1780783085.368135,0.103636,-0.060789,0.802317
1780783085.385949,0.114201,-0.068432,0.801239
1780783085.489831,0.113606,-0.065763,0.806738
1780783085.575215,0.121056,-0.071802,0.807181
1780783085.676800,0.126237,-0.076080,0.786959
1780783085.774563,0.125606,-0.070890,0.770854
1780783085.874819,0.116697,-0.062849,0.758360
1780783085.975733,0.114009,-0.061003,0.732366
1780783086.075419,0.108037,-0.055785,0.725832
1780783086.190432,0.107828,-0.052185,0.718390
1780783086.274220,0.103855,-0.045821,0.710192
1780783086.377739,0.113252,-0.053626,0.704700
1780783086.475722,0.112207,-0.051599,0.717908
1780783086.575032,0.115429,-0.054286,0.715914
1780783086.674970,0.121767,-0.064432,0.708188
1780783086.774873,0.118180,-0.063735,0.722436
1780783086.879734,0.111321,-0.063005,0.734134
1780783086.974341,0.102245,-0.054255,0.756708
1780783087.075269,0.095797,-0.039772,0.761046
1780783087.175908,0.083400,-0.029465,0.773828
1780783087.275269,0.074874,-0.022517,0.779995
1780783087.375203,0.069374,-0.018158,0.780804
1780783087.475353,0.062114,-0.019742,0.787348
1780783087.582813,0.057602,-0.017519,0.805134
1780783087.675733,0.059141,-0.016400,0.801892
1780783087.774268,0.056942,-0.020066,0.781887
1780783087.874669,0.063948,-0.023089,0.758884
1780783087.975879,0.085602,-0.033536,0.720792
1780783088.074848,0.097388,-0.037125,0.704490
1780783088.179113,0.101453,-0.039509,0.689438
1780783088.275482,0.099726,-0.040973,0.702029
1780783088.374972,0.093847,-0.037735,0.703278
1780783088.474417,0.093205,-0.043213,0.695137
1780783088.575724,0.088521,-0.043023,0.699340
1780783088.675605,0.089040,-0.038624,0.709973
1780783088.775847,0.093461,-0.035274,0.698932
1780783088.880485,0.088588,-0.032831,0.703713
1780783088.975083,0.080927,-0.035165,0.691280
1780783089.074373,0.075435,-0.036965,0.675109
1780783089.174382,0.071700,-0.038295,0.672788
1780783089.275600,0.073359,-0.047293,0.655082
1780783089.375515,0.078938,-0.053733,0.635166
1780783089.474662,0.079167,-0.058103,0.633652
1780783089.575681,0.087435,-0.056841,0.636900
1780783089.675763,0.097458,-0.059543,0.640407
1780783089.774636,0.100464,-0.057163,0.653827
1780783089.883171,0.106250,-0.055141,0.664891
1780783089.975256,0.114050,-0.053502,0.663797
1780783090.075240,0.123236,-0.056260,0.652903
1780783090.174250,0.129289,-0.062251,0.650924
1780783090.275042,0.128930,-0.066479,0.646233
1780783090.375395,0.119904,-0.065268,0.655994
1780783090.475123,0.112843,-0.060071,0.663907
1780783090.579698,0.107549,-0.052092,0.660186
1780783090.675489,0.099724,-0.046313,0.663737
1780783090.775726,0.098266,-0.050394,0.663160
1780783090.875728,0.093511,-0.049607,0.675848
1780783090.975094,0.086347,-0.041108,0.705613
1780783091.074264,0.073475,-0.031071,0.708772
1780783091.175170,0.060628,-0.024149,0.707062
1780783091.282380,0.076252,-0.035792,0.688362
1780783091.375332,0.084383,-0.052838,0.683005
1780783091.474574,0.086519,-0.061265,0.685301
1780783091.576196,0.088086,-0.062999,0.693736
1780783091.674779,0.089182,-0.059751,0.700316
1780783091.775177,0.110060,-0.065054,0.721846
1780783091.874525,0.121007,-0.072666,0.715247
1780783091.975032,0.124267,-0.069765,0.722632
1780783092.074808,0.117793,-0.067212,0.734624
1780783092.174925,0.112433,-0.065082,0.730274
1780783092.275114,0.112219,-0.059353,0.749393
