Time,POSX,POSY,POSZ
1780783019.861158,0.120000,0.000000,0.680000
1780783019.864883,0.112831,0.000000,0.674831
1780783019.868465,0.116166,0.000000,0.665003
1780783019.873257,0.113531,0.000000,0.676662
1780783019.877458,0.102548,0.009126,0.664072
1780783019.881587,0.090420,0.015448,0.657704
1780783019.887854,0.109812,0.001293,0.634482
1780783019.892004,0.123455,-0.013022,0.650523
1780783019.948401,0.123974,-0.013959,0.663341
1780783019.956553,0.123955,-0.014183,0.705403
1780783019.974756,0.123631,-0.013983,0.708794
1780783020.074241,0.131352,-0.013547,0.707070
1780783020.174899,0.136629,-0.013003,0.687939
1780783020.274179,0.144095,-0.012433,0.709791
1780783020.377276,0.157112,-0.011892,0.743310
1780783020.475665,0.165952,-0.011412,0.742128
1780783020.575141,0.171566,-0.011007,0.720128
1780783020.676009,0.190910,-0.026806,0.688724
1780783020.774454,0.200030,-0.034154,0.700281
1780783020.874971,0.197409,-0.035000,0.706403
1780783020.974943,0.198412,-0.035085,0.731168
1780783021.074113,0.182180,-0.030677,0.743917
1780783021.174314,0.173817,-0.031180,0.779886
1780783021.275783,0.159602,-0.027350,0.794152
1780783021.375259,0.157531,-0.028476,0.810657
1780783021.474485,0.148441,-0.025246,0.802344
1780783021.575241,0.138274,-0.022877,0.774451
1780783021.680887,0.127479,-0.017190,0.748184
1780783021.775224,0.120407,-0.013192,0.720630
1780783021.875601,0.112121,-0.010536,0.689338
1780783021.974952,0.106996,-0.008906,0.668879
1780783022.075224,0.120313,-0.016087,0.637538
1780783022.175054,0.138819,-0.021542,0.607785
1780783022.274526,0.148455,-0.025510,0.579658
1780783022.384487,0.155177,-0.024225,0.592860
1780783022.475590,0.155565,-0.023102,0.638711
1780783022.574893,0.151297,-0.018141,0.659806
1780783022.680799,0.147801,-0.014495,0.656927
1780783022.775487,0.132965,-0.011941,0.657915
1780783022.874414,0.118149,-0.010253,0.662011
1780783022.974285,0.111810,-0.009225,0.661897
1780783023.075648,0.103843,-0.008676,0.665025
1780783023.174489,0.102796,-0.008459,0.674033
1780783023.275682,0.102776,-0.004429,0.671036
1780783023.373987,0.103371,0.002380,0.655137
1780783023.475074,0.104284,0.007085,0.632533
1780783023.574481,0.125463,-0.005985,0.605018
1780783023.674547,0.136977,-0.011774,0.584020
1780783023.776483,0.144945,-0.011891,0.571907
1780783023.876843,0.142064,-0.007770,0.573641
1780783023.976665,0.143361,-0.004658,0.602838
1780783024.075205,0.143853,-0.002408,0.616877
1780783024.175541,0.147854,-0.000863,0.614921
1780783024.274337,0.146391,-0.003899,0.600072
1780783024.374503,0.140950,-0.006224,0.591720
1780783024.476062,0.132751,-0.007929,0.588772
1780783024.576245,0.138878,-0.009121,0.586873
1780783024.675390,0.139439,-0.009906,0.589098
1780783024.777804,0.135790,-0.010383,0.591216
1780783024.874891,0.125064,-0.006605,0.603083
1780783024.975595,0.121426,-0.003794,0.605944
1780783025.074864,0.115104,-0.001797,0.604777
1780783025.175377,0.110901,-0.000455,0.603721
1780783025.274373,0.104286,0.004416,0.592857
1780783025.374800,0.104007,0.011823,0.584272
1780783025.474674,0.124499,-0.003222,0.571079
1780783025.574127,0.143746,-0.010422,0.567668
1780783025.675281,0.153410,-0.011495,0.558894
1780783025.774265,0.171825,-0.024102,0.545885
1780783025.875845,0.172253,-0.028932,0.552840
1780783025.974251,0.159386,-0.031906,0.569004
1780783026.077364,0.149235,-0.029489,0.572238
1780783026.175292,0.141560,-0.027250,0.571534
1780783026.275792,0.131975,-0.021272,0.584232
1780783026.381086,0.125248,-0.016757,0.604155
1780783026.475624,0.116760,-0.013494,0.619547
1780783026.574773,0.119187,-0.011252,0.660848
1780783026.674378,0.113483,-0.005778,0.712345
1780783026.774122,0.113816,0.002006,0.728065
1780783026.876532,0.114535,-0.008799,0.724851
1780783026.976550,0.115423,-0.017031,0.716795
1780783027.077508,0.104246,-0.014973,0.721960
1780783027.175771,0.096376,-0.013326,0.731351
1780783027.275240,0.103235,-0.012064,0.724294
1780783027.381969,0.104708,-0.011137,0.710964
1780783027.474230,0.106032,-0.006457,0.696370
1780783027.574065,0.111186,-0.003121,0.667938
1780783027.675648,0.119035,-0.004898,0.678723
1780783027.774532,0.128672,0.001674,0.674484
1780783027.875451,0.131346,0.006297,0.664762
1780783027.974549,0.132829,0.009367,0.650781
1780783028.074826,0.121384,-0.012931,0.623660
1780783028.174317,0.120817,-0.033388,0.616261
1780783028.285091,0.148625,-0.067990,0.604901
1780783028.375366,0.176764,-0.096206,0.613595
1780783028.474116,0.192323,-0.111018,0.657969
1780783028.580701,0.214348,-0.119774,0.713421
1780783028.674947,0.228811,-0.120148,0.766600
1780783028.774944,0.225451,-0.110616,0.777147
1780783028.874273,0.233399,-0.106384,0.763322
1780783028.974942,0.245919,-0.098450,0.743789
1780783029.074183,0.261798,-0.088133,0.750241
1780783029.174297,0.251811,-0.064327,0.771113
1780783029.274606,0.231084,-0.043201,0.766852
1780783029.375300,0.203166,-0.012517,0.759136
1780783029.474487,0.146595,0.032717,0.732407
1780783029.574331,0.118482,0.039507,0.734129
1780783029.674316,0.035655,0.070136,0.715733
1780783029.784050,-0.062134,0.106212,0.684797
1780783029.874189,-0.169040,0.141838,0.670889
1780783029.974635,-0.252592,0.156569,0.657647
1780783030.077635,-0.317702,0.159939,0.684808
1780783030.175187,-0.372883,0.151372,0.723886
1780783030.275211,-0.457140,0.175028,0.735106
1780783030.375976,-0.530350,0.186376,0.726897
1780783030.474408,-0.611139,0.204706,0.709911
1780783030.575110,-0.689165,0.248340,0.659789
1780783030.675449,-0.752773,0.281917,0.653653
1780783030.775288,-0.793700,0.315573,0.639975
1780783030.874840,-0.834611,0.336875,0.646824
1780783030.975940,-0.848061,0.365136,0.643379
1780783031.075364,-0.842307,0.410630,0.648087
1780783031.175464,-0.795678,0.472501,0.692273
1780783031.278577,-0.733096,0.553734,0.704265
1780783031.375695,-0.628962,0.636008,0.699935
1780783031.474981,-0.492980,0.717873,0.699202
1780783031.575277,-0.336809,0.794465,0.704808
1780783031.675417,-0.173136,0.866515,0.705542
1780783031.774706,-0.006975,0.930811,0.699084
1780783031.875953,0.162504,0.981215,0.720177
1780783031.974496,0.332325,1.009518,0.736582
1780783032.075377,0.492624,1.026282,0.765475
1780783032.174013,0.644691,1.027528,0.800623
1780783032.274987,0.798053,1.002441,0.836920
1780783032.374139,0.951904,0.971636,0.853736
1780783032.474081,1.101693,0.938324,0.864762
1780783032.574426,1.248234,0.900605,0.864651
1780783032.674733,1.400349,0.844780,0.842689
1780783032.774212,1.540330,0.776957,0.830431
1780783032.874016,1.663327,0.697757,0.813269
1780783032.975711,1.786346,0.595576,0.789351
1780783033.074778,1.905934,0.482210,0.773821
1780783033.174524,2.015446,0.354389,0.748804
1780783033.276201,2.122176,0.213726,0.719891
1780783033.374735,2.163027,0.097699,0.688312
1780783033.474502,2.152886,-0.006974,0.681555
1780783033.574205,2.164549,-0.143106,0.661533
1780783033.676438,2.142569,-0.273486,0.660737
1780783033.775342,2.118307,-0.414843,0.665211
1780783033.874712,2.086660,-0.555418,0.663585
1780783033.975835,2.031429,-0.682544,0.686647
1780783034.074136,1.968941,-0.803394,0.705728
1780783034.174147,1.895110,-0.907493,0.714417
1780783034.274107,1.798706,-1.007629,0.707870
1780783034.377243,1.691715,-1.097326,0.735602
1780783034.475068,1.562871,-1.184008,0.767231
1780783034.575420,1.424074,-1.257077,0.814628
1780783034.675475,1.280075,-1.320921,0.820846
1780783034.775711,1.126087,-1.374905,0.820483
1780783034.874752,0.966471,-1.418638,0.808536
1780783034.974777,0.800273,-1.455937,0.804370
1780783035.080926,0.634698,-1.485593,0.790233
1780783035.175359,0.466772,-1.502654,0.775141
1780783035.274815,0.302141,-1.511602,0.776277
1780783035.378181,0.144737,-1.519828,0.773937
1780783035.474462,0.009233,-1.536673,0.778773
1780783035.574497,-0.126338,-1.536425,0.769399
1780783035.675271,-0.274413,-1.524313,0.765324
1780783035.782031,-0.423734,-1.492365,0.758977
1780783035.874529,-0.573855,-1.443027,0.740958
1780783035.974595,-0.720413,-1.386444,0.740378
