Time,POSX,POSY,POSZ
1780783019.8611577,0.12,0.0,0.68
1780783019.8648834,0.11,0.0,0.67
1780783019.8684652,0.12,0.0,0.65
1780783019.8732567,0.11,0.0,0.7
1780783019.877458,0.09,0.02,0.64
1780783019.8815873,0.08,0.02,0.65
1780783019.8878536,0.14,-0.02,0.6
1780783019.8920045,0.14,-0.03,0.69
1780783019.948401,0.12,-0.01,0.69
1780783019.9565535,0.12,-0.01,0.78
1780783019.9747562,0.12,-0.01,0.7
1780783020.0742412,0.14,-0.01,0.69
1780783020.1748986,0.14,-0.01,0.64
1780783020.2741787,0.15,-0.01,0.75
1780783020.3772762,0.17,-0.01,0.8
1780783020.4756649,0.17,-0.01,0.72
1780783020.5751414,0.17,-0.01,0.66
1780783020.676009,0.21,-0.05,0.62
1780783020.7744539,0.2,-0.04,0.73
1780783020.8749712,0.18,-0.03,0.72
1780783020.9749432,0.19,-0.03,0.78
1780783021.0741131,0.15,-0.02,0.76
1780783021.1743143,0.16,-0.03,0.84
1780783021.2757826,0.14,-0.02,0.8
1780783021.3752587,0.16,-0.03,0.82
1780783021.4744854,0.14,-0.02,0.76
1780783021.5752409,0.13,-0.02,0.7
1780783021.6808867,0.12,-0.01,0.69
1780783021.7752242,0.12,-0.01,0.67
1780783021.8756008,0.11,-0.01,0.64
1780783021.9749522,0.11,-0.01,0.65
1780783022.0752242,0.15,-0.03,0.6
1780783022.1750536,0.17,-0.03,0.58
1780783022.274526,0.16,-0.03,0.56
1780783022.3844872,0.16,-0.02,0.66
1780783022.4755902,0.15,-0.02,0.76
1780783022.574893,0.14,-0.01,0.71
1780783022.680799,0.14,-0.01,0.65
1780783022.7754874,0.11,-0.01,0.66
1780783022.8744137,0.1,-0.01,0.67
1780783022.974285,0.11,-0.01,0.66
1780783023.0756483,0.1,-0.01,0.67
1780783023.1744895,0.11,-0.01,0.69
1780783023.2756822,0.11,0.0,0.66
1780783023.3739874,0.11,0.01,0.62
1780783023.475074,0.11,0.01,0.59
1780783023.574481,0.16,-0.03,0.56
1780783023.6745472,0.15,-0.02,0.56
1780783023.7764826,0.15,-0.01,0.57
1780783023.8768435,0.13,0.0,0.6
1780783023.976665,0.14,0.0,0.68
1780783024.0752048,0.14,0.0,0.65
1780783024.175541,0.15,0.0,0.61
1780783024.2743373,0.14,-0.01,0.57
1780783024.374503,0.13,-0.01,0.58
1780783024.4760616,0.12,-0.01,0.59
1780783024.5762453,0.15,-0.01,0.59
1780783024.6753902,0.14,-0.01,0.6
1780783024.7778041,0.13,-0.01,0.6
1780783024.8748906,0.11,0.0,0.63
1780783024.9755945,0.12,0.0,0.61
1780783025.074864,0.11,0.0,0.6
1780783025.1753767,0.11,0.0,0.6
1780783025.274373,0.1,0.01,0.57
1780783025.3748004,0.11,0.02,0.57
1780783025.474674,0.16,-0.03,0.55
1780783025.5741274,0.17,-0.02,0.57
1780783025.6752808,0.16,-0.01,0.55
1780783025.774265,0.19,-0.04,0.53
1780783025.8758454,0.16,-0.03,0.58
1780783025.9742508,0.13,-0.03,0.61
1780783026.077364,0.13,-0.02,0.58
1780783026.1752925,0.13,-0.02,0.57
1780783026.2757921,0.12,-0.01,0.61
1780783026.3810863,0.12,-0.01,0.64
1780783026.4756238,0.11,-0.01,0.64
1780783026.5747733,0.13,-0.01,0.73
1780783026.6743784,0.11,0.0,0.79
1780783026.7741215,0.12,0.01,0.72
1780783026.8765316,0.12,-0.03,0.68
1780783026.9765503,0.12,-0.03,0.67
1780783027.0775082,0.09,-0.01,0.71
1780783027.1757705,0.09,-0.01,0.73
1780783027.27524,0.12,-0.01,0.69
1780783027.381969,0.11,-0.01,0.67
1780783027.4742298,0.11,0.0,0.66
1780783027.5740654,0.12,0.0,0.61
1780783027.6756482,0.13,-0.01,0.71
1780783027.774532,0.14,0.01,0.67
1780783027.8754508,0.13,0.01,0.65
1780783027.9745488,0.13,0.01,0.63
1780783028.074826,0.1,-0.05,0.58
1780783028.174317,0.12,-0.06,0.62
1780783028.2850914,0.19,-0.11,0.6
1780783028.3753664,0.21,-0.12,0.65
1780783028.4741156,0.2,-0.11,0.76
1780783028.580701,0.23,-0.11,0.82
1780783028.6749465,0.23,-0.1,0.85
1780783028.7749436,0.2,-0.08,0.76
1780783028.874273,0.23,-0.09,0.7
1780783028.9749424,0.25,-0.08,0.68
1780783029.0741835,0.27,-0.07,0.75
1780783029.174297,0.22,-0.03,0.8
1780783029.274606,0.19,-0.02,0.74
1780783029.3753004,0.16,0.02,0.73
1780783029.4744868,0.07,0.08,0.67
1780783029.5743306,0.1,0.02,0.74
1780783029.6743164,-0.06,0.09,0.68
1780783029.7840497,-0.16,0.13,0.63
1780783029.8741887,-0.26,0.16,0.66
1780783029.9746354,-0.29,0.14,0.65
1780783030.0776346,-0.32,0.13,0.76
1780783030.175187,-0.36,0.11,0.81
1780783030.275211,-0.49,0.19,0.75
1780783030.3759756,-0.54,0.18,0.7
