Time,POSX,POSY,POSZ
1780529217.4256425,0.2289,0.1094,0.1069
1780529217.430905,0.2289,0.1094,0.1069
1780529217.4369287,0.2288,0.1095,0.1069
1780529217.4417956,0.2287,0.1095,0.1069
1780529217.447121,0.2288,0.1094,0.1069
1780529217.4529107,0.2288,0.1094,0.1069
1780529217.4579442,0.2289,0.1094,0.1069
1780529217.464031,0.2289,0.1094,0.1069
1780529217.4694605,0.2289,0.1094,0.1069
1780529217.4751306,0.2289,0.1094,0.1069
1780529217.480636,0.2289,0.1094,0.1069
1780529217.4866123,0.2288,0.1095,0.1069
1780529217.492067,0.2288,0.1094,0.1069
1780529217.4985383,0.2288,0.1095,0.1069
1780529217.502798,0.2288,0.1095,0.1069
1780529217.5088246,0.2289,0.1094,0.1069
1780529217.514373,0.2289,0.1094,0.1069
1780529217.5272422,0.2289,0.1095,0.1069
1780529217.5579545,0.2289,0.1095,0.1069
1780529217.558514,0.2289,0.1094,0.1069
1780529217.5589435,0.2288,0.1094,0.1069
1780529217.559346,0.2287,0.1094,0.1069
1780529217.559742,0.2288,0.1094,0.1069
1780529217.5601783,0.2288,0.1095,0.1069
1780529217.5606387,0.2289,0.1094,0.1069
1780529217.564229,0.2289,0.1094,0.1069
1780529217.5698125,0.2289,0.1094,0.1069
1780529217.574962,0.2289,0.1094,0.1069
1780529217.580727,0.2289,0.1095,0.1069
1780529217.5871525,0.2289,0.1093,0.1069
1780529217.5920594,0.2288,0.1094,0.1069
1780529217.598382,0.2288,0.1094,0.1069
1780529217.6035507,0.2288,0.1094,0.1069
1780529217.609814,0.2288,0.1094,0.1069
1780529217.6141999,0.2289,0.1094,0.1069
1780529217.6196892,0.2289,0.1093,0.1069
1780529217.6252325,0.2289,0.1094,0.1069
1780529217.6304407,0.2289,0.1094,0.1069
1780529217.6362321,0.2288,0.1094,0.1069
1780529217.6418507,0.2287,0.1095,0.1069
1780529217.6487408,0.2288,0.1093,0.1069
1780529217.6526065,0.2288,0.1094,0.1069
1780529217.666563,0.2289,0.1094,0.1069
1780529217.667964,0.2289,0.1094,0.1069
1780529217.669665,0.229,0.1093,0.1069
1780529217.676001,0.2289,0.1093,0.1069
1780529217.6811526,0.2289,0.1094,0.1069
1780529217.68748,0.2288,0.1095,0.1069
1780529217.6915305,0.2288,0.1095,0.1069
1780529217.6985564,0.2288,0.1093,0.1069
1780529217.7027047,0.2288,0.1094,0.1069
1780529217.7100341,0.2289,0.1094,0.1069
1780529217.7138352,0.2289,0.1093,0.1069
