timestamp,input_source,raw_x,raw_y,raw_z,filtered_x,filtered_y,filtered_z,vx,vy,vz,quality,valid,accepted,rejection_reason,accepted_count,outlier_count,invalid_count,mahalanobis_distance,implied_speed
1780529214.660532,python_udp,0.290000,0.190000,0.650000,0.290000,0.190000,0.650000,0.000000,0.000000,0.000000,49.000000,1,1,initialized,0,0,0,NaN,NaN
1780529220.996469,python_udp,0.290000,0.180000,0.680000,0.290000,0.181852,0.670755,0.000000,-0.003704,0.009434,45.000000,1,1,accepted,2,0,0,0.000640,0.316228
1780529221.002306,python_udp,0.290000,0.180000,0.650000,0.290000,0.180638,0.660981,0.000000,-0.005424,-0.007113,40.000000,1,1,accepted,3,0,0,0.000490,0.217486
1780529221.007704,python_udp,0.280000,0.190000,0.630000,0.284459,0.185584,0.646130,-0.015936,0.010359,-0.040084,42.000000,1,1,accepted,4,0,0,0.001350,0.333818
1780529221.073500,python_udp,0.290000,0.190000,0.640000,0.286894,0.188529,0.641109,-0.004019,0.016005,-0.042692,44.000000,1,1,accepted,5,0,0,0.000113,0.081751
1780529221.101222,python_udp,0.270000,0.200000,0.650000,0.277174,0.195706,0.643227,-0.030365,0.031774,-0.026387,48.000000,1,1,accepted,6,0,0,0.000825,0.232943
1780529221.160170,python_udp,0.270000,0.200000,0.650000,0.271826,0.199507,0.645157,-0.036597,0.033455,-0.015140,43.000000,1,1,accepted,7,0,0,0.000125,0.103414
1780529221.261196,python_udp,0.270000,0.190000,0.620000,0.269178,0.195763,0.632266,-0.033959,0.014967,-0.042190,40.000000,1,1,accepted,8,0,0,0.000894,0.269735
1780529221.360492,python_udp,0.270000,0.200000,0.650000,0.268085,0.198756,0.638496,-0.028065,0.018796,-0.017961,45.000000,1,1,accepted,9,0,0,0.000561,0.225218
1780529221.460280,python_udp,0.280000,0.200000,0.650000,0.273268,0.200291,0.642971,-0.007819,0.017921,-0.003640,43.000000,1,1,accepted,10,0,0,0.000588,0.198496
1780529221.561152,python_udp,0.280000,0.190000,0.640000,0.276549,0.195549,0.641386,0.002437,0.001430,-0.006405,41.000000,1,1,accepted,11,0,0,0.000379,0.144657
1780529221.660033,python_udp,0.280000,0.190000,0.620000,0.278524,0.192620,0.631073,0.006800,-0.006313,-0.028236,41.000000,1,1,accepted,12,0,0,0.000547,0.217501
1780529221.759893,python_udp,0.280000,0.200000,0.630000,0.279633,0.196309,0.629063,0.007882,0.004571,-0.026401,43.000000,1,1,accepted,13,0,0,0.000123,0.082392
1780529221.861142,python_udp,0.270000,0.200000,0.630000,0.274803,0.198510,0.628085,-0.006271,0.008962,-0.022658,44.000000,1,1,accepted,14,0,0,0.000233,0.114828
1780529221.961345,python_udp,0.280000,0.190000,0.620000,0.277315,0.194335,0.623118,0.001638,-0.003810,-0.028744,41.000000,1,1,accepted,15,0,0,0.000263,0.125001
1780529222.060121,python_udp,0.270000,0.200000,0.620000,0.273448,0.197213,0.620130,-0.008518,0.004399,-0.028998,44.000000,1,1,accepted,16,0,0,0.000171,0.096201
1780529222.161421,python_udp,0.280000,0.190000,0.610000,0.276587,0.193528,0.613875,0.001536,-0.005993,-0.036560,40.000000,1,1,accepted,17,0,0,0.000266,0.128715
1780529222.276169,python_udp,0.300000,0.200000,0.620000,0.289278,0.196740,0.614758,0.033119,0.003609,-0.026331,44.000000,1,1,accepted,18,0,0,0.001194,0.262044
1780529222.361047,python_udp,0.280000,0.200000,0.700000,0.285804,0.198664,0.652902,0.016023,0.007545,0.065574,48.000000,1,1,accepted,19,0,0,0.008754,0.888199
