Time,POSX,POSY,POSZ
1780530054.658017,0.060000,0.200000,0.560000
1780530054.759264,0.068148,0.216296,0.573836
1780530054.862193,0.063669,0.224416,0.567321
1780530054.959449,0.066901,0.234053,0.568320
1780530055.059331,0.068864,0.239314,0.578600
1780530055.159508,0.075558,0.241718,0.595153
1780530055.259679,0.090342,0.220177,0.629786
1780530055.359091,0.098293,0.207755,0.636707
1780530055.458112,0.107591,0.190160,0.639627
1780530055.558109,0.106738,0.191613,0.654325
1780530055.661692,0.100036,0.198811,0.653355
1780530055.759781,0.100998,0.198233,0.660791
1780530055.859062,0.095913,0.208992,0.678640
1780530055.959252,0.098160,0.226225,0.694023
1780530056.059743,0.094054,0.241428,0.688961
1780530056.158431,0.102392,0.228037,0.693551
1780530056.258422,0.101878,0.224806,0.686358
1780530056.359402,0.101386,0.217274,0.662232
1780530056.458366,0.084800,0.223595,0.632009
1780530056.558061,0.058973,0.238159,0.607822
1780530056.659163,0.060664,0.224919,0.606916
1780530056.759005,0.078882,0.200618,0.612440
1780530056.858235,0.090147,0.192008,0.617236
1780530056.958757,0.102068,0.193156,0.616502
1780530057.067411,0.097860,0.205396,0.602553
1780530057.158363,0.094852,0.213021,0.603045
1780530057.259876,0.087417,0.217483,0.599395
1780530057.359501,0.088373,0.198320,0.588222
1780530057.458545,0.083644,0.181609,0.576733
1780530057.560144,0.086360,0.161548,0.565231
1780530057.658233,0.077325,0.172295,0.553879
1780530057.759071,0.082947,0.168872,0.542748
1780530057.859227,0.081105,0.172838,0.545776
1780530057.959600,0.063935,0.186419,0.539606
1780530058.058984,0.064909,0.183743,0.540980
1780530058.157982,0.055268,0.192782,0.542660
1780530058.261302,0.060890,0.203319,0.548969
1780530058.358789,0.064718,0.214474,0.558144
1780530058.458708,0.067200,0.225757,0.573582
1780530058.560364,0.068724,0.231534,0.592854
1780530058.658961,0.069600,0.239379,0.595696
1780530058.764186,0.053887,0.253860,0.591983
1780530058.857930,0.039368,0.261369,0.579459
1780530058.958758,0.036793,0.259254,0.579992
1780530059.057899,0.052213,0.257023,0.580279
1780530059.158209,0.050956,0.265821,0.580403
