Time,POSX,POSY,POSZ
1780530054.5097733,0.07,0.24,0.59
1780530054.5146253,0.06,0.26,0.58
1780530054.5171998,0.07,0.26,0.6
1780530054.5209708,0.07,0.24,0.61
1780530054.5252755,0.09,0.22,0.61
1780530054.5286584,0.09,0.23,0.58
1780530054.5313692,0.09,0.23,0.58
1780530054.5353942,0.1,0.2,0.61
1780530054.5373006,0.09,0.19,0.6
1780530054.5400755,0.07,0.21,0.57
1780530054.559472,0.07,0.2,0.57
1780530054.658017,0.06,0.2,0.56
1780530054.7592638,0.07,0.22,0.58
1780530054.8621929,0.06,0.23,0.56
1780530054.9594488,0.07,0.24,0.57
1780530055.0593307,0.07,0.24,0.59
1780530055.1595085,0.08,0.24,0.61
1780530055.2596786,0.1,0.2,0.66
1780530055.3590908,0.1,0.2,0.63
1780530055.458112,0.11,0.18,0.63
1780530055.5581086,0.1,0.2,0.66
1780530055.6616917,0.09,0.21,0.64
1780530055.7597806,0.1,0.2,0.66
1780530055.8590617,0.09,0.22,0.69
1780530055.9592516,0.1,0.24,0.7
1780530056.059743,0.09,0.25,0.67
1780530056.158431,0.11,0.21,0.69
1780530056.258422,0.1,0.22,0.67
1780530056.3594024,0.1,0.21,0.63
1780530056.4583657,0.07,0.23,0.6
1780530056.5580614,0.04,0.25,0.59
1780530056.659163,0.07,0.21,0.62
1780530056.7590048,0.1,0.18,0.63
1780530056.8582351,0.1,0.19,0.63
1780530056.9587572,0.11,0.2,0.62
1780530057.0674107,0.09,0.22,0.59
1780530057.1583626,0.09,0.22,0.61
1780530057.2598758,0.08,0.22,0.6
1780530057.359501,0.09,0.18,0.58
1780530057.4585447,0.08,0.17,0.57
1780530057.560144,0.09,0.15,0.56
1780530057.6582327,0.07,0.19,0.55
1780530057.7590706,0.09,0.17,0.54
1780530057.8592274,0.08,0.18,0.56
1780530057.9596004,0.05,0.2,0.54
1780530058.0589836,0.07,0.18,0.55
1780530058.1579823,0.05,0.2,0.55
1780530058.2613022,0.07,0.21,0.56
1780530058.3587892,0.07,0.22,0.57
1780530058.4587078,0.07,0.23,0.59
1780530058.5603642,0.07,0.23,0.61
1780530058.658961,0.07,0.24,0.59
1780530058.7641857,0.04,0.26,0.58
1780530058.85793,0.03,0.26,0.56
1780530058.9587576,0.04,0.25,0.58
1780530059.0578995,0.07,0.25,0.58
1780530059.1582086,0.05,0.27,0.58
1780530059.25813,0.06,0.24,0.58
1780530059.358826,0.08,0.19,0.64
1780530059.4585135,0.09,0.21,0.66
1780530059.565329,0.09,0.2,0.64
1780530059.6595132,0.08,0.19,0.61
1780530059.7596352,0.07,0.2,0.62
1780530059.8586645,0.07,0.21,0.63
1780530059.9580708,0.07,0.21,0.61
1780530060.0581005,0.07,0.22,0.6
1780530060.1586072,0.07,0.22,0.6
1780530060.2582514,0.07,0.23,0.61
1780530060.3621755,0.08,0.23,0.6
1780530060.4595373,0.11,0.2,0.6
1780530060.5586066,0.11,0.22,0.63
1780530060.658665,0.11,0.19,0.61
1780530060.7585132,0.08,0.21,0.59
1780530060.8587635,0.08,0.22,0.59
1780530060.9584186,0.07,0.21,0.58
1780530061.059115,0.08,0.22,0.59
1780530061.1578612,0.04,0.24,0.57
1780530061.258961,0.07,0.23,0.56
1780530061.3737051,0.06,0.23,0.6
1780530061.4586213,0.04,0.25,0.57
1780530061.5637717,0.06,0.25,0.6
1780530061.6579845,0.05,0.25,0.62
1780530061.7787776,0.08,0.25,0.63
1780530061.86154,0.1,0.22,0.61
1780530061.9592302,0.12,0.2,0.61
1780530062.058933,0.1,0.21,0.64
1780530062.163271,0.07,0.23,0.61
1780530062.259048,0.08,0.24,0.62
1780530062.357874,0.1,0.2,0.62
1780530062.4590027,0.11,0.18,0.61
1780530062.5581248,0.09,0.19,0.6
1780530062.6625576,0.08,0.2,0.6
1780530062.758133,0.09,0.21,0.59
1780530062.8972163,0.07,0.24,0.58
1780530064.1410282,0.05,0.28,0.56
1780530064.1665127,0.06,0.28,0.62
1780530064.1851363,0.08,0.27,0.65
1780530064.1984594,0.07,0.26,0.62
1780530064.211238,0.06,0.25,0.62
1780530064.2203004,0.07,0.24,0.61
1780530064.2327595,0.09,0.21,0.61
1780530064.4281554,0.12,0.18,0.61
1780530064.443157,0.13,0.19,0.59
1780530064.450389,0.15,0.2,0.61
1780530064.4688897,0.17,0.22,0.61
1780530064.4784973,0.16,0.22,0.57
1780530064.4907734,0.16,0.22,0.57
1780530064.5000725,0.16,0.23,0.58
1780530064.5143054,0.16,0.24,0.63
1780530064.6472802,0.16,0.25,0.67
1780530064.6696754,0.16,0.19,0.66
1780530064.684528,0.14,0.19,0.78
1780530064.7774003,0.12,0.18,0.77
1780530064.8735368,0.1,0.16,0.76
1780530064.9582636,0.09,0.12,0.74
1780530065.081791,0.04,0.1,0.76
1780530065.1578379,0.03,0.04,0.78
1780530065.2642536,-0.04,0.04,0.74
1780530065.3584096,-0.11,0.01,0.81
1780530065.4590602,-0.17,0.0,0.77
1780530065.5597107,-0.27,-0.04,0.79
1780530065.669534,-0.34,-0.07,0.84
1780530065.7750132,-0.42,-0.09,0.88
1780530065.861763,-0.49,-0.12,0.91
1780530065.9807272,-0.56,-0.16,0.86
1780530066.059236,-0.61,-0.17,0.82
1780530066.1581128,-0.63,-0.19,0.79
1780530066.2588835,-0.62,-0.2,0.8
1780530066.3595583,-0.59,-0.2,0.81
1780530066.45799,-0.55,-0.24,0.78
1780530066.5651574,-0.48,-0.26,0.77
1780530066.6592264,-0.39,-0.3,0.74
1780530066.7587304,-0.32,-0.3,0.72
1780530066.8599195,-0.23,-0.33,0.72
1780530066.9588122,-0.12,-0.35,0.72
1780530067.059422,0.0,-0.37,0.77
1780530067.1588926,0.15,-0.44,0.79
1780530067.2589371,0.28,-0.48,0.82
1780530067.358067,0.44,-0.48,0.8
1780530067.463477,0.59,-0.51,0.81
