Time,POSX,POSY,POSZ
1776445396.0037966,0.3234,-0.0949,0.172
1776445396.0077732,0.3234,-0.0949,0.172
1776445396.0129914,0.3234,-0.0949,0.172
1776445396.0183885,0.3234,-0.0949,0.172
1776445396.0242126,0.3234,-0.0949,0.172
1776445396.0295556,0.3235,-0.095,0.172
1776445396.0351367,0.3235,-0.095,0.172
1776445396.042918,0.3235,-0.095,0.172
1776445396.0464232,0.3235,-0.095,0.172
1776445396.052046,0.3235,-0.095,0.172
1776445396.058035,0.3235,-0.095,0.172
1776445396.0641482,0.3235,-0.095,0.172
1776445396.068896,0.3235,-0.095,0.172
1776445396.0749085,0.3235,-0.095,0.172
1776445396.079255,0.3235,-0.095,0.172
1776445396.0853133,0.3235,-0.095,0.172
1776445396.1015837,0.3235,-0.095,0.172
1776445396.1023867,0.3235,-0.095,0.172
1776445396.1028478,0.3235,-0.095,0.172
1776445396.1078706,0.3235,-0.095,0.172
1776445396.1367598,0.3235,-0.095,0.172
1776445396.1375577,0.3235,-0.095,0.172
1776445396.1380222,0.3235,-0.095,0.172
1776445396.1383986,0.3235,-0.095,0.172
1776445396.1387734,0.3235,-0.095,0.172
1776445396.1405716,0.3235,-0.095,0.172
1776445396.146625,0.3235,-0.095,0.172
1776445396.1528544,0.3235,-0.095,0.172
1776445396.157393,0.3235,-0.095,0.172
1776445396.1628997,0.3235,-0.095,0.172
1776445396.168512,0.3235,-0.095,0.172
1776445396.1737363,0.3235,-0.095,0.172
1776445396.1794176,0.3234,-0.0949,0.172
1776445396.1851084,0.3234,-0.0949,0.172
1776445396.1906075,0.3234,-0.0949,0.172
1776445396.1960342,0.3234,-0.0949,0.172
1776445396.2013464,0.3234,-0.0949,0.172
1776445396.2073324,0.3234,-0.0949,0.172
1776445396.2125793,0.3234,-0.0949,0.172
1776445396.218432,0.3234,-0.0949,0.172
1776445396.223747,0.3234,-0.0949,0.172
1776445396.2301683,0.3234,-0.0949,0.172
1776445396.2346807,0.3234,-0.0949,0.172
1776445396.2497003,0.3234,-0.0949,0.172
1776445396.2526085,0.3234,-0.0949,0.172
1776445396.2537198,0.3234,-0.0949,0.172
1776445396.259675,0.3234,-0.0949,0.172
1776445396.2628453,0.3234,-0.0949,0.172
1776445396.268458,0.3234,-0.0949,0.172
1776445396.2735488,0.3234,-0.0949,0.172
1776445396.2792377,0.3234,-0.0949,0.172
1776445396.284862,0.3234,-0.0949,0.172
1776445396.2905734,0.3234,-0.0949,0.172
