Time,Filt_X,Filt_Y,Filt_Z
1776445440.219,0.1400,-0.0840,0.6400
1776445446.119,0.1063,-0.0840,0.6568
1776445446.224,0.1135,-0.0786,0.6586
1776445446.320,0.1213,-0.0810,0.6688
1776445446.419,0.1165,-0.0824,0.6746
1776445446.571,0.1182,-0.0878,0.6687
1776445446.619,0.1099,-0.0911,0.6604
1776445446.733,0.1003,-0.0884,0.6554
1776445446.820,0.1039,-0.0867,0.6617
1776445446.923,0.1153,-0.0856,0.6655
1776445447.078,0.1176,-0.0896,0.6678
1776445447.119,0.1189,-0.0919,0.6600
1776445447.240,0.1151,-0.0887,0.6598
1776445447.320,0.1174,-0.0823,0.6598
1776445447.419,0.1367,-0.0829,0.6552
1776445447.569,0.1483,-0.0788,0.6570
1776445447.620,0.1327,-0.0808,0.6716
1776445447.740,0.1322,-0.0821,0.6759
1776445447.820,0.1184,-0.0829,0.6739
1776445447.930,0.1190,-0.0833,0.6682
1776445448.019,0.1328,-0.0836,0.6648
1776445448.119,0.1277,-0.0838,0.6627
1776445448.247,0.1335,-0.0839,0.6569
1776445448.319,0.1325,-0.0839,0.6580
1776445448.418,0.1229,-0.0840,0.6542
1776445448.573,0.1216,-0.0796,0.6652
1776445448.620,0.1208,-0.0769,0.6719
1776445448.745,0.1114,-0.0753,0.6848
1776445448.819,0.0969,-0.0699,0.6926
1776445448.925,0.0927,-0.0712,0.6883
1776445449.020,0.0813,-0.0675,0.6900
1776445449.120,0.0790,-0.0698,0.6865
1776445449.281,0.0822,-0.0712,0.6799
1776445449.319,0.0843,-0.0721,0.6759
1776445449.438,0.0990,-0.0727,0.6734
1776445449.520,0.1035,-0.0730,0.6719
1776445449.619,0.1062,-0.0777,0.6577
1776445449.774,0.1123,-0.0850,0.6536
1776445449.819,0.1071,-0.0849,0.6556
1776445449.954,0.1084,-0.0893,0.6613
1776445450.019,0.1003,-0.0875,0.6604
1776445450.128,0.1088,-0.0863,0.6643
1776445450.219,0.1227,-0.0900,0.6578
1776445450.619,0.1178,-0.0923,0.6627
1776445450.774,0.1104,-0.0891,0.6702
1776445450.818,0.1058,-0.0872,0.6747
1776445450.951,0.1031,-0.0860,0.6775
1776445451.019,0.0793,-0.0764,0.6791
1776445451.120,0.0694,-0.0750,0.6755
1776445451.285,0.0679,-0.0742,0.6690
1776445451.319,0.0672,-0.0737,0.6649
1776445451.448,0.0714,-0.0691,0.6581
1776445451.519,0.0784,-0.0663,0.6451
1776445451.619,0.0784,-0.0646,0.6462
1776445451.772,0.0917,-0.0637,0.6425
1776445451.818,0.0909,-0.0676,0.6448
1776445451.932,0.0949,-0.0656,0.6507
1776445452.019,0.0973,-0.0644,0.6588
1776445452.118,0.1032,-0.0638,0.6637
1776445452.271,0.1111,-0.0634,0.6667
1776445452.319,0.1070,-0.0632,0.6729
1776445452.451,0.0956,-0.0676,0.6721
1776445452.519,0.0886,-0.0702,0.6717
1776445452.627,0.0889,-0.0763,0.6669
1776445452.719,0.1068,-0.0844,0.6684
1776445452.820,0.1088,-0.0848,0.6605
1776445452.969,0.1144,-0.0850,0.6512
1776445453.020,0.1221,-0.0807,0.6501
1776445453.145,0.1223,-0.0736,0.6583
1776445453.220,0.1090,-0.0692,0.6545
1776445453.342,0.0964,-0.0666,0.6522
1776445453.419,0.0844,-0.0651,0.6463
1776445453.581,0.0860,-0.0686,0.6473
1776445453.620,0.0916,-0.0753,0.6435
1776445453.746,0.0994,-0.0793,0.6457
1776445453.819,0.0908,-0.0817,0.6515
1776445453.921,0.0856,-0.0786,0.6595
1776445454.084,0.0825,-0.0768,0.6732
1776445454.120,0.0763,-0.0801,0.6726
1776445454.246,0.0770,-0.0776,0.6810
1776445454.319,0.0775,-0.0761,0.6816
1776445454.420,0.0868,-0.0708,0.6863
1776445454.575,0.1057,-0.0720,0.6846
1776445454.618,0.1039,-0.0683,0.6791
1776445454.741,0.1027,-0.0661,0.6712
1776445454.820,0.0931,-0.0603,0.6664
1776445454.925,0.1050,-0.0613,0.6547
1776445455.019,0.1077,-0.0576,0.6609
1776445455.119,0.1093,-0.0553,0.6691
1776445455.260,0.0925,-0.0540,0.6652
1776445455.319,0.0778,-0.0578,0.6673
1776445455.420,0.0602,-0.0601,0.6686
1776445455.576,0.0762,-0.0659,0.6649
1776445455.618,0.0860,-0.0695,0.6582
1776445455.736,0.0920,-0.0716,0.6542
1776445455.819,0.0912,-0.0729,0.6518
1776445455.920,0.0996,-0.0692,0.6504
1776445456.069,0.0913,-0.0670,0.6496
1776445456.119,0.1085,-0.0745,0.6403
1776445456.241,0.1188,-0.0835,0.6347
1776445456.319,0.1250,-0.0933,0.6359
1776445456.420,0.1242,-0.0903,0.6367
Time,Filt_X,Filt_Y,Filt_Z
1776445570.218,0.0700,-0.0740,0.6400
1776445575.519,0.0616,-0.0656,0.6400
1776445575.659,0.0607,-0.0593,0.6454
1776445575.719,0.0603,-0.0613,0.6430
1776445575.859,0.0601,-0.0625,0.6509
1776445575.920,0.0600,-0.0585,0.6463
1776445576.036,0.0645,-0.0562,0.6389
1776445576.118,0.0719,-0.0594,0.6344
1776445576.220,0.0717,-0.0614,0.6318
1776445576.389,0.0715,-0.0626,0.6303
1776445576.418,0.0667,-0.0679,0.6249
1776445576.579,0.0547,-0.0665,0.6309
1776445576.618,0.0430,-0.0746,0.6254
1776445576.752,0.0451,-0.0795,0.6268
1776445576.820,0.0465,-0.0824,0.6366
1776445576.954,0.0429,-0.0840,0.6381
1776445577.019,0.0408,-0.0849,0.6434
1776445577.135,0.0440,-0.0854,0.6422
1776445577.220,0.0506,-0.0856,0.6414
1776445577.326,0.0590,-0.0856,0.6365
1776445577.419,0.0685,-0.0856,0.6246
1776445577.519,0.0653,-0.0855,0.6219
1776445577.680,0.0545,-0.0854,0.6203
1776445577.719,0.0568,-0.0853,0.6283
1776445577.861,0.0582,-0.0808,0.6243
1776445577.919,0.0724,-0.0780,0.6175
1776445578.045,0.0809,-0.0763,0.6223
1776445578.119,0.0816,-0.0708,0.6253
1776445578.228,0.0774,-0.0675,0.6315
1776445578.320,0.0704,-0.0611,0.6398
1776445578.429,0.0706,-0.0528,0.6447
1776445578.519,0.0751,-0.0524,0.6432
1776445578.619,0.0911,-0.0566,0.6423
1776445578.802,0.1007,-0.0548,0.6461
1776445578.820,0.1108,-0.0582,0.6528
1776445578.991,0.1123,-0.0647,0.6657
1776445579.019,0.1087,-0.0687,0.6690
1776445579.163,0.1241,-0.0711,0.6708
1776445579.220,0.1332,-0.0770,0.6629
1776445579.353,0.1297,-0.0761,0.6714
1776445579.420,0.1274,-0.0755,0.6764
1776445579.533,0.1347,-0.0796,0.6749
1776445579.620,0.1345,-0.0776,0.6694
1776445579.718,0.1431,-0.0808,0.6705
1776445579.889,0.1481,-0.0826,0.6755
1776445579.919,0.1421,-0.0793,0.6829
1776445580.078,0.1384,-0.0773,0.6828
1776445580.119,0.1315,-0.0760,0.6738
1776445580.718,0.0962,-0.0708,0.6594
1776445580.842,0.0748,-0.0676,0.6640
1776445580.918,0.0709,-0.0613,0.6623
1776445581.019,0.0642,-0.0619,0.6569
1776445581.184,0.0737,-0.0624,0.6447
1776445581.219,0.0796,-0.0671,0.6418
1776445581.377,0.0921,-0.0745,0.6401
1776445581.419,0.0997,-0.0789,0.6348
Time,Filt_X,Filt_Y,Filt_Z
1776445595.727,0.0600,-0.0640,0.6500
1776445603.518,0.2367,-0.3584,1.4240
1776445603.647,0.2661,-0.4003,1.4950
1776445603.718,0.2837,-0.4282,1.5219
1776445603.853,0.2983,-0.4485,1.5321
1776445603.920,0.3113,-0.4648,1.5329
1776445604.073,0.3234,-0.4787,1.5372
1776445604.118,0.3395,-0.4911,1.5298
1776445604.270,0.3580,-0.5071,1.5249
1776445604.318,0.3685,-0.5207,1.5216
1776445604.453,0.3788,-0.5328,1.5284
1776445604.519,0.3754,-0.5440,1.5550
1776445604.630,0.3684,-0.5546,1.5796
1776445604.719,0.3592,-0.5604,1.6029
1776445604.818,0.3535,-0.5679,1.6254
1776445604.986,0.3498,-0.5718,1.6474
1776445605.019,0.3339,-0.5782,1.6645
1776445605.174,0.3108,-0.5860,1.6876
1776445605.218,0.2879,-0.5858,1.7321
1776445605.356,0.2741,-0.5852,1.7537
1776445605.419,0.2571,-0.5845,1.7704
1776445605.539,0.2425,-0.5792,1.7841
1776445605.619,0.2250,-0.5713,1.7960
1776445605.725,0.1970,-0.5618,1.8246
Time,Filt_X,Filt_Y,Filt_Z
1776445765.975,-0.0600,-0.2940,0.5900
1776445774.718,0.1083,-0.6137,1.4229
1776445774.918,0.1099,-0.6636,1.5109
1776445775.116,0.1155,-0.6855,1.5640
1776445775.124,0.1279,-0.7070,1.5752
1776445775.312,0.1352,-0.7195,1.5949
1776445775.323,0.1393,-0.7310,1.6057
