Time,POSX,POSY,POSZ
1779983114.4610603,-0.9283,-0.3384,0.0569
1779983114.46548,-0.9284,-0.3385,0.0569
1779983114.4718454,-0.9284,-0.3385,0.0569
1779983114.4773033,-0.9284,-0.3385,0.0569
1779983114.4840128,-0.9284,-0.3384,0.0569
1779983114.4954329,-0.9283,-0.3384,0.0569
1779983114.4965427,-0.9283,-0.3384,0.0569
1779983114.5025444,-0.9283,-0.3385,0.0569
1779983114.5042665,-0.9283,-0.3385,0.0569
1779983114.510365,-0.9283,-0.3385,0.0569
1779983114.5167577,-0.9284,-0.3385,0.0569
1779983114.521425,-0.9284,-0.3385,0.0569
1779983114.5262592,-0.9284,-0.3385,0.0569
1779983114.5322764,-0.9284,-0.3385,0.0569
1779983114.539482,-0.9284,-0.3385,0.0569
1779983114.5439596,-0.9283,-0.3385,0.0569
1779983114.5491214,-0.9283,-0.3385,0.0569
1779983114.555826,-0.9283,-0.3385,0.0569
1779983114.5603242,-0.9283,-0.3385,0.0569
1779983114.5652022,-0.9283,-0.3385,0.0569
1779983114.5711768,-0.9283,-0.3385,0.0569
1779983114.5766318,-0.9283,-0.3384,0.0569
1779983114.5824947,-0.9283,-0.3384,0.0569
1779983114.5875397,-0.9283,-0.3385,0.0569
1779983114.5931423,-0.9284,-0.3384,0.0569
1779983114.5991175,-0.9284,-0.3385,0.0569
1779983114.6054995,-0.9284,-0.3385,0.0569
1779983114.6097775,-0.9284,-0.3385,0.0569
1779983114.6154108,-0.9283,-0.3384,0.0569
1779983114.6211653,-0.9284,-0.3385,0.0569
1779983114.627374,-0.9283,-0.3385,0.0569
1779983114.7190313,-0.9283,-0.3385,0.0569
1779983114.7203531,-0.9283,-0.3385,0.0569
1779983114.7207024,-0.9283,-0.3385,0.0569
1779983114.7210183,-0.9283,-0.3384,0.0569
1779983114.721319,-0.9284,-0.3385,0.0569
1779983114.7216232,-0.9284,-0.3385,0.0569
1779983114.721918,-0.9284,-0.3385,0.0569
1779983114.7222114,-0.9284,-0.3385,0.0569
1779983114.722501,-0.9283,-0.3385,0.0569
1779983114.7227998,-0.9283,-0.3385,0.0569
1779983114.7230933,-0.9283,-0.3385,0.0569
1779983114.7233822,-0.9283,-0.3384,0.0569
1779983114.7237241,-0.9283,-0.3385,0.0569
1779983114.724016,-0.9284,-0.3385,0.0569
1779983114.724305,-0.9283,-0.3384,0.0569
1779983114.72459,-0.9284,-0.3384,0.0569
1779983114.7248843,-0.9284,-0.3385,0.0569
1779983114.7312355,-0.9283,-0.3385,0.0569
1779983114.7334285,-0.9284,-0.3385,0.0569
1779983114.7375488,-0.9283,-0.3385,0.0569
1779983114.7439826,-0.9283,-0.3385,0.0569
1779983114.7486818,-0.9283,-0.3385,0.0569
1779983114.755023,-0.9283,-0.3385,0.0569
1779983114.7645247,-0.9283,-0.3385,0.0569
1779983114.7651858,-0.9283,-0.3385,0.0569
1779983114.7707777,-0.9284,-0.3385,0.0569
1779983114.7781029,-0.9284,-0.3385,0.0569
1779983114.7878313,-0.9283,-0.3385,0.0569
1779983114.7882576,-0.9284,-0.3385,0.0569
1779983114.7939095,-0.9284,-0.3385,0.0569
1779983114.7993438,-0.9283,-0.3385,0.0569
1779983114.8042214,-0.9283,-0.3385,0.0569
1779983114.810212,-0.9283,-0.3385,0.0569
1779983114.8154833,-0.9284,-0.3385,0.0569
1779983114.8217998,-0.9284,-0.3385,0.0569
1779983114.826432,-0.9284,-0.3385,0.0569
1779983114.8322043,-0.9283,-0.3385,0.0569
1779983114.8376422,-0.9284,-0.3385,0.0569
1779983114.8435216,-0.9283,-0.3385,0.0569
1779983114.8482845,-0.9283,-0.3385,0.0569
1779983114.85441,-0.9283,-0.3385,0.0569
1779983114.8596783,-0.9283,-0.3385,0.0569
1779983114.865602,-0.9283,-0.3385,0.0569
1779983114.8712535,-0.9283,-0.3385,0.0569
1779983114.8781042,-0.9284,-0.3385,0.0569
1779983114.882189,-0.9283,-0.3385,0.0569
1779983114.8878946,-0.9283,-0.3385,0.0569
1779983114.8930035,-0.9283,-0.3385,0.0569
1779983114.8988304,-0.9283,-0.3385,0.0569
1779983114.9042618,-0.9284,-0.3385,0.0569
1779983114.910619,-0.9284,-0.3385,0.0569
1779983114.9151707,-0.9284,-0.3385,0.0569
1779983114.9216993,-0.9283,-0.3385,0.0569
1779983114.926462,-0.9283,-0.3385,0.0569
1779983114.9617572,-0.9283,-0.3385,0.0569
1779983114.9622135,-0.9283,-0.3385,0.0569
1779983114.9626148,-0.9283,-0.3384,0.0569
1779983114.9630404,-0.9284,-0.3385,0.0569
1779983114.9633963,-0.9284,-0.3385,0.0569
1779983114.9637249,-0.9284,-0.3385,0.0569
1779983114.9657938,-0.9284,-0.3385,0.0569
1779983114.9709928,-0.9284,-0.3385,0.0569
1779983114.9761372,-0.9284,-0.3385,0.0569
1779983114.9820635,-0.9283,-0.3385,0.0569
1779983114.9875956,-0.9284,-0.3385,0.0569
1779983114.9931712,-0.9283,-0.3385,0.0569
1779983114.9986572,-0.9283,-0.3384,0.0569
1779983115.0038855,-0.9284,-0.3385,0.0569
1779983115.0096223,-0.9284,-0.3385,0.0569
1779983115.0153525,-0.9284,-0.3385,0.0569
1779983115.0231063,-0.9284,-0.3385,0.0569
1779983115.026586,-0.9284,-0.3384,0.0569
1779983115.032372,-0.9283,-0.3384,0.0569
1779983115.0379126,-0.9284,-0.3385,0.0569
1779983115.0445786,-0.9283,-0.3384,0.0569
1779983115.0484776,-0.9284,-0.3384,0.0569
1779983115.0563405,-0.9284,-0.3384,0.0569
1779983115.0601804,-0.9283,-0.3384,0.0569
1779983115.0657802,-0.9284,-0.3385,0.0569
1779983115.0716786,-0.9284,-0.3384,0.0569
1779983115.0825984,-0.9283,-0.3384,0.0569
1779983115.0834937,-0.9283,-0.3385,0.0569
1779983115.0881326,-0.9283,-0.3385,0.0569
1779983115.0939999,-0.9283,-0.3385,0.0569
1779983115.100765,-0.9284,-0.3385,0.0569
1779983115.1050415,-0.9283,-0.3384,0.0569
1779983115.1192875,-0.9284,-0.3385,0.0569
1779983115.1235251,-0.9284,-0.3384,0.0569
1779983115.1297672,-0.9284,-0.3385,0.0569
1779983115.1310637,-0.9283,-0.3385,0.0569
1779983115.131736,-0.9284,-0.3385,0.0569
1779983115.1392283,-0.9284,-0.3385,0.0569
1779983115.1433816,-0.9283,-0.3385,0.0569
1779983115.1484573,-0.9284,-0.3385,0.0569
1779983115.1542902,-0.9284,-0.3385,0.0569
1779983115.1614733,-0.9284,-0.3385,0.0569
1779983115.166935,-0.9284,-0.3385,0.0569
1779983115.1714156,-0.9283,-0.3385,0.0569
1779983115.1773427,-0.9284,-0.3385,0.0569
1779983115.1819665,-0.9283,-0.3385,0.0569
1779983115.1875622,-0.9283,-0.3384,0.0569
1779983115.1932762,-0.9283,-0.3384,0.0569
1779983115.1992745,-0.9284,-0.3384,0.0569
1779983115.207363,-0.9283,-0.3384,0.0569
1779983115.2144668,-0.9284,-0.3385,0.0569
1779983115.2229226,-0.9284,-0.3384,0.0569
1779983115.2238739,-0.9284,-0.3384,0.0569
1779983115.2263389,-0.9284,-0.3384,0.0569
1779983115.2333388,-0.9283,-0.3385,0.0569
1779983115.252302,-0.9283,-0.3384,0.0569
1779983115.2528718,-0.9283,-0.3385,0.0569
1779983115.2532148,-0.9284,-0.3385,0.0569
1779983115.2544744,-0.9283,-0.3384,0.0569
1779983115.260833,-0.9284,-0.3385,0.0569
1779983115.2659004,-0.9284,-0.3385,0.0569
1779983115.270879,-0.9284,-0.3384,0.0569
1779983115.276773,-0.9284,-0.3384,0.0569
1779983115.2833009,-0.9284,-0.3385,0.0569
1779983115.288667,-0.9284,-0.3385,0.0569
1779983115.2937145,-0.9283,-0.3385,0.0569
1779983115.2984483,-0.9283,-0.3385,0.0569
1779983115.3061645,-0.9284,-0.3385,0.0569
1779983115.3094404,-0.9284,-0.3385,0.0569
1779983115.3175826,-0.9284,-0.3385,0.0569
1779983115.3206794,-0.9284,-0.3385,0.0569
1779983115.3269086,-0.9284,-0.3385,0.0569
1779983115.3328407,-0.9283,-0.3385,0.0569
1779983115.3394015,-0.9284,-0.3385,0.0569
1779983115.3433125,-0.9283,-0.3385,0.0569
1779983115.3485343,-0.9283,-0.3385,0.0569
1779983115.3546336,-0.9284,-0.3385,0.0569
1779983115.360297,-0.9284,-0.3385,0.0569
1779983115.3705845,-0.9284,-0.3385,0.0569
1779983115.376351,-0.9284,-0.3385,0.0569
1779983115.3852565,-0.9284,-0.3385,0.0569
1779983115.390607,-0.9283,-0.3385,0.0569
1779983115.3910944,-0.9283,-0.3384,0.0569
1779983115.3941464,-0.9283,-0.3385,0.0569
1779983115.4080358,-0.9284,-0.3385,0.0569
1779983115.408568,-0.9284,-0.3385,0.0569
1779983115.4103203,-0.9284,-0.3385,0.0569
1779983115.4154334,-0.9284,-0.3385,0.0569
1779983115.4218874,-0.9284,-0.3385,0.0569
1779983115.426483,-0.9283,-0.3385,0.0569
1779983115.4323654,-0.9283,-0.3385,0.0569
1779983115.4372935,-0.9283,-0.3385,0.0569
1779983115.442893,-0.9283,-0.3385,0.0569
1779983115.4486802,-0.9283,-0.3385,0.0569
1779983115.4561114,-0.9283,-0.3385,0.0569
1779983115.4597838,-0.9284,-0.3384,0.0569
1779983115.4682703,-0.9284,-0.3384,0.0569
1779983115.4706194,-0.9284,-0.3385,0.0569
1779983115.4772596,-0.9284,-0.3385,0.0569
1779983115.4851472,-0.9284,-0.3385,0.0569
1779983115.4886713,-0.9284,-0.3385,0.0569
1779983115.4964008,-0.9283,-0.3385,0.0569
1779983115.5246103,-0.9283,-0.3385,0.0569
1779983115.525116,-0.9284,-0.3385,0.0569
1779983115.5255718,-0.9284,-0.3385,0.0569
1779983115.5259814,-0.9284,-0.3385,0.0569
1779983115.5264442,-0.9284,-0.3385,0.0569
1779983115.5294209,-0.9283,-0.3385,0.0569
1779983115.5322092,-0.9284,-0.3385,0.0569
1779983115.5376399,-0.9284,-0.3385,0.0568
1779983115.5466912,-0.9283,-0.3384,0.0569
1779983115.5490222,-0.9284,-0.3385,0.0569
1779983115.5544298,-0.9284,-0.3385,0.0569
1779983115.5598607,-0.9283,-0.3385,0.0569
1779983115.5675764,-0.9284,-0.3385,0.0569
1779983115.5714626,-0.9284,-0.3385,0.0569
1779983115.5762432,-0.9284,-0.3385,0.0569
1779983115.5874636,-0.9283,-0.3385,0.0569
1779983115.587978,-0.9283,-0.3385,0.0569
1779983115.5960853,-0.9284,-0.3385,0.0569
1779983115.599639,-0.9284,-0.3385,0.0569
1779983115.6085393,-0.9284,-0.3385,0.0569
1779983115.6111307,-0.9284,-0.3385,0.0569
1779983115.6157334,-0.9284,-0.3385,0.0569
1779983115.620985,-0.9284,-0.3385,0.0569
1779983115.6301982,-0.9284,-0.3385,0.0569
1779983115.6328115,-0.9283,-0.3385,0.0569
1779983115.6380718,-0.9283,-0.3385,0.0569
1779983115.652202,-0.9283,-0.3385,0.0569
1779983115.6780632,-0.9284,-0.3385,0.0569
1779983115.6785505,-0.9284,-0.3385,0.0569
1779983115.678881,-0.9284,-0.3385,0.0569
1779983115.6791792,-0.9284,-0.3385,0.0569
1779983115.679579,-0.9284,-0.3385,0.0569
1779983115.6799502,-0.9284,-0.3385,0.0569
1779983115.6826823,-0.9284,-0.3385,0.0569
1779983115.6921997,-0.9283,-0.3385,0.0569
1779983115.693231,-0.9283,-0.3385,0.0569
1779983115.7003007,-0.9283,-0.3385,0.0569
1779983115.7070158,-0.9283,-0.3385,0.0569
1779983115.7373724,-0.9283,-0.3385,0.0569
1779983115.7378788,-0.9284,-0.3385,0.0569
1779983115.7382593,-0.9284,-0.3385,0.0569
1779983115.7385745,-0.9284,-0.3385,0.0569
1779983115.7388961,-0.9284,-0.3385,0.0569
1779983115.7392194,-0.9284,-0.3385,0.0569
1779983115.7441607,-0.9283,-0.3385,0.0569
1779983115.7512424,-0.9283,-0.3385,0.0569
1779983115.7542155,-0.9284,-0.3385,0.0569
1779983115.7601638,-0.9284,-0.3385,0.0569
1779983115.7704122,-0.9283,-0.3385,0.0569
1779983115.772848,-0.9283,-0.3385,0.0569
1779983115.7775843,-0.9284,-0.3385,0.0569
1779983115.7906787,-0.9284,-0.3384,0.0569
1779983115.7919238,-0.9284,-0.3385,0.0569
1779983115.7929118,-0.9283,-0.3385,0.0569
1779983115.7989023,-0.9283,-0.3385,0.0569
1779983115.8052459,-0.9283,-0.3385,0.0569
1779983115.8123367,-0.9284,-0.3385,0.0569
1779983115.8157132,-0.9284,-0.3384,0.0569
1779983115.822296,-0.9283,-0.3385,0.0569
1779983115.8269303,-0.9283,-0.3385,0.0569
1779983115.832149,-0.9284,-0.3385,0.0569
1779983115.838273,-0.9283,-0.3385,0.0569
1779983115.8430524,-0.9283,-0.3385,0.0569
1779983115.8488529,-0.9283,-0.3385,0.0569
1779983115.857487,-0.9283,-0.3385,0.0569
1779983115.8626502,-0.9283,-0.3385,0.0569
1779983115.8651927,-0.9284,-0.3385,0.0569
1779983115.873354,-0.9283,-0.3385,0.0569
1779983115.8768802,-0.9283,-0.3385,0.0569
1779983115.896019,-0.9283,-0.3385,0.0569
1779983115.8965452,-0.9283,-0.3385,0.0569
1779983115.8969126,-0.9283,-0.3385,0.0569
1779983115.8983455,-0.9283,-0.3385,0.0569
1779983115.9040115,-0.9283,-0.3385,0.0569
1779983115.9097075,-0.9284,-0.3385,0.0569
1779983115.915822,-0.9283,-0.3385,0.0569
1779983115.9207132,-0.9283,-0.3385,0.0569
1779983115.9264205,-0.9284,-0.3385,0.0569
1779983115.934565,-0.9284,-0.3385,0.0569
1779983115.9430537,-0.9283,-0.3385,0.0569
1779983115.9487984,-0.9283,-0.3385,0.0569
1779983115.9497721,-0.9284,-0.3385,0.0569
1779983115.954275,-0.9283,-0.3385,0.0569
1779983115.9630082,-0.9284,-0.3384,0.0569
1779983115.9756281,-0.9284,-0.3385,0.0569
1779983115.9760802,-0.9283,-0.3385,0.0569
1779983115.9768655,-0.9284,-0.3385,0.0569
1779983115.981949,-0.9284,-0.3385,0.0569
1779983115.9907043,-0.9283,-0.3385,0.0569
1779983115.9934587,-0.9284,-0.3385,0.0569
1779983115.998573,-0.9284,-0.3385,0.0569
1779983116.0042365,-0.9284,-0.3385,0.0569
1779983116.010301,-0.9284,-0.3385,0.0569
1779983116.0179183,-0.9284,-0.3385,0.0569
1779983116.026998,-0.9284,-0.3385,0.0569
1779983116.0289216,-0.9284,-0.3384,0.0569
1779983116.0325816,-0.9284,-0.3385,0.0569
1779983116.0375254,-0.9284,-0.3385,0.0569
1779983116.0433288,-0.9283,-0.3385,0.0569
1779983116.0487502,-0.9284,-0.3385,0.0569
1779983116.0604155,-0.9284,-0.3385,0.0569
1779983116.063965,-0.9284,-0.3385,0.0569
1779983116.0653236,-0.9284,-0.3385,0.0569
1779983116.0709476,-0.9284,-0.3385,0.0569
1779983116.0816119,-0.9284,-0.3384,0.0569
1779983116.0833554,-0.9283,-0.3385,0.0569
1779983116.0960724,-0.9284,-0.3385,0.0569
1779983116.0966136,-0.9283,-0.3385,0.0569
1779983116.0990946,-0.9283,-0.3385,0.0569
1779983116.1046877,-0.9283,-0.3385,0.0569
1779983116.111892,-0.9284,-0.3385,0.0569
1779983116.1153831,-0.9284,-0.3385,0.0569
1779983116.1206849,-0.9284,-0.3385,0.0569
1779983116.126804,-0.9284,-0.3385,0.0569
1779983116.1322863,-0.9283,-0.3385,0.0569
1779983116.139204,-0.9283,-0.3385,0.0569
1779983116.1457546,-0.9283,-0.3385,0.0569
1779983116.1496856,-0.9284,-0.3385,0.0569
1779983116.1543965,-0.9283,-0.3385,0.0569
1779983116.1607509,-0.9284,-0.3385,0.0569
1779983116.1651452,-0.9284,-0.3385,0.0569
1779983116.17094,-0.9284,-0.3385,0.0569
1779983116.1762671,-0.9284,-0.3385,0.0569
1779983116.1826637,-0.9284,-0.3385,0.0569
1779983116.18746,-0.9284,-0.3385,0.0569
1779983116.1957529,-0.9284,-0.3385,0.0569
1779983116.1998749,-0.9283,-0.3385,0.0569
1779983116.2056901,-0.9284,-0.3385,0.0569
1779983116.2127016,-0.9283,-0.3385,0.0569
1779983116.215573,-0.9284,-0.3385,0.0569
1779983116.2209136,-0.9284,-0.3385,0.0569
1779983116.2333832,-0.9284,-0.3385,0.0569
1779983116.2373626,-0.9284,-0.3385,0.0569
1779983116.239136,-0.9284,-0.3385,0.0569
1779983116.242837,-0.9283,-0.3384,0.0569
1779983116.2504385,-0.9284,-0.3385,0.0569
1779983116.257851,-0.9284,-0.3385,0.0569
1779983116.2602503,-0.9284,-0.3385,0.0569
1779983116.2668965,-0.9284,-0.3385,0.0569
1779983116.2706075,-0.9284,-0.3385,0.0569
1779983116.2767825,-0.9283,-0.3385,0.0569
1779983116.2850637,-0.9284,-0.3385,0.0569
1779983116.2876434,-0.9284,-0.3384,0.0569
1779983116.292723,-0.9284,-0.3385,0.0569
1779983116.298702,-0.9284,-0.3384,0.0569
1779983116.3051808,-0.9284,-0.3384,0.0569
1779983116.3096282,-0.9284,-0.3385,0.0569
1779983116.3158872,-0.9284,-0.3384,0.0569
1779983116.32429,-0.9284,-0.3385,0.0569
1779983116.3262515,-0.9283,-0.3385,0.0569
1779983116.3318732,-0.9284,-0.3385,0.0569
1779983116.3426664,-0.9283,-0.3385,0.0569
1779983116.3431797,-0.9283,-0.3385,0.0569
1779983116.3486855,-0.9284,-0.3385,0.0569
1779983116.354131,-0.9283,-0.3385,0.0569
1779983116.3596718,-0.9284,-0.3385,0.0569
1779983116.3753908,-0.9284,-0.3385,0.0569
1779983116.4065285,-0.9284,-0.3385,0.0569
1779983116.4069698,-0.9284,-0.3385,0.0569
1779983116.40743,-0.9284,-0.3385,0.0569
1779983116.4078405,-0.9283,-0.3385,0.0569
1779983116.4081972,-0.9283,-0.3384,0.0569
1779983116.4085202,-0.9283,-0.3385,0.0569
1779983116.4088185,-0.9283,-0.3384,0.0569
1779983116.4105165,-0.9284,-0.3385,0.0569
1779983116.4150712,-0.9284,-0.3385,0.0569
1779983116.4206097,-0.9284,-0.3385,0.0569
1779983116.4260097,-0.9284,-0.3385,0.0569
1779983116.4326375,-0.9284,-0.3385,0.0569
1779983116.4375668,-0.9284,-0.3385,0.0569
1779983116.4429195,-0.9283,-0.3385,0.0569
1779983116.4491313,-0.9284,-0.3385,0.0569
1779983116.4542308,-0.9283,-0.3385,0.0569
1779983116.4602077,-0.9284,-0.3385,0.0569
1779983116.4667253,-0.9284,-0.3384,0.0569
1779983116.4718325,-0.9284,-0.3385,0.0569
1779983116.4792967,-0.9284,-0.3385,0.0569
1779983116.482081,-0.9283,-0.3384,0.0569
1779983116.4879773,-0.9283,-0.3385,0.0569
1779983116.4934747,-0.9284,-0.3384,0.0569
1779983116.498543,-0.9284,-0.3385,0.0569
1779983116.5041716,-0.9284,-0.3385,0.0569
1779983116.515712,-0.9284,-0.3385,0.0569
1779983116.5162356,-0.9284,-0.3385,0.0569
1779983116.5216477,-0.9284,-0.3384,0.0569
1779983116.5267327,-0.9284,-0.3385,0.0569
1779983116.5388439,-0.9283,-0.3385,0.0569
1779983116.5409641,-0.9283,-0.3385,0.0569
1779983116.5431452,-0.9284,-0.3385,0.0569
1779983116.5498135,-0.9284,-0.3385,0.0569
1779983116.5553985,-0.9284,-0.3385,0.0569
1779983116.5602076,-0.9284,-0.3385,0.0569
1779983116.566358,-0.9283,-0.3385,0.0569
1779983116.571072,-0.9284,-0.3385,0.0569
1779983116.5766153,-0.9284,-0.3385,0.0569
1779983116.581365,-0.9284,-0.3385,0.0569
1779983116.5972316,-0.9283,-0.3385,0.0569
1779983116.5977054,-0.9283,-0.3385,0.0569
1779983116.5985575,-0.9283,-0.3385,0.0569
1779983116.6043036,-0.9284,-0.3385,0.0569
1779983116.6097198,-0.9284,-0.3385,0.0569
1779983116.6157947,-0.9284,-0.3385,0.0569
1779983116.6208637,-0.9283,-0.3384,0.0569
1779983116.6264458,-0.9284,-0.3385,0.0569
1779983116.631842,-0.9283,-0.3384,0.0569
1779983116.6376388,-0.9283,-0.3385,0.0569
1779983116.6427512,-0.9283,-0.3385,0.0569
1779983116.6535802,-0.9283,-0.3385,0.0569
1779983116.6550994,-0.9284,-0.3384,0.0569
1779983116.6692393,-0.9284,-0.3385,0.0569
1779983116.6730886,-0.9284,-0.3385,0.0569
1779983116.673592,-0.9283,-0.3385,0.0569
1779983116.676846,-0.9283,-0.3385,0.0569
1779983116.6830134,-0.9283,-0.3385,0.0569
1779983116.691058,-0.9283,-0.3385,0.0569
1779983116.6967957,-0.9283,-0.3385,0.0569
1779983116.7020185,-0.9284,-0.3385,0.0569
1779983116.7043417,-0.9283,-0.3385,0.0569
1779983116.7098415,-0.9284,-0.3384,0.0569
1779983116.722036,-0.9284,-0.3385,0.0569
1779983116.7225645,-0.9284,-0.3385,0.0569
1779983116.7290814,-0.9284,-0.3385,0.0569
1779983116.7322145,-0.9284,-0.3385,0.0569
1779983116.7378616,-0.9284,-0.3385,0.0569
1779983116.7432036,-0.9283,-0.3385,0.0569
1779983116.7489157,-0.9283,-0.3385,0.0569
1779983116.754475,-0.9283,-0.3385,0.0569
1779983116.7608666,-0.9284,-0.3384,0.0569
1779983116.7684162,-0.9284,-0.3385,0.0569
1779983116.7709167,-0.9284,-0.3385,0.0569
1779983116.7766006,-0.9284,-0.3385,0.0569
1779983116.7826772,-0.9283,-0.3385,0.0569
1779983116.787339,-0.9284,-0.3385,0.0569
1779983116.8320925,-0.9284,-0.3385,0.0569
1779983116.8328824,-0.9284,-0.3385,0.0569
1779983116.833448,-0.9284,-0.3385,0.0569
1779983116.8339033,-0.9284,-0.3385,0.0569
1779983116.8344676,-0.9284,-0.3385,0.0569
1779983116.8350186,-0.9284,-0.3385,0.0569
1779983116.8356235,-0.9284,-0.3385,0.0569
1779983116.8362055,-0.9284,-0.3385,0.0569
1779983116.8415804,-0.9284,-0.3385,0.0569
1779983116.843335,-0.9284,-0.3385,0.0569
1779983116.8491628,-0.9284,-0.3385,0.0569
1779983116.854383,-0.9284,-0.3385,0.0569
1779983116.8603928,-0.9283,-0.3384,0.0569
1779983116.8664794,-0.9283,-0.3385,0.0569
1779983116.871119,-0.9283,-0.3385,0.0569
1779983116.8783307,-0.9283,-0.3385,0.0569
1779983116.8824146,-0.9283,-0.3385,0.0569
1779983116.8878033,-0.9283,-0.3385,0.0569
1779983116.8938022,-0.9284,-0.3385,0.0569
1779983116.8985827,-0.9283,-0.3384,0.0569
1779983116.9047694,-0.9283,-0.3385,0.0569
1779983116.9124444,-0.9284,-0.3385,0.0569
1779983116.9150236,-0.9284,-0.3385,0.0569
1779983116.9213133,-0.9284,-0.3385,0.0569
1779983116.9296567,-0.9284,-0.3384,0.0569
1779983116.9327796,-0.9284,-0.3385,0.0569
1779983116.9429686,-0.9284,-0.3385,0.0569
1779983116.947938,-0.9283,-0.3385,0.0569
1779983116.954409,-0.9283,-0.3385,0.0569
1779983116.955475,-0.9284,-0.3385,0.0569
1779983116.964326,-0.9284,-0.3385,0.0569
1779983116.9661222,-0.9284,-0.3385,0.0569
1779983116.9705944,-0.9284,-0.3385,0.0569
1779983116.9780974,-0.9284,-0.3385,0.0569
1779983116.982069,-0.9284,-0.3385,0.0569
1779983116.9875321,-0.9283,-0.3385,0.0569
1779983116.9930546,-0.9284,-0.3385,0.0569
1779983116.9986503,-0.9284,-0.3385,0.0569
1779983117.0044038,-0.9284,-0.3385,0.0569
1779983117.00956,-0.9284,-0.3385,0.0569
1779983117.016097,-0.9284,-0.3385,0.0569
1779983117.0288649,-0.9284,-0.3385,0.0569
1779983117.0299072,-0.9284,-0.3385,0.0569
1779983117.0317435,-0.9284,-0.3385,0.0569
1779983117.0374799,-0.9283,-0.3384,0.0569
1779983117.0435965,-0.9283,-0.3384,0.0569
1779983117.0484748,-0.9283,-0.3384,0.0569
1779983117.0547955,-0.9283,-0.3385,0.0569
1779983117.0594425,-0.9284,-0.3385,0.0569
1779983117.0653725,-0.9283,-0.3384,0.0569
1779983117.0712113,-0.9284,-0.3385,0.0569
1779983117.077122,-0.9284,-0.3385,0.0569
1779983117.0823967,-0.9284,-0.3385,0.0569
1779983117.087749,-0.9284,-0.3385,0.0569
1779983117.102908,-0.9284,-0.3384,0.0569
1779983117.143373,-0.9284,-0.3385,0.0569
1779983117.1443129,-0.9283,-0.3385,0.0569
1779983117.1450808,-0.9283,-0.3384,0.0569
1779983117.1456163,-0.9283,-0.3385,0.0569
1779983117.146081,-0.9283,-0.3385,0.0569
1779983117.1465764,-0.9284,-0.3385,0.0569
1779983117.147052,-0.9283,-0.3385,0.0569
1779983117.1474538,-0.9284,-0.3385,0.0569
1779983117.1477728,-0.9284,-0.3385,0.0569
1779983117.1485553,-0.9283,-0.3385,0.0569
1779983117.154549,-0.9284,-0.3385,0.0569
