Time,POSX,POSY,POSZ
1779983118.4506547,-0.63,-0.14,0.55
1779983118.4541738,-0.65,-0.15,0.54
1779983118.4571323,-0.65,-0.14,0.53
1779983118.459848,-0.63,-0.14,0.54
1779983118.4631739,-0.66,-0.14,0.52
1779983118.4659414,-0.68,-0.15,0.52
1779983118.469743,-0.69,-0.17,0.51
1779983118.4723167,-0.69,-0.16,0.52
1779983118.4757445,-0.7,-0.16,0.52
1779983118.4772763,-0.71,-0.17,0.5
1779983118.5132582,-0.69,-0.16,0.5
1779983118.6137314,-0.69,-0.16,0.5
1779983118.7143517,-0.69,-0.16,0.5
1779983118.8135684,-0.68,-0.15,0.51
1779983118.9136517,-0.65,-0.15,0.52
1779983119.0137866,-0.64,-0.15,0.51
1779983119.1145027,-0.61,-0.14,0.51
1779983119.2144237,-0.63,-0.14,0.5
1779983119.3131154,-0.62,-0.14,0.5
1779983119.413978,-0.63,-0.15,0.51
1779983119.5146053,-0.65,-0.15,0.51
1779983119.6194024,-0.65,-0.16,0.5
1779983119.713447,-0.63,-0.15,0.5
1779983119.8137803,-0.64,-0.15,0.49
1779983119.917562,-0.64,-0.15,0.5
1779983120.0140805,-0.66,-0.16,0.5
1779983120.1139152,-0.62,-0.16,0.5
1779983120.2167304,-0.62,-0.17,0.51
1779983120.3144712,-0.61,-0.17,0.5
1779983120.413728,-0.64,-0.18,0.49
1779983120.5134544,-0.64,-0.17,0.5
1779983120.6137233,-0.62,-0.17,0.5
1779983120.7137141,-0.65,-0.16,0.49
1779983120.8144174,-0.66,-0.16,0.47
1779983120.9129884,-0.65,-0.16,0.48
1779983121.0143814,-0.67,-0.16,0.48
1779983121.1156,-0.67,-0.16,0.48
1779983121.2142649,-0.65,-0.16,0.5
1779983121.3138418,-0.64,-0.16,0.51
1779983121.4139924,-0.62,-0.16,0.51
1779983121.5134835,-0.64,-0.16,0.49
1779983121.6135314,-0.64,-0.17,0.48
1779983121.7134213,-0.64,-0.17,0.49
1779983121.8134046,-0.63,-0.16,0.49
1779983121.9144301,-0.63,-0.16,0.49
1779983122.016494,-0.63,-0.16,0.5
