Time,Filt_X,Filt_Y,Filt_Z
1779985300.814,-0.1700,0.0400,0.4800
1779985300.914,-0.1784,0.0400,0.4800
1779985301.014,-0.1900,0.0400,0.4907
1779985301.114,-0.1951,0.0353,0.4907
1779985301.218,-0.1887,0.0326,0.4814
1779985301.313,-0.1663,0.0357,0.4712
1779985301.413,-0.1528,0.0329,0.4744
1779985301.513,-0.1588,0.0313,0.4764
1779985301.614,-0.1533,0.0303,0.4776
1779985301.716,-0.1548,0.0298,0.4830
1779985301.814,-0.1467,0.0295,0.4863
1779985301.913,-0.1648,0.0340,0.4927
1779985302.014,-0.1576,0.0321,0.4966
1779985302.113,-0.1488,0.0310,0.4898
1779985302.213,-0.1661,0.0303,0.4902
1779985302.320,-0.1586,0.0300,0.4859
1779985302.413,-0.1497,0.0298,0.4878
1779985302.514,-0.1444,0.0297,0.4799
1779985302.614,-0.1413,0.0341,0.4797
1779985302.713,-0.1395,0.0368,0.4796
1779985302.814,-0.1252,0.0384,0.4795
1779985302.914,-0.1345,0.0438,0.4751
1779985303.014,-0.1491,0.0426,0.4813
1779985303.114,-0.1536,0.0373,0.4851
1779985303.214,-0.1519,0.0342,0.4918
1779985303.313,-0.1686,0.0367,0.4959
1779985303.414,-0.1832,0.0382,0.4983
1779985303.513,-0.1874,0.0436,0.4908
1779985303.914,-0.1721,0.0423,0.4818
1779985304.217,-0.1584,0.0327,0.4852
1779985304.313,-0.1456,0.0269,0.4873
1779985304.414,-0.1512,0.0322,0.4930
1779985304.514,-0.1636,0.0311,0.5009
1779985304.616,-0.1666,0.0304,0.5056
1779985304.714,-0.1684,0.0344,0.5084
1779985304.816,-0.1650,0.0325,0.5056
1779985304.914,-0.1763,0.0357,0.5082
1779985305.013,-0.1875,0.0377,0.5142
1779985305.124,-0.1986,0.0388,0.5177
1779985305.213,-0.1964,0.0395,0.5154
1779985305.315,-0.1860,0.0355,0.5050
1779985305.413,-0.1796,0.0331,0.5031
1779985305.513,-0.1757,0.0316,0.5019
1779985305.613,-0.1822,0.0351,0.5056
1779985305.713,-0.1861,0.0329,0.4989
1779985305.813,-0.1796,0.0359,0.4994
1779985305.913,-0.1933,0.0422,0.4952
1779985306.014,-0.2060,0.0416,0.4971
1779985306.114,-0.2136,0.0412,0.5027
1779985306.216,-0.2092,0.0409,0.5017
1779985306.314,-0.2064,0.0363,0.4966
1779985306.414,-0.2046,0.0335,0.4935
1779985306.513,-0.2034,0.0318,0.4872
1779985306.613,-0.1805,0.0308,0.4879
1779985306.727,-0.1710,0.0346,0.4839
1779985306.814,-0.1786,0.0370,0.4860
1779985306.915,-0.1966,0.0384,0.4873
1779985307.013,-0.2075,0.0392,0.4970
