Time,POSX,POSY,POSZ
1779986205.52382,-0.2942,0.067,0.0532
1779986205.5293667,-0.2943,0.0671,0.0533
1779986205.5349853,-0.2942,0.0671,0.0534
1779986205.5405426,-0.2943,0.067,0.0533
1779986205.5459487,-0.2943,0.067,0.0533
1779986205.551997,-0.2943,0.0671,0.0533
1779986205.556763,-0.2942,0.067,0.0533
1779986205.56193,-0.2942,0.067,0.0533
1779986205.567879,-0.2942,0.067,0.0534
1779986205.5734906,-0.2942,0.067,0.0533
1779986205.5791023,-0.2942,0.067,0.0533
1779986205.584673,-0.2942,0.067,0.0532
1779986205.590053,-0.2942,0.0671,0.0534
1779986205.5956302,-0.2942,0.067,0.0534
1779986205.6019433,-0.2942,0.067,0.0533
1779986205.6070805,-0.2942,0.067,0.0534
1779986205.6193466,-0.2942,0.067,0.0534
1779986205.6212995,-0.2942,0.067,0.0534
1779986205.6239755,-0.2943,0.0671,0.0533
1779986205.631816,-0.2942,0.067,0.0534
1779986205.6501093,-0.2943,0.0671,0.0533
1779986205.650646,-0.2942,0.067,0.0534
1779986205.6510248,-0.2942,0.067,0.0534
1779986205.651343,-0.2942,0.0671,0.0534
1779986205.6572106,-0.2942,0.067,0.0534
1779986205.66227,-0.2942,0.067,0.0534
1779986205.6682606,-0.2942,0.067,0.0534
1779986205.6739063,-0.2942,0.067,0.0533
1779986205.6804898,-0.2942,0.067,0.0533
1779986205.6850638,-0.2942,0.0671,0.0534
1779986205.6900017,-0.2942,0.0671,0.0534
1779986205.6962729,-0.2942,0.067,0.0534
1779986205.7019892,-0.2942,0.0671,0.0534
1779986205.7069452,-0.2942,0.067,0.0533
1779986205.712335,-0.2942,0.067,0.0532
1779986205.718114,-0.2942,0.067,0.0533
1779986205.7246494,-0.2942,0.067,0.0533
1779986205.7292855,-0.2942,0.0671,0.0534
1779986205.7346551,-0.2942,0.067,0.0534
1779986205.739918,-0.2942,0.067,0.0533
1779986205.7455795,-0.2942,0.0671,0.0534
1779986205.758979,-0.2942,0.0671,0.0534
1779986205.7627914,-0.2942,0.0671,0.0533
1779986205.7639368,-0.2942,0.067,0.0533
1779986205.7689881,-0.2942,0.0671,0.0534
1779986205.7746756,-0.2942,0.067,0.0533
