Time,Filt_X,Filt_Y,Filt_Z
1779986208.714,-0.0600,0.0200,0.4700
1779986208.814,-0.0698,0.0298,0.4700
1779986208.915,-0.0530,0.0300,0.4700
1779986209.014,-0.0750,0.0301,0.4700
1779986209.114,-0.0800,0.0300,0.4839
1779986209.214,-0.1059,0.0300,0.4964
1779986209.313,-0.1113,0.0217,0.5079
1779986209.414,-0.1035,0.0198,0.4987
1779986209.514,-0.1013,0.0196,0.4940
1779986209.613,-0.1255,0.0196,0.5050
1779986209.713,-0.1308,0.0114,0.5096
1779986209.814,-0.1065,0.0013,0.5112
1779986209.913,-0.1007,-0.0007,0.5182
1779986210.014,-0.1577,0.0158,0.5209
1779986210.113,-0.2123,0.0363,0.5283
1779986210.213,-0.1986,0.0408,0.5244
1779986210.314,-0.1773,0.0413,0.5555
1779986210.413,-0.2050,0.0411,0.6087
1779986210.514,-0.2526,0.0574,0.6905
1779986210.613,-0.2793,0.0608,0.7834
1779986210.714,-0.3006,0.0695,0.8928
1779986210.814,-0.3123,0.0628,1.0478
1779986210.926,-0.3220,0.0442,1.2342
1779986211.013,-0.3314,0.0233,1.4385
1779986211.113,-0.3492,0.0023,1.6080
1779986211.213,-0.3774,-0.0102,1.7202
1779986211.313,-0.3828,-0.0122,1.7605
1779986211.414,-0.4329,-0.0369,1.9040
1779986211.513,-0.4599,-0.0502,2.0017
1779986211.614,-0.4977,-0.0774,2.0254
1779986211.714,-0.5630,-0.1076,2.0579
1779986211.813,-0.6424,-0.1383,2.0301
1779986211.913,-0.6745,-0.1522,2.0378
1779986212.014,-0.6786,-0.1623,2.0103
1779986212.114,-0.7102,-0.1717,1.9819
1779986212.214,-0.7405,-0.1811,2.0148
1779986212.314,-0.8203,-0.1907,2.0820
1779986212.414,-0.8280,-0.1755,2.1631
1779986212.513,-0.8521,-0.1631,2.1688
1779986212.614,-0.8888,-0.1519,2.1737
1779986212.713,-0.9453,-0.1495,2.1727
1779986212.814,-0.9976,-0.1742,2.1100
1779986212.914,-1.0487,-0.1966,2.0414
1779986213.013,-1.0743,-0.2262,2.0191
1779986213.126,-1.1023,-0.2822,1.9785
1779986213.213,-1.0898,-0.3103,1.9433
1779986213.316,-1.1100,-0.3732,1.9309
1779986213.413,-1.1134,-0.4356,1.8819
1779986213.514,-1.1130,-0.5055,1.8632
1779986213.614,-1.1454,-0.5850,1.8916
1779986213.714,-1.1521,-0.6413,1.8666
1779986213.814,-1.1360,-0.6920,1.9102
1779986213.914,-1.0984,-0.7250,1.9505
1779986214.013,-1.0315,-0.7458,1.9811
1779986214.116,-0.9756,-0.7727,1.9797
1779986214.214,-0.9230,-0.8180,1.9640
1779986214.314,-0.8801,-0.8512,1.9561
1779986214.413,-0.7730,-0.8730,1.9722
1779986214.513,-0.7099,-0.9092,1.9392
1779986214.613,-0.6244,-0.9321,2.0043
1779986214.714,-0.4924,-0.9603,1.9997
1779986214.814,-0.4003,-0.9733,2.0362
1779986214.913,-0.3015,-0.9912,2.0844
1779986215.014,-0.2179,-1.0022,2.0835
1779986215.113,-0.1462,-1.0035,2.0740
1779986215.214,-0.0187,-1.0194,2.0481
1779986215.313,0.1049,-1.0472,2.0559
1779986215.413,0.1936,-1.0526,2.0793
1779986215.513,0.3074,-1.0611,2.0692
1779986215.613,0.3771,-1.0623,2.0641
1779986215.715,0.4618,-1.0785,2.0349
1779986215.813,0.5088,-1.0816,1.9824
1779986215.914,0.6225,-1.1150,1.9538
1779986216.013,0.7518,-1.1552,1.9369
1779986216.113,0.8090,-1.1550,1.9651
1779986216.214,0.9576,-1.1869,2.0060
1779986216.314,1.0858,-1.2014,2.0109
1779986216.414,1.1334,-1.1785,2.0257
1779986216.514,1.1711,-1.1390,2.0515
1779986216.614,1.3158,-1.1299,2.0750
1779986216.714,1.3939,-1.0702,2.1172
1779986216.820,1.4725,-0.9991,2.1271
1779986216.913,1.5516,-0.9265,2.1823
1779986217.013,1.6477,-0.8542,2.2308
1779986217.113,1.7227,-0.7744,2.2155
1779986217.214,1.8427,-0.6766,2.1456
1779986217.313,1.9813,-0.5668,2.0801
1779986217.413,2.0569,-0.4550,2.0391
1779986217.514,2.1260,-0.3267,2.0037
1779986217.614,2.2358,-0.2284,1.9978
1779986217.713,2.2970,-0.0875,1.9715
1779986217.813,2.4052,0.0463,2.0091
1779986217.914,2.3831,0.1946,2.0143
1779986218.014,2.4812,0.3209,2.1968
1779986218.114,2.4419,0.4583,2.3024
1779986218.214,2.4293,0.6067,2.3364
1779986218.313,2.3997,0.7739,2.2781
1779986218.414,2.2756,0.9285,2.1808
1779986218.513,2.1812,1.0797,2.2098
1779986218.622,2.0624,1.2050,2.1701
1779986218.713,1.9476,1.3328,2.1796
1779986218.813,1.8180,1.4201,2.1581
1779986218.914,1.6610,1.4819,2.1028
1779986219.013,1.5317,1.5390,2.1198
1779986219.114,1.5096,1.5627,2.1627
1779986219.213,1.3617,1.5965,2.1823
1779986219.313,1.2171,1.6337,2.2103
1779986219.413,1.1660,1.6639,2.1683
1779986219.513,1.0031,1.6929,2.1222
1779986219.613,0.8807,1.6969,2.0625
1779986219.714,0.7268,1.7207,2.0715
1779986219.813,0.6076,1.7495,2.0581
1779986219.914,0.4468,1.7628,2.1206
1779986220.014,0.3264,1.7809,2.1091
1779986220.114,0.2156,1.7837,2.0902
1779986220.213,0.0984,1.7915,2.0886
1779986220.314,0.0209,1.8173,2.0550
1779986220.413,-0.0728,1.8307,2.0076
1779986220.513,-0.2043,1.8328,1.9618
1779986220.614,-0.3195,1.8240,1.9242
1779986220.713,-0.4638,1.8048,1.9308
1779986220.814,-0.6145,1.7670,1.9700
1779986220.913,-0.7245,1.7421,1.9822
1779986221.014,-0.8666,1.7124,1.9612
1779986221.115,-1.0411,1.6485,1.9320
1779986221.213,-1.2226,1.5772,1.9066
1779986221.314,-1.3883,1.4884,1.9035
1779986221.414,-1.5414,1.3963,1.9171
1779986221.514,-1.6915,1.2709,1.9241
1779986221.614,-1.7246,1.1803,1.9209
1779986221.724,-1.8899,1.0402,1.9330
1779986221.814,-1.9121,0.9307,1.9184
1779986221.914,-2.0179,0.7790,1.9252
1779986222.014,-2.0280,0.6512,1.9950
1779986222.114,-1.9748,0.5212,2.0117
1779986222.213,-1.9757,0.3576,2.0037
1779986222.313,-1.9660,0.2199,1.9917
1779986222.414,-2.0459,0.0387,1.9655
1779986222.514,-2.1131,-0.1522,1.9338
1779986222.614,-2.0514,-0.2779,1.9604
1779986222.714,-1.9853,-0.3801,1.9997
1779986222.813,-1.9034,-0.4777,1.9902
1779986222.913,-1.7945,-0.6001,2.0582
1779986223.013,-1.6641,-0.7205,2.0605
1779986223.114,-1.5385,-0.8238,2.0592
1779986223.214,-1.4818,-0.9732,2.0038
1779986223.313,-1.3497,-1.0917,1.9721
1779986223.413,-1.2001,-1.1860,1.9991
1779986223.514,-1.0640,-1.2751,2.0654
1779986223.613,-0.9319,-1.3303,2.1009
1779986223.720,-0.8093,-1.3783,2.1145
1779986223.814,-0.6808,-1.4341,2.1182
1779986223.913,-0.5508,-1.4839,2.1711
1779986224.014,-0.3790,-1.5328,2.1991
1779986224.114,-0.2145,-1.5819,2.2153
