Time,POSX,POSY,POSZ
1779986208.6129904,-0.07,0.02,0.48
1779986208.7140057,-0.06,0.02,0.47
1779986208.8137934,-0.07,0.03,0.47
1779986208.915097,-0.05,0.03,0.47
1779986209.01367,-0.08,0.03,0.47
1779986209.114035,-0.08,0.03,0.49
1779986209.213811,-0.11,0.03,0.5
1779986209.3132954,-0.11,0.02,0.51
1779986209.414264,-0.1,0.02,0.49
1779986209.51371,-0.1,0.02,0.49
1779986209.6132526,-0.13,0.02,0.51
1779986209.7133539,-0.13,0.01,0.51
1779986209.8144057,-0.1,-0.0,0.51
1779986209.9133596,-0.1,-0.0,0.52
1779986210.013669,-0.17,0.02,0.52
1779986210.1132288,-0.22,0.04,0.53
1779986210.2127607,-0.19,0.04,0.52
1779986210.3141403,-0.17,0.04,0.57
1779986210.4129875,-0.21,0.04,0.63
1779986210.5138552,-0.26,0.06,0.72
1779986210.6132956,-0.28,0.06,0.81
1779986210.7142894,-0.3,0.07,0.92
1779986210.8135707,-0.31,0.06,1.09
1779986210.9258256,-0.32,0.04,1.28
1779986211.0133917,-0.33,0.02,1.48
1779986211.1134849,-0.35,0.0,1.62
1779986211.2130198,-0.38,-0.01,1.7
1779986211.3129284,-0.38,-0.01,1.71
1779986211.4143367,-0.44,-0.04,1.92
1779986211.5132198,-0.46,-0.05,1.99
1779986211.613759,-0.5,-0.08,1.98
1779986211.7139173,-0.57,-0.11,2.03
1779986211.813013,-0.65,-0.14,1.98
1779986211.9132342,-0.67,-0.15,2.02
1779986212.0137455,-0.67,-0.16,1.98
1779986212.1135144,-0.71,-0.17,1.96
1779986212.214152,-0.74,-0.18,2.03
1779986212.313846,-0.83,-0.19,2.11
1779986212.4137044,-0.82,-0.17,2.19
1779986212.5132403,-0.85,-0.16,2.15
1779986212.6138153,-0.89,-0.15,2.16
1779986212.7133775,-0.95,-0.15,2.16
1779986212.8139863,-1.0,-0.18,2.07
1779986212.9139876,-1.05,-0.2,2.01
1779986213.0132766,-1.07,-0.23,2.02
1779986213.125878,-1.1,-0.29,1.97
1779986213.2134607,-1.08,-0.31,1.94
1779986213.3158207,-1.11,-0.38,1.94
1779986213.4128528,-1.11,-0.44,1.87
1779986213.5137782,-1.11,-0.51,1.87
1779986213.6141727,-1.15,-0.59,1.92
1779986213.7139378,-1.15,-0.64,1.86
1779986213.8142729,-1.13,-0.69,1.94
1779986213.9136014,-1.09,-0.72,1.97
1779986214.012964,-1.02,-0.74,1.99
1779986214.1156726,-0.97,-0.77,1.97
1779986214.213656,-0.92,-0.82,1.95
1779986214.3135655,-0.88,-0.85,1.95
1779986214.4133577,-0.76,-0.87,1.98
1779986214.5134978,-0.71,-0.91,1.92
1779986214.6132925,-0.62,-0.93,2.04
1779986214.7137878,-0.48,-0.96,1.99
1779986214.8136368,-0.4,-0.97,2.05
1779986214.9133112,-0.3,-0.99,2.1
1779986215.0143824,-0.22,-1.0,2.07
1779986215.1131554,-0.15,-1.0,2.06
1779986215.2140985,-0.01,-1.02,2.03
1779986215.313007,0.11,-1.05,2.06
1779986215.4130461,0.19,-1.05,2.09
1779986215.5127766,0.31,-1.06,2.06
1779986215.6130855,0.37,-1.06,2.06
1779986215.7153125,0.46,-1.08,2.02
1779986215.8131835,0.5,-1.08,1.96
1779986215.914055,0.63,-1.12,1.95
