Time,Tag1_X,Tag1_Y,Tag1_Z,Tag1_Quality,Tag1_ID,Tag2_X,Tag2_Y,Tag2_Z,Tag2_Quality,Tag2_ID,Fused_X,Fused_Y,Fused_Z,Fused_Quality,FusionMode,PositionType
1780084660.5137796,4.588500000000001,3.405,1.5170000000000001,93.0,4CAD,,,,,,4.588500000000001,3.405,1.5170000000000001,93.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.5180926,4.588500000000001,3.415,1.5170000000000001,92.0,4CAD,,,,,,4.588500000000001,3.415,1.5170000000000001,92.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.8178053,4.588500000000001,3.415,1.5170000000000001,91.0,4CAD,,,,,,4.588500000000001,3.415,1.5170000000000001,91.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.8201215,4.5785,3.415,1.5570000000000002,93.0,4CAD,,,,,,4.5785,3.415,1.5570000000000002,93.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.824382,4.588500000000001,3.415,1.5270000000000001,91.0,4CAD,,,,,,4.588500000000001,3.415,1.5270000000000001,91.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.8296144,4.588500000000001,3.425,1.657,96.0,4CAD,,,,,,4.588500000000001,3.425,1.657,96.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.8337839,4.5985000000000005,3.425,1.737,96.0,4CAD,,,,,,4.5985000000000005,3.425,1.737,96.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.8371136,4.5985000000000005,3.425,1.647,89.0,4CAD,,,,,,4.5985000000000005,3.425,1.647,89.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.8394709,4.5785,3.415,1.617,92.0,4CAD,,,,,,4.5785,3.415,1.617,92.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.8433719,4.5585,3.425,1.657,95.0,4CAD,,,,,,4.5585,3.425,1.657,95.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.8474205,4.5585,3.435,1.6070000000000002,91.0,4CAD,,,,,,4.5585,3.435,1.6070000000000002,91.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.8527505,4.5685,3.435,1.5570000000000002,90.0,4CAD,,,,,,4.5685,3.435,1.5570000000000002,90.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.8547912,4.5785,3.425,1.627,95.0,4CAD,,,,,,4.5785,3.425,1.627,95.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.9216664,4.5685,3.425,1.637,94.0,4CAD,,,,,,4.5685,3.425,1.637,94.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.9289048,4.5785,3.415,1.5970000000000002,91.0,4CAD,,,,,,4.5785,3.415,1.5970000000000002,91.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.933096,4.5785,3.405,1.5470000000000002,90.0,4CAD,,,,,,4.5785,3.405,1.5470000000000002,90.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.9371078,4.5785,3.405,1.497,89.0,4CAD,,,,,,4.5785,3.405,1.497,89.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.9397087,4.5685,3.405,1.5470000000000002,94.0,4CAD,,,,,,4.5685,3.405,1.5470000000000002,94.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.944759,4.5785,3.405,1.5270000000000001,91.0,4CAD,,,,,,4.5785,3.405,1.5270000000000001,91.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.9482682,4.5785,3.415,1.5070000000000001,91.0,4CAD,,,,,,4.5785,3.415,1.5070000000000001,91.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.950315,4.5785,3.415,1.5270000000000001,92.0,4CAD,,,,,,4.5785,3.415,1.5270000000000001,92.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.9526882,4.5785,3.415,1.677,96.0,4CAD,,,,,,4.5785,3.415,1.677,96.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.954733,4.588500000000001,3.405,1.737,95.0,4CAD,,,,,,4.588500000000001,3.405,1.737,95.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.9568844,4.5685,3.395,1.7870000000000001,96.0,4CAD,,,,,,4.5685,3.395,1.7870000000000001,96.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.958694,4.6885,3.285,1.667,80.0,4CAD,,,,,,4.6885,3.285,1.667,80.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.960272,4.6585,3.305,1.737,96.0,4CAD,,,,,,4.6585,3.305,1.737,96.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.9621742,4.6385000000000005,3.325,1.7870000000000001,95.0,4CAD,,,,,,4.6385000000000005,3.325,1.7870000000000001,95.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.965497,4.7385,3.225,1.687,81.0,4CAD,,,,,,4.7385,3.225,1.687,81.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.9681602,4.6985,3.265,1.6070000000000002,90.0,4CAD,,,,,,4.6985,3.265,1.6070000000000002,90.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.9711108,4.668500000000001,3.295,1.5770000000000002,91.0,4CAD,,,,,,4.668500000000001,3.295,1.5770000000000002,91.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.9736123,4.6485,3.315,1.5270000000000001,89.0,4CAD,,,,,,4.6485,3.315,1.5270000000000001,89.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.977596,4.628500000000001,3.335,1.487,90.0,4CAD,,,,,,4.628500000000001,3.335,1.487,90.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.9799573,4.6185,3.355,1.477,91.0,4CAD,,,,,,4.6185,3.355,1.477,91.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.9818892,4.6085,3.365,1.5870000000000002,95.0,4CAD,,,,,,4.6085,3.365,1.5870000000000002,95.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.9834712,4.5985000000000005,3.375,1.6070000000000002,93.0,4CAD,,,,,,4.5985000000000005,3.375,1.6070000000000002,93.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.9869528,4.708500000000001,3.265,1.5570000000000002,81.0,4CAD,,,,,,4.708500000000001,3.265,1.5570000000000002,81.0,single_listener_center_fallback,two_listener_center_fallback_l1
1780084660.9897099,4.708500000000001,3.265,1.5570000000000002,81.0,4CAD,4.535499999999999,3.331,1.923,79.0,4D18,4.62308125,3.2975874999999997,1.7377125,80.0,two_tag_center_quality_weighted,two_listener_fused_center_position
1780084660.9941032,4.708500000000001,3.265,1.5570000000000002,81.0,4CAD,4.555499999999999,3.331,1.9130000000000003,79.0,4D18,4.63295625,3.2975874999999997,1.7327750000000002,80.0,two_tag_center_quality_weighted,two_listener_fused_center_position
1780084660.9965045,4.708500000000001,3.265,1.5570000000000002,81.0,4CAD,4.565499999999999,3.321,1.903,79.0,4D18,4.63789375,3.29265,1.7278375000000001,80.0,two_tag_center_quality_weighted,two_listener_fused_center_position
1780084660.9999354,4.708500000000001,3.265,1.5570000000000002,81.0,4CAD,4.495499999999999,3.311,1.9130000000000003,80.0,4D18,4.6026614906832295,3.287857142857143,1.7338944099378881,80.5,two_tag_center_quality_weighted,two_listener_fused_center_position
1780084661.003806,4.708500000000001,3.265,1.5570000000000002,81.0,4CAD,4.485499999999999,3.311,1.923,79.0,4D18,4.5983937500000005,3.2877125000000005,1.7377125,80.0,two_tag_center_quality_weighted,two_listener_fused_center_position
1780084661.0078263,4.708500000000001,3.265,1.5570000000000002,81.0,4CAD,4.475499999999999,3.321,1.9130000000000003,80.0,4D18,4.5927236024844715,3.2928260869565222,1.7338944099378881,80.5,two_tag_center_quality_weighted,two_listener_fused_center_position
