Time,POSX,POSY,POSZ
1780962163.448367,-0.4202,0.2988,0.0852
1780962163.4548929,-0.4203,0.2986,0.0852
1780962163.4577787,-0.4203,0.2986,0.0852
1780962163.5074553,-0.4203,0.2987,0.0851
1780962163.5080793,-0.4203,0.2987,0.0851
1780962163.508503,-0.4203,0.2987,0.0851
1780962163.5088952,-0.4203,0.2987,0.0851
1780962163.5093014,-0.4202,0.2988,0.0852
1780962163.5097005,-0.4202,0.2987,0.0851
1780962163.5100827,-0.4203,0.2987,0.0852
1780962163.5104675,-0.4202,0.2987,0.0851
1780962163.510849,-0.4204,0.2986,0.0852
1780962163.5141704,-0.4203,0.2987,0.0852
1780962163.5195658,-0.4203,0.2987,0.0851
1780962163.524854,-0.4204,0.2986,0.0852
1780962163.5303407,-0.4204,0.2986,0.0852
1780962163.5757232,-0.4202,0.2987,0.0851
1780962163.5798292,-0.4203,0.2986,0.0852
1780962163.580253,-0.4202,0.2987,0.0851
1780962163.580616,-0.4202,0.2987,0.0851
1780962163.5809877,-0.4203,0.2987,0.0851
1780962163.5813525,-0.4203,0.2988,0.0852
1780962163.5817118,-0.4203,0.2987,0.0851
1780962163.5820723,-0.4203,0.2987,0.0852
1780962163.5824285,-0.4203,0.2987,0.0851
1780962163.5850654,-0.4203,0.2986,0.0852
1780962163.5906904,-0.4202,0.2987,0.0852
1780962163.5968404,-0.4203,0.2987,0.0852
1780962163.6107106,-0.4202,0.2987,0.0851
1780962163.6112316,-0.4203,0.2986,0.0852
1780962163.613092,-0.4204,0.2986,0.0852
1780962163.6187701,-0.4203,0.2987,0.0851
1780962163.6509025,-0.4203,0.2987,0.0851
1780962163.6518357,-0.4203,0.2986,0.0852
1780962163.6522918,-0.4202,0.2988,0.0852
1780962163.6526334,-0.4202,0.2987,0.0851
1780962163.652965,-0.4202,0.2987,0.0852
1780962163.6533039,-0.4203,0.2986,0.0852
1780962163.6573184,-0.4203,0.2987,0.0852
1780962163.662654,-0.4203,0.2987,0.0851
1780962163.6686919,-0.4204,0.2986,0.0852
1780962163.6802683,-0.4204,0.2986,0.0852
1780962163.72033,-0.4203,0.2987,0.0852
1780962163.7208545,-0.4203,0.2986,0.0852
1780962163.7212422,-0.4203,0.2986,0.0852
1780962163.7216182,-0.4202,0.2987,0.0851
1780962163.7220206,-0.4203,0.2987,0.0852
1780962163.7224042,-0.4202,0.2988,0.0852
1780962163.7228038,-0.4203,0.2988,0.0852
1780962163.723181,-0.4204,0.2986,0.0852
1780962163.7259903,-0.4203,0.2987,0.0852
1780962163.7306466,-0.4203,0.2987,0.0852
1780962163.7359016,-0.4202,0.2987,0.0852
1780962163.741207,-0.4202,0.2987,0.0852
1780962163.7890143,-0.4202,0.2987,0.0851
1780962163.7930555,-0.4203,0.2987,0.0852
1780962163.793491,-0.4202,0.2987,0.0851
1780962163.793871,-0.4203,0.2987,0.0851
1780962163.7943358,-0.4203,0.2987,0.0852
1780962163.7947698,-0.4203,0.2988,0.0852
1780962163.7951605,-0.4203,0.2986,0.0852
1780962163.795557,-0.4203,0.2987,0.0851
1780962163.7959378,-0.4202,0.2987,0.0851
1780962163.796982,-0.4202,0.2987,0.0851
1780962163.8020825,-0.4202,0.2988,0.0852
1780962163.8073752,-0.4202,0.2987,0.0851
1780962163.84259,-0.4203,0.2987,0.0852
1780962163.8431582,-0.4204,0.2986,0.0852
1780962163.8436186,-0.4203,0.2987,0.0851
1780962163.8439853,-0.4203,0.2987,0.0852
1780962163.8444123,-0.4203,0.2986,0.0852
1780962163.845178,-0.4202,0.2987,0.0851
1780962163.8497362,-0.4202,0.2987,0.0851
1780962163.8521228,-0.4203,0.2986,0.0852
1780962163.8607213,-0.4203,0.2987,0.0851
1780962163.8623292,-0.4203,0.2987,0.0851
1780962163.9005632,-0.4203,0.2987,0.0851
1780962163.9025903,-0.4203,0.2987,0.0851
1780962163.9030125,-0.4203,0.2987,0.0851
1780962163.9034593,-0.4202,0.2988,0.0852
1780962163.9038517,-0.4202,0.2987,0.0852
1780962163.904284,-0.4202,0.2987,0.0851
1780962163.9046597,-0.4202,0.2987,0.0852
1780962163.9073772,-0.4202,0.2987,0.0852
1780962163.9135635,-0.4203,0.2988,0.0852
1780962163.919218,-0.4203,0.2987,0.0851
1780962163.9239173,-0.4204,0.2986,0.0852
1780962163.9292736,-0.4203,0.2987,0.0851
1780962163.934876,-0.4202,0.2987,0.0851
1780962163.9809453,-0.4203,0.2987,0.0852
1780962163.981491,-0.4203,0.2987,0.0852
1780962163.9819121,-0.4203,0.2986,0.0852
1780962163.9822598,-0.4202,0.2987,0.0851
1780962163.9826012,-0.4204,0.2986,0.0852
1780962163.98295,-0.4204,0.2986,0.0852
1780962163.9833004,-0.4203,0.2987,0.0851
1780962163.9836426,-0.4204,0.2986,0.0852
1780962163.9858072,-0.4203,0.2987,0.0852
1780962163.990651,-0.4203,0.2986,0.0852
1780962163.996389,-0.4203,0.2987,0.0852
1780962164.0019414,-0.4203,0.2986,0.0852
1780962164.0080361,-0.4203,0.2987,0.0851
1780962164.0538454,-0.4203,0.2987,0.0852
1780962164.0543976,-0.4203,0.2987,0.0851
1780962164.0548356,-0.4203,0.2987,0.0851
1780962164.0552473,-0.4203,0.2986,0.0852
1780962164.0556114,-0.4202,0.2987,0.0851
1780962164.0559573,-0.4203,0.2986,0.0852
1780962164.0563164,-0.4203,0.2987,0.0852
1780962164.0566475,-0.4203,0.2986,0.0852
1780962164.057937,-0.4202,0.2987,0.0852
1780962164.063386,-0.4203,0.2987,0.0851
1780962164.068491,-0.4204,0.2986,0.0852
1780962164.074374,-0.4203,0.2987,0.0851
1780962164.1223075,-0.4203,0.2987,0.0851
1780962164.1310184,-0.4202,0.2988,0.0852
1780962164.1315362,-0.4202,0.2987,0.0851
1780962164.1319783,-0.4202,0.2988,0.0852
1780962164.132324,-0.4202,0.2987,0.0851
1780962164.132674,-0.4203,0.2987,0.0852
1780962164.133017,-0.4204,0.2986,0.0852
1780962164.1333475,-0.4204,0.2986,0.0852
1780962164.1336992,-0.4203,0.2987,0.0851
1780962164.1340384,-0.4203,0.2986,0.0852
1780962164.1362336,-0.4204,0.2986,0.0852
1780962164.1408107,-0.4202,0.2987,0.0851
1780962164.1460955,-0.4202,0.2987,0.0851
1780962164.191415,-0.4202,0.2987,0.0852
1780962164.1919026,-0.4203,0.2987,0.0851
1780962164.1923137,-0.4203,0.2988,0.0852
1780962164.1927054,-0.4204,0.2987,0.0852
1780962164.1930707,-0.4203,0.2987,0.0851
1780962164.1934638,-0.4203,0.2988,0.0852
1780962164.1938343,-0.4203,0.2987,0.0851
1780962164.1942034,-0.4203,0.2987,0.0852
1780962164.197177,-0.4203,0.2986,0.0852
1780962164.2016888,-0.4202,0.2987,0.0851
1780962164.207058,-0.4203,0.2986,0.0852
1780962164.2127821,-0.4203,0.2987,0.0852
1780962164.2187736,-0.4203,0.2987,0.0852
1780962164.223839,-0.4203,0.2988,0.0852
1780962164.235459,-0.4203,0.2987,0.0851
1780962164.2659621,-0.4203,0.2987,0.0851
1780962164.2664993,-0.4202,0.2988,0.0852
1780962164.266857,-0.4203,0.2987,0.0852
1780962164.267208,-0.4203,0.2987,0.0851
1780962164.2675486,-0.4204,0.2986,0.0852
1780962164.267895,-0.4204,0.2986,0.0852
1780962164.2682402,-0.4203,0.2987,0.0851
1780962164.2737536,-0.4203,0.2988,0.0852
1780962164.2796626,-0.4203,0.2987,0.0851
1780962164.2850983,-0.4203,0.2987,0.0851
1780962164.327054,-0.4202,0.2988,0.0852
1780962164.328397,-0.4202,0.2987,0.0851
1780962164.328858,-0.4203,0.2987,0.0851
1780962164.3292537,-0.4202,0.2987,0.0851
