Time,POSX,POSY,POSZ
1780962167.0096087,-0.39,0.31,0.81
1780962167.01766,-0.39,0.31,0.8
1780962167.022762,-0.39,0.29,0.86
1780962167.0281153,-0.38,0.28,0.85
1780962167.0362813,-0.39,0.29,0.85
1780962167.0423384,-0.39,0.29,0.87
1780962167.0485644,-0.4,0.29,0.84
1780962167.05275,-0.4,0.29,0.82
1780962167.057519,-0.4,0.3,0.77
1780962167.065744,-0.39,0.32,0.72
1780962167.1318402,-0.39,0.29,0.79
1780962167.2323804,-0.39,0.3,0.87
1780962167.331491,-0.39,0.3,0.8
1780962167.4360826,-0.38,0.31,0.75
1780962167.5309777,-0.4,0.3,0.7
1780962167.6305137,-0.4,0.31,0.67
1780962167.7314487,-0.4,0.31,0.65
1780962167.831887,-0.41,0.32,0.62
1780962167.9310586,-0.41,0.32,0.63
1780962168.0346835,-0.39,0.32,0.68
1780962168.1305697,-0.39,0.32,0.68
1780962168.231135,-0.39,0.3,0.68
1780962168.3356273,-0.4,0.31,0.69
1780962168.4309132,-0.4,0.29,0.73
1780962168.5315263,-0.39,0.3,0.78
1780962168.6346865,-0.39,0.33,0.76
1780962168.731919,-0.39,0.36,0.72
1780962168.8310423,-0.38,0.36,0.76
1780962168.9321659,-0.39,0.34,0.75
1780962169.0309632,-0.39,0.34,0.74
1780962169.1319375,-0.38,0.32,0.71
1780962169.2398055,-0.39,0.3,0.67
1780962169.3312266,-0.4,0.33,0.64
1780962169.4312441,-0.39,0.33,0.7
1780962169.5338683,-0.39,0.31,0.69
1780962169.6311283,-0.37,0.32,0.7
1780962169.7320573,-0.38,0.31,0.72
1780962169.830677,-0.38,0.32,0.71
1780962169.9307199,-0.4,0.3,0.73
1780962170.0320394,-0.4,0.3,0.72
1780962170.142993,-0.4,0.31,0.8
1780962170.2310393,-0.41,0.3,0.74
1780962170.3348389,-0.4,0.32,0.77
1780962170.4310756,-0.4,0.31,0.79
1780962170.532826,-0.41,0.32,0.84
1780962170.630706,-0.41,0.31,0.85
1780962170.731063,-0.4,0.28,0.79
1780962170.8327308,-0.4,0.29,0.81
1780962170.9307718,-0.4,0.26,0.78
1780962171.0315487,-0.41,0.27,0.74
1780962171.1316652,-0.4,0.27,0.7
1780962171.2312634,-0.4,0.3,0.72
1780962171.3334925,-0.4,0.33,0.67
1780962171.4318044,-0.4,0.31,0.67
1780962171.535813,-0.39,0.31,0.72
1780962171.6315544,-0.39,0.31,0.75
1780962171.7328174,-0.39,0.32,0.85
1780962171.8314195,-0.38,0.31,0.83
1780962171.9318092,-0.39,0.3,0.81
1780962172.0311582,-0.4,0.29,0.79
1780962172.1312358,-0.39,0.3,0.79
1780962172.233866,-0.38,0.3,0.79
1780962172.332194,-0.39,0.3,0.78
1780962172.4323208,-0.38,0.3,0.77
1780962172.5436702,-0.39,0.3,0.77
1780962172.630882,-0.38,0.3,0.75
1780962172.7343707,-0.37,0.29,0.7
1780962172.8305612,-0.38,0.31,0.68
1780962172.9312942,-0.35,0.33,0.65
1780962173.0331452,-0.35,0.32,0.61
1780962173.1307087,-0.35,0.32,0.6
1780962173.2310655,-0.38,0.31,0.53
1780962173.3317015,-0.4,0.23,0.46
1780962173.4315658,-0.39,0.17,0.47
1780962173.5320594,-0.37,0.14,0.56
1780962173.6320574,-0.35,0.09,0.68
1780962173.7325056,-0.37,0.01,0.7
1780962173.8306274,-0.37,0.02,0.76
1780962173.931899,-0.36,0.03,0.76
1780962174.031681,-0.36,0.01,0.8
1780962174.1309788,-0.35,0.05,0.8
1780962174.2312176,-0.37,0.07,0.75
1780962174.3306658,-0.37,0.08,0.73
1780962174.4308233,-0.39,0.11,0.7
1780962174.530785,-0.4,0.07,0.67
1780962174.6334047,-0.4,0.04,0.74
1780962174.731529,-0.41,0.01,0.83
1780962174.830625,-0.41,-0.04,0.76
1780962174.9313486,-0.4,-0.09,0.8
1780962175.0310354,-0.38,-0.14,0.83
1780962175.1320956,-0.33,-0.15,0.87
1780962175.2312245,-0.27,-0.15,0.87
1780962175.331651,-0.24,-0.19,0.87
1780962175.4317412,-0.2,-0.21,0.86
1780962175.534608,-0.17,-0.31,0.79
1780962175.6319926,-0.07,-0.29,0.81
1780962175.7314453,0.01,-0.3,0.88
1780962175.83111,0.09,-0.31,0.82
1780962175.9315372,0.13,-0.42,0.8
1780962176.0308208,0.22,-0.44,0.77
1780962176.1337366,0.25,-0.55,0.81
1780962176.2306979,0.34,-0.55,0.78
1780962176.3317132,0.45,-0.61,0.75
1780962176.4321537,0.55,-0.61,0.75
1780962176.5311623,0.62,-0.63,0.76
1780962176.6318116,0.7,-0.68,0.81
1780962176.7306297,0.8,-0.68,0.78
1780962176.8307304,0.86,-0.74,0.77
1780962176.9321718,0.93,-0.76,0.8
1780962177.0318725,1.04,-0.77,0.75
1780962177.1306047,1.11,-0.76,0.8
1780962177.2309418,1.2,-0.74,0.84
1780962177.332046,1.32,-0.66,0.84
1780962177.4307659,1.41,-0.6,0.8
1780962177.5305738,1.52,-0.52,0.8
1780962177.6316683,1.63,-0.44,0.81
1780962177.73187,1.7,-0.37,0.86
1780962177.831834,1.75,-0.28,0.9
1780962177.9310164,1.8,-0.21,0.87
1780962178.0308893,1.84,-0.13,0.87
1780962178.1406536,1.92,0.01,0.84
1780962178.2323248,1.94,0.11,0.85
1780962178.3306766,1.98,0.23,0.86
1780962178.4306464,1.97,0.33,0.8
1780962178.5310822,1.95,0.4,0.8
1780962178.631277,1.93,0.49,0.82
1780962178.736163,1.85,0.55,0.85
1780962178.8316135,1.82,0.62,0.83
1780962178.9307609,1.76,0.71,0.86
1780962179.0311363,1.68,0.76,0.8
1780962179.130986,1.6,0.82,0.76
1780962179.23095,1.5,0.83,0.72
1780962179.3317087,1.38,0.86,0.73
1780962179.4312313,1.26,0.89,0.7
1780962179.5317814,1.16,0.9,0.71
1780962179.632242,1.06,0.9,0.68
1780962179.7310662,0.96,0.95,0.64
1780962179.831033,0.86,0.97,0.65
1780962179.9317727,0.76,0.98,0.65
1780962180.0316503,0.64,0.95,0.68
1780962180.1317382,0.54,0.93,0.68
1780962180.2315896,0.44,0.94,0.69
1780962180.3304853,0.32,0.93,0.69
1780962180.4313266,0.24,1.02,0.72
1780962180.5320523,0.12,1.02,0.72
1780962180.6309438,0.01,1.0,0.72
1780962180.7313988,-0.09,1.06,0.69
1780962180.8314555,-0.19,1.1,0.67
1780962180.9321733,-0.32,1.08,0.72
1780962181.0314398,-0.4,1.09,0.74
1780962181.1400766,-0.53,1.07,0.75
1780962181.2309463,-0.64,1.0,0.83
1780962181.3318057,-0.74,0.97,0.91
1780962181.4348347,-0.8,0.94,0.98
1780962181.531478,-0.87,0.89,0.98
1780962181.6313858,-0.96,0.8,0.96
1780962181.7305686,-1.06,0.7,0.95
1780962181.8306625,-1.14,0.6,0.95
1780962181.9321172,-1.22,0.53,0.89
1780962182.0378006,-1.29,0.43,0.92
1780962182.1314116,-1.34,0.32,0.91
1780962182.231968,-1.37,0.25,0.87
1780962182.3410134,-1.39,0.15,0.91
1780962182.4308844,-1.4,0.06,0.89
1780962182.5319529,-1.41,-0.05,0.9
1780962182.6318872,-1.4,-0.16,0.97
1780962182.7318876,-1.4,-0.29,0.87
1780962182.8307357,-1.35,-0.37,0.87
1780962182.9320292,-1.26,-0.39,0.87
1780962183.0319667,-1.17,-0.47,0.86
1780962183.1318505,-1.11,-0.54,0.9
1780962183.2312007,-0.99,-0.54,0.88
1780962183.3308802,-0.89,-0.6,0.79
1780962183.4320786,-0.77,-0.6,0.89
1780962183.5418005,-0.67,-0.61,0.85
1780962183.630986,-0.56,-0.61,0.83
1780962183.7321846,-0.46,-0.66,0.76
1780962183.8315837,-0.36,-0.69,0.79
