Time,POSX,POSY,POSZ
1780961975.0353093,-0.3814,0.1891,0.0849
1780961975.0410564,-0.3814,0.1891,0.0849
1780961975.046426,-0.3814,0.1891,0.0849
1780961975.0520115,-0.3814,0.1891,0.0848
1780961975.0577197,-0.3814,0.1891,0.0848
1780961975.06296,-0.3814,0.1891,0.0848
1780961975.0683231,-0.3814,0.1892,0.0848
1780961975.07473,-0.3814,0.1891,0.0849
1780961975.0795963,-0.3814,0.1891,0.0848
1780961975.0869942,-0.3814,0.1891,0.0848
1780961975.0906923,-0.3814,0.1891,0.0848
1780961975.0974636,-0.3814,0.1891,0.0849
1780961975.1014564,-0.3814,0.1891,0.0848
1780961975.107397,-0.3814,0.1891,0.0848
1780961975.1130922,-0.3814,0.1891,0.0848
1780961975.1195552,-0.3814,0.1891,0.0848
1780961975.1252992,-0.3814,0.1891,0.0849
1780961975.1346066,-0.3814,0.1891,0.0848
1780961975.1355731,-0.3814,0.1891,0.0848
1780961975.1641803,-0.3814,0.1891,0.0849
1780961975.164704,-0.3814,0.1891,0.0849
1780961975.1652079,-0.3814,0.1891,0.0849
1780961975.16567,-0.3814,0.1891,0.0848
1780961975.166065,-0.3814,0.1891,0.0848
1780961975.1701846,-0.3814,0.1891,0.0848
1780961975.1741965,-0.3814,0.1891,0.0848
1780961975.180015,-0.3814,0.1891,0.0848
1780961975.1857245,-0.3814,0.1891,0.0848
1780961975.1906676,-0.3814,0.1891,0.0848
1780961975.1962564,-0.3814,0.1891,0.0848
1780961975.202131,-0.3814,0.1891,0.0848
1780961975.2072926,-0.3814,0.1891,0.0849
1780961975.2135894,-0.3814,0.1891,0.0848
1780961975.2210145,-0.3814,0.1891,0.0848
1780961975.2242398,-0.3814,0.1891,0.0848
1780961975.2293894,-0.3814,0.1891,0.0848
1780961975.2354548,-0.3814,0.1891,0.0849
1780961975.2406173,-0.3814,0.1891,0.0848
1780961975.2462926,-0.3814,0.1891,0.0848
1780961975.252087,-0.3814,0.1891,0.0848
1780961975.2574956,-0.3814,0.1891,0.0848
1780961975.2629638,-0.3814,0.1891,0.0848
1780961975.2746782,-0.3814,0.1891,0.0848
1780961975.2758884,-0.3814,0.1891,0.0848
1780961975.281051,-0.3814,0.1891,0.0848
1780961975.28652,-0.3814,0.1891,0.0848
1780961975.291556,-0.3814,0.1891,0.0848
1780961975.2981718,-0.3814,0.1891,0.0848
1780961975.301354,-0.3814,0.1891,0.0848
1780961975.306982,-0.3814,0.1891,0.0848
1780961975.313011,-0.3814,0.1891,0.0848
1780961975.31868,-0.3814,0.1891,0.0848
1780961975.324085,-0.3814,0.1891,0.0848
1780961975.329608,-0.3814,0.1891,0.0848
1780961975.3347774,-0.3814,0.1891,0.0848
1780961975.340528,-0.3814,0.1891,0.0848
1780961975.347389,-0.3814,0.1891,0.0848
1780961975.3517356,-0.3814,0.1891,0.0848
1780961975.3574388,-0.3814,0.1891,0.0848
1780961975.3639553,-0.3814,0.1891,0.0848
1780961975.368161,-0.3814,0.1891,0.0848
1780961975.3758516,-0.3814,0.1891,0.0848
1780961975.379482,-0.3814,0.1891,0.0848
1780961975.385159,-0.3814,0.1891,0.0848
1780961975.3907385,-0.3814,0.1891,0.0848
1780961975.3962338,-0.3814,0.1891,0.0848
1780961975.4015267,-0.3814,0.1891,0.0848
1780961975.4072492,-0.3814,0.1891,0.0848
1780961975.4127343,-0.3814,0.1891,0.0848
1780961975.4272137,-0.3814,0.1891,0.0848
1780961975.4281473,-0.3814,0.1891,0.0848
1780961975.4299474,-0.3814,0.1891,0.0848
1780961975.434825,-0.3814,0.1891,0.0848
1780961975.4411676,-0.3814,0.1891,0.0848
1780961975.447821,-0.3814,0.1891,0.0848
1780961975.4601674,-0.3814,0.1891,0.0849
1780961975.4606426,-0.3814,0.1891,0.0848
1780961975.463086,-0.3814,0.1891,0.0848
1780961975.4684575,-0.3814,0.1891,0.0848
1780961975.474148,-0.3814,0.1891,0.0848
1780961975.4792466,-0.3814,0.1891,0.0848
1780961975.4849713,-0.3814,0.1891,0.0848
1780961975.490914,-0.3814,0.1891,0.0848
1780961975.496092,-0.3814,0.1891,0.0848
