Time,POSX,POSY,POSZ
1780961978.6003861,-0.32,0.12,0.63
1780961978.6062922,-0.32,0.09,0.64
1780961978.6119933,-0.32,0.1,0.64
1780961978.6177394,-0.32,0.07,0.64
1780961978.6238098,-0.32,0.1,0.61
1780961978.6299047,-0.31,0.11,0.65
1780961978.635839,-0.31,0.13,0.64
1780961978.6395855,-0.3,0.13,0.69
1780961978.6444914,-0.33,0.15,0.66
1780961978.652549,-0.32,0.17,0.7
1780961978.7335312,-0.31,0.17,0.7
1780961978.830501,-0.32,0.15,0.71
1780961978.9310958,-0.31,0.15,0.75
1780961979.031705,-0.31,0.15,0.74
1780961979.131431,-0.31,0.15,0.69
1780961979.23104,-0.31,0.16,0.68
1780961979.3301866,-0.31,0.15,0.71
1780961979.4315107,-0.31,0.15,0.69
1780961979.5306816,-0.31,0.12,0.67
1780961979.6310544,-0.3,0.13,0.63
1780961979.7302463,-0.31,0.12,0.62
1780961979.8302617,-0.32,0.09,0.62
1780961979.9323223,-0.33,0.11,0.61
1780961980.0300188,-0.33,0.13,0.64
1780961980.1310809,-0.31,0.11,0.63
1780961980.235157,-0.31,0.12,0.64
1780961980.3309135,-0.34,0.14,0.6
1780961980.4313078,-0.33,0.15,0.59
1780961980.5305839,-0.33,0.12,0.59
1780961980.6307054,-0.32,0.14,0.6
1780961980.7315125,-0.34,0.15,0.59
1780961980.8410275,-0.35,0.1,0.59
1780961980.9311616,-0.35,0.12,0.68
1780961981.030132,-0.34,0.13,0.69
1780961981.1404138,-0.33,0.14,0.64
1780961981.231086,-0.33,0.15,0.63
1780961981.331299,-0.32,0.17,0.67
1780961981.4303029,-0.31,0.16,0.69
1780961981.5312102,-0.31,0.14,0.67
1780961981.6311278,-0.31,0.15,0.65
1780961981.7336235,-0.31,0.12,0.64
1780961981.8311346,-0.33,0.1,0.63
1780961981.9302003,-0.34,0.14,0.63
1780961982.0301843,-0.33,0.16,0.66
1780961982.1310022,-0.34,0.17,0.65
1780961982.231024,-0.33,0.14,0.66
1780961982.3313606,-0.31,0.13,0.69
1780961982.430503,-0.31,0.12,0.7
1780961982.5315225,-0.32,0.13,0.73
1780961982.6309206,-0.32,0.12,0.72
1780961982.730215,-0.31,0.14,0.69
1780961982.8319044,-0.31,0.12,0.66
