Time,POSX,POSY,POSZ
1780961869.6746507,0.0923,0.1684,0.0834
1780961869.6805305,0.0923,0.1683,0.0834
1780961869.6857493,0.0923,0.1684,0.0834
1780961869.6914127,0.0923,0.1683,0.0834
1780961869.69664,0.0922,0.1684,0.0835
1780961869.7021046,0.0923,0.1684,0.0835
1780961869.7078886,0.0924,0.1684,0.0835
1780961869.713468,0.0923,0.1684,0.0835
1780961869.7182722,0.0923,0.1684,0.0835
1780961869.7241526,0.0923,0.1684,0.0834
1780961869.7303634,0.0923,0.1684,0.0835
1780961869.7355733,0.0922,0.1684,0.0835
1780961869.7410555,0.0922,0.1684,0.0835
1780961869.7469752,0.0923,0.1684,0.0835
1780961869.7517378,0.0923,0.1684,0.0835
1780961869.763403,0.0923,0.1684,0.0835
1780961869.764476,0.0923,0.1684,0.0835
1780961869.7707608,0.0923,0.1684,0.0835
1780961869.7773602,0.0923,0.1684,0.0835
1780961869.804471,0.0923,0.1684,0.0835
1780961869.8050258,0.0923,0.1684,0.0835
1780961869.805461,0.0923,0.1684,0.0834
1780961869.80588,0.0923,0.1684,0.0834
1780961869.8063045,0.0923,0.1684,0.0834
1780961869.8072267,0.0924,0.1684,0.0835
1780961869.812981,0.0924,0.1683,0.0834
1780961869.8192282,0.0923,0.1684,0.0835
1780961869.824276,0.0923,0.1684,0.0834
1780961869.8316014,0.0923,0.1684,0.0835
1780961869.8353713,0.0922,0.1684,0.0835
1780961869.840781,0.0923,0.1684,0.0835
1780961869.8469498,0.0923,0.1684,0.0834
1780961869.852731,0.0923,0.1683,0.0835
1780961869.8576598,0.0924,0.1684,0.0835
1780961869.8630705,0.0924,0.1684,0.0834
1780961869.868418,0.0924,0.1683,0.0835
1780961869.8739555,0.0924,0.1684,0.0834
1780961869.879858,0.0923,0.1684,0.0834
1780961869.8856328,0.0923,0.1684,0.0834
1780961869.8911912,0.0923,0.1684,0.0835
1780961869.8964376,0.0923,0.1683,0.0834
1780961869.9017665,0.0923,0.1684,0.0835
1780961869.9168065,0.0924,0.1684,0.0835
1780961869.92092,0.0923,0.1684,0.0835
1780961869.9215674,0.0923,0.1684,0.0835
1780961869.925473,0.0923,0.1684,0.0835
1780961869.9374511,0.0923,0.1684,0.0835
1780961869.9469373,0.0923,0.1684,0.0835
1780961869.9476454,0.0923,0.1684,0.0834
1780961869.948127,0.0923,0.1683,0.0835
1780961869.95243,0.0923,0.1684,0.0834
1780961869.9579844,0.0924,0.1684,0.0834
1780961869.9631364,0.0924,0.1684,0.0835
1780961869.9687731,0.0923,0.1684,0.0835
1780961869.9746172,0.0923,0.1684,0.0835
1780961869.9798481,0.0923,0.1684,0.0834
1780961869.986732,0.0923,0.1684,0.0834
1780961869.9920645,0.0923,0.1684,0.0834
1780961869.9964638,0.0923,0.1684,0.0835
1780961870.00207,0.0923,0.1684,0.0835
1780961870.0073133,0.0924,0.1684,0.0834
1780961870.016977,0.0924,0.1684,0.0835
1780961870.0222557,0.0924,0.1684,0.0834
1780961870.0286143,0.0923,0.1684,0.0834
1780961870.0363162,0.0923,0.1683,0.0834
1780961870.0369308,0.0923,0.1684,0.0834
1780961870.0404491,0.0923,0.1684,0.0834
1780961870.0472274,0.0923,0.1684,0.0835
1780961870.0517366,0.0923,0.1684,0.0834
1780961870.0572178,0.0924,0.1684,0.0835
1780961870.0719903,0.0924,0.1684,0.0835
1780961870.073203,0.0923,0.1683,0.0835
1780961870.074771,0.0923,0.1684,0.0834
1780961870.079863,0.0923,0.1684,0.0834
1780961870.0857017,0.0923,0.1683,0.0834
1780961870.0924382,0.0923,0.1684,0.0834
1780961870.1052802,0.0923,0.1683,0.0834
1780961870.1059024,0.0923,0.1684,0.0835
1780961870.107453,0.0924,0.1683,0.0834
1780961870.1128886,0.0923,0.1684,0.0835
1780961870.1184187,0.0923,0.1684,0.0835
1780961870.1241055,0.0923,0.1684,0.0835
1780961870.1298292,0.0923,0.1684,0.0835
1780961870.13485,0.0923,0.1684,0.0834
1780961870.140949,0.0923,0.1684,0.0834
1780961870.1472113,0.0923,0.1684,0.0835
1780961870.1517437,0.0923,0.1684,0.0835
1780961870.1575634,0.0924,0.1684,0.0835
1780961870.162838,0.0924,0.1684,0.0835
1780961870.1685367,0.0924,0.1684,0.0835
1780961870.174159,0.0923,0.1684,0.0835
1780961870.1799629,0.0923,0.1683,0.0835
1780961870.1851883,0.0923,0.1683,0.0834
1780961870.1905932,0.0923,0.1684,0.0835
1780961870.1961298,0.0923,0.1684,0.0835
1780961870.2125669,0.0923,0.1683,0.0835
1780961870.2138171,0.0923,0.1683,0.0835
1780961870.2142437,0.0924,0.1683,0.0834
1780961870.2192373,0.0923,0.1684,0.0835
1780961870.2242827,0.0923,0.1684,0.0835
1780961870.233828,0.0923,0.1684,0.0835
1780961870.2392123,0.0923,0.1684,0.0834
1780961870.2410653,0.0923,0.1684,0.0834
1780961870.2481434,0.0923,0.1684,0.0834
1780961870.2518601,0.0923,0.1684,0.0835
1780961870.2572262,0.0923,0.1684,0.0835
1780961870.2638404,0.0923,0.1684,0.0835
1780961870.268792,0.0923,0.1684,0.0835
1780961870.2743626,0.0924,0.1684,0.0835
1780961870.2809818,0.0923,0.1684,0.0835
1780961870.2865832,0.0923,0.1684,0.0835
1780961870.291873,0.0923,0.1684,0.0834
1780961870.2964468,0.0923,0.1684,0.0835
1780961870.3023424,0.0923,0.1684,0.0835
1780961870.3080385,0.0924,0.1684,0.0834
1780961870.3133764,0.0924,0.1684,0.0834
1780961870.31868,0.0923,0.1684,0.0835
1780961870.324465,0.0924,0.1684,0.0834
1780961870.3301578,0.0923,0.1684,0.0835
1780961870.3357675,0.0923,0.1684,0.0835
1780961870.3505135,0.0923,0.1684,0.0835
1780961870.35297,0.0924,0.1684,0.0835
1780961870.3541868,0.0923,0.1684,0.0835
1780961870.3574646,0.0924,0.1684,0.0834
1780961870.3635347,0.0923,0.1684,0.0835
1780961870.3686993,0.0924,0.1684,0.0834
1780961870.3761253,0.0923,0.1684,0.0835
1780961870.3802204,0.0923,0.1684,0.0835
1780961870.3853025,0.0923,0.1684,0.0834
1780961870.3913293,0.0923,0.1684,0.0834
1780961870.3970983,0.0923,0.1684,0.0834
1780961870.4019265,0.0923,0.1683,0.0834
1780961870.4089236,0.0924,0.1684,0.0835
1780961870.412976,0.0924,0.1684,0.0835
1780961870.4186409,0.0924,0.1684,0.0835
1780961870.4246414,0.0923,0.1684,0.0835
1780961870.4309635,0.0923,0.1684,0.0835
1780961870.4367976,0.0923,0.1684,0.0834
1780961870.440616,0.0923,0.1684,0.0835
1780961870.4482355,0.0923,0.1684,0.0835
1780961870.451902,0.0924,0.1684,0.0834
1780961870.4575417,0.0924,0.1684,0.0834
1780961870.4632428,0.0924,0.1684,0.0835
1780961870.4684813,0.0924,0.1684,0.0835
1780961870.4744523,0.0923,0.1684,0.0835
1780961870.480455,0.0923,0.1684,0.0834
1780961870.485427,0.0923,0.1684,0.0835
1780961870.4909732,0.0923,0.1684,0.0835
1780961870.5054095,0.0923,0.1684,0.0834
1780961870.5357425,0.0924,0.1684,0.0834
1780961870.5363991,0.0924,0.1684,0.0835
1780961870.536906,0.0924,0.1684,0.0834
1780961870.5373065,0.0924,0.1683,0.0834
1780961870.5377555,0.0923,0.1683,0.0835
1780961870.5381453,0.0924,0.1684,0.0835
1780961870.538503,0.0923,0.1684,0.0834
1780961870.541326,0.0923,0.1684,0.0835
1780961870.5466228,0.0923,0.1684,0.0834
1780961870.5520935,0.0923,0.1684,0.0834
1780961870.5580223,0.0924,0.1684,0.0834
1780961870.5642025,0.0924,0.1684,0.0835
1780961870.5684283,0.0924,0.1684,0.0835
1780961870.5735862,0.0923,0.1684,0.0835
