Time,POSX,POSY,POSZ
1780961873.2546747,-0.1,0.14,0.42
1780961873.2618556,-0.1,0.14,0.42
1780961873.2689285,-0.11,0.14,0.41
1780961873.276513,-0.11,0.14,0.41
1780961873.284009,-0.1,0.15,0.41
1780961873.2892172,-0.1,0.14,0.42
1780961873.2941625,-0.1,0.14,0.41
1780961873.3006952,-0.1,0.15,0.39
1780961873.307985,-0.09,0.14,0.38
1780961873.3130412,-0.1,0.14,0.38
1780961873.3315358,-0.12,0.15,0.39
1780961873.4302714,-0.11,0.15,0.38
1780961873.5303442,-0.11,0.14,0.37
1780961873.6300304,-0.11,0.15,0.38
1780961873.7301576,-0.11,0.15,0.38
1780961873.8321779,-0.1,0.14,0.39
1780961873.9300375,-0.1,0.14,0.38
1780961874.0306299,-0.13,0.13,0.37
1780961874.131367,-0.1,0.15,0.38
1780961874.231045,-0.1,0.14,0.39
1780961874.3299007,-0.07,0.13,0.39
1780961874.4304423,-0.07,0.12,0.38
1780961874.5298722,-0.09,0.14,0.38
1780961874.6299736,-0.1,0.14,0.4
1780961874.7338011,-0.1,0.13,0.4
1780961874.8310778,-0.13,0.13,0.4
1780961874.9310825,-0.13,0.14,0.38
1780961875.0302382,-0.12,0.14,0.38
1780961875.1307583,-0.12,0.15,0.37
1780961875.244316,-0.11,0.15,0.39
1780961875.3305123,-0.11,0.15,0.4
1780961875.4317012,-0.11,0.15,0.4
1780961875.5302837,-0.11,0.15,0.39
1780961875.6310005,-0.12,0.14,0.39
1780961875.7313347,-0.13,0.14,0.4
1780961875.8297994,-0.13,0.14,0.37
1780961875.9311895,-0.12,0.15,0.38
1780961876.031713,-0.13,0.14,0.41
1780961876.13096,-0.12,0.14,0.41
1780961876.231181,-0.11,0.14,0.4
1780961876.3307567,-0.12,0.14,0.4
1780961876.4307222,-0.12,0.14,0.41
1780961876.5298927,-0.11,0.14,0.42
1780961876.633645,-0.11,0.13,0.4
1780961876.731401,-0.11,0.13,0.4
1780961876.8311882,-0.09,0.14,0.4
1780961876.9304965,-0.1,0.14,0.39
1780961877.030303,-0.1,0.14,0.39
1780961877.1307905,-0.1,0.14,0.37
1780961877.2304373,-0.07,0.14,0.36
1780961877.330138,-0.08,0.15,0.37
1780961877.4309616,-0.08,0.15,0.36
1780961877.5325003,-0.08,0.14,0.37
1780961877.630971,-0.1,0.14,0.38
1780961877.7305465,-0.11,0.15,0.39
1780961877.8329887,-0.1,0.15,0.38
1780961877.931435,-0.09,0.15,0.37
1780961878.030922,-0.07,0.14,0.38
1780961878.1314054,-0.06,0.15,0.37
1780961878.230222,-0.05,0.15,0.37
1780961878.331191,-0.02,0.14,0.36
1780961878.432854,-0.06,0.14,0.37
1780961878.5309305,-0.07,0.14,0.38
1780961878.6296592,-0.05,0.15,0.38
1780961878.7313356,-0.06,0.15,0.38
1780961878.8305626,-0.08,0.15,0.39
1780961878.9312468,-0.08,0.14,0.38
1780961879.0320716,-0.07,0.14,0.41
1780961879.1304667,-0.09,0.14,0.43
1780961879.2302325,-0.11,0.14,0.41
1780961879.331224,-0.09,0.13,0.39
1780961879.430606,-0.09,0.13,0.38
1780961879.5308967,-0.09,0.13,0.4
1780961879.6310992,-0.07,0.13,0.39
1780961879.7310307,-0.06,0.13,0.39
1780961879.831461,-0.06,0.14,0.38
1780961879.9308457,-0.09,0.14,0.37
1780961880.0299158,-0.1,0.15,0.38
1780961880.1308472,-0.1,0.13,0.39
1780961880.231235,-0.1,0.13,0.37
1780961880.3309875,-0.1,0.13,0.36
1780961880.4315479,-0.11,0.14,0.39
1780961880.5307214,-0.11,0.14,0.41
1780961880.6312683,-0.1,0.14,0.4
1780961880.7301579,-0.09,0.14,0.39
1780961880.832879,-0.07,0.15,0.39
1780961880.929992,-0.08,0.14,0.41
1780961881.0303557,-0.09,0.13,0.4
1780961881.1302593,-0.08,0.13,0.39
1780961881.2305336,-0.08,0.14,0.4
1780961881.330855,-0.1,0.14,0.41
1780961881.430231,-0.09,0.15,0.39
1780961881.5301573,-0.11,0.15,0.39
1780961881.6303065,-0.1,0.13,0.39
1780961881.7303538,-0.12,0.15,0.38
1780961881.8304892,-0.11,0.15,0.4
1780961881.9298787,-0.11,0.15,0.4
1780961882.031949,-0.11,0.14,0.39
1780961882.1306815,-0.09,0.13,0.4
1780961882.230084,-0.09,0.12,0.37
1780961882.3333087,-0.07,0.11,0.35
1780961882.431013,-0.07,0.07,0.3
1780961882.5300903,-0.09,0.05,0.29
1780961882.6313133,-0.13,0.02,0.31
1780961882.729865,-0.12,0.04,0.42
1780961882.8304713,-0.18,0.0,0.48
1780961882.9312203,-0.21,-0.04,0.59
1780961883.0309384,-0.24,-0.09,0.65
1780961883.1304262,-0.23,-0.12,0.72
1780961883.2305145,-0.23,-0.14,0.79
1780961883.3314197,-0.23,-0.14,0.78
1780961883.4308105,-0.24,-0.14,0.84
1780961883.5314467,-0.22,-0.15,0.9
1780961883.6308498,-0.23,-0.16,0.92
1780961883.734154,-0.21,-0.18,0.89
1780961883.8313699,-0.14,-0.15,0.9
1780961883.9317353,-0.08,-0.14,0.9
1780961884.030459,-0.04,-0.16,0.87
1780961884.1309388,-0.03,-0.18,0.89
1780961884.2311003,-0.02,-0.24,0.86
1780961884.3316352,-0.02,-0.25,0.88
1780961884.4305334,0.01,-0.26,0.87
1780961884.5299015,0.02,-0.26,0.89
1780961884.6298258,0.02,-0.25,0.89
1780961884.730605,0.06,-0.25,0.94
1780961884.8344972,0.14,-0.25,0.98
1780961884.9306781,0.22,-0.26,1.03
1780961885.030001,0.33,-0.27,0.98
1780961885.1310067,0.45,-0.28,0.99
1780961885.2337523,0.49,-0.32,0.92
1780961885.329874,0.58,-0.33,0.9
1780961885.4351144,0.66,-0.32,0.87
1780961885.5312622,0.72,-0.36,0.81
1780961885.6462915,0.8,-0.35,0.78
1780961885.746089,0.87,-0.35,0.85
1780961885.8301554,0.95,-0.35,0.82
1780961885.9302983,1.0,-0.32,0.8
1780961886.0303323,1.08,-0.31,0.84
1780961886.1308205,1.17,-0.32,0.83
1780961886.2315214,1.24,-0.33,0.82
1780961886.3324347,1.3,-0.32,0.81
1780961886.4306912,1.36,-0.33,0.8
1780961886.5304136,1.42,-0.32,0.86
1780961886.6308203,1.46,-0.3,0.85
1780961886.7300508,1.54,-0.26,0.85
1780961886.8443294,1.63,-0.19,0.8
1780961886.9301238,1.7,-0.15,0.82
1780961887.0313654,1.76,-0.1,0.82
1780961887.1312983,1.83,-0.05,0.86
1780961887.2303793,1.86,0.02,0.86
1780961887.3302794,1.91,0.07,0.82
1780961887.4310246,1.95,0.15,0.81
1780961887.5303807,1.98,0.25,0.82
1780961887.6300073,1.97,0.32,0.79
1780961887.731218,1.98,0.41,0.76
1780961887.8312447,1.97,0.48,0.73
1780961887.931207,1.94,0.56,0.76
1780961888.030996,1.87,0.61,0.78
1780961888.130993,1.81,0.67,0.82
1780961888.2315598,1.73,0.72,0.91
1780961888.3300865,1.66,0.77,0.91
1780961888.4312825,1.59,0.82,0.93
1780961888.5314996,1.5,0.86,0.93
1780961888.6297815,1.41,0.88,0.97
1780961888.7308652,1.33,0.89,0.9
1780961888.8304975,1.25,0.91,0.89
1780961888.9306853,1.17,0.92,0.95
1780961889.031643,1.08,0.93,0.91
1780961889.131056,1.0,0.91,0.92
1780961889.2306294,0.9,0.89,0.93
1780961889.3302295,0.81,0.88,0.91
1780961889.430203,0.69,0.85,0.89
1780961889.5303688,0.62,0.85,0.9
1780961889.6304727,0.53,0.84,0.91
1780961889.7299821,0.38,0.8,0.9
1780961889.8303032,0.31,0.81,0.93
1780961889.9305675,0.23,0.82,0.96
1780961890.030955,0.12,0.87,1.01
1780961890.130121,0.0,0.88,0.99
1780961890.2317357,-0.11,0.9,1.03
1780961890.3301098,-0.2,0.92,0.97
1780961890.4301248,-0.29,0.93,0.98
1780961890.5305228,-0.41,0.96,0.93
1780961890.6310627,-0.49,0.91,0.96
1780961890.7305064,-0.58,0.92,0.93
1780961890.836907,-0.66,0.89,0.91
1780961890.9307573,-0.76,0.87,0.87
1780961891.0306833,-0.87,0.85,0.83
1780961891.1299229,-0.96,0.8,0.82
1780961891.2300823,-1.05,0.77,0.85
1780961891.3311346,-1.15,0.7,0.85
1780961891.4414582,-1.26,0.62,0.86
1780961891.5308752,-1.35,0.54,0.85
1780961891.6303005,-1.42,0.46,0.88
1780961891.7301648,-1.47,0.36,0.88
1780961891.8307252,-1.49,0.26,0.86
1780961891.9313734,-1.5,0.17,0.85
1780961892.03729,-1.48,0.08,0.87
1780961892.1304908,-1.43,-0.01,0.92
1780961892.2304919,-1.36,-0.07,0.95
1780961892.330712,-1.32,-0.17,0.89
1780961892.4304206,-1.27,-0.24,0.9
1780961892.5302901,-1.21,-0.29,0.88
1780961892.6300504,-1.14,-0.34,0.86
1780961892.7300694,-1.09,-0.41,0.85
1780961892.830266,-0.99,-0.46,0.94
1780961892.9378312,-0.93,-0.5,0.88
1780961893.030271,-0.85,-0.52,0.87
1780961893.1314135,-0.76,-0.55,0.89
1780961893.2349367,-0.68,-0.58,0.9
1780961893.330525,-0.59,-0.58,0.93
1780961893.4305336,-0.51,-0.6,0.91
1780961893.530058,-0.4,-0.63,0.88
1780961893.6307776,-0.33,-0.63,0.86
1780961893.7303908,-0.23,-0.63,0.84
1780961893.830443,-0.14,-0.62,0.86
1780961893.9310434,-0.04,-0.63,0.84
1780961894.0305383,0.06,-0.61,0.88
1780961894.1409924,0.14,-0.62,0.94
1780961894.2301006,0.22,-0.61,1.02
1780961894.3301187,0.29,-0.63,0.98
1780961894.429983,0.42,-0.64,0.94
1780961894.5298629,0.54,-0.64,0.94
1780961894.6315668,0.65,-0.65,0.94
1780961894.7301395,0.75,-0.67,0.93
1780961894.8305125,0.84,-0.66,0.91
1780961894.9313898,0.94,-0.65,0.94
1780961895.032039,1.02,-0.64,0.94
1780961895.1309958,1.1,-0.61,0.94
1780961895.2300138,1.18,-0.57,0.95
1780961895.3311365,1.26,-0.52,0.93
1780961895.4314163,1.34,-0.45,0.95
1780961895.5302336,1.41,-0.37,0.98
1780961895.6408663,1.49,-0.29,0.99
1780961895.7313108,1.55,-0.18,0.92
1780961895.8302674,1.59,-0.08,0.86
1780961895.931066,1.62,0.03,0.83
1780961896.0299745,1.63,0.13,0.85
1780961896.1310306,1.61,0.22,0.83
1780961896.2298286,1.6,0.32,0.78
1780961896.329883,1.57,0.41,0.83
1780961896.430802,1.53,0.5,0.89
1780961896.5419211,1.48,0.6,0.85
1780961896.6312256,1.41,0.68,0.92
1780961896.7305613,1.3,0.73,0.86
1780961896.839785,1.2,0.76,0.92
1780961896.9311533,1.11,0.79,0.95
1780961897.0309432,1.02,0.79,0.98
1780961897.129947,0.93,0.79,0.97
1780961897.2311096,0.86,0.79,0.94
1780961897.3299387,0.77,0.8,0.91
1780961897.430378,0.66,0.81,0.88
1780961897.530108,0.56,0.82,0.92
1780961897.6297224,0.44,0.84,0.9
1780961897.7300234,0.33,0.87,0.92
1780961897.830529,0.23,0.88,0.91
1780961897.93109,0.1,0.9,0.87
1780961898.0299113,-0.02,0.92,0.9
1780961898.1311352,-0.15,0.96,0.89
1780961898.2310119,-0.23,0.98,0.93
1780961898.3298664,-0.36,0.94,0.96
1780961898.4298565,-0.46,0.93,0.92
1780961898.5312245,-0.58,0.88,0.86
1780961898.6316495,-0.69,0.82,0.85
1780961898.730552,-0.77,0.75,0.86
1780961898.830269,-0.87,0.69,0.88
1780961898.9307935,-0.98,0.63,0.85
1780961899.0302026,-1.08,0.55,0.84
1780961899.1303415,-1.19,0.45,0.81
1780961899.2312732,-1.27,0.37,0.79
1780961899.331242,-1.32,0.25,0.78
1780961899.430758,-1.32,0.14,0.8
1780961899.5298615,-1.32,0.05,0.81
1780961899.6304984,-1.27,-0.02,0.81
1780961899.736574,-1.22,-0.12,0.86
1780961899.8299992,-1.17,-0.22,0.83
1780961899.9350913,-1.12,-0.33,0.8
1780961900.0300753,-1.03,-0.42,0.82
1780961900.1325905,-0.96,-0.48,0.82
1780961900.2299294,-0.88,-0.52,0.8
1780961900.3438058,-0.78,-0.58,0.78
1780961900.434625,-0.69,-0.6,0.84
1780961900.5439706,-0.6,-0.61,0.89
1780961900.629981,-0.5,-0.63,0.9
1780961900.7317073,-0.42,-0.63,0.95
1780961900.831691,-0.27,-0.67,0.91
1780961900.931169,-0.11,-0.72,0.86
1780961901.0307376,-0.05,-0.71,0.91
1780961901.1305716,0.04,-0.69,0.88
1780961901.2303588,0.23,-0.75,0.87
1780961901.3310516,0.29,-0.73,0.86
1780961901.4338088,0.42,-0.71,0.88
1780961901.5315194,0.53,-0.69,0.84
