Time,POSX,POSY,POSZ
1780962247.2919545,-0.6934,0.2651,0.0854
1780962247.2974389,-0.6934,0.2651,0.0854
1780962247.3022141,-0.6934,0.2651,0.0854
1780962247.3098862,-0.6934,0.2652,0.0854
1780962247.3152442,-0.6934,0.2651,0.0854
1780962247.3221667,-0.6934,0.2651,0.0854
1780962247.334416,-0.6934,0.2651,0.0854
1780962247.33515,-0.6933,0.2651,0.0854
1780962247.3357813,-0.6934,0.2651,0.0855
1780962247.3439744,-0.6934,0.2652,0.0854
1780962247.3462934,-0.6934,0.2651,0.0854
1780962247.353875,-0.6934,0.2651,0.0854
1780962247.35834,-0.6934,0.2651,0.0854
1780962247.3633833,-0.6934,0.2651,0.0854
1780962247.369389,-0.6934,0.2651,0.0854
1780962247.374945,-0.6934,0.2651,0.0854
1780962247.3879035,-0.6934,0.2651,0.0854
1780962247.3896694,-0.6934,0.2651,0.0854
1780962247.390841,-0.6934,0.2651,0.0854
1780962247.396325,-0.6935,0.2651,0.0854
1780962247.4247184,-0.6934,0.2651,0.0854
1780962247.425198,-0.6934,0.2652,0.0854
1780962247.4256008,-0.6934,0.2651,0.0854
1780962247.425979,-0.6934,0.2651,0.0854
1780962247.426354,-0.6934,0.2651,0.0854
1780962247.42927,-0.6934,0.2651,0.0854
1780962247.4364684,-0.6934,0.2651,0.0854
1780962247.4413724,-0.6934,0.2651,0.0854
1780962247.4479055,-0.6934,0.2651,0.0854
1780962247.4543004,-0.6935,0.2651,0.0854
1780962247.4608054,-0.6934,0.2651,0.0854
1780962247.4625769,-0.6934,0.2651,0.0854
1780962247.4695957,-0.6934,0.2651,0.0854
1780962247.474853,-0.6934,0.2651,0.0854
1780962247.482289,-0.6934,0.2651,0.0854
1780962247.4880195,-0.6934,0.2651,0.0854
1780962247.494139,-0.6934,0.2651,0.0854
1780962247.4990854,-0.6934,0.2652,0.0854
1780962247.5054102,-0.6935,0.2651,0.0854
1780962247.5092192,-0.6935,0.2651,0.0854
1780962247.5135489,-0.6934,0.2651,0.0854
1780962247.5194733,-0.6934,0.2651,0.0854
1780962247.531967,-0.6934,0.2651,0.0854
1780962247.547991,-0.6934,0.2651,0.0854
1780962247.5492747,-0.6934,0.2651,0.0854
