Time,POSX,POSY,POSZ
1780962250.8521433,-0.65,0.24,0.69
1780962250.8571012,-0.64,0.26,0.7
1780962250.8635533,-0.65,0.26,0.79
1780962250.869948,-0.65,0.26,0.75
1780962250.8762016,-0.65,0.24,0.7
1780962250.8831654,-0.64,0.25,0.72
1780962250.8896303,-0.64,0.22,0.69
1780962250.895729,-0.65,0.23,0.73
1780962250.8998826,-0.64,0.21,0.73
1780962250.9060318,-0.63,0.24,0.72
1780962250.9320765,-0.65,0.25,0.68
1780962251.032366,-0.66,0.24,0.67
1780962251.1337051,-0.65,0.26,0.65
1780962251.2307465,-0.65,0.27,0.65
1780962251.331447,-0.65,0.29,0.65
1780962251.4319506,-0.64,0.28,0.64
1780962251.5321443,-0.63,0.28,0.62
1780962251.6320276,-0.63,0.24,0.63
1780962251.7312534,-0.64,0.21,0.64
1780962251.8322003,-0.64,0.19,0.64
1780962251.931999,-0.64,0.17,0.64
1780962252.0316164,-0.63,0.19,0.69
1780962252.131539,-0.63,0.21,0.66
1780962252.231217,-0.63,0.19,0.67
1780962252.3320003,-0.63,0.2,0.74
1780962252.4313939,-0.63,0.18,0.7
1780962252.5319242,-0.66,0.18,0.67
1780962252.632767,-0.64,0.2,0.64
1780962252.7324252,-0.64,0.2,0.66
1780962252.830778,-0.64,0.22,0.64
1780962252.9308102,-0.64,0.25,0.64
1780962253.0309184,-0.63,0.27,0.65
1780962253.1319478,-0.62,0.27,0.69
1780962253.2349892,-0.64,0.27,0.72
1780962253.3322835,-0.66,0.29,0.69
1780962253.431979,-0.64,0.28,0.69
1780962253.5333147,-0.65,0.23,0.69
1780962253.6311657,-0.65,0.21,0.7
1780962253.7320094,-0.65,0.21,0.69
1780962253.83348,-0.63,0.23,0.69
1780962253.931906,-0.63,0.2,0.68
1780962254.0309854,-0.62,0.21,0.69
1780962254.1317508,-0.63,0.2,0.65
1780962254.2313101,-0.63,0.23,0.64
1780962254.331106,-0.61,0.23,0.62
1780962254.4318595,-0.6,0.25,0.59
1780962254.530843,-0.59,0.26,0.6
1780962254.632352,-0.58,0.27,0.6
1780962254.7312093,-0.57,0.28,0.6
1780962254.8317087,-0.49,0.38,0.69
1780962254.931211,-0.51,0.35,0.67
1780962255.03194,-0.55,0.28,0.67
1780962255.1317394,-0.56,0.23,0.77
1780962255.2318375,-0.59,0.15,0.83
1780962255.3322482,-0.61,0.15,0.77
1780962255.431328,-0.66,0.18,0.76
1780962255.5347426,-0.67,0.2,0.81
1780962255.6315045,-0.72,0.26,0.77
1780962255.731024,-0.77,0.23,0.81
1780962255.830999,-0.78,0.29,0.77
1780962255.9317212,-0.8,0.31,0.73
1780962256.0323942,-0.85,0.37,0.72
