Time,POSX,POSY,POSZ
1780963740.060871,0.6591,-0.156,0.0829
1780963740.0677218,0.6591,-0.156,0.0829
1780963740.0708203,0.6592,-0.156,0.0829
1780963740.076709,0.6592,-0.156,0.0829
1780963740.081572,0.6592,-0.156,0.0829
1780963740.0872755,0.6591,-0.156,0.0829
1780963740.0935209,0.6591,-0.156,0.0829
1780963740.0990138,0.6591,-0.156,0.0829
1780963740.1041174,0.6591,-0.156,0.0829
1780963740.109308,0.6591,-0.156,0.0829
1780963740.1156654,0.6591,-0.156,0.0829
1780963740.1208122,0.6592,-0.156,0.0829
1780963740.12632,0.6592,-0.156,0.0829
1780963740.1319566,0.6592,-0.156,0.0829
1780963740.139022,0.6592,-0.156,0.0829
1780963740.1454177,0.6591,-0.156,0.0829
1780963740.153619,0.6591,-0.156,0.0829
1780963740.154928,0.6591,-0.156,0.0829
1780963740.1597443,0.6591,-0.156,0.0829
1780963740.1662617,0.6591,-0.156,0.0829
1780963740.185189,0.6592,-0.156,0.0829
1780963740.1856499,0.6592,-0.156,0.0829
1780963740.1860611,0.6592,-0.156,0.0829
1780963740.1888142,0.6591,-0.156,0.0829
1780963740.1931038,0.6591,-0.156,0.0829
1780963740.1983347,0.6591,-0.156,0.0829
1780963740.2040856,0.6591,-0.156,0.0829
1780963740.209156,0.6591,-0.156,0.0829
1780963740.215233,0.6591,-0.156,0.0829
1780963740.2279918,0.6592,-0.156,0.0829
1780963740.2285676,0.6592,-0.156,0.0829
1780963740.2326481,0.6592,-0.156,0.0829
1780963740.246035,0.6591,-0.156,0.0829
1780963740.2465386,0.6591,-0.156,0.0829
1780963740.2490232,0.6591,-0.156,0.0829
1780963740.2552783,0.6591,-0.156,0.0829
1780963740.2593133,0.6591,-0.156,0.0829
1780963740.26531,0.6591,-0.156,0.0829
1780963740.2707233,0.6592,-0.156,0.0829
1780963740.2776306,0.6592,-0.156,0.0829
1780963740.2835693,0.6592,-0.156,0.0829
1780963740.2920988,0.6591,-0.156,0.0829
1780963740.2939062,0.6591,-0.156,0.0829
1780963740.2984626,0.6591,-0.1561,0.0829
1780963740.30622,0.6591,-0.156,0.0829
1780963740.3107493,0.6591,-0.156,0.0829
1780963740.316053,0.6591,-0.156,0.0829
1780963740.3211374,0.6592,-0.156,0.0829
1780963740.326723,0.6592,-0.156,0.0829
1780963740.3323176,0.6592,-0.156,0.0829
1780963740.3387127,0.6591,-0.156,0.0829
1780963740.3427706,0.6591,-0.156,0.0829
1780963740.3488717,0.6591,-0.156,0.0829
1780963740.3554158,0.6591,-0.156,0.0829
1780963740.3607526,0.6591,-0.156,0.0829
1780963740.367604,0.6591,-0.156,0.0829
1780963740.370934,0.6591,-0.156,0.0829
1780963740.3762064,0.6592,-0.156,0.0829
1780963740.381622,0.6592,-0.156,0.0829
1780963740.388431,0.6591,-0.156,0.0829
1780963740.393122,0.6591,-0.1561,0.0829
1780963740.3994334,0.6591,-0.156,0.0829
1780963740.4043984,0.6591,-0.156,0.0829
