Time,POSX,POSY,POSZ
1780963743.617675,0.680000,-0.170000,0.430000
1780963743.627866,0.680000,-0.170000,0.419662
1780963743.635717,0.680000,-0.170000,0.411701
1780963743.644060,0.684520,-0.179039,0.424557
1780963743.650809,0.664821,-0.171583,0.474173
1780963743.656274,0.651003,-0.170661,0.520344
1780963743.661535,0.651290,-0.174613,0.543253
1780963743.671152,0.656693,-0.177322,0.539717
1780963743.734835,0.660887,-0.174771,0.531184
1780963743.746035,0.664042,-0.172915,0.519639
1780963743.755003,0.674659,-0.175748,0.513416
1780963743.846992,0.686246,-0.177759,0.497679
1780963743.935801,0.690160,-0.179132,0.481839
1780963744.039737,0.688427,-0.180021,0.472978
1780963744.136167,0.690736,-0.180548,0.463016
1780963744.237488,0.692052,-0.180817,0.448976
1780963744.349249,0.696698,-0.180910,0.431879
1780963744.435624,0.699748,-0.176857,0.415891
1780963744.536040,0.701590,-0.177893,0.414246
1780963744.635394,0.702556,-0.178689,0.410738
1780963744.735097,0.702917,-0.175243,0.408927
1780963744.835272,0.698857,-0.176776,0.441501
1780963744.935366,0.691658,-0.173931,0.454559
1780963745.035684,0.682350,-0.171903,0.451503
1780963745.135555,0.683818,-0.170532,0.445479
1780963745.235940,0.681183,-0.169669,0.440558
1780963745.335019,0.683541,-0.169182,0.449914
1780963745.443133,0.661307,-0.164929,0.497105
1780963745.534872,0.649434,-0.170038,0.530711
1780963745.636045,0.657678,-0.177955,0.549400
1780963745.736042,0.664475,-0.183694,0.549250
1780963745.835833,0.677898,-0.187649,0.547458
1780963745.935336,0.679707,-0.186177,0.521473
1780963746.038808,0.676781,-0.180748,0.526482
1780963746.134943,0.678495,-0.180635,0.520092
1780963746.235382,0.671583,-0.176484,0.504715
1780963746.335516,0.666483,-0.177491,0.495741
1780963746.436327,0.674987,-0.182334,0.488832
1780963746.535334,0.677294,-0.181839,0.473759
1780963746.635546,0.666806,-0.177358,0.495450
1780963746.735751,0.659133,-0.178095,0.529678
1780963746.834965,0.653785,-0.178695,0.559942
1780963746.936366,0.650275,-0.179163,0.566498
1780963747.036232,0.656218,-0.179513,0.560563
1780963747.135341,0.664955,-0.183794,0.551514
1780963747.235747,0.675465,-0.186870,0.537013
1780963747.335785,0.658776,-0.176877,0.555007
1780963747.435266,0.638334,-0.169494,0.585631
1780963747.535391,0.635842,-0.164289,0.592678
1780963747.635779,0.630674,-0.164852,0.610492
1780963747.735049,0.635593,-0.161590,0.600330
1780963747.836153,0.643772,-0.163540,0.581261
1780963747.935428,0.654048,-0.165247,0.552291
1780963748.035095,0.661523,-0.166665,0.549207
1780963748.136023,0.666698,-0.171823,0.550505
1780963748.235764,0.662002,-0.175589,0.541979
1780963748.335046,0.666253,-0.174177,0.522329
1780963748.434856,0.669104,-0.172983,0.513951
1780963748.535123,0.658790,-0.167989,0.528007
1780963748.635059,0.659115,-0.168367,0.533204
1780963748.736106,0.663414,-0.164699,0.537649
1780963748.836120,0.658473,-0.158084,0.541335
1780963748.934947,0.662872,-0.161518,0.534358
1780963749.034993,0.662067,-0.164280,0.552063
1780963749.135031,0.637227,-0.154317,0.576036
1780963749.235962,0.627333,-0.151198,0.597920
1780963749.336235,0.624841,-0.153266,0.597835
1780963749.436240,0.623788,-0.155066,0.580175
1780963749.534895,0.635773,-0.160587,0.555524
1780963749.635224,0.653026,-0.172734,0.529205
1780963749.735981,0.673653,-0.181437,0.498821
