Time,POSX,POSY,POSZ
1780963743.617675,0.68,-0.17,0.43
1780963743.627866,0.68,-0.17,0.41
1780963743.6357167,0.68,-0.17,0.4
1780963743.6440601,0.69,-0.19,0.45
1780963743.6508088,0.64,-0.16,0.56
1780963743.656274,0.64,-0.17,0.58
1780963743.6615348,0.66,-0.18,0.55
1780963743.671152,0.67,-0.18,0.5
1780963743.7348347,0.67,-0.17,0.49
1780963743.7460349,0.67,-0.17,0.48
1780963743.7550035,0.69,-0.18,0.49
1780963743.8469915,0.7,-0.18,0.46
1780963743.9358013,0.69,-0.18,0.45
1780963744.0397375,0.68,-0.18,0.46
1780963744.136167,0.69,-0.18,0.45
1780963744.237488,0.69,-0.18,0.43
1780963744.3492494,0.7,-0.18,0.41
1780963744.4356241,0.7,-0.17,0.4
1780963744.5360396,0.7,-0.18,0.43
1780963744.6353943,0.7,-0.18,0.42
1780963744.7350967,0.7,-0.17,0.42
1780963744.8352716,0.69,-0.18,0.52
1780963744.9353664,0.68,-0.17,0.48
1780963745.035684,0.67,-0.17,0.44
1780963745.135555,0.69,-0.17,0.43
1780963745.23594,0.68,-0.17,0.43
1780963745.335019,0.69,-0.17,0.47
1780963745.4431326,0.63,-0.16,0.59
1780963745.5348718,0.64,-0.18,0.58
1780963745.6360447,0.68,-0.19,0.56
1780963745.7360415,0.68,-0.19,0.52
1780963745.8358326,0.7,-0.19,0.52
1780963745.935336,0.68,-0.18,0.45
1780963746.0388079,0.67,-0.17,0.53
1780963746.1349432,0.68,-0.18,0.5
1780963746.2353818,0.66,-0.17,0.47
1780963746.335516,0.66,-0.18,0.48
1780963746.4363267,0.69,-0.19,0.48
1780963746.535334,0.68,-0.18,0.45
1780963746.635546,0.65,-0.17,0.55
1780963746.7357514,0.65,-0.18,0.6
1780963746.8349648,0.65,-0.18,0.61
1780963746.9363663,0.65,-0.18,0.56
1780963747.0362322,0.67,-0.18,0.53
1780963747.1353414,0.68,-0.19,0.52
1780963747.2357466,0.69,-0.19,0.5
1780963747.335785,0.63,-0.16,0.59
1780963747.4352663,0.61,-0.16,0.64
1780963747.535391,0.64,-0.16,0.59
1780963747.6357791,0.63,-0.17,0.63
1780963747.735049,0.65,-0.16,0.56
1780963747.8361533,0.66,-0.17,0.53
1780963747.9354284,0.67,-0.17,0.49
1780963748.0350952,0.67,-0.17,0.55
1780963748.1360233,0.67,-0.18,0.56
1780963748.2357638,0.65,-0.18,0.53
1780963748.3350456,0.67,-0.17,0.49
1780963748.4348564,0.67,-0.17,0.51
1780963748.535123,0.64,-0.16,0.57
1780963748.6350586,0.66,-0.17,0.55
1780963748.736106,0.67,-0.16,0.55
1780963748.83612,0.65,-0.15,0.55
1780963748.9349473,0.67,-0.17,0.52
1780963749.0349927,0.66,-0.17,0.59
1780963749.1350307,0.6,-0.14,0.62
1780963749.2359624,0.62,-0.15,0.63
1780963749.336235,0.63,-0.16,0.58
1780963749.4362397,0.63,-0.16,0.53
1780963749.534895,0.66,-0.17,0.5
1780963749.635224,0.68,-0.19,0.48
1780963749.7359812,0.7,-0.19,0.45
1780963749.8354144,0.7,-0.19,0.45
1780963749.9452348,0.7,-0.19,0.5
1780963750.0356126,0.69,-0.18,0.46
1780963750.136171,0.68,-0.18,0.52
1780963750.2360256,0.68,-0.17,0.51
1780963750.3350031,0.69,-0.17,0.48
1780963750.4349725,0.69,-0.17,0.43
1780963750.5353262,0.69,-0.17,0.52
1780963750.6353498,0.68,-0.17,0.58
1780963750.7352931,0.68,-0.18,0.55
1780963750.8357794,0.66,-0.17,0.52
1780963750.9360087,0.67,-0.18,0.58
1780963751.0354412,0.66,-0.17,0.63
1780963751.1359947,0.69,-0.18,0.62
1780963751.235695,0.7,-0.19,0.58
1780963751.3363605,0.69,-0.19,0.54
1780963751.4388525,0.69,-0.19,0.51
1780963751.5358052,0.71,-0.19,0.48
1780963751.6357324,0.7,-0.18,0.47
1780963751.7353647,0.67,-0.18,0.55
1780963751.8353474,0.68,-0.19,0.53
1780963751.9359262,0.67,-0.18,0.55
1780963752.0355508,0.68,-0.17,0.53
1780963752.1379752,0.69,-0.18,0.54
1780963752.236021,0.7,-0.18,0.52
1780963752.3360124,0.71,-0.19,0.52
1780963752.435324,0.69,-0.16,0.49
1780963752.5351188,0.69,-0.17,0.46
1780963752.635728,0.63,-0.15,0.57
1780963752.7351797,0.62,-0.16,0.51
1780963752.8351617,0.64,-0.17,0.52
1780963752.934887,0.64,-0.16,0.49
1780963753.0362253,0.66,-0.17,0.5
1780963753.137674,0.68,-0.18,0.49
1780963753.2352362,0.68,-0.18,0.45
1780963753.335959,0.69,-0.19,0.44
1780963753.435717,0.7,-0.18,0.47
1780963753.53931,0.67,-0.17,0.45
1780963753.6362996,0.63,-0.15,0.56
1780963753.7358363,0.65,-0.16,0.53
1780963753.8357248,0.64,-0.17,0.49
1780963753.935326,0.64,-0.18,0.47
1780963754.035879,0.65,-0.19,0.48
