Time,POSX,POSY,POSZ
1780963038.2139308,-1.1317,0.2214,0.0853
1780963038.219962,-1.1317,0.2214,0.0853
1780963038.2261367,-1.1317,0.2214,0.0853
1780963038.2300563,-1.1317,0.2214,0.0853
1780963038.235835,-1.1316,0.2214,0.0853
1780963038.2421083,-1.1316,0.2214,0.0852
1780963038.2470193,-1.1316,0.2214,0.0853
1780963038.2525842,-1.1316,0.2213,0.0853
1780963038.25808,-1.1316,0.2214,0.0853
1780963038.2644887,-1.1317,0.2214,0.0853
1780963038.2686398,-1.1317,0.2214,0.0853
1780963038.274691,-1.1317,0.2214,0.0853
1780963038.2990282,-1.1317,0.2214,0.0853
1780963038.3052716,-1.1317,0.2214,0.0853
1780963038.305711,-1.1316,0.2214,0.0853
1780963038.3065443,-1.1316,0.2214,0.0853
1780963038.3070025,-1.1316,0.2214,0.0853
1780963038.308915,-1.1316,0.2214,0.0853
1780963038.3137326,-1.1315,0.2213,0.0853
1780963038.3192098,-1.1317,0.2214,0.0853
1780963038.3406196,-1.1317,0.2214,0.0853
1780963038.3412309,-1.1317,0.2214,0.0853
1780963038.3416386,-1.1316,0.2213,0.0853
1780963038.3421178,-1.1316,0.2213,0.0853
1780963038.3467178,-1.1316,0.2214,0.0853
1780963038.3523881,-1.1316,0.2213,0.0853
1780963038.357831,-1.1316,0.2214,0.0853
1780963038.3636966,-1.1316,0.2214,0.0853
1780963038.368871,-1.1317,0.2214,0.0853
1780963038.374582,-1.1317,0.2214,0.0853
1780963038.3806398,-1.1317,0.2214,0.0853
1780963038.3857708,-1.1316,0.2214,0.0853
1780963038.3909197,-1.1316,0.2214,0.0853
1780963038.3965259,-1.1317,0.2213,0.0854
1780963038.403012,-1.1316,0.2214,0.0853
1780963038.407962,-1.1316,0.2213,0.0852
1780963038.4143972,-1.1317,0.2214,0.0853
1780963038.4207027,-1.1317,0.2213,0.0853
1780963038.425389,-1.1317,0.2214,0.0853
1780963038.4302547,-1.1316,0.2213,0.0852
1780963038.4355617,-1.1316,0.2214,0.0853
1780963038.4421046,-1.1316,0.2213,0.0853
1780963038.4539068,-1.1316,0.2214,0.0853
1780963038.454908,-1.1316,0.2214,0.0853
1780963038.4575744,-1.1316,0.2213,0.0853
1780963038.4648676,-1.1316,0.2213,0.0852
1780963038.471086,-1.1317,0.2214,0.0853
1780963038.4747415,-1.1317,0.2214,0.0853
1780963038.480066,-1.1316,0.2214,0.0853
1780963038.485641,-1.1316,0.2213,0.0853
1780963038.4913795,-1.1316,0.2214,0.0853
1780963038.496909,-1.1316,0.2213,0.0852
1780963038.5024536,-1.1316,0.2214,0.0853
1780963038.5076933,-1.1316,0.2214,0.0853
1780963038.513318,-1.1316,0.2214,0.0853
1780963038.520533,-1.1317,0.2214,0.0853
1780963038.5244532,-1.1316,0.2214,0.0853
1780963038.5301874,-1.1316,0.2214,0.0853
1780963038.535774,-1.1316,0.2214,0.0853
1780963038.5410707,-1.1316,0.2214,0.0853
1780963038.5466347,-1.1316,0.2214,0.0853
1780963038.5558028,-1.1316,0.2213,0.0853
1780963038.5583098,-1.1316,0.2214,0.0853
1780963038.563429,-1.1317,0.2214,0.0853
1780963038.568825,-1.1317,0.2214,0.0853
1780963038.5742462,-1.1317,0.2214,0.0852
1780963038.5798252,-1.1316,0.2214,0.0853
1780963038.5857923,-1.1316,0.2214,0.0853
1780963038.591281,-1.1316,0.2214,0.0853
1780963038.5982513,-1.1316,0.2214,0.0853
1780963038.6083531,-1.1316,0.2214,0.0853
1780963038.6093402,-1.1316,0.2214,0.0852
1780963038.6135964,-1.1317,0.2214,0.0853
1780963038.6188817,-1.1317,0.2214,0.0852
1780963038.6256418,-1.1317,0.2214,0.0852
1780963038.636656,-1.1317,0.2214,0.0852
1780963038.637195,-1.1316,0.2214,0.0852
1780963038.6409507,-1.1316,0.2214,0.0852
1780963038.6471717,-1.1316,0.2213,0.0853
1780963038.6527493,-1.1316,0.2214,0.0853
1780963038.6580853,-1.1317,0.2214,0.0853
1780963038.6634476,-1.1316,0.2214,0.0852
1780963038.6689343,-1.1317,0.2214,0.0852
1780963038.6741605,-1.1317,0.2214,0.0853
1780963038.6800625,-1.1316,0.2214,0.0852
1780963038.6868198,-1.1316,0.2214,0.0853
1780963038.691623,-1.1316,0.2214,0.0852
1780963038.6965182,-1.1316,0.2214,0.0853
1780963038.7021637,-1.1316,0.2214,0.0853
1780963038.7078483,-1.1316,0.2214,0.0853
1780963038.71392,-1.1317,0.2214,0.0853
1780963038.7188451,-1.1317,0.2214,0.0853
1780963038.7244408,-1.1317,0.2214,0.0853
1780963038.7300887,-1.1316,0.2214,0.0853
1780963038.736788,-1.1316,0.2214,0.0853
1780963038.7452219,-1.1316,0.2214,0.0853
1780963038.7476964,-1.1316,0.2214,0.0853
1780963038.752676,-1.1316,0.2214,0.0853
1780963038.7599132,-1.1316,0.2214,0.0853
1780963038.7640352,-1.1316,0.2214,0.0853
1780963038.7711585,-1.1317,0.2214,0.0853
1780963038.7749999,-1.1317,0.2215,0.0853
1780963038.780224,-1.1317,0.2214,0.0852
1780963038.7858906,-1.1317,0.2214,0.0853
1780963038.791538,-1.1316,0.2214,0.0853
1780963038.7966204,-1.1316,0.2214,0.0852
1780963038.8021905,-1.1316,0.2214,0.0853
1780963038.807632,-1.1316,0.2214,0.0852
1780963038.8166468,-1.1317,0.2214,0.0853
1780963038.8192744,-1.1317,0.2214,0.0853
1780963038.8247564,-1.1317,0.2214,0.0853
1780963038.8308496,-1.1317,0.2214,0.0853
1780963038.8369186,-1.1317,0.2214,0.0853
1780963038.841651,-1.1316,0.2214,0.0852
1780963038.8467624,-1.1316,0.2214,0.0852
1780963038.8528378,-1.1316,0.2214,0.0853
1780963038.8587863,-1.1316,0.2214,0.0853
1780963038.8639343,-1.1317,0.2214,0.0853
1780963038.8702724,-1.1317,0.2214,0.0853
1780963038.880814,-1.1317,0.2214,0.0852
1780963038.8829966,-1.1316,0.2214,0.0852
1780963038.887825,-1.1316,0.2214,0.0853
1780963038.8926733,-1.1316,0.2213,0.0853
1780963038.8988063,-1.1316,0.2214,0.0852
1780963038.9022439,-1.1316,0.2213,0.0852
1780963038.9081714,-1.1317,0.2214,0.0853
1780963038.9140313,-1.1317,0.2214,0.0853
1780963038.9191415,-1.1317,0.2214,0.0853
1780963038.926056,-1.1317,0.2214,0.0853
1780963038.9308004,-1.1317,0.2214,0.0853
1780963038.937187,-1.1317,0.2213,0.0853
1780963038.9412067,-1.1316,0.2214,0.0853
1780963038.947407,-1.1316,0.2214,0.0853
1780963038.953346,-1.1316,0.2214,0.0853
1780963038.9578092,-1.1317,0.2214,0.0853
1780963038.96318,-1.1317,0.2214,0.0853
1780963038.9690132,-1.1317,0.2214,0.0853
1780963038.9745224,-1.1317,0.2214,0.0853
1780963038.980346,-1.1317,0.2214,0.0853
