Time,POSX,POSY,POSZ
1780963041.813039,-1.15,0.29,0.61
1780963041.8248315,-1.21,0.26,0.65
1780963041.8337076,-1.21,0.27,0.6
1780963041.846315,-1.25,0.24,0.64
1780963041.857897,-1.28,0.22,0.68
1780963041.8631399,-1.29,0.21,0.7
1780963041.8723438,-1.31,0.2,0.72
1780963041.8826344,-1.33,0.2,0.7
1780963041.8931348,-1.27,0.2,0.66
1780963041.90162,-1.22,0.21,0.66
1780963042.0219939,-1.21,0.23,0.61
1780963042.0386746,-1.25,0.22,0.65
1780963042.0510082,-1.23,0.23,0.55
1780963042.15602,-1.22,0.25,0.51
1780963042.2337754,-1.22,0.27,0.51
1780963042.3342519,-1.25,0.25,0.59
1780963042.434399,-1.27,0.23,0.6
1780963042.5330775,-1.26,0.23,0.58
1780963042.6332598,-1.29,0.21,0.61
1780963042.7335222,-1.31,0.2,0.66
1780963042.8336155,-1.29,0.22,0.63
1780963042.9335186,-1.31,0.21,0.67
1780963043.0336866,-1.31,0.2,0.64
1780963043.13452,-1.28,0.24,0.61
1780963043.2337935,-1.25,0.27,0.56
1780963043.3338919,-1.27,0.23,0.59
1780963043.4334915,-1.25,0.25,0.56
1780963043.534729,-1.27,0.23,0.6
1780963043.634434,-1.25,0.25,0.59
1780963043.7332485,-1.26,0.24,0.56
1780963043.834046,-1.28,0.22,0.59
1780963043.9329226,-1.3,0.21,0.62
1780963044.0332499,-1.28,0.21,0.62
1780963044.1334152,-1.3,0.2,0.66
1780963044.2351153,-1.31,0.2,0.65
1780963044.3329513,-1.27,0.23,0.62
1780963044.433047,-1.27,0.25,0.67
1780963044.5333874,-1.22,0.24,0.66
1780963044.6331768,-1.25,0.23,0.71
1780963044.7332547,-1.27,0.2,0.71
1780963044.835246,-1.26,0.22,0.65
1780963044.9331138,-1.28,0.23,0.72
1780963045.034222,-1.26,0.24,0.68
1780963045.1440065,-1.29,0.22,0.7
1780963045.2329621,-1.25,0.26,0.75
1780963045.3332853,-1.24,0.27,0.69
1780963045.4334338,-1.22,0.29,0.63
1780963045.5331995,-1.17,0.27,0.63
1780963045.6334312,-1.22,0.25,0.66
1780963045.733654,-1.25,0.23,0.68
1780963045.8336766,-1.27,0.22,0.69
1780963045.9343607,-1.24,0.25,0.65
1780963046.0427625,-1.19,0.24,0.63
1780963046.1342182,-1.17,0.26,0.6
1780963046.2344317,-1.17,0.26,0.63
1780963046.3329422,-1.16,0.29,0.58
1780963046.4336712,-1.18,0.27,0.52
1780963046.5342069,-1.22,0.25,0.57
1780963046.6443021,-1.21,0.26,0.53
1780963046.7339664,-1.23,0.25,0.61
1780963046.8332052,-1.2,0.28,0.67
1780963046.9342623,-1.19,0.29,0.61
1780963047.0336716,-1.21,0.26,0.61
1780963047.1339068,-1.23,0.27,0.58
1780963047.2334528,-1.19,0.3,0.63
1780963047.3343656,-1.15,0.27,0.6
1780963047.4333818,-1.15,0.27,0.51
1780963047.5428612,-1.12,0.26,0.45
1780963047.6332777,-1.14,0.24,0.53
1780963047.7335021,-1.13,0.24,0.4
1780963047.833026,-1.14,0.21,0.46
1780963047.9331675,-1.16,0.17,0.57
1780963048.0333836,-1.12,0.19,0.64
1780963048.1334453,-1.12,0.14,0.71
1780963048.2337763,-1.14,0.09,0.72
1780963048.3332388,-1.1,0.09,0.84
1780963048.4343956,-1.1,0.1,0.93
1780963048.533924,-1.15,0.09,0.88
1780963048.633236,-1.14,0.04,0.85
1780963048.734177,-1.21,0.05,0.85
1780963048.832963,-1.23,0.01,0.86
1780963048.935155,-1.27,0.02,0.96
1780963049.0332022,-1.29,-0.02,0.94
1780963049.1336389,-1.29,-0.07,0.94
1780963049.2373416,-1.37,-0.06,0.94
1780963049.3331473,-1.36,-0.12,0.97
1780963049.433461,-1.4,-0.12,1.15
1780963049.5335245,-1.4,-0.15,1.22
1780963049.633954,-1.46,-0.15,1.23
1780963049.7339325,-1.51,-0.16,1.25
1780963049.8342075,-1.55,-0.16,1.25
1780963049.9332337,-1.58,-0.15,1.21
1780963050.0348334,-1.53,-0.18,1.25
1780963050.132951,-1.49,-0.2,1.28
1780963050.233138,-1.44,-0.2,1.31
1780963050.3359935,-1.37,-0.21,1.37
1780963050.4334104,-1.32,-0.22,1.33
1780963050.5343246,-1.26,-0.25,1.32
1780963050.6331258,-1.19,-0.26,1.35
1780963050.7335987,-1.12,-0.29,1.4
1780963050.8338823,-1.05,-0.33,1.4
1780963050.9336767,-0.98,-0.37,1.39
1780963051.0333881,-0.9,-0.39,1.4
1780963051.1330838,-0.85,-0.41,1.41
1780963051.2329664,-0.79,-0.42,1.45
1780963051.3337574,-0.72,-0.44,1.48
1780963051.43417,-0.65,-0.45,1.52
1780963051.5340228,-0.58,-0.46,1.55
1780963051.6333756,-0.51,-0.47,1.56
1780963051.7343843,-0.41,-0.49,1.56
1780963051.8339038,-0.33,-0.5,1.58
1780963051.9329612,-0.23,-0.54,1.59
1780963052.033008,-0.14,-0.55,1.6
1780963052.1335943,0.02,-0.65,1.61
1780963052.233414,0.07,-0.65,1.63
1780963052.3374257,0.15,-0.67,1.63
1780963052.4332726,0.22,-0.67,1.65
1780963052.5329835,0.28,-0.66,1.65
1780963052.6342978,0.43,-0.66,1.63
1780963052.7343783,0.57,-0.64,1.58
1780963052.8342736,0.69,-0.62,1.55
1780963052.9411035,0.81,-0.66,1.52
1780963053.0340226,0.91,-0.66,1.48
1780963053.1330066,1.01,-0.68,1.47
1780963053.2345302,1.1,-0.67,1.43
1780963053.3336046,1.2,-0.67,1.4
1780963053.4332502,1.29,-0.66,1.4
1780963053.5337238,1.41,-0.64,1.33
1780963053.632974,1.5,-0.6,1.34
1780963053.7341964,1.58,-0.55,1.42
1780963053.8338065,1.64,-0.51,1.52
1780963053.9339612,1.66,-0.45,1.57
1780963054.0338473,1.72,-0.37,1.58
1780963054.1333747,1.78,-0.3,1.59
1780963054.233952,1.82,-0.2,1.63
1780963054.3398252,1.8,-0.15,1.64
1780963054.4337528,1.85,-0.03,1.63
1780963054.5328119,1.84,0.05,1.65
1780963054.6334956,1.84,0.12,1.62
1780963054.7331016,1.82,0.18,1.63
1780963054.834279,1.85,0.29,1.69
1780963054.9327762,1.83,0.35,1.78
1780963055.0330818,1.79,0.42,1.78
1780963055.1345224,1.7,0.43,1.7
1780963055.234226,1.64,0.48,1.71
1780963055.3334043,1.63,0.61,1.74
1780963055.4328995,1.56,0.62,1.66
1780963055.5331395,1.49,0.66,1.67
1780963055.6336613,1.47,0.76,1.73
1780963055.7341416,1.43,0.84,1.78
1780963055.8327808,1.31,0.86,1.77
1780963055.9343977,1.27,0.94,1.79
1780963056.0342057,1.22,0.98,1.78
1780963056.1331968,1.18,1.04,1.76
1780963056.235816,1.07,1.01,1.72
1780963056.3332214,0.99,0.99,1.69
1780963056.439254,0.89,0.95,1.7
1780963056.5336888,0.81,0.97,1.72
1780963056.637803,0.65,0.94,1.75
1780963056.7337227,0.57,0.95,1.73
1780963056.843305,0.48,0.99,1.69
1780963056.9338653,0.38,0.99,1.69
1780963057.0347996,0.3,1.04,1.68
1780963057.1333232,0.21,1.07,1.66
1780963057.2343833,0.14,1.04,1.7
1780963057.3342495,0.05,1.0,1.72
1780963057.4344096,0.02,0.93,1.77
1780963057.542954,-0.19,1.01,1.79
1780963057.6335595,-0.32,1.02,1.77
1780963057.733605,-0.45,1.03,1.77
1780963057.83408,-0.52,0.97,1.73
1780963057.9342418,-0.66,0.97,1.78
1780963058.034505,-0.71,0.9,1.73
1780963058.1330974,-0.82,0.87,1.71
1780963058.2338839,-0.86,0.78,1.67
1780963058.335607,-0.9,0.72,1.66
1780963058.4332275,-0.93,0.65,1.66
1780963058.534573,-0.98,0.59,1.66
1780963058.6334856,-1.02,0.51,1.68
1780963058.7342026,-1.07,0.44,1.64
1780963058.8341808,-1.1,0.34,1.67
1780963058.9330277,-1.13,0.23,1.71
1780963059.0347743,-1.14,0.11,1.71
1780963059.1337469,-1.13,0.0,1.71
1780963059.2338333,-1.11,-0.08,1.67
1780963059.3361897,-1.1,-0.16,1.68
1780963059.4341462,-1.06,-0.24,1.67
1780963059.5334902,-1.0,-0.35,1.61
1780963059.642169,-0.95,-0.41,1.63
1780963059.733684,-0.88,-0.46,1.61
1780963059.8339505,-0.8,-0.5,1.6
1780963059.9331129,-0.7,-0.52,1.62
1780963060.033749,-0.6,-0.57,1.68
1780963060.133664,-0.51,-0.61,1.72
1780963060.2339034,-0.33,-0.71,1.75
1780963060.3341458,-0.11,-0.78,1.79
1780963060.4343817,0.1,-0.85,1.78
1780963060.533272,0.17,-0.8,1.76
1780963060.6329553,0.27,-0.79,1.76
1780963060.7331526,0.47,-0.74,1.68
1780963060.8334975,0.53,-0.81,1.74
1780963060.933288,0.6,-0.87,1.6
1780963061.0333352,0.76,-0.83,1.6
1780963061.134431,0.9,-0.78,1.56
1780963061.2344239,1.03,-0.73,1.51
1780963061.3336444,1.13,-0.71,1.49
1780963061.433988,1.17,-0.76,1.53
