Time,POSX,POSY,POSZ
1781376864.8161454,-0.509,0.089,0.418
1781376864.8536272,-0.488,0.104,0.311
1781376864.9682138,-0.477,0.105,0.317
1781376865.051231,-0.481,0.108,0.252
1781376865.1432078,-0.499,0.097,0.279
1781376865.2441828,-0.509,0.094,0.274
1781376865.3448093,-0.523,0.119,0.324
1781376865.4463398,-0.518,0.113,0.322
1781376865.557825,-0.498,0.115,0.296
1781376865.6461697,-0.516,0.1,0.321
1781376865.7469995,-0.504,0.098,0.314
1781376865.8441908,-0.493,0.105,0.301
1781376865.944619,-0.451,0.134,0.386
1781376866.0470316,-0.437,0.135,0.392
1781376866.1516259,-0.468,0.117,0.381
1781376866.264567,-0.513,0.094,0.399
1781376866.3486347,-0.515,0.097,0.42
1781376866.4495823,-0.513,0.098,0.376
1781376866.5441403,-0.494,0.113,0.29
1781376866.6461494,-0.501,0.108,0.316
1781376866.745809,-0.476,0.107,0.298
1781376866.8585,-0.53,0.079,0.306
1781376866.9757698,-0.539,0.073,0.329
1781376867.0440934,-0.546,0.065,0.356
1781376867.1450596,-0.524,0.072,0.357
1781376867.248787,-0.532,0.075,0.39
1781376867.346248,-0.527,0.091,0.382
1781376867.4480186,-0.513,0.105,0.292
1781376867.5639007,-0.521,0.096,0.305
1781376867.6454992,-0.514,0.106,0.318
1781376867.7453055,-0.516,0.118,0.357
1781376867.860276,-0.506,0.13,0.359
1781376867.9478626,-0.493,0.129,0.333
1781376868.0452514,-0.472,0.139,0.257
1781376868.166213,-0.446,0.154,0.347
1781376868.2761903,-0.434,0.112,0.433
1781376868.353489,-0.436,0.128,0.328
1781376868.4491756,-0.462,0.121,0.342
1781376868.5593333,-0.485,0.117,0.338
1781376868.650132,-0.473,0.137,0.295
1781376868.7633944,-0.47,0.145,0.219
1781376868.8674505,-0.494,0.128,0.233
1781376868.9504385,-0.497,0.119,0.243
1781376869.0834472,-0.56,0.069,0.156
1781376869.1482995,-0.571,0.057,0.163
1781376869.2690818,-0.565,0.06,0.107
1781376869.3480775,-0.608,0.03,0.155
1781376869.4678807,-0.592,0.056,0.114
1781376869.6038942,-0.564,0.074,0.085
1781376869.6473298,-0.559,0.079,0.115
1781376869.747395,-0.563,0.073,0.157
1781376869.8516135,-0.541,0.084,0.113
1781376869.952065,-0.557,0.075,0.19
1781376870.0471776,-0.526,0.089,0.208
1781376870.164301,-0.494,0.11,0.179
1781376870.2543545,-0.512,0.101,0.202
1781376870.3543127,-0.518,0.1,0.21
1781376870.4571118,-0.505,0.113,0.155
1781376870.56097,-0.507,0.128,0.108
1781376870.6484203,-0.516,0.124,0.151
1781376870.7596676,-0.537,0.112,0.221
1781376870.8838563,-0.56,0.099,0.26
1781376870.94996,-0.572,0.078,0.337
1781376871.045978,-0.584,0.104,0.351
1781376871.1478,-0.57,0.092,0.349
1781376871.2503166,-0.554,0.099,0.263
1781376871.356722,-0.54,0.114,0.316
1781376871.469897,-0.535,0.109,0.326
1781376871.5505743,-0.516,0.119,0.286
1781376871.661062,-0.533,0.111,0.316
1781376871.7486563,-0.541,0.105,0.335
1781376871.8475711,-0.546,0.095,0.334
1781376871.9477987,-0.506,0.119,0.271
1781376872.056245,-0.479,0.123,0.217
