Time,POSX,POSY,POSZ
1781377133.2270236,-0.3457,-0.6116,0.0777
1781377133.2329972,-0.3456,-0.6116,0.0777
1781377133.2384334,-0.3456,-0.6116,0.0777
1781377133.2440035,-0.3456,-0.6116,0.0777
1781377133.2495008,-0.3456,-0.6116,0.0777
1781377133.2548087,-0.3456,-0.6116,0.0777
1781377133.2604663,-0.3456,-0.6116,0.0777
1781377133.2665675,-0.3457,-0.6116,0.0777
1781377133.2717283,-0.3456,-0.6116,0.0777
1781377133.277241,-0.3456,-0.6116,0.0777
1781377133.2828581,-0.3456,-0.6116,0.0777
1781377133.2880983,-0.3456,-0.6116,0.0777
1781377133.2935917,-0.3456,-0.6116,0.0777
1781377133.299541,-0.3456,-0.6116,0.0777
1781377133.3049273,-0.3456,-0.6116,0.0777
1781377133.3160613,-0.3456,-0.6116,0.0777
1781377133.31659,-0.3456,-0.6116,0.0777
1781377133.32219,-0.3457,-0.6116,0.0777
1781377133.3272488,-0.3456,-0.6116,0.0777
1781377133.3468273,-0.3457,-0.6116,0.0777
1781377133.3473577,-0.3456,-0.6116,0.0776
1781377133.3477166,-0.3456,-0.6116,0.0777
1781377133.34893,-0.3456,-0.6116,0.0777
1781377133.3549068,-0.3456,-0.6116,0.0777
1781377133.3610992,-0.3456,-0.6116,0.0777
1781377133.3660471,-0.3456,-0.6116,0.0777
1781377133.3714802,-0.3456,-0.6116,0.0777
1781377133.3769367,-0.3456,-0.6116,0.0777
1781377133.3823986,-0.3456,-0.6116,0.0777
1781377133.3882928,-0.3456,-0.6116,0.0777
1781377133.3942864,-0.3456,-0.6116,0.0777
1781377133.3990946,-0.3456,-0.6116,0.0777
1781377133.4044795,-0.3456,-0.6116,0.0777
1781377133.409906,-0.3456,-0.6116,0.0777
1781377133.415759,-0.3457,-0.6116,0.0777
1781377133.422503,-0.3456,-0.6116,0.0777
1781377133.4267583,-0.3456,-0.6117,0.0777
1781377133.432645,-0.3456,-0.6116,0.0777
1781377133.4377673,-0.3456,-0.6116,0.0777
1781377133.4431572,-0.3456,-0.6116,0.0777
1781377133.4503338,-0.3456,-0.6116,0.0777
1781377133.4585147,-0.3456,-0.6116,0.0776
1781377133.4602153,-0.3456,-0.6116,0.0777
1781377133.4657903,-0.3456,-0.6116,0.0777
1781377133.4714115,-0.3457,-0.6116,0.0777
1781377133.4786108,-0.3457,-0.6116,0.0777
1781377133.4825869,-0.3457,-0.6116,0.0777
1781377133.488269,-0.3456,-0.6116,0.0777
1781377133.4934788,-0.3456,-0.6116,0.0777
1781377133.4987864,-0.3456,-0.6116,0.0777
1781377133.504557,-0.3456,-0.6116,0.0777
1781377133.5102513,-0.3456,-0.6116,0.0777
1781377133.515723,-0.3457,-0.6116,0.0777
1781377133.5212266,-0.3457,-0.6116,0.0777
1781377133.5274165,-0.3456,-0.6116,0.0777
1781377133.533152,-0.3456,-0.6116,0.0777
1781377133.537733,-0.3456,-0.6116,0.0777
1781377133.543573,-0.3456,-0.6116,0.0777
1781377133.5489445,-0.3456,-0.6116,0.0777
1781377133.55472,-0.3456,-0.6116,0.0777
1781377133.56012,-0.3456,-0.6116,0.0777
1781377133.5655026,-0.3456,-0.6116,0.0777
1781377133.5713162,-0.3456,-0.6116,0.0777
1781377133.576959,-0.3456,-0.6116,0.0777
1781377133.5824714,-0.3456,-0.6116,0.0777
1781377133.588171,-0.3456,-0.6116,0.0777
1781377133.5980175,-0.3456,-0.6116,0.0777
1781377133.5992498,-0.3456,-0.6116,0.0777
1781377133.6053379,-0.3456,-0.6116,0.0777
1781377133.6104403,-0.3456,-0.6116,0.0777
1781377133.6175187,-0.3456,-0.6116,0.0777
