Time,POSX,POSY,POSZ
1781377133.2325976,-0.375,-0.529,0.46
1781377133.290853,-0.376,-0.513,0.474
1781377133.3921056,-0.384,-0.509,0.478
1781377133.494474,-0.372,-0.522,0.493
1781377133.6930258,-0.397,-0.529,0.497
1781377133.8021667,-0.406,-0.532,0.461
1781377133.8918173,-0.405,-0.536,0.428
1781377133.995105,-0.392,-0.535,0.407
1781377134.098906,-0.386,-0.53,0.411
1781377134.1930985,-0.387,-0.544,0.443
1781377134.2965984,-0.404,-0.557,0.48
1781377134.4039524,-0.402,-0.546,0.46
1781377134.5180771,-0.425,-0.563,0.41
1781377134.591814,-0.411,-0.562,0.37
1781377134.6917288,-0.413,-0.567,0.442
1781377134.7918878,-0.416,-0.576,0.395
1781377134.8919172,-0.403,-0.568,0.394
1781377134.9959943,-0.385,-0.57,0.342
1781377135.102532,-0.381,-0.556,0.346
1781377135.202851,-0.37,-0.542,0.358
1781377135.29332,-0.378,-0.552,0.271
1781377135.4173996,-0.372,-0.548,0.292
1781377135.500565,-0.366,-0.54,0.306
1781377135.6020644,-0.365,-0.533,0.317
1781377135.703299,-0.36,-0.537,0.342
1781377135.8133025,-0.379,-0.537,0.384
1781377135.8930168,-0.374,-0.533,0.374
1781377135.996341,-0.368,-0.537,0.358
1781377136.1141655,-0.352,-0.516,0.397
1781377136.1927893,-0.365,-0.535,0.459
1781377136.3038728,-0.356,-0.539,0.442
1781377136.4014492,-0.356,-0.537,0.419
1781377136.493145,-0.355,-0.538,0.383
1781377136.6118681,-0.359,-0.539,0.361
1781377136.7009254,-0.391,-0.57,0.439
1781377136.7927995,-0.385,-0.567,0.409
1781377136.8981395,-0.378,-0.559,0.378
1781377137.0053577,-0.379,-0.553,0.375
1781377137.122852,-0.354,-0.538,0.409
1781377137.1929486,-0.359,-0.538,0.395
1781377137.2966182,-0.345,-0.528,0.454
1781377137.3932993,-0.35,-0.546,0.342
1781377137.4942982,-0.346,-0.55,0.342
1781377137.5971472,-0.347,-0.55,0.325
1781377137.701486,-0.295,-0.514,0.463
1781377137.8259258,-0.306,-0.522,0.371
1781377137.8939335,-0.36,-0.564,0.31
1781377137.9938564,-0.381,-0.581,0.282
1781377138.0939014,-0.43,-0.614,0.228
1781377138.1939647,-0.476,-0.651,0.183
1781377138.2961998,-0.443,-0.619,0.23
1781377138.4105628,-0.436,-0.612,0.216
1781377138.4941108,-0.421,-0.593,0.246
1781377138.6019266,-0.416,-0.563,0.323
1781377138.7001011,-0.417,-0.537,0.339
1781377138.812074,-0.41,-0.516,0.376
1781377138.9599268,-0.413,-0.542,0.338
1781377139.0172288,-0.412,-0.537,0.274
1781377139.121857,-0.401,-0.536,0.293
1781377139.2005625,-0.397,-0.541,0.238
1781377139.3120923,-0.397,-0.534,0.28
1781377139.3995829,-0.379,-0.53,0.429
