Time,POSX,POSY,POSZ
1781120809.388273,-0.12,0.54,0.07
1781120809.6153805,-0.16,0.52,0.01
1781120809.7149127,-0.16,0.51,0.03
1781120809.8146586,-0.19,0.48,0.05
1781120809.918424,-0.15,0.49,0.0
1781120810.014932,-0.14,0.49,-0.04
1781120810.1224601,-0.13,0.52,0.04
1781120810.319179,-0.17,0.52,0.04
1781120810.4145155,-0.16,0.54,0.1
1781120810.7156742,-0.22,0.48,0.11
1781120810.8155892,-0.23,0.48,0.13
1781120810.91428,-0.22,0.49,0.11
1781120811.115363,-0.11,0.53,0.03
1781120811.2334783,-0.13,0.53,0.02
1781120811.3152812,-0.16,0.52,0.03
1781120811.429974,-0.13,0.53,0.05
1781120811.5145264,-0.15,0.53,0.07
1781120811.6150255,-0.15,0.51,0.07
1781120811.7147148,-0.16,0.5,0.09
1781120811.9149485,-0.14,0.52,0.02
1781120812.114929,-0.17,0.49,0.06
1781120812.415138,-0.16,0.51,0.02
1781120812.517221,-0.16,0.52,0.11
1781120812.614887,-0.17,0.51,0.09
1781120812.7141025,-0.16,0.52,0.08
1781120812.815255,-0.18,0.51,0.09
1781120816.0149796,0.01,0.38,0.86
1781120816.136676,-0.01,0.43,1.03
1781120816.2151546,-0.02,0.47,1.12
1781120816.3392963,-0.02,0.52,1.26
1781120816.4167702,0.0,0.55,1.29
1781120816.5332968,-0.02,0.59,1.39
1781120816.627563,0.03,0.63,1.51
1781120816.715455,0.05,0.66,1.61
1781120816.814584,0.04,0.7,1.65
1781120816.9325793,0.04,0.72,1.64
1781120817.0140717,0.05,0.74,1.67
1781120817.129405,-0.02,0.79,1.66
1781120817.2156446,-0.06,0.84,1.65
1781120817.3164997,-0.08,0.86,1.63
1781120817.4157426,-0.1,0.86,1.59
1781120817.5149126,-0.13,0.87,1.63
1781120817.615548,-0.15,0.87,1.59
1781120817.7167583,-0.19,0.88,1.54
1781120817.814999,-0.24,0.88,1.51
1781120818.3140745,-0.52,0.9,1.56
1781120818.515647,-0.64,0.9,1.58
1781120818.6143777,-0.75,0.93,1.66
1781120818.7154539,-0.78,0.87,1.62
1781120818.8141139,-0.87,0.88,1.69
1781120818.9167802,-0.88,0.79,1.63
1781120819.0148365,-0.98,0.77,1.63
1781120819.116548,-1.02,0.7,1.66
1781120819.2149715,-1.1,0.65,1.68
1781120819.3146012,-1.13,0.56,1.69
1781120819.4147177,-1.19,0.48,1.71
1781120819.5153182,-1.19,0.39,1.69
1781120819.622501,-1.21,0.28,1.71
1781120819.7219458,-1.23,0.18,1.68
1781120819.894305,-1.27,0.11,1.74
1781120820.027286,-1.28,-0.05,1.61
1781120820.3152215,-1.22,-0.31,1.58
1781120820.4443336,-1.18,-0.36,1.57
1781120820.5144014,-1.12,-0.39,1.55
1781120820.616118,-1.05,-0.45,1.58
1781120821.1143186,-0.62,-0.71,1.63
1781120821.2170262,-0.57,-0.73,1.66
1781120821.3391995,-0.51,-0.74,1.69
1781120821.415117,-0.3,-0.83,1.76
1781120821.5160346,-0.25,-0.77,1.79
1781120821.8153243,0.01,-0.66,1.8
1781120821.9150808,0.11,-0.63,1.8
1781120822.014099,0.31,-0.68,1.81
1781120822.1224918,0.48,-0.67,1.78
1781120822.214107,0.64,-0.64,1.76
1781120822.3159268,0.74,-0.66,1.8
1781120822.4143414,0.84,-0.68,1.8
1781120822.5146303,0.91,-0.69,1.84
1781120822.614948,0.98,-0.69,1.83
1781120822.7154436,1.03,-0.69,1.86
1781120822.814952,1.19,-0.6,1.84
1781120822.9158285,1.26,-0.54,1.82
1781120823.014968,1.31,-0.49,1.78
1781120823.1165001,1.38,-0.42,1.82
1781120823.2142322,1.5,-0.31,1.77
1781120823.3145158,1.57,-0.22,1.77
1781120823.4142492,1.58,-0.16,1.76
1781120823.519624,1.69,-0.01,1.73
1781120823.6147587,1.78,0.11,1.78
1781120823.7152448,1.83,0.21,1.84
1781120823.8149712,1.79,0.24,1.82
1781120823.9167063,1.76,0.3,1.81
1781120824.01514,1.7,0.36,1.78
1781120824.1151903,1.66,0.42,1.72
1781120824.214989,1.71,0.6,1.8
