Time,POSX,POSY,POSZ
1781128073.336794,1.3,0.21,0.52
1781128073.488906,1.28,0.19,0.53
1781128074.98739,1.3,0.19,0.51
1781128075.287526,1.28,0.21,0.53
1781128075.3925707,1.28,0.22,0.46
1781128075.4884527,1.27,0.22,0.43
1781128075.9883378,1.28,0.22,0.36
1781128076.090784,1.29,0.22,0.34
1781128076.1881108,1.28,0.22,0.4
1781128076.2965674,1.3,0.22,0.44
1781128076.4084613,1.31,0.23,0.48
1781128076.4889963,1.3,0.23,0.57
1781128076.587873,1.31,0.25,0.57
1781128076.688779,1.32,0.26,0.54
1781128076.7960835,1.31,0.27,0.54
1781128076.9206984,1.24,0.26,0.75
1781128076.9883683,1.17,0.23,0.9
1781128077.092371,1.19,0.23,0.72
1781128077.1880126,1.22,0.24,0.63
1781128077.3203738,1.26,0.24,0.55
1781128077.4530892,1.29,0.24,0.64
1781128077.4884124,1.32,0.24,0.64
1781128077.5940485,1.32,0.26,0.6
1781128077.6878974,1.34,0.27,0.64
1781128077.8239317,1.37,0.28,0.64
1781128077.9410908,1.38,0.29,0.62
1781128077.988058,1.39,0.3,0.54
1781128078.0922043,1.38,0.31,0.47
1781128078.1968045,1.37,0.3,0.5
1781128078.2882419,1.4,0.31,0.4
1781128078.4398963,1.4,0.31,0.46
1781128078.4882586,1.39,0.33,0.38
1781128078.5875216,1.38,0.34,0.32
1781128078.6872623,1.34,0.36,0.27
1781128078.789886,1.36,0.39,0.32
1781128078.8890193,1.36,0.4,0.37
1781128078.9936483,1.36,0.41,0.41
1781128079.0875099,1.35,0.42,0.39
1781128079.1887853,1.36,0.42,0.42
1781128079.289273,1.37,0.42,0.43
1781128079.406618,1.38,0.42,0.39
1781128079.493081,1.37,0.41,0.41
1781128079.6150312,1.36,0.42,0.36
1781128079.704348,1.38,0.41,0.34
1781128079.7888203,1.43,0.38,0.47
1781128079.896053,1.47,0.38,0.49
1781128079.9877257,1.53,0.42,0.61
1781128080.0922134,1.57,0.4,0.72
1781128080.1878343,1.6,0.4,0.72
1781128080.290158,1.62,0.36,0.75
1781128080.3882701,1.62,0.33,0.8
1781128080.4946861,1.63,0.32,0.81
1781128080.5882719,1.6,0.26,0.79
1781128080.694087,1.6,0.25,0.8
1781128080.7880235,1.59,0.2,0.77
1781128080.9049494,1.55,0.2,0.9
1781128080.9882617,1.57,0.2,0.84
1781128081.0879734,1.52,0.16,0.83
1781128081.1888797,1.55,0.2,0.8
1781128081.2873762,1.56,0.19,0.79
1781128081.388455,1.55,0.2,0.79
1781128081.4931686,1.55,0.21,0.79
1781128081.587832,1.55,0.22,0.78
1781128081.6905208,1.53,0.19,0.83
1781128081.7889504,1.54,0.2,0.82
1781128081.8896322,1.54,0.18,0.77
1781128081.9886897,1.54,0.2,0.77
1781128082.0877702,1.48,0.14,0.76
1781128082.1875947,1.51,0.16,0.75
1781128082.293085,1.52,0.18,0.73
1781128082.3881214,1.45,0.13,0.77
1781128082.489924,1.47,0.15,0.77
1781128082.5882528,1.47,0.16,0.8
1781128082.6879444,1.5,0.17,0.77
1781128082.7873197,1.45,0.14,0.81
1781128082.8916955,1.44,0.12,0.81
1781128082.988179,1.44,0.1,0.76
1781128083.0944352,1.48,0.14,0.83
1781128083.188285,1.56,0.19,0.82
1781128083.302991,1.6,0.21,0.8
1781128083.3878412,1.6,0.19,0.87
1781128083.5072258,1.63,0.22,0.86
1781128083.597276,1.62,0.2,0.92
1781128083.6872168,1.64,0.23,0.94
1781128083.794223,1.65,0.25,0.94
1781128083.888092,1.63,0.23,0.96
1781128083.9880712,1.69,0.28,0.97
1781128084.1097248,1.72,0.32,0.94
1781128084.1933727,1.7,0.33,0.93
1781128084.3122468,1.69,0.33,0.97
1781128084.39709,1.65,0.32,1.01
1781128084.515877,1.67,0.33,0.97
1781128084.6003113,1.67,0.33,0.94
1781128084.6884382,1.69,0.39,0.96
1781128084.8025024,1.68,0.4,0.9
1781128084.8885634,1.63,0.39,0.9
1781128084.9884748,1.61,0.38,0.9
1781128085.0872846,1.6,0.37,0.88
1781128085.1884496,1.57,0.37,0.92
1781128085.2887118,1.58,0.39,0.94
1781128085.3928647,1.63,0.43,0.94
1781128085.487545,1.65,0.43,0.99
1781128085.5899057,1.7,0.49,1.0
1781128085.6889126,1.67,0.44,0.92
1781128085.7878745,1.74,0.46,0.93
1781128085.8874378,1.79,0.48,0.95
1781128085.9892237,1.79,0.47,1.09
1781128086.0887132,1.78,0.44,1.04
1781128086.1914442,1.76,0.43,1.06
1781128086.2875164,1.73,0.42,1.02
1781128086.3957057,1.72,0.42,0.98
1781128086.4884152,1.73,0.44,0.98
1781128086.596635,1.7,0.43,1.16
1781128086.688012,1.74,0.46,1.11
1781128086.799357,1.76,0.47,1.06
1781128086.888997,1.71,0.42,0.99
1781128087.017266,1.73,0.43,1.16
1781128087.1120856,1.72,0.41,1.3
1781128087.1879485,1.72,0.36,1.14
1781128087.2937,1.68,0.3,1.06
1781128087.38771,1.73,0.31,1.0
1781128087.4876192,1.76,0.29,0.96
1781128087.5883787,1.79,0.26,0.93
1781128087.69317,1.8,0.23,0.9
1781128087.7877667,1.81,0.2,0.89
1781128087.8883517,1.78,0.14,0.92
1781128087.9877603,1.79,0.14,0.87
1781128088.0875225,1.81,0.14,0.86
1781128088.1873398,1.83,0.13,0.86
1781128088.2888024,1.83,0.13,0.87
1781128088.388882,1.83,0.12,0.82
1781128088.4897828,1.79,0.06,0.89
1781128088.5880888,1.8,0.06,0.85
1781128088.696167,1.8,0.07,0.84
1781128088.7875774,1.8,0.07,0.81
1781128088.9135227,1.75,0.03,0.82
1781128088.9988787,1.71,0.0,0.88
1781128089.0880704,1.69,-0.02,0.93
1781128089.1948702,1.72,0.01,0.88
1781128089.2882273,1.73,0.04,0.87
1781128089.424123,1.74,0.06,0.89
1781128089.4879684,1.74,0.07,0.92
1781128089.5884068,1.76,0.08,0.92
1781128089.6878333,1.79,0.11,0.9
1781128089.7897267,1.81,0.13,0.88
1781128089.8886979,1.87,0.16,0.91
1781128089.9882982,1.77,0.07,0.89
1781128090.0876467,1.71,0.02,0.89
1781128090.18821,1.68,-0.03,0.87
1781128090.2876706,1.63,-0.06,0.84
1781128090.388644,1.64,-0.07,0.89
1781128090.4880471,1.67,-0.03,0.86
1781128090.588651,1.66,-0.04,0.89
1781128090.6882496,1.66,-0.04,0.93
1781128090.7935207,1.68,-0.04,1.0
1781128090.887518,1.74,0.01,0.94
1781128091.0012555,1.73,0.0,0.98
1781128091.0879602,1.74,0.01,0.99
1781128091.2061365,1.76,0.05,0.97
1781128091.3251219,1.78,0.1,0.93
1781128091.3881125,1.72,0.06,0.89
1781128091.4887416,1.72,0.04,0.93
1781128091.5923097,1.72,0.02,0.99
1781128091.6878355,1.74,-0.01,0.91
1781128091.8557627,1.76,0.0,0.91
1781128091.8873065,1.72,-0.06,0.92
1781128091.9983802,1.76,-0.05,0.87
1781128092.1262953,1.76,-0.12,0.84
1781128092.1873112,1.76,-0.15,0.95
1781128092.2926178,1.74,-0.22,0.94
1781128092.387477,1.83,-0.22,0.92
1781128092.513564,1.88,-0.24,0.89
1781128092.6332283,1.88,-0.27,1.04
1781128092.6883905,1.88,-0.33,0.98
1781128092.7886598,1.9,-0.37,0.93
1781128092.9274776,1.93,-0.38,0.95
1781128092.9876382,1.97,-0.39,0.95
1781128093.0892847,1.98,-0.42,0.91
1781128093.1913435,2.02,-0.43,0.86
1781128093.2877364,2.04,-0.45,0.82
1781128093.4408388,2.11,-0.44,0.83
1781128093.4882238,2.12,-0.47,0.81
1781128093.59025,2.2,-0.42,0.85
1781128093.6880908,2.2,-0.44,0.83
1781128093.789188,2.22,-0.46,0.79
1781128093.8887236,2.26,-0.41,0.89
1781128093.9879973,2.26,-0.38,0.88
1781128094.0887067,2.31,-0.3,0.92
1781128094.2005982,2.35,-0.21,0.97
1781128094.288508,2.32,-0.2,0.86
1781128094.4069865,2.28,-0.16,0.8
1781128094.495175,2.31,-0.06,0.88
1781128094.5887551,2.34,0.03,0.94
1781128094.6960456,2.37,0.1,0.95
1781128094.7882597,2.31,0.12,0.92
1781128094.8892922,2.34,0.2,0.95
1781128094.9889252,2.39,0.27,1.02
1781128095.0968816,2.37,0.31,1.08
1781128095.212189,2.39,0.36,1.07
1781128095.3174474,2.34,0.35,1.06
1781128095.3888595,2.35,0.36,1.07
1781128095.4892688,2.32,0.38,1.08
1781128095.5891216,2.32,0.4,1.11
1781128095.6875703,2.3,0.43,1.13
1781128095.7887592,2.22,0.37,0.99
1781128095.896788,2.23,0.4,1.04
1781128096.000793,2.2,0.41,1.14
1781128096.0877485,2.21,0.44,1.13
1781128096.1884758,2.22,0.46,1.13
1781128096.2872565,2.17,0.49,1.16
1781128096.3880594,2.16,0.52,1.12
1781128096.487332,2.15,0.55,1.1
1781128096.5885499,2.15,0.59,1.14
1781128096.6882415,2.04,0.55,1.01
1781128096.793694,2.02,0.59,1.04
1781128096.8884687,2.0,0.62,1.06
1781128097.0151324,1.96,0.62,0.99
1781128097.104866,1.9,0.65,1.05
1781128097.1883423,1.85,0.67,1.09
1781128097.2984333,1.88,0.76,1.16
1781128097.388212,1.87,0.81,1.2
1781128097.487677,1.85,0.85,1.21
1781128097.5873866,1.86,0.81,1.08
1781128097.687811,1.85,0.85,1.1
1781128097.7887955,1.81,0.88,1.12
1781128097.8919814,1.8,0.91,1.11
1781128097.9872017,1.73,0.88,1.03
