Time,POSX,POSY,POSZ
1781128592.5813055,-0.11,-0.03,0.87
1781128592.5867836,-0.1,-0.06,0.91
1781128592.5934675,-0.11,-0.11,0.98
1781128592.6030369,-0.09,-0.13,0.94
1781128592.6158557,-0.07,-0.16,0.91
1781128592.6228461,-0.08,-0.16,0.76
1781128592.6325002,-0.08,-0.16,0.66
1781128592.6398878,-0.05,-0.18,0.7
1781128592.6486034,-0.07,-0.18,0.62
1781128592.6604972,-0.1,-0.18,0.55
1781128592.712833,-0.1,-0.17,0.51
1781128592.7902884,-0.1,-0.2,0.55
1781128592.919942,-0.11,-0.2,0.5
1781128592.9994407,-0.13,-0.23,0.59
1781128593.0884707,-0.13,-0.27,0.72
1781128593.1912205,-0.15,-0.3,0.79
1781128593.2876794,-0.16,-0.29,0.69
1781128593.397642,-0.18,-0.32,0.76
1781128593.4875083,-0.22,-0.31,0.68
1781128593.5882661,-0.26,-0.29,0.61
1781128593.704707,-0.3,-0.29,0.58
1781128593.7939858,-0.34,-0.3,0.57
1781128593.8878982,-0.38,-0.35,0.7
1781128593.987474,-0.4,-0.34,0.66
1781128594.1068146,-0.43,-0.36,0.75
1781128594.18869,-0.47,-0.35,0.72
1781128594.3043563,-0.49,-0.38,0.79
1781128594.3881083,-0.51,-0.4,0.85
1781128594.5071368,-0.55,-0.36,0.77
1781128594.5886486,-0.54,-0.35,0.86
1781128594.6956031,-0.57,-0.32,0.75
1781128594.7886717,-0.59,-0.32,0.77
1781128594.902855,-0.57,-0.3,0.87
1781128594.9872065,-0.6,-0.28,0.79
1781128595.1091018,-0.59,-0.28,0.88
1781128595.189492,-0.61,-0.29,0.86
1781128595.3134184,-0.6,-0.26,0.94
1781128595.3884447,-0.64,-0.25,0.86
1781128595.48761,-0.64,-0.23,0.93
1781128595.5878882,-0.69,-0.23,0.84
1781128595.7113972,-0.68,-0.2,0.86
1781128595.7995193,-0.7,-0.18,0.78
1781128595.8882465,-0.72,-0.17,0.79
1781128595.9951577,-0.74,-0.16,0.84
1781128596.0880327,-0.8,-0.18,0.86
1781128596.1873517,-0.79,-0.15,0.85
1781128596.3085542,-0.78,-0.13,0.83
1781128596.3881974,-0.78,-0.13,0.82
1781128596.4873106,-0.77,-0.11,0.81
1781128596.5881317,-0.76,-0.09,0.82
1781128596.7049053,-0.75,-0.08,0.84
1781128596.7873147,-0.76,-0.07,0.89
1781128596.9107165,-0.77,-0.03,0.8
1781128596.9880261,-0.78,-0.03,0.83
1781128597.087624,-0.84,-0.05,0.83
1781128597.1882846,-0.78,0.01,0.88
1781128597.2882264,-0.75,0.04,0.94
1781128597.3888526,-0.77,0.04,0.93
1781128597.5110822,-0.79,0.04,0.95
1781128597.5904908,-0.79,0.06,0.89
1781128597.7117705,-0.82,0.04,0.93
1781128597.7951534,-0.77,0.08,0.96
1781128597.8873074,-0.73,0.12,0.99
1781128597.9886014,-0.7,0.15,1.0
1781128598.1098762,-0.74,0.13,1.0
1781128598.1910706,-0.77,0.13,1.01
1781128598.3153546,-0.8,0.12,1.0
1781128598.3977964,-0.81,0.13,1.01
1781128598.4873023,-0.76,0.17,0.99
1781128598.5872834,-0.75,0.18,0.96
1781128598.7063015,-0.75,0.21,0.9
1781128598.787517,-0.74,0.2,0.92
1781128598.8997357,-0.73,0.2,0.93
1781128598.993626,-0.75,0.2,0.97
1781128599.0889053,-0.75,0.22,0.98
1781128599.1905437,-0.74,0.23,0.97
1781128599.2870393,-0.71,0.25,0.94
1781128599.3933294,-0.71,0.25,0.9
1781128599.5111358,-0.72,0.25,0.91
1781128599.5883362,-0.67,0.3,0.89
1781128599.6884165,-0.68,0.29,0.91
1781128599.7932897,-0.67,0.29,0.87
1781128599.8871088,-0.63,0.32,0.89
1781128599.9892437,-0.65,0.31,0.89
1781128600.111569,-0.68,0.31,0.95
1781128600.1957946,-0.64,0.35,0.93
1781128600.2885668,-0.59,0.38,0.94
1781128600.4200318,-0.62,0.38,0.96
1781128600.488691,-0.62,0.38,1.01
1781128600.5877829,-0.57,0.42,0.98
1781128600.6886013,-0.53,0.45,0.97
1781128600.7880604,-0.5,0.46,0.93
1781128600.8881435,-0.53,0.44,0.99
1781128600.9888523,-0.55,0.42,1.05
1781128601.0878398,-0.49,0.46,1.01
1781128601.1891723,-0.46,0.48,0.98
1781128601.2876315,-0.42,0.51,0.95
1781128601.390334,-0.42,0.52,0.95
1781128601.4872344,-0.39,0.54,0.94
1781128601.5933254,-0.43,0.51,1.02
1781128601.6878307,-0.43,0.5,0.99
1781128601.7870827,-0.45,0.48,1.07
1781128601.890033,-0.42,0.49,0.99
1781128601.9873915,-0.4,0.52,0.93
1781128602.1199632,-0.43,0.51,1.03
1781128602.1875134,-0.41,0.52,0.97
1781128602.2891676,-0.38,0.52,0.92
1781128602.3871863,-0.39,0.51,0.95
1781128602.4984977,-0.42,0.48,1.03
1781128602.6574044,-0.39,0.49,1.01
1781128602.687706,-0.4,0.47,1.09
1781128602.7935998,-0.4,0.47,1.07
1781128602.9204795,-0.4,0.47,1.09
1781128602.9877002,-0.4,0.47,1.11
1781128603.0893946,-0.4,0.46,1.11
1781128603.19974,-0.37,0.48,1.03
1781128603.287183,-0.37,0.47,1.04
1781128603.4530296,-0.35,0.5,0.92
1781128603.48703,-0.35,0.5,0.95
1781128603.5983908,-0.32,0.51,0.91
1781128603.7258112,-0.33,0.5,0.96
1781128603.7880683,-0.33,0.49,1.02
1781128603.8874295,-0.31,0.52,0.96
1781128603.9873219,-0.27,0.5,0.95
1781128604.0990062,-0.26,0.5,0.95
1781128604.2264166,-0.24,0.51,0.95
1781128604.2873685,-0.22,0.52,0.94
1781128604.3914752,-0.22,0.52,0.9
1781128604.4871895,-0.23,0.54,0.89
1781128604.588105,-0.23,0.54,0.91
1781128604.6886835,-0.22,0.54,0.9
1781128604.7884135,-0.2,0.54,0.88
1781128604.8889894,-0.18,0.52,0.91
1781128604.9966762,-0.17,0.51,0.91
1781128605.0875037,-0.18,0.49,0.99
1781128605.2016811,-0.16,0.5,0.94
1781128605.2872,-0.15,0.47,1.05
1781128605.4077282,-0.13,0.46,1.02
1781128605.49343,-0.1,0.45,1.0
1781128605.61386,-0.06,0.45,0.96
1781128605.7097864,-0.07,0.45,0.91
