Time,POSX,POSY,POSZ
1781128677.7396765,2.19,-0.89,1.11
1781128677.7447073,2.17,-0.78,1.12
1781128677.7559996,2.17,-0.65,1.06
1781128677.7666812,2.1,-0.61,1.22
1781128677.9137602,2.05,-0.54,1.27
1781128677.9188342,2.0,-0.51,1.38
1781128677.9358127,1.91,-0.51,1.48
1781128677.9438434,1.85,-0.48,1.5
1781128677.954749,1.79,-0.48,1.55
1781128677.9598696,1.79,-0.43,1.62
1781128677.9757757,1.77,-0.4,1.65
1781128677.9870722,1.74,-0.4,1.72
1781128677.9956083,1.73,-0.37,1.73
1781128678.0890412,1.74,-0.34,1.7
1781128678.1910172,1.74,-0.31,1.68
1781128678.288683,1.73,-0.26,1.66
1781128678.4515858,1.78,-0.18,1.74
1781128678.4885986,1.78,-0.14,1.71
1781128678.587234,1.81,-0.07,1.77
1781128678.7079666,1.84,-0.01,1.81
1781128678.7868962,1.81,-0.01,1.77
1781128678.8874102,1.85,0.04,1.81
1781128678.987423,1.86,0.09,1.84
1781128679.1261609,1.89,0.14,1.82
1781128679.2378206,1.9,0.18,1.81
1781128679.287179,1.89,0.2,1.83
1781128679.3906226,1.84,0.19,1.83
1781128679.4883883,1.85,0.22,1.82
1781128679.5870008,1.85,0.24,1.84
1781128679.6959457,1.85,0.24,1.81
1781128679.787387,1.83,0.23,1.79
1781128679.896037,1.84,0.24,1.77
1781128680.013092,1.82,0.23,1.77
1781128680.1283345,1.82,0.24,1.76
1781128680.187501,1.79,0.24,1.75
1781128680.2877324,1.88,0.31,1.78
1781128680.3884332,1.85,0.3,1.78
1781128680.4879086,1.89,0.36,1.79
1781128680.5876806,1.82,0.33,1.78
1781128680.6876328,1.84,0.39,1.83
1781128680.7876499,1.89,0.47,1.87
1781128680.8869348,1.89,0.49,1.93
1781128680.9870331,1.88,0.54,1.96
1781128681.0872223,1.91,0.59,1.96
1781128681.1869748,1.9,0.65,1.98
1781128681.2886395,1.9,0.7,2.0
1781128681.3885684,1.9,0.76,2.04
1781128681.4875934,1.88,0.82,2.07
1781128681.5870683,1.85,0.87,2.08
1781128681.6890786,1.77,0.92,2.03
1781128681.7870364,1.75,1.01,2.0
1781128681.8871996,1.64,1.03,1.96
1781128681.9875174,1.54,1.06,1.94
1781128682.0896373,1.51,1.11,1.95
1781128682.1874871,1.45,1.14,1.97
1781128682.2879448,1.36,1.16,1.94
1781128682.3885684,1.3,1.16,1.94
1781128682.4885924,1.24,1.16,1.94
1781128682.586977,1.16,1.16,1.95
1781128682.6886456,1.09,1.15,1.93
1781128682.7885003,0.98,1.14,1.93
1781128682.8915622,0.9,1.14,1.92
1781128682.9873252,0.84,1.13,1.92
1781128683.0965385,0.81,1.11,1.98
1781128683.1883388,0.7,1.14,1.98
1781128683.2884207,0.62,1.15,2.0
1781128683.3883996,0.52,1.17,2.03
1781128683.4897935,0.44,1.18,2.06
1781128683.5872633,0.34,1.2,2.06
1781128683.6919498,0.21,1.18,2.05
1781128683.787057,0.04,1.19,2.0
1781128683.8882396,-0.14,1.22,1.99
1781128683.9884667,-0.28,1.2,1.98
1781128684.0918682,-0.42,1.21,1.97
1781128684.1886818,-0.55,1.21,1.96
1781128684.2890875,-0.65,1.2,1.96
1781128684.3876452,-0.84,1.24,1.97
1781128684.4888167,-0.91,1.2,1.99
1781128684.5880878,-1.09,1.22,2.04
1781128684.691505,-1.27,1.23,2.0
1781128684.788284,-1.42,1.2,2.02
1781128684.8896039,-1.42,1.13,2.03
1781128684.9871452,-1.42,1.05,2.04
1781128685.086944,-1.44,0.97,2.05
1781128685.1881545,-1.58,0.9,2.06
1781128685.2964962,-1.64,0.78,2.05
1781128685.3874197,-1.72,0.62,2.0
1781128685.4884217,-1.78,0.54,2.03
1781128685.5889497,-1.84,0.45,2.03
1781128685.688476,-1.85,0.29,1.97
1781128685.787122,-1.84,0.19,1.94
1781128685.8899014,-1.82,0.06,1.9
1781128685.9881055,-1.79,-0.06,1.88
1781128686.0928395,-1.72,-0.16,1.89
1781128686.1870236,-1.63,-0.24,1.89
1781128686.2890189,-1.57,-0.34,1.86
1781128686.3870072,-1.48,-0.42,1.88
1781128686.4878087,-1.38,-0.48,1.87
1781128686.5884163,-1.33,-0.54,1.83
1781128686.6873534,-1.27,-0.6,1.83
1781128686.787536,-1.15,-0.68,1.84
1781128686.894304,-1.04,-0.74,1.87
1781128686.9879713,-0.96,-0.75,1.86
1781128687.0901222,-0.88,-0.76,1.86
1781128687.1874537,-0.8,-0.79,1.86
1781128687.2897882,-0.66,-0.84,1.93
1781128687.3870492,-0.58,-0.82,1.93
1781128687.489951,-0.5,-0.8,1.92
1781128687.588682,-0.43,-0.79,1.93
1781128687.688368,-0.33,-0.8,1.98
1781128687.7886095,-0.26,-0.77,2.0
1781128687.8886194,-0.09,-0.84,1.96
1781128687.9875095,-0.02,-0.81,2.03
1781128688.0943646,0.04,-0.79,2.09
1781128688.1882415,0.13,-0.79,2.11
1781128688.2872884,0.23,-0.81,2.13
1781128688.3869686,0.34,-0.82,2.12
1781128688.4879365,0.58,-0.82,2.07
1781128688.5869849,0.79,-0.83,2.02
1781128688.6882796,0.95,-0.82,1.97
1781128688.7882204,1.06,-0.84,1.97
1781128688.890893,1.2,-0.8,1.93
1781128688.9871714,1.29,-0.8,1.93
1781128689.0870647,1.39,-0.76,1.94
1781128689.1870158,1.45,-0.73,1.94
1781128689.2869587,1.55,-0.64,1.93
1781128689.387574,1.62,-0.56,1.93
1781128689.4910119,1.71,-0.48,1.9
1781128689.588132,1.8,-0.4,1.9
1781128689.6881065,1.89,-0.31,1.85
1781128689.7869985,1.96,-0.22,1.81
1781128689.8882794,2.02,-0.1,1.86
1781128689.9883635,2.05,0.01,1.9
1781128690.0957453,2.05,0.09,1.85
1781128690.1881654,2.05,0.2,1.79
1781128690.288638,2.07,0.35,1.85
1781128690.388045,2.07,0.48,1.84
1781128690.488048,1.99,0.56,1.85
1781128690.587712,1.94,0.66,1.88
1781128690.6891246,1.87,0.75,1.92
1781128690.787244,1.75,0.83,1.92
1781128690.8923461,1.69,0.92,1.89
1781128690.9879682,1.63,0.99,1.9
1781128691.0870624,1.5,1.04,1.88
1781128691.188035,1.38,1.07,1.86
1781128691.287001,1.25,1.09,1.82
1781128691.387893,1.13,1.1,1.8
1781128691.4963174,1.05,1.11,1.8
1781128691.586949,0.95,1.13,1.81
1781128691.6876445,0.88,1.15,1.83
1781128691.7869196,0.79,1.14,1.84
1781128691.8917406,0.72,1.14,1.86
1781128691.9881363,0.64,1.15,1.89
1781128692.1019342,0.57,1.17,1.93
1781128692.1878457,0.49,1.17,1.96
1781128692.3050063,0.42,1.18,2.0
1781128692.4303167,0.31,1.18,2.02
1781128692.4872086,0.17,1.18,2.02
1781128692.5935924,-0.02,1.2,1.97
1781128692.6914423,0.0,1.31,1.52
1781128692.7995813,-0.17,1.29,1.61
1781128692.9247384,-0.39,1.29,1.69
1781128692.9872823,-0.64,1.33,1.76
1781128693.0896847,-0.84,1.34,1.88
1781128693.18801,-1.03,1.32,1.97
1781128693.2919621,-1.2,1.3,2.02
1781128693.4242773,-1.23,1.22,1.99
1781128693.4872456,-1.25,1.12,1.98
1781128693.5883577,-1.4,1.06,1.94
1781128693.688105,-1.5,0.97,1.94
1781128693.8036451,-1.54,0.87,1.97
1781128693.9306266,-1.63,0.8,2.03
1781128693.987398,-1.72,0.73,2.03
1781128694.0872161,-1.73,0.63,2.02
1781128694.1879816,-1.68,0.49,1.92
1781128694.289216,-1.64,0.35,1.81
1781128694.3872948,-1.67,0.29,1.85
1781128694.4914572,-1.7,0.2,1.87
