Time,POSX,POSY,POSZ
1781457727.2493744,-1.4645,0.0733,0.0814
1781457727.2555716,-1.4645,0.0733,0.0814
1781457727.2603374,-1.4645,0.0733,0.0814
1781457727.2656882,-1.4644,0.0734,0.0814
1781457727.271797,-1.4644,0.0734,0.0814
1781457727.2777767,-1.4644,0.0734,0.0814
1781457727.283102,-1.4645,0.0733,0.0814
1781457727.2878747,-1.4644,0.0734,0.0814
1781457727.2933552,-1.4644,0.0734,0.0814
1781457727.2988398,-1.4644,0.0734,0.0814
1781457727.3050067,-1.4644,0.0734,0.0814
1781457727.3102045,-1.4644,0.0734,0.0814
1781457727.3155594,-1.4644,0.0734,0.0814
1781457727.3212311,-1.4644,0.0734,0.0814
1781457727.3265457,-1.4644,0.0734,0.0814
1781457727.3402286,-1.4644,0.0734,0.0814
1781457727.340699,-1.4644,0.0734,0.0814
1781457727.3435748,-1.4644,0.0734,0.0814
1781457727.3489075,-1.4645,0.0733,0.0814
1781457727.3564963,-1.4644,0.0734,0.0814
1781457727.3688538,-1.4645,0.0733,0.0814
1781457727.369306,-1.4644,0.0734,0.0814
1781457727.3731928,-1.4644,0.0734,0.0814
1781457727.377701,-1.4644,0.0734,0.0814
1781457727.382617,-1.4644,0.0734,0.0814
1781457727.387695,-1.4644,0.0734,0.0814
1781457727.393075,-1.4644,0.0734,0.0814
1781457727.399041,-1.4644,0.0734,0.0814
1781457727.4048035,-1.4644,0.0734,0.0814
1781457727.4102864,-1.4644,0.0734,0.0814
1781457727.416725,-1.4644,0.0734,0.0814
1781457727.4212298,-1.4645,0.0733,0.0814
1781457727.4263783,-1.4644,0.0734,0.0814
1781457727.4318297,-1.4644,0.0734,0.0814
1781457727.4380257,-1.4644,0.0734,0.0814
1781457727.4435482,-1.4644,0.0734,0.0814
1781457727.4491355,-1.4644,0.0734,0.0814
1781457727.4541621,-1.4645,0.0733,0.0814
1781457727.4596589,-1.4644,0.0734,0.0814
1781457727.4657633,-1.4644,0.0734,0.0814
1781457727.4787781,-1.4644,0.0734,0.0814
1781457727.4792156,-1.4644,0.0734,0.0814
1781457727.4845712,-1.4644,0.0734,0.0814
1781457727.4877763,-1.4644,0.0734,0.0814
1781457727.4942913,-1.4644,0.0734,0.0814
1781457727.4994462,-1.4644,0.0734,0.0814
1781457727.5047207,-1.4644,0.0734,0.0814
1781457727.5100067,-1.4644,0.0734,0.0814
1781457727.5152862,-1.4644,0.0734,0.0814
1781457727.5206237,-1.4644,0.0734,0.0814
1781457727.5265274,-1.4644,0.0733,0.0813
1781457727.5326438,-1.4644,0.0734,0.0814
1781457727.5376425,-1.4644,0.0734,0.0814
1781457727.5432582,-1.4645,0.0733,0.0814
1781457727.54917,-1.4644,0.0734,0.0814
1781457727.5542505,-1.4644,0.0734,0.0814
1781457727.5598817,-1.4644,0.0734,0.0814
1781457727.5661297,-1.4644,0.0734,0.0814
1781457727.5707588,-1.4644,0.0734,0.0814
1781457727.578599,-1.4644,0.0734,0.0814
1781457727.5818598,-1.4645,0.0733,0.0814
1781457727.587539,-1.4644,0.0734,0.0814
1781457727.5936904,-1.4644,0.0734,0.0814
1781457727.5987492,-1.4644,0.0734,0.0814
1781457727.6046367,-1.4644,0.0734,0.0814
1781457727.6184328,-1.4644,0.0734,0.0814
1781457727.6189773,-1.4644,0.0734,0.0814
1781457727.6213503,-1.4644,0.0734,0.0814
1781457727.627583,-1.4644,0.0734,0.0814
1781457727.632405,-1.4644,0.0734,0.0814
1781457727.638793,-1.4644,0.0734,0.0814
1781457727.6431706,-1.4644,0.0734,0.0814
1781457727.648723,-1.4644,0.0734,0.0814
1781457727.654895,-1.4644,0.0734,0.0814
1781457727.6599407,-1.4644,0.0734,0.0814
1781457727.6654277,-1.4644,0.0734,0.0814
1781457727.6709185,-1.4644,0.0734,0.0814
1781457727.6760175,-1.4645,0.0733,0.0814
1781457727.6818526,-1.4644,0.0734,0.0814
1781457727.6882272,-1.4645,0.0733,0.0814
1781457727.6934648,-1.4644,0.0734,0.0814
1781457727.698758,-1.4644,0.0734,0.0814
1781457727.7042117,-1.4644,0.0734,0.0814
1781457727.7097075,-1.4644,0.0734,0.0814
1781457727.7156785,-1.4644,0.0734,0.0814
1781457727.721318,-1.4644,0.0734,0.0814
1781457727.726898,-1.4644,0.0734,0.0814
1781457727.7320952,-1.4644,0.0734,0.0814
1781457727.737087,-1.4644,0.0734,0.0814
1781457727.7430801,-1.4644,0.0734,0.0814
1781457727.7488167,-1.4645,0.0733,0.0814
1781457727.7546117,-1.4644,0.0734,0.0814
1781457727.7597737,-1.4644,0.0734,0.0814
1781457727.7687798,-1.4644,0.0734,0.0814
1781457727.7980201,-1.4644,0.0734,0.0814
1781457727.7984755,-1.4644,0.0734,0.0814
1781457727.7988527,-1.4644,0.0734,0.0814
1781457727.7993581,-1.4644,0.0734,0.0814
1781457727.7998812,-1.4644,0.0734,0.0814
