Time,POSX,POSY,POSZ
1781457730.8292725,-1.38,0.17,0.17
1781457730.8336194,-1.39,0.17,0.17
1781457730.8364708,-1.43,0.15,0.14
1781457730.8387015,-1.47,0.13,0.13
1781457730.841679,-1.44,0.15,0.14
1781457730.8439746,-1.43,0.15,0.18
1781457730.8478508,-1.4,0.16,0.18
1781457730.8514245,-1.37,0.17,0.18
1781457730.8551438,-1.35,0.17,0.19
1781457730.858558,-1.37,0.16,0.21
1781457730.8891363,-1.37,0.15,0.19
1781457730.989398,-1.35,0.18,0.19
1781457731.0899594,-1.35,0.19,0.18
1781457731.1895137,-1.37,0.16,0.18
1781457731.2886052,-1.41,0.14,0.16
1781457731.390196,-1.42,0.14,0.15
1781457731.4888186,-1.44,0.12,0.14
1781457731.5885668,-1.42,0.14,0.14
1781457731.688322,-1.43,0.15,0.13
1781457731.7885535,-1.46,0.13,0.1
1781457731.8887832,-1.43,0.14,0.11
1781457731.9882746,-1.43,0.15,0.11
1781457732.088457,-1.44,0.15,0.1
1781457732.1892602,-1.44,0.15,0.1
1781457732.2891965,-1.41,0.16,0.12
1781457732.3890476,-1.41,0.16,0.13
1781457732.4893653,-1.56,0.29,0.38
1781457732.5888557,-1.49,0.27,0.33
1781457732.69631,-1.46,0.24,0.26
1781457732.788849,-1.46,0.19,0.23
1781457732.888702,-1.42,0.2,0.21
1781457732.9893339,-1.42,0.19,0.19
1781457733.0883083,-1.42,0.19,0.19
1781457733.189298,-1.4,0.2,0.19
1781457733.2886546,-1.45,0.17,0.13
1781457733.3885584,-1.49,0.18,0.16
1781457733.489533,-1.56,0.14,0.14
1781457733.5908515,-1.55,0.15,0.21
1781457733.688691,-1.54,0.16,0.29
1781457733.7900684,-1.52,0.21,0.46
1781457733.8891473,-1.42,0.2,0.51
1781457733.9888806,-1.37,0.23,0.67
1781457734.088823,-1.29,0.25,0.76
1781457734.1890435,-1.22,0.28,0.91
1781457734.2897437,-1.21,0.35,0.98
1781457734.388452,-1.24,0.4,1.06
1781457734.500052,-1.17,0.42,1.08
1781457734.5885134,-1.13,0.43,1.08
1781457734.6883285,-1.1,0.41,1.06
1781457734.7885845,-1.1,0.37,1.08
1781457734.889313,-1.08,0.31,1.04
1781457734.9887903,-1.08,0.26,1.02
1781457735.0887878,-1.09,0.2,1.02
1781457735.188449,-1.14,0.16,0.98
1781457735.288922,-1.11,0.06,0.97
1781457735.388667,-1.08,-0.01,0.98
1781457735.488722,-1.09,-0.06,0.92
1781457735.5887284,-1.08,-0.09,0.87
1781457735.6883945,-1.04,-0.13,0.86
1781457735.789889,-0.97,-0.17,0.91
1781457735.8887544,-0.95,-0.16,0.86
1781457735.9883492,-0.91,-0.17,0.87
1781457736.0887978,-0.89,-0.17,0.84
1781457736.1907718,-0.84,-0.18,0.81
1781457736.2885504,-0.8,-0.23,0.83
1781457736.388615,-0.76,-0.23,0.81
1781457736.4891737,-0.71,-0.3,0.82
1781457736.5892475,-0.67,-0.34,0.82
1781457736.68944,-0.62,-0.38,0.83
1781457736.8005664,-0.57,-0.4,0.83
1781457736.8892577,-0.48,-0.4,0.83
1781457736.9890857,-0.39,-0.43,0.85
1781457737.0888326,-0.3,-0.46,0.9
1781457737.1893177,-0.23,-0.49,0.91
1781457737.2913828,-0.16,-0.53,0.93
1781457737.38834,-0.11,-0.55,0.94
1781457737.4895663,-0.08,-0.55,0.94
1781457737.589798,-0.11,-0.56,0.9
1781457737.6891527,-0.11,-0.56,0.89
1781457737.789185,-0.13,-0.54,0.87
1781457737.8912718,-0.12,-0.54,0.89
1781457737.9897337,-0.09,-0.55,0.94
1781457738.089983,-0.09,-0.55,0.94
1781457738.1889355,-0.04,-0.58,1.0
1781457738.2898867,-0.03,-0.57,1.01
1781457738.3908901,-0.02,-0.56,0.98
1781457738.4892287,0.04,-0.55,1.01
1781457738.588491,0.09,-0.52,1.04
1781457738.6887643,0.15,-0.5,1.07
1781457738.7897198,0.23,-0.52,1.09
1781457738.8882537,0.2,-0.37,0.86
1781457738.9898052,0.3,-0.41,0.91
1781457739.0888498,0.54,-0.35,0.85
1781457739.1893046,0.71,-0.31,0.84
1781457739.2999406,0.84,-0.27,0.84
1781457739.3889408,0.94,-0.23,0.88
1781457739.4889226,1.08,-0.15,0.84
1781457739.5897439,1.12,-0.13,0.87
1781457739.68904,1.15,-0.11,0.92
1781457739.7890208,1.21,-0.05,0.92
1781457739.889655,1.23,0.0,0.96
1781457739.9881525,1.3,0.08,0.92
1781457740.0886326,1.31,0.11,0.99
1781457740.1888714,1.33,0.15,1.05
1781457740.2883098,1.37,0.23,1.03
1781457740.3916547,1.36,0.26,1.08
1781457740.4896717,1.39,0.31,1.05
1781457740.5892448,1.36,0.33,1.08
1781457740.689417,1.3,0.3,1.02
1781457740.788506,1.3,0.32,1.03
1781457740.8896885,1.3,0.33,1.03
1781457740.9893203,1.27,0.29,0.97
1781457741.089091,1.25,0.27,0.93
1781457741.1890805,1.31,0.29,0.98
1781457741.2889988,1.34,0.32,0.99
1781457741.3887122,1.34,0.33,0.95
1781457741.4883597,1.36,0.37,0.98
1781457741.589491,1.38,0.4,0.95
1781457741.68894,1.36,0.4,0.9
1781457741.7894263,1.35,0.4,0.86
1781457741.889023,1.35,0.44,0.89
1781457741.9888735,1.34,0.43,0.87
1781457742.0892606,1.31,0.41,0.83
1781457742.1889164,1.33,0.45,0.85
1781457742.2893372,1.3,0.42,0.83
1781457742.390204,1.31,0.42,0.84
1781457742.489095,1.3,0.41,0.84
1781457742.5893092,1.34,0.41,0.88
1781457742.6893976,1.37,0.44,0.91
1781457742.7894783,1.38,0.47,0.92
1781457742.8887875,1.37,0.46,0.87
1781457742.989739,1.37,0.5,0.92
1781457743.0895898,1.37,0.55,0.99
1781457743.189259,1.3,0.53,0.93
1781457743.2893064,1.28,0.55,0.95
1781457743.389568,1.23,0.54,0.91
1781457743.4986975,1.17,0.55,0.87
1781457743.5887616,1.2,0.6,0.9
1781457743.689288,1.16,0.63,0.88
1781457743.789259,1.18,0.65,0.94
1781457743.8889582,1.18,0.7,0.95
1781457743.988335,1.16,0.74,1.0
1781457744.0882893,1.15,0.77,1.03
1781457744.1887174,1.15,0.82,1.02
1781457744.2890992,1.12,0.85,1.04
1781457744.396848,1.04,0.82,1.0
1781457744.4895425,1.0,0.84,1.0
1781457744.5896482,0.97,0.84,1.01
1781457744.6973054,0.9,0.83,0.99
1781457744.789014,0.91,0.86,1.03
1781457744.8890512,0.91,0.88,1.04
1781457744.9919,0.98,0.95,1.06
1781457745.0895813,0.98,0.97,1.09
1781457745.1882658,0.97,0.98,1.12
1781457745.2885387,0.97,0.99,1.14
1781457745.3891654,1.0,1.04,1.13
1781457745.4895546,0.97,1.0,1.16
1781457745.5888827,0.88,0.95,1.15
1781457745.6891143,0.85,0.95,1.21
1781457745.789237,0.86,0.91,1.23
1781457745.8966963,0.86,0.88,1.25
1781457745.9886267,0.84,0.86,1.27
1781457746.0894976,0.77,0.84,1.28
1781457746.1895757,0.74,0.88,1.39
1781457746.2888162,0.67,0.88,1.44
1781457746.3883586,0.59,0.89,1.47
1781457746.4997706,0.57,0.94,1.52
1781457746.5898721,0.49,0.93,1.54
1781457746.6882246,0.41,0.92,1.54
1781457746.7957299,0.38,0.94,1.55
1781457746.8898947,0.3,0.93,1.53
1781457746.9891021,0.23,0.91,1.53
1781457747.08893,0.12,0.9,1.45
1781457747.188471,0.07,0.85,1.53
1781457747.2883046,0.11,0.71,1.57
1781457747.3890715,0.09,0.65,1.58
1781457747.488525,0.06,0.59,1.6
1781457747.5893514,0.03,0.51,1.61
1781457747.7013085,-0.03,0.44,1.58
1781457747.7899833,-0.07,0.34,1.58
1781457747.889699,-0.02,0.2,1.61
1781457747.9975727,-0.04,0.1,1.6
1781457748.0897672,-0.12,0.01,1.52
1781457748.188808,-0.13,-0.07,1.55
1781457748.2928164,-0.14,-0.13,1.55
1781457748.3893402,-0.17,-0.2,1.54
1781457748.4898913,-0.25,-0.26,1.42
1781457748.5893524,-0.25,-0.34,1.43
1781457748.6899147,-0.26,-0.39,1.4
1781457748.7888288,-0.31,-0.42,1.34
1781457748.8903077,-0.33,-0.44,1.31
1781457748.9898276,-0.34,-0.48,1.29
1781457749.0891507,-0.42,-0.48,1.18
1781457749.1905956,-0.49,-0.47,1.08
1781457749.2886467,-0.53,-0.53,1.03
1781457749.3898988,-0.58,-0.5,0.96
1781457749.489037,-0.66,-0.46,0.85
1781457749.5889797,-0.72,-0.45,0.75
1781457749.6902773,-0.74,-0.45,0.71
1781457749.7899253,-0.78,-0.43,0.67
1781457749.8892875,-0.76,-0.45,0.72
1781457749.9890878,-0.78,-0.41,0.71
1781457750.0888789,-0.79,-0.4,0.72
1781457750.1899736,-0.81,-0.39,0.72
1781457750.289228,-0.82,-0.37,0.71
1781457750.388473,-0.84,-0.34,0.73
1781457750.4889529,-0.85,-0.3,0.75
1781457750.5895877,-0.84,-0.24,0.76
1781457750.6915948,-0.84,-0.18,0.75
1781457750.7894611,-0.86,-0.13,0.75
1781457750.8890944,-0.88,-0.07,0.73
1781457750.9939144,-0.88,-0.02,0.69
1781457751.0884562,-0.86,0.05,0.68
1781457751.1891694,-0.89,0.1,0.66
1781457751.2910123,-0.93,0.12,0.65
1781457751.389216,-0.91,0.19,0.66
1781457751.488965,-0.9,0.24,0.64
1781457751.5898883,-0.91,0.28,0.67
1781457751.6894362,-0.9,0.33,0.68
1781457751.788779,-0.89,0.36,0.67
1781457751.8891976,-0.88,0.4,0.7
1781457751.9883764,-0.9,0.44,0.74
1781457752.088953,-0.87,0.46,0.74
1781457752.1921422,-0.88,0.49,0.77
1781457752.2893276,-0.82,0.52,0.74
1781457752.3899944,-0.82,0.54,0.78
1781457752.48971,-0.77,0.56,0.75
1781457752.5901158,-0.75,0.58,0.76
1781457752.6887088,-0.72,0.59,0.78
1781457752.7891235,-0.66,0.6,0.78
1781457752.8888638,-0.65,0.62,0.85
1781457752.9882848,-0.64,0.63,0.95
1781457753.0887651,-0.63,0.65,0.95
1781457753.188512,-0.59,0.63,0.99
1781457753.2893395,-0.55,0.6,1.05
1781457753.3895895,-0.55,0.61,1.08
1781457753.4892578,-0.47,0.54,1.1
1781457753.5896811,-0.43,0.49,1.18
1781457753.6890678,-0.37,0.45,1.19
1781457753.789195,-0.32,0.42,1.24
1781457753.8883722,-0.25,0.37,1.25
1781457753.997354,-0.21,0.32,1.27
1781457754.0889077,-0.18,0.28,1.3
1781457754.1889596,-0.23,0.28,1.3
1781457754.2958667,-0.09,0.17,1.44
1781457754.389063,-0.04,0.09,1.51
1781457754.4888322,-0.07,0.05,1.52
1781457754.5889206,-0.09,-0.02,1.55
1781457754.6895196,-0.11,-0.1,1.55
1781457754.789881,-0.16,-0.13,1.47
1781457754.899392,-0.18,-0.2,1.42
1781457754.988909,-0.23,-0.24,1.33
1781457755.088726,-0.28,-0.33,1.23
1781457755.189091,-0.29,-0.4,1.23
1781457755.288542,-0.28,-0.46,1.24
1781457755.3897266,-0.29,-0.5,1.22
1781457755.5054805,-0.3,-0.51,1.18
1781457755.5897484,-0.32,-0.55,1.17
1781457755.710455,-0.39,-0.57,1.11
1781457755.789847,-0.44,-0.54,1.04
1781457755.8985248,-0.53,-0.49,0.91
1781457755.989223,-0.61,-0.44,0.81
1781457756.0892425,-0.6,-0.49,0.85
1781457756.1895337,-0.67,-0.45,0.79
1781457756.2928965,-0.75,-0.41,0.72
1781457756.389551,-0.79,-0.37,0.67
1781457756.4890223,-0.8,-0.36,0.7
1781457756.5905664,-0.81,-0.33,0.71
1781457756.6884863,-0.81,-0.29,0.74
1781457756.7894473,-0.84,-0.25,0.74
1781457756.889611,-0.86,-0.2,0.74
1781457756.9900308,-0.86,-0.15,0.73
1781457757.0890827,-0.86,-0.1,0.68
