Time,POSX,POSY,POSZ
1781483335.9177873,1.7878,0.6858,0.0779
1781483335.9227324,1.7878,0.6858,0.0779
1781483335.9282093,1.7878,0.6858,0.0779
1781483335.9343374,1.7878,0.6858,0.0779
1781483335.9399924,1.7878,0.6858,0.0779
1781483335.9452398,1.7878,0.6858,0.0779
1781483335.950605,1.7878,0.6858,0.0779
1781483335.9561203,1.7878,0.6858,0.0779
1781483335.9615185,1.7878,0.6859,0.0779
1781483335.96704,1.7878,0.6858,0.0779
1781483335.9728663,1.7878,0.6858,0.0779
1781483335.9789414,1.7878,0.6858,0.0779
1781483335.9842005,1.7878,0.6858,0.0779
1781483335.9893348,1.7878,0.6858,0.0779
1781483335.9945629,1.7878,0.6858,0.0779
1781483336.0087483,1.7878,0.6858,0.0779
1781483336.011906,1.7878,0.6858,0.0779
1781483336.0125551,1.7878,0.6858,0.0779
1781483336.017354,1.7878,0.6859,0.0779
1781483336.023128,1.7878,0.6859,0.0779
1781483336.040221,1.7878,0.6859,0.0779
1781483336.0405867,1.7878,0.6858,0.0779
1781483336.0408928,1.7878,0.6858,0.0779
1781483336.045017,1.7878,0.6858,0.0779
1781483336.050863,1.7878,0.6859,0.0779
1781483336.0559702,1.7878,0.6858,0.0779
1781483336.061931,1.7878,0.6858,0.0779
1781483336.0671096,1.7878,0.6858,0.0779
1781483336.0726144,1.7878,0.6858,0.0779
1781483336.07875,1.7878,0.6859,0.0779
1781483336.0840783,1.7878,0.6858,0.0779
1781483336.0891278,1.7878,0.6858,0.0779
1781483336.094522,1.7878,0.6858,0.0779
1781483336.100124,1.7878,0.6858,0.0779
1781483336.1062617,1.7878,0.6858,0.0779
1781483336.1113343,1.7878,0.6858,0.0779
1781483336.1167917,1.7878,0.6858,0.0779
1781483336.1223931,1.7878,0.6858,0.0779
1781483336.1278958,1.7878,0.6858,0.0779
1781483336.1338048,1.7878,0.6858,0.0779
1781483336.1398954,1.7878,0.6858,0.0779
1781483336.1457691,1.7878,0.6858,0.0779
1781483336.1502635,1.7878,0.6858,0.0779
1781483336.161245,1.7878,0.6858,0.0779
1781483336.163131,1.7878,0.6858,0.0779
1781483336.1676385,1.7878,0.6858,0.0779
1781483336.172808,1.7878,0.6858,0.0779
1781483336.178742,1.7878,0.6858,0.0779
1781483336.183593,1.7878,0.6859,0.0779
1781483336.1890411,1.7878,0.6859,0.0779
1781483336.194741,1.7878,0.6858,0.0779
1781483336.2006192,1.7878,0.6858,0.0779
1781483336.2060666,1.7878,0.6858,0.0779
1781483336.2111692,1.7878,0.6858,0.0779
1781483336.2170901,1.7878,0.6858,0.0779
1781483336.2223365,1.7878,0.6858,0.0779
1781483336.228664,1.7878,0.6858,0.0779
1781483336.2346234,1.7878,0.6858,0.0779
1781483336.2391586,1.7878,0.6858,0.0779
1781483336.2448213,1.7878,0.6858,0.0779
1781483336.2499905,1.7878,0.6858,0.0779
1781483336.2558134,1.7878,0.6858,0.0779
1781483336.2618234,1.7878,0.6858,0.0779
1781483336.2671552,1.7878,0.6858,0.0779
1781483336.2725966,1.7878,0.6859,0.0779
1781483336.277861,1.7878,0.6858,0.0779
1781483336.28342,1.7878,0.6858,0.0779
1781483336.2893655,1.7878,0.6858,0.0779
1781483336.301634,1.7878,0.6858,0.0779
1781483336.3021388,1.7878,0.6858,0.0779
1781483336.3065083,1.7878,0.6858,0.0779
1781483336.311375,1.7878,0.6858,0.0779
1781483336.3168526,1.7878,0.6858,0.0779
1781483336.3233573,1.7878,0.6858,0.0779
1781483336.3283925,1.7878,0.6858,0.0779
1781483336.333272,1.7878,0.6858,0.0779
1781483336.3388007,1.7878,0.6858,0.0779
1781483336.3445618,1.7878,0.6858,0.0779
1781483336.3505924,1.7878,0.6858,0.0779
1781483336.3563752,1.7878,0.6858,0.0779
1781483336.3614566,1.7878,0.6858,0.0779
1781483336.3668945,1.7878,0.6858,0.0779
1781483336.3725338,1.7878,0.6859,0.0779
1781483336.3778868,1.7878,0.6858,0.0779
1781483336.384165,1.7878,0.6858,0.0779
1781483336.389388,1.7878,0.6858,0.0779
1781483336.3948107,1.7878,0.6858,0.0779
1781483336.400248,1.7878,0.6858,0.0779
1781483336.4057014,1.7878,0.6858,0.0779
1781483336.411486,1.7878,0.6858,0.0779
1781483336.417055,1.7878,0.6858,0.0779
1781483336.4230018,1.7878,0.6859,0.0779
1781483336.4279544,1.7878,0.6858,0.0779
1781483336.4333453,1.7878,0.6858,0.0779
1781483336.4673085,1.7878,0.6858,0.0779
1781483336.4677207,1.7878,0.6858,0.0779
1781483336.4680185,1.7878,0.6858,0.0779
1781483336.4683094,1.7878,0.6858,0.0779
1781483336.4685988,1.7878,0.6858,0.0779
1781483336.4689198,1.7878,0.6858,0.0779
1781483336.4725978,1.7878,0.6858,0.0779
1781483336.4783697,1.7878,0.6858,0.0779
1781483336.4841163,1.7878,0.6858,0.0779
1781483336.4891577,1.7878,0.6858,0.0779
1781483336.494597,1.7878,0.6858,0.0779
1781483336.500319,1.7878,0.6858,0.0779
1781483336.5065541,1.7878,0.6858,0.0779
1781483336.511643,1.7878,0.6858,0.0779
1781483336.5175924,1.7878,0.6858,0.0779
1781483336.522288,1.7878,0.6858,0.0779
1781483336.528263,1.7878,0.6859,0.0779
1781483336.5336728,1.7878,0.6858,0.0779
1781483336.5401347,1.7878,0.6858,0.0779
1781483336.5449667,1.7878,0.6858,0.0779
1781483336.5501537,1.7878,0.6858,0.0779
1781483336.5556576,1.7878,0.6858,0.0779
1781483336.5613139,1.7878,0.6858,0.0779
1781483336.5674963,1.7878,0.6858,0.0779
1781483336.5725014,1.7878,0.6858,0.0779
1781483336.5842743,1.7878,0.6859,0.0779
1781483336.5847862,1.7878,0.6858,0.0779
1781483336.5897305,1.7878,0.6858,0.0779
1781483336.5949464,1.7878,0.6858,0.0779
1781483336.6003635,1.7878,0.6858,0.0779
1781483336.6058044,1.7878,0.6858,0.0779
1781483336.611563,1.7878,0.6858,0.0779
1781483336.6171196,1.7878,0.6858,0.0779
1781483336.6225014,1.7878,0.6858,0.0779
1781483336.6276326,1.7878,0.6858,0.0779
1781483336.6336753,1.7878,0.6858,0.0779
1781483336.6398094,1.7878,0.6858,0.0779
1781483336.645394,1.7878,0.6859,0.0779
1781483336.6509504,1.7878,0.6858,0.0779
1781483336.6557417,1.7878,0.6858,0.0779
1781483336.661244,1.7878,0.6858,0.0779
1781483336.6672108,1.7878,0.6858,0.0779
1781483336.672394,1.7878,0.6858,0.0779
1781483336.6782186,1.7878,0.6858,0.0779
1781483336.6840374,1.7878,0.6858,0.0779
1781483336.6891656,1.7878,0.6858,0.0779
1781483336.6948178,1.7878,0.6859,0.0779
1781483336.6999516,1.7878,0.6858,0.0779
1781483336.7061396,1.7878,0.6858,0.0779
1781483336.711428,1.7878,0.6859,0.0779
1781483336.7234068,1.7878,0.6858,0.0779
1781483336.7243855,1.7878,0.6858,0.0779
1781483336.7285745,1.7878,0.6858,0.0779
1781483336.734081,1.7878,0.6859,0.0779
1781483336.7418518,1.7878,0.6858,0.0779
1781483336.7508302,1.7878,0.6858,0.0779
