Time,POSX,POSY,POSZ
1781483339.449840,1.800000,0.620000,0.300000
1781483339.454891,1.792831,0.627169,0.294831
1781483339.461839,1.766818,0.633616,0.285003
1781483339.465534,1.743127,0.650803,0.275122
1781483339.469389,1.750280,0.648767,0.278592
1781483339.473874,1.742898,0.655724,0.270737
1781483339.479624,1.756655,0.650943,0.276036
1781483339.484393,1.784217,0.638400,0.280426
1781483339.488944,1.811534,0.625402,0.287498
1781483339.493588,1.812714,0.625100,0.274890
1781483339.546044,1.816548,0.629462,0.275846
1781483339.644869,1.805986,0.632875,0.266327
1781483339.744680,1.813898,0.627337,0.276223
1781483339.843771,1.831254,0.619392,0.297592
1781483339.946541,1.843150,0.609840,0.310794
1781483340.045455,1.838714,0.615425,0.313993
1781483340.145073,1.842565,0.611913,0.315903
1781483340.244249,1.840617,0.617720,0.310201
1781483340.344789,1.850655,0.614155,0.311866
1781483340.443866,1.861463,0.611678,0.316187
1781483340.545127,1.872663,0.606027,0.319295
1781483340.644918,1.867872,0.610210,0.314786
1781483340.745224,1.867541,0.609498,0.310916
1781483340.844466,1.878803,0.601054,0.307697
1781483340.943923,1.866311,0.611208,0.295157
1781483341.047355,1.848582,0.614817,0.275375
1781483341.144377,1.847689,0.613377,0.270047
1781483341.243491,1.859443,0.608202,0.279740
1781483341.345385,1.848033,0.620547,0.278027
1781483341.444018,1.851799,0.625521,0.286939
1781483341.545044,1.862798,0.624835,0.304174
1781483341.644595,1.838562,0.619988,0.307824
1781483341.744627,1.828916,0.612225,0.310391
1781483341.843762,1.830471,0.602533,0.318713
1781483341.954076,1.836230,0.595694,0.328244
1781483342.043800,1.812610,0.595164,0.328667
1781483342.143898,1.807862,0.591223,0.325134
1781483342.244728,1.817300,0.584737,0.321897
1781483342.345054,1.836934,0.580467,0.322360
1781483342.443734,1.835310,0.594003,0.315904
1781483342.544765,1.837925,0.600236,0.313983
1781483342.644054,1.827568,0.612840,0.302525
1781483342.744993,1.832002,0.617774,0.303505
1781483342.844696,1.831289,0.616876,0.297907
1781483342.951878,1.814633,0.623824,0.283765
1781483343.044423,1.814712,0.624459,0.282878
1781483343.144687,1.827296,0.620433,0.289326
1781483343.244777,1.808501,0.621183,0.284889
1781483343.344686,1.778762,0.621532,0.278326
1781483343.444906,1.737599,0.617580,0.266828
1781483343.544502,1.721120,0.614585,0.264796
1781483343.643611,1.731343,0.608380,0.263739
1781483343.745083,1.756818,0.599941,0.270023
1781483343.843870,1.792617,0.598100,0.288636
1781483343.949254,1.802686,0.609252,0.290214
1781483344.043539,1.817373,0.609592,0.294572
1781483344.144137,1.835263,0.605798,0.297799
1781483344.245146,1.818964,0.615138,0.290141
1781483344.345154,1.793868,0.634055,0.280542
1781483344.443669,1.779232,0.647528,0.282880
1781483344.543713,1.752755,0.652587,0.281540
1781483344.655463,1.722105,0.655390,0.273927
1781483344.744454,1.697081,0.668702,0.261403
1781483344.843569,1.680707,0.681629,0.255107
1781483344.950671,1.662813,0.681987,0.247288
1781483345.043709,1.651895,0.685224,0.228382
1781483345.144633,1.674275,0.674625,0.220729
1781483345.246670,1.704410,0.658167,0.222199
1781483345.344103,1.727070,0.650006,0.230840
1781483345.444978,1.735302,0.652355,0.231674
1781483345.543534,1.720457,0.650369,0.232713
1781483345.644460,1.705005,0.661245,0.237144
1781483345.745460,1.697711,0.673345,0.234221
1781483345.843866,1.716893,0.665843,0.235336
1781483345.946236,1.747250,0.651973,0.239666
1781483346.045119,1.785086,0.637815,0.256416
1781483346.143562,1.823539,0.619805,0.279499
1781483346.243514,1.821341,0.623514,0.290644
1781483346.344238,1.813364,0.635175,0.288694
1781483346.445207,1.821921,0.640191,0.299566
1781483346.545239,1.810745,0.652071,0.300810
1781483346.650940,1.813582,0.652608,0.301017
1781483346.745093,1.798851,0.660771,0.283946
1781483346.844260,1.807787,0.658358,0.279936
1781483346.944186,1.818178,0.656215,0.276680
1781483347.045012,1.825375,0.658444,0.274117
1781483347.144836,1.834090,0.667967,0.275479
1781483347.244709,1.819635,0.702879,0.273337
1781483347.344761,1.808516,0.739771,0.261770
1781483347.443560,1.772106,0.797420,0.252777
1781483347.544091,1.717778,0.861277,0.252655
1781483347.644371,1.643374,0.932545,0.239741
1781483347.744180,1.567769,0.992008,0.226651
1781483347.843930,1.496789,1.037917,0.230194
1781483347.944688,1.482734,1.049373,0.263536
1781483348.044714,1.450101,1.060123,0.273677
1781483348.144181,1.411299,1.071229,0.281401
1781483348.243484,1.367875,1.083295,0.293691
