Time,POSX,POSY,POSZ
1781483339.4498403,1.8,0.62,0.3
1781483339.4548912,1.79,0.63,0.29
1781483339.4618392,1.74,0.64,0.27
1781483339.4655342,1.72,0.67,0.26
1781483339.4693892,1.77,0.64,0.29
1781483339.4738736,1.74,0.66,0.26
1781483339.479624,1.78,0.64,0.29
1781483339.4843931,1.82,0.62,0.29
1781483339.4889443,1.84,0.61,0.3
1781483339.493588,1.8,0.63,0.25
1781483339.5460439,1.81,0.64,0.28
1781483339.6448689,1.78,0.64,0.25
1781483339.7446802,1.82,0.62,0.3
1781483339.8437715,1.85,0.61,0.34
1781483339.9465408,1.85,0.6,0.33
1781483340.0454547,1.82,0.63,0.31
1781483340.145073,1.84,0.61,0.31
1781483340.2442489,1.83,0.63,0.29
1781483340.3447888,1.86,0.61,0.31
1781483340.443866,1.87,0.61,0.32
1781483340.5451272,1.88,0.6,0.32
1781483340.6449184,1.85,0.62,0.3
1781483340.7452242,1.86,0.61,0.3
1781483340.8444664,1.89,0.59,0.3
1781483340.943923,1.84,0.63,0.27
1781483341.047355,1.82,0.62,0.24
1781483341.1443768,1.85,0.61,0.27
1781483341.2434912,1.88,0.6,0.31
1781483341.3453846,1.83,0.64,0.28
1781483341.4440184,1.86,0.63,0.31
1781483341.545044,1.88,0.62,0.34
1781483341.6445951,1.8,0.61,0.31
1781483341.7446272,1.82,0.6,0.31
1781483341.843762,1.84,0.59,0.33
1781483341.9540756,1.85,0.59,0.34
1781483342.0437996,1.78,0.6,0.32
1781483342.1438978,1.81,0.59,0.31
1781483342.2447276,1.84,0.58,0.31
1781483342.3450544,1.87,0.58,0.32
1781483342.443734,1.83,0.62,0.3
1781483342.544765,1.84,0.61,0.31
1781483342.6440542,1.81,0.63,0.28
1781483342.7449932,1.84,0.62,0.31
1781483342.8446958,1.83,0.61,0.29
1781483342.9518783,1.79,0.63,0.26
1781483343.0444233,1.82,0.62,0.29
1781483343.1446872,1.85,0.61,0.31
1781483343.2447772,1.78,0.62,0.28
1781483343.344686,1.74,0.62,0.27
1781483343.4449055,1.69,0.61,0.25
1781483343.544502,1.72,0.61,0.27
1781483343.6436107,1.77,0.6,0.27
1781483343.7450829,1.81,0.59,0.29
1781483343.8438702,1.85,0.6,0.33
1781483343.9492536,1.81,0.63,0.29
1781483344.0435393,1.83,0.61,0.3
1781483344.1441374,1.85,0.6,0.3
1781483344.2451458,1.78,0.63,0.27
